('The rabbit is nice.', 'Fiona is big.', False)
('The leopard needs the cat.', 'Charlie is high.', False)
('The dog is smart.', 'Erin is smart.', False)
('The dog is smart.', 'Erin is smart.', False)
('The dinosaur is sleepy.', 'Erin is poor.', False)
('The dinosaur is sleepy.', 'Erin is poor.', False)
('The bear is obese.', 'Erin is obese.', False)
('The bear is obese.', 'Erin is obese.', False)
('The cat is cute.', 'Charlie is nice.', False)
('The cat is cute.', 'Charlie is nice.', False)
('The dinosaur sees the cat.', 'Erin is see.', False)
('The dinosaur sees the cat.', 'Erin is see.', False)
('The squirrel is nice.', 'Fiona is nice.', False)
('The squirrel is nice.', 'Fiona is nice.', False)
('The dinosaur is boring.', 'Erin is dull.', False)
('The dinosaur is boring.', 'Erin is dull.', False)
('The cheetah is strong.', 'Erin is strong.', False)
('The cheetah is strong.', 'Erin is strong.', False)
('The dog is funny.', 'Fiona is nice.', False)
('The dog is funny.', 'Fiona is nice.', False)
('The dinosaur attacks the dog.', 'Erin is strong.', False)
('The dinosaur attacks the dog.', 'Erin is strong.', False)
('The hamster is quiet.', 'is quiet.', False)
('The hamster is quiet.', 'Erin is quiet.', False)
('The bear is tired.', 'Erin is tired.', False)
('The bear is tired.', 'Erin is tired.', False)
('The lion is awful.', 'Erin is huge.', False)
('The lion is awful.', 'Erin is huge.', False)
('The cat is lovely.', 'Erin is quiet.', False)
('The cat is lovely.', 'Erin is quiet.', False)
('The bear needs the cat.', 'Erin is  needs needs needs needs needs needs needs needs needs needs needs needs needs needs n', False)
('The bear needs the cat.', 'Erin is  needs needs needs needs needs needs needs needs needs needs needs needs needs needs n', False)
('The squirrel is kind.', 'Erin is kind.', False)
('The squirrel is kind.', 'Erin is kind.', False)
('The leopard is boring.', 'Erin is poor.', False)
('The leopard is boring.', 'Erin is poor.', False)
('The lion is strong.', 'Erin is fierce.', False)
('The lion is strong.', 'Erin is fierce.', False)
('The cat is adorable.', 'Erin is tiny.', False)
('The cat is adorable.', 'Erin is tiny.', False)
('The leopard chases the cat.', 'Erin is chase.', False)
('The leopard chases the cat.', 'Erin is chase.', False)
('The rabbit is kind.', 'Alan is kind.', False)
('The rabbit is kind.', 'Alan is kind.', False)
('The bear is sleepy.', 'Erin is bad.', False)
('The bear is sleepy.', 'Erin is bad.', False)
('The falcon is fierce.', 'Fiona is huge.', False)
('The falcon is fierce.', 'Fiona is huge.', False)
('The dog is funny.', 'Fiona is nice.', False)
('The dog is funny.', 'Fiona is nice.', False)
('The bear likes the dog.', 'Erin is high.', False)
('The bear likes the dog.', 'Erin is high.', False)
('The mouse is round.', 'Erin is round.', False)
('The mouse is round.', 'Erin is round.', False)
('The lion is reckless.', 'Erin is reckless.', False)
('The lion is reckless.', 'Erin is reckless.', False)
('The leopard is big.', 'Charlie is reckless.', False)
('The leopard is big.', 'Charlie is reckless.', False)
('The hamster is small.', 'is small.', False)
('The hamster is small.', 'is small.', False)
('The lion attacks the hamster.', 'Erin is attacks.', False)
('The lion attacks the hamster.', 'Erin is attacks.', False)
('The mouse is quiet.', 'Erin is quiet.', False)
('The mouse is quiet.', 'Erin is quiet.', False)
('The falcon is reckless.', 'Fiona is dull.', False)
('The falcon is reckless.', 'Fiona is reckless.', False)
('The wolf is awful.', 'Fiona is slow.', False)
('The wolf is awful.', 'Fiona is slow.', False)
('The hamster is beautiful.', 'is sad.', False)
('The hamster is beautiful.', 'is sad.', False)
('The falcon attacks the hamster.', 'Fiona is slow.', False)
('The falcon attacks the hamster.', 'Fiona is slow.', False)
('The dog is nice.', 'Erin is nice.', False)
('The dog is nice.', 'Erin is nice.', False)
('The snake is rough.', 'is rough.', False)
('The snake is rough.', 'Erin is rough.', False)
('The wolf is heavy.', 'is heavy.', False)
('The wolf is heavy.', 'is heavy.', False)
('The rabbit is beautiful.', 'Erin is nice.', False)
('The rabbit is beautiful.', 'Erin is nice.', False)
('The snake attacks the rabbit.', 'Erin is heavy.', False)
('The snake attacks the rabbit.', 'Erin is heavy.', False)
('The rabbit is round.', 'Alan is round.', False)
('The rabbit is round.', 'Alan is round.', False)
('The bear is rough.', 'Erin is rough.', False)
('The bear is rough.', 'Erin is rough.', False)
('The cheetah is obese.', 'Erin is fierce.', False)
('The cheetah is obese.', 'Erin is high.', False)
('The dog is cute.', 'Fiona is cute.', False)
('The dog is cute.', 'Fiona is cute.', False)
('The bear attacks the dog.', 'Erin is heavy.', False)
('The bear attacks the dog.', 'Erin is heavy.', False)
('The rabbit is kind.', 'Alan is kind.', False)
('The rabbit is kind.', 'Alan is kind.', False)
('The bald eagle is angry.', 'Charlie is bad.', False)
('The bald eagle is angry.', 'Erin is bad.', False)
('The dinosaur is obese.', 'Erin is bad.', False)
('The dinosaur is obese.', 'Erin is obese.', False)
('The hamster is small.', 'is kind.', False)
('The hamster is small.', 'is kind.', False)
('The bald eagle chases the hamster.', 'Erin is chase.', False)
('The bald eagle chases the hamster.', 'Erin is chase.', False)
('The squirrel is nice.', 'Erin is smart.', False)
('The squirrel is nice.', 'Erin is smart.', False)
('The dinosaur is reckless.', 'Erin is slow.', False)
('The dinosaur is reckless.', 'Erin is slow.', False)
('The wolf is awful.', 'Fiona is heavy.', False)
('The wolf is awful.', 'Fiona is heavy.', False)
('The mouse is beautiful.', 'Erin is beautiful.', False)
('The mouse is beautiful.', 'Erin is beautiful.', False)
('The dinosaur attacks the mouse.', 'Erin is attacks.', False)
('The dinosaur attacks the mouse.', 'Erin is attacks.', False)
('The dog is smart.', 'Fiona is smart.', False)
('The dog is smart.', 'Fiona is smart.', False)
('The tiger is rough.', 'Erin is rough.', False)
('The tiger is rough.', 'Erin is rough.', False)
('The falcon is strong.', 'Fiona is fierce.', False)
('The falcon is strong.', 'Fiona is fierce.', False)
('The mouse is cute.', 'Erin is cute.', False)
('The mouse is cute.', 'Erin is cute.', False)
('The tiger sees the mouse.', 'Erin is see.', False)
('The tiger sees the mouse.', 'Erin is see.', False)
('The mouse is round.', 'Erin is round.', False)
('The mouse is round.', 'Erin is round.', False)
('The dinosaur is sleepy.', 'Erin is lazy.', False)
('The dinosaur is sleepy.', 'Erin is lazy.', False)
('The leopard is big.', 'Charlie is big.', False)
('The leopard is big.', 'Charlie is big.', False)
('The dog is cute.', 'Fiona is cute.', False)
('The dog is cute.', 'Fiona is cute.', False)
('The dinosaur sees the dog.', 'Erin is see.', False)
('The dinosaur sees the dog.', 'Erin is see.', False)
('The hamster is nice.', 'is fur.', False)
('The hamster is nice.', 'is fur.', False)
('The cheetah is angry.', 'Erin is fur.', False)
('The cheetah is angry.', 'Erin is fur.', False)
('The snake is strong.', 'is fierce.', False)
('The snake is strong.', 'is fierce.', False)
('The rabbit is furry.', 'is fur.', False)
('The rabbit is furry.', 'is fur.', False)
('The cheetah attacks the rabbit.', 'Erin is fur.', False)
('The cheetah attacks the rabbit.', 'Erin is fur.', False)
('The mouse is quiet.', 'Erin is quiet.', False)
('The mouse is quiet.', 'Erin is quiet.', False)
('The bald eagle is slow.', 'Erin is slow.', False)
('The bald eagle is slow.', 'Erin is slow.', False)
('The crocodile is big.', 'Cro is big.', False)
('The crocodile is big.', 'Cro is big.', False)
('The hamster is furry.', 'is quiet.', False)
('The hamster is furry.', 'is quiet.', False)
('The bald eagle sees the hamster.', 'Erin is sad.', False)
('The bald eagle sees the hamster.', 'Erin is strong.', False)
('The hamster is kind.', 'is kind.', False)
('The hamster is kind.', 'is kind.', False)
('The cheetah is dull.', 'Erin is  people is   people is   people is   peopl', False)
('The cheetah is dull.', 'Erin is kind.', False)
('The wolf is fierce.', 'Charlie is huge.', False)
('The wolf is fierce.', 'Charlie is huge.', False)
('The squirrel is beautiful.', 'S is nice.', False)
('The squirrel is beautiful.', 'S is nice.', False)
('The cheetah visits the squirrel.', 'Erin is visits visits visits visit is visits.', False)
('The cheetah visits the squirrel.', 'Erin is visits high.', False)
('The dog is kind.', 'Erin is kind.', False)
('The dog is kind.', 'Erin is kind.', False)
('The bear is dull.', 'Erin is sad.', False)
('The bear is dull.', 'Erin is sad.', False)
('The tiger is fierce.', 'Erin is huge.', False)
('The tiger is fierce.', 'Erin is huge.', False)
('The squirrel is lovely.', 'Fiona is sad.', False)
('The squirrel is lovely.', 'Fiona is sad.', False)
('The bear sees the squirrel.', 'Erin is see sad.', False)
('The bear sees the squirrel.', 'Erin is sad.', False)
('The dog is round.', 'Erin is round.', False)
('The dog is round.', 'Erin is round.', False)
('The lion is boring.', 'Erin is slow.', False)
('The lion is boring.', 'Erin is slow.', False)
('The falcon is obese.', 'Fiona is huge.', False)
('The falcon is obese.', 'Fiona is huge.', False)
('The mouse is furry.', 'Erin is fur.', False)
('The mouse is furry.', 'Erin is fur.', False)
('The lion likes the mouse.', 'Erin is slow.', False)
('The lion likes the mouse.', 'Erin is slow.', False)
('The mouse is round.', 'Erin is nice.', False)
('The mouse is round.', 'Erin is nice.', False)
('The bald eagle is sleepy.', 'Erin is imperfect.', False)
('The bald eagle is sleepy.', 'Erin is imperfect.', False)
('The bear is strong.', 'Erin is strong.', False)
('The bear is strong.', 'Erin is strong.', False)
('The cat is cute.', 'Erin is cute.', False)
('The cat is cute.', 'Erin is cute.', False)
('The bald eagle needs the cat.', 'Erin is strong.', False)
('The bald eagle needs the cat.', 'Erin is strong.', False)
('The hamster is smart.', 'is smart.', False)
('The hamster is smart.', 'is smart.', False)
('The wolf is tired.', 'is smart.', False)
('The wolf is tired.', 'is smart.', False)
('The bear is obese.', 'Erin is huge.', False)
('The bear is obese.', 'Erin is huge.', False)
('The squirrel is small.', 'Fiona is small.', False)
('The squirrel is small.', 'is smart.', False)
('The wolf attacks the squirrel.', 'Erin is attacks.', False)
('The wolf attacks the squirrel.', 'Erin is attacks.', False)
('The dog is quiet.', 'Fiona is quiet.', False)
('The dog is quiet.', 'Erin is quiet.', False)
('The snake is lazy.', 'is lazy.', False)
('The snake is lazy.', 'is lazy.', False)
('The wolf is fierce.', 'is huge.', False)
('The wolf is fierce.', 'Charlie is imperfect.', False)
('The mouse is funny.', 'Erin is quiet.', False)
('The mouse is funny.', 'Erin is quiet.', False)
('The snake attacks the mouse.', 'is attacks.', False)
('The snake attacks the mouse.', 'is attacks.', False)
('The cat is nice.', 'Erin is kind.', False)
('The cat is nice.', 'Erin is kind.', False)
('The bald eagle is angry.', 'Erin is sad.', False)
('The bald eagle is angry.', 'Erin is sad.', False)
('The bear is awful.', 'Erin is huge.', False)
('The bear is awful.', 'Erin is huge.', False)
('The rabbit is funny.', 'is funny.', False)
('The rabbit is funny.', 'is funny.', False)
('The bald eagle attacks the rabbit.', 'Erin is sad.', False)
('The bald eagle attacks the rabbit.', 'Erin is sad.', False)
('The dog is kind.', 'Fiona is funny.', False)
('The dog is kind.', 'Fiona is funny.', False)
('The bald eagle is sleepy.', 'Erin is slow.', False)
('The bald eagle is sleepy.', 'Erin is slow.', False)
('The cheetah is big.', 'Erin is big.', False)
('The cheetah is big.', 'Erin is big.', False)
('The rabbit is funny.', 'is funny.', False)
('The rabbit is funny.', 'is funny.', False)
('The bald eagle likes the rabbit.', 'Erin is lazy.', False)
('The bald eagle likes the rabbit.', 'Erin is lazy.', False)
('The dog is kind.', 'Erin is kind.', False)
('The dog is kind.', 'Erin is kind.', False)
('The tiger is reckless.', 'Erin is kind.', False)
('The tiger is reckless.', 'Erin is kind.', False)
('The bald eagle is fierce.', 'Erin is obese.', False)
('The bald eagle is fierce.', 'Erin is obese.', False)
('The cat is beautiful.', 'Erin is kind.', False)
('The cat is beautiful.', 'Erin is kind.', False)
('The tiger attacks the cat.', 'Erin is attacks.', False)
('The tiger attacks the cat.', 'Erin is attacks.', False)
('The cat is round.', 'Erin is round.', False)
('The cat is round.', 'Erin is round.', False)
('The bald eagle is dull.', 'Erin is dull.', False)
('The bald eagle is dull.', 'Erin is dull.', False)
('The snake is heavy.', 'Erin is heavy.', False)
('The snake is heavy.', 'Erin is heavy.', False)
('The hamster is beautiful.', 'is nice.', False)
('The hamster is beautiful.', 'is nice.', False)
('The bald eagle likes the hamster.', 'Erin is heavy.', False)
('The bald eagle likes the hamster.', 'Erin is heavy.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The bald eagle is lazy.', 'Erin is poor.', False)
('The bald eagle is lazy.', 'Erin is poor.', False)
('The lion is awful.', 'Erin is heavy.', False)
('The lion is awful.', 'Erin is heavy.', False)
('The dog is beautiful.', 'Fiona is kind.', False)
('The dog is beautiful.', 'Fiona is kind.', False)
('The bald eagle chases the dog.', 'Erin is heavy.', False)
('The bald eagle chases the dog.', 'Erin is heavy.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The mouse is kind.', 'Erin is sad.', False)
('The cheetah is sleepy.', 'Erin is awful.', False)
('The cheetah is sleepy.', 'Erin is imperfect.', False)
('The lion is heavy.', 'Erin is heavy.', False)
('The lion is heavy.', 'Erin is heavy.', False)
('The cat is furry.', 'Cat is fur.', False)
('The cat is furry.', 'Cat is kind.', False)
('The cheetah likes the cat.', 'Erin is heavy.', False)
('The cheetah likes the cat.', 'Erin is heavy.', False)
('The dog is round.', 'Erin is nice.', False)
('The dog is round.', 'Erin is nice.', False)
('The bear is dull.', 'Erin is nice.', False)
('The bear is dull.', 'Erin is nice.', False)
('The cheetah is big.', 'Erin is big.', False)
('The cheetah is big.', 'Erin is big.', False)
('The hamster is cute.', 'is cute.', False)
('The hamster is cute.', 'is cute.', False)
('The bear chases the hamster.', 'Erin is chase.', False)
('The bear chases the hamster.', 'Erin is chase.', False)
('The rabbit is quiet.', 'is quiet.', False)
('The rabbit is quiet.', 'Alan is quiet.', False)
('The falcon is rough.', 'Fiona is rough.', False)
('The falcon is rough.', 'Fiona is rough.', False)
('The lion is heavy.', 'Erin is heavy.', False)
('The lion is heavy.', 'Erin is heavy.', False)
('The cat is cute.', 'Erin is quiet.', False)
('The cat is cute.', 'Erin is quiet.', False)
('The falcon attacks the cat.', 'Fiona is heavy.', False)
('The falcon attacks the cat.', 'Fiona is heavy.', False)
('The rabbit is nice.', 'Alan is smart.', False)
('The rabbit is nice.', 'Alan is smart.', False)
('The lion is slow.', 'Erin is slow.', False)
('The lion is slow.', 'Erin is slow.', False)
('The dinosaur is fierce.', 'Erin is high.', False)
('The dinosaur is fierce.', 'Erin is high.', False)
('The cat is funny.', 'Erin is funny.', False)
('The cat is funny.', 'Erin is funny.', False)
('The lion chases the cat.', 'Erin is chase.', False)
('The lion chases the cat.', 'Erin is chase.', False)
('The squirrel is nice.', 'Erin is smart.', False)
('The squirrel is nice.', 'Erin is smart.', False)
('The wolf is angry.', 'is sad.', False)
('The wolf is angry.', 'is sad.', False)
('The tiger is heavy.', 'Erin is heavy.', False)
('The tiger is heavy.', 'Erin is heavy.', False)
('The mouse is lovely.', 'Erin is smart.', False)
('The mouse is lovely.', 'Erin is smart.', False)
('The wolf likes the mouse.', 'is heavy.', False)
('The wolf likes the mouse.', 'is heavy.', False)
('The dog is round.', 'Erin is round.', False)
('The dog is round.', 'Erin is round.', False)
('The bear is rough.', 'Erin is rough.', False)
('The bear is rough.', 'Erin is rough.', False)
('The dinosaur is fierce.', 'Erin is high.', False)
('The dinosaur is fierce.', 'Erin is high.', False)
('The cat is small.', 'Erin is small.', False)
('The cat is small.', 'Erin is small.', False)
('The bear chases the cat.', 'Erin is chase.', False)
('The bear chases the cat.', 'Erin is chase.', False)
('The cat is nice.', 'Erin is kind.', False)
('The cat is nice.', 'Erin is kind.', False)
('The snake is tired.', 'is fierce.', False)
('The snake is tired.', 'is dull.', False)
('The tiger is strong.', 'Erin is obese.', False)
('The tiger is strong.', 'Erin is obese.', False)
('The squirrel is lovely.', 'Fiona is small.', False)
('The squirrel is lovely.', 'S is small.', False)
('The snake sees the squirrel.', 'is fierce.', False)
('The snake sees the squirrel.', 'is fierce.', False)
('The cat is smart.', 'Charlie is slow.', False)
('The cat is smart.', 'Charlie is slow.', False)
('The tiger is rough.', 'Erin is rough.', False)
('The tiger is rough.', 'Erin is rough.', False)
('The wolf is obese.', 'Erin is obese.', False)
('The wolf is obese.', 'Erin is obese.', False)
('The rabbit is cute.', 'Fiona is slow.', False)
('The rabbit is cute.', 'Erin is slow.', False)
('The tiger likes the rabbit.', 'Erin is slow.', False)
('The tiger likes the rabbit.', 'Erin is slow.', False)
('The dog is round.', 'Erin is round.', False)
('The dog is round.', 'Erin is round.', False)
('The crocodile is boring.', 'Erin is poor.', False)
('The crocodile is boring.', 'Erin is poor.', False)
('The bald eagle is heavy.', 'Erin is heavy.', False)
('The bald eagle is heavy.', 'Erin is heavy.', False)
('The mouse is adorable.', 'Erin is tiny.', False)
('The mouse is adorable.', 'Erin is tiny.', False)
('The crocodile needs the mouse.', 'Erin is sad.', False)
('The crocodile needs the mouse.', 'Erin is sad.', False)
('The squirrel is nice.', 'Erin is smart.', False)
('The squirrel is nice.', 'Erin is smart.', False)
('The cheetah is rough.', 'Erin is smart.', False)
('The cheetah is rough.', 'Erin is smart.', False)
('The dinosaur is obese.', 'Erin is high.', False)
('The dinosaur is obese.', 'Erin is high.', False)
('The mouse is small.', 'Erin is small.', False)
('The mouse is small.', 'Erin is small.', False)
('The cheetah visits the mouse.', 'Erin is visits.', False)
('The cheetah visits the mouse.', 'Erin is visits.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The dinosaur is sleepy.', 'Erin is slow.', False)
('The dinosaur is sleepy.', 'Erin is slow.', False)
('The lion is heavy.', 'Erin is heavy.', False)
('The lion is heavy.', 'Erin is heavy.', False)
('The squirrel is small.', 'Erin is kind.', False)
('The squirrel is small.', 'Erin is kind.', False)
('The dinosaur sees the squirrel.', 'Erin is lazy.', False)
('The dinosaur sees the squirrel.', 'Erin is lazy.', False)
('The rabbit is smart.', 'Alan is smart.', False)
('The rabbit is smart.', 'Erin is smart.', False)
('The falcon is tired.', 'Fiona is tired.', False)
('The falcon is tired.', 'Fiona is tired.', False)
('The bald eagle is heavy.', 'Erin is heavy.', False)
('The bald eagle is heavy.', 'Erin is heavy.', False)
('The cat is cute.', 'Erin is nice.', False)
('The cat is cute.', 'Erin is nice.', False)
('The falcon attacks the cat.', 'Fiona is attacks.', False)
('The falcon attacks the cat.', 'Fiona is attacks.', False)
('The rabbit is nice.', 'Erin is smart.', False)
('The rabbit is nice.', 'Alan is smart.', False)
('The bald eagle is sleepy.', 'Erin is quiet.', False)
('The bald eagle is sleepy.', 'Erin is quiet.', False)
('The bear is strong.', 'Erin is high.', False)
('The bear is strong.', 'Erin is high.', False)
('The dog is beautiful.', 'Fiona is nice.', False)
('The dog is beautiful.', 'Fiona is nice.', False)
('The bald eagle likes the dog.', 'Charlie is lazy.', False)
('The bald eagle likes the dog.', 'Charlie is lazy.', False)
('The hamster is quiet.', 'is quiet.', False)
('The hamster is quiet.', 'Erin is quiet.', False)
('The bald eagle is slow.', 'Charlie is slow.', False)
('The bald eagle is slow.', 'Charlie is slow.', False)
('The dinosaur is awful.', 'Erin is strong.', False)
('The dinosaur is awful.', 'Erin is strong.', False)
('The dog is cute.', 'Fiona is cute.', False)
('The dog is cute.', 'Fiona is cute.', False)
('The bald eagle sees the dog.', 'Erin is see.', False)
('The bald eagle sees the dog.', 'Erin is see see is see.', False)
('The mouse is round.', 'Erin is round.', False)
('The mouse is round.', 'Erin is round.', False)
('The dinosaur is rough.', 'Erin is rough.', False)
('The dinosaur is rough.', 'Erin is rough.', False)
('The snake is obese.', 'is obese.', False)
('The snake is obese.', 'is obese.', False)
('The hamster is small.', 'is small.', False)
('The hamster is small.', 'is small.', False)
('The dinosaur visits the hamster.', 'Erin is visits.', False)
('The dinosaur visits the hamster.', 'Erin is visits.', False)
('The squirrel is smart.', 'Erin is smart.', False)
('The squirrel is smart.', 'Erin is smart.', False)
('The bear is slow.', 'Erin is slow.', False)
('The bear is slow.', 'Erin is slow.', False)
('The dinosaur is awful.', 'Erin is obese.', False)
('The dinosaur is awful.', 'Erin is bad.', False)
('The cat is adorable.', 'Erin is clever.', False)
('The cat is adorable.', 'Erin is clever.', False)
('The bear needs the cat.', 'Erin is heavy.', False)
('The bear needs the cat.', 'Erin is heavy.', False)
('The rabbit is kind.', 'Alan is kind.', False)
('The rabbit is kind.', 'Alan is kind.', False)
('The crocodile is lazy.', 'Erin is lazy.', False)
('The crocodile is lazy.', 'Erin is lazy.', False)
('The bald eagle is fierce.', 'Erin is fierce.', False)
('The bald eagle is fierce.', 'Erin is fierce.', False)
('The cat is funny.', 'Erin is nice.', False)
('The cat is funny.', 'Erin is nice.', False)
('The crocodile needs the cat.', 'Erin is slow.', False)
('The crocodile needs the cat.', 'Erin is slow.', False)
('The rabbit is quiet.', 'Alan is quiet.', False)
('The rabbit is quiet.', 'Erin is quiet.', False)
('The dinosaur is tired.', 'Erin is tired.', False)
('The dinosaur is tired.', 'Erin is tired.', False)
('The bald eagle is big.', 'Erin is big.', False)
('The bald eagle is big.', 'Erin is big.', False)
('The dog is small.', 'Fiona is small.', False)
('The dog is small.', 'Fiona is small.', False)
('The dinosaur needs the dog.', 'Erin is big.', False)
('The dinosaur needs the dog.', 'Erin is big.', False)
('The cat is smart.', 'Erin is smart.', False)
('The cat is smart.', 'Erin is smart.', False)
('The bear is dull.', 'Erin is slow.', False)
('The bear is dull.', 'Erin is slow.', False)
('The snake is awful.', 'is obese.', False)
('The snake is awful.', 'is obese.', False)
('The hamster is furry.', 'is fur.', False)
('The hamster is furry.', 'is fur.', False)
('The bear chases the hamster.', 'Erin is chase.', False)
('The bear chases the hamster.', 'Erin is chase.', False)
('The cat is nice.', 'Cat is nice.', False)
('The cat is nice.', 'Cat is sad.', False)
('The leopard is slow.', 'Charlie is lazy.', False)
('The leopard is slow.', 'Charlie is lazy.', False)
('The falcon is obese.', 'Fiona is obese.', False)
('The falcon is obese.', 'Fiona is obese.', False)
('The hamster is beautiful.', 'is nice.', False)
('The hamster is beautiful.', 'is nice.', False)
('The leopard likes the hamster.', 'Charlie is strong.', False)
