('The cat is round.', 'Charlie is quiet.', False)
('The wolf is boring.', 'Fiona is bad.', False)
('The leopard is obese.', 'Charlie is strong.', False)
('The leopard is obese.', 'Charlie is strong.', False)
('The hamster is adorable.', 'Harry is kind.', False)
('The hamster is adorable.', 'Harry is kind.', False)
('The wolf attacks the hamster.', 'Fiona is strong.', False)
('The wolf attacks the hamster.', 'Fiona is strong.', False)
('The cat is round.', 'Charlie is nice.', False)
('The cat is round.', 'Charlie is nice.', False)
('The cheetah is tired.', 'Che.', False)
('The cheetah is tired.', 'Che.', False)
('The tiger is fierce.', 'Fiona is strong.', False)
('The tiger is fierce.', 'Fiona is strong.', False)
('The dog is adorable.', 'Fiona is kind.', False)
('The dog is adorable.', 'Fiona is kind.', False)
('The cheetah attacks the dog.', 'Che.', False)
('The cheetah attacks the dog.', 'Che.', False)
('The squirrel is smart.', 'Charlie is quiet.', False)
('The squirrel is smart.', 'Charlie is quiet.', False)
('The cheetah is dull.', 'Che.', False)
('The cheetah is dull.', 'Che.', False)
('The tiger is big.', 'Gary is rough.', False)
('The tiger is big.', 'Gary is rough.', False)
('The mouse is cute.', 'Erin is rough.', False)
('The mouse is cute.', 'Erin is rough.', False)
('The cheetah sees the mouse.', 'Che.', False)
('The cheetah sees the mouse.', 'Che.', False)
('The cat is round.', 'Charlie is quiet.', False)
('The cat is round.', 'Charlie is quiet.', False)
('The bear is sleepy.', 'Bob is obese.', False)
('The bear is sleepy.', 'Bob is obese.', False)
('The cheetah is obese.', 'Che.', False)
('The cheetah is obese.', 'Che.', False)
('The rabbit is cute.', 'Anne is quiet.', False)
('The rabbit is cute.', 'Anne is quiet.', False)
('The bear needs the rabbit.', 'Bob is imperfect.', False)
('The bear needs the rabbit.', 'Bob is imperfect.', False)
('The dog is smart.', 'Charlie is kind.', False)
('The dog is smart.', 'Charlie is kind.', False)
('The bear is angry.', 'Bob is obese.', False)
('The bear is angry.', 'Bob is obese.', False)
('The bald eagle is fierce.', 'Erin is cat.', False)
('The bald eagle is fierce.', 'Erin is sad.', False)
('The cat is small.', 'Charlie is obese.', False)
('The cat is small.', 'Charlie is obese.', False)
('The bear sees the cat.', 'Anne is strong.', False)
('The bear sees the cat.', 'Bob is strong.', False)
('The dog is quiet.', 'Charlie is quiet.', False)
('The dog is quiet.', 'Charlie is quiet.', False)
('The dinosaur is angry.', 'Dave is sad.', False)
('The dinosaur is angry.', 'Dave is sad.', False)
('The lion is strong.', 'Alan is sad.', False)
('The lion is strong.', 'Alan is sad.', False)
('The hamster is small.', 'Harry is quiet.', False)
('The hamster is small.', 'Harry is quiet.', False)
('The dinosaur visits the hamster.', 'Dave is huge.', False)
('The dinosaur visits the hamster.', 'Dave is huge.', False)
('The hamster is kind.', 'Harry is smart.', False)
('The hamster is kind.', 'Harry is quiet.', False)
('The lion is slow.', 'Alan is bad.', False)
('The lion is slow.', 'Alan is bad.', False)
('The falcon is obese.', 'Fiona is big.', False)
('The falcon is obese.', 'Fiona is big.', False)
('The cat is lovely.', 'Charlie is quiet.', False)
('The cat is lovely.', 'Charlie is quiet.', False)
('The lion likes the cat.', 'Fiona is big.', False)
('The lion likes the cat.', 'Harry is big.', False)
('The mouse is quiet.', 'Charlie is quiet.', False)
('The mouse is quiet.', 'Charlie is quiet.', False)
('The bald eagle is lazy.', 'Erin is bad.', False)
('The bald eagle is lazy.', 'Erin is bad.', False)
('The cheetah is fierce.', 'Che.', False)
('The cheetah is fierce.', 'Che.', False)
('The dog is beautiful.', 'Fiona is quiet.', False)
('The dog is beautiful.', 'Fiona is quiet.', False)
('The bald eagle visits the dog.', 'Erin is big.', False)
('The bald eagle visits the dog.', 'Erin is huge.', False)
('The hamster is kind.', 'Harry is quiet.', False)
('The hamster is kind.', 'Harry is quiet.', False)
('The bald eagle is sleepy.', 'Erin is rabbit.', False)
('The bald eagle is sleepy.', 'Erin is rabbit.', False)
('The bear is awful.', 'Bob is huge.', False)
('The bear is awful.', 'Bob is huge.', False)
('The rabbit is beautiful.', 'Anne is quiet.', False)
('The rabbit is beautiful.', 'Anne is quiet.', False)
('The bald eagle attacks the rabbit.', 'Anne is huge.', False)
('The bald eagle attacks the rabbit.', 'Anne is huge.', False)
('The dog is nice.', 'Fiona is small.', False)
('The dog is nice.', 'Fiona is un.', False)
('The crocodile is sleepy.', 'Charlie is rough.', False)
('The crocodile is sleepy.', 'Charlie is rough.', False)
('The bear is heavy.', 'Bob is reckless.', False)
('The bear is heavy.', 'Bob is reckless.', False)
('The squirrel is small.', 'Charlie is reckless.', False)
('The squirrel is small.', 'Charlie is rough.', False)
('The crocodile likes the squirrel.', 'Erin is heavy.', False)
('The crocodile likes the squirrel.', 'Erin is heavy.', False)
('The squirrel is quiet.', 'Charlie is sleep.', False)
('The squirrel is quiet.', 'Charlie is sleep.', False)
('The tiger is dull.', 'Gary is imperfect.', False)
('The tiger is dull.', 'Gary is imperfect.', False)
('The wolf is obese.', 'Fiona is heavy.', False)
('The wolf is obese.', 'Fiona is heavy.', False)
('The dog is beautiful.', 'Fiona is dog.', False)
('The dog is beautiful.', 'Fiona is thin.', False)
('The tiger sees the dog.', 'Gary is imperfect.', False)
('The tiger sees the dog.', 'Gary is imperfect.', False)
('The hamster is nice.', 'Harry isham.', False)
('The hamster is nice.', 'Harry isham.', False)
('The leopard is lazy.', 'Charlie is rabbit.', False)
('The leopard is lazy.', 'Charlie is rabbit.', False)
('The cheetah is fierce.', 'Che.', False)
('The cheetah is fierce.', 'Che.', False)
('The rabbit is adorable.', 'Anne is rabbit.', False)
('The rabbit is adorable.', 'Anne is rabbit.', False)
('The leopard visits the rabbit.', 'Charlie is huge.', False)
('The leopard visits the rabbit.', 'Charlie is huge.', False)
('The hamster is quiet.', 'Harry is kind.', False)
('The hamster is quiet.', 'Harry is kind.', False)
('The bald eagle is tired.', 'Erin is awful.', False)
('The bald eagle is tired.', 'Erin is awful.', False)
('The leopard is awful.', 'Charlie is strong.', False)
('The leopard is awful.', 'Charlie is strong.', False)
('The rabbit is beautiful.', 'Anne is awful.', False)
('The rabbit is beautiful.', 'Anne is bad.', False)
('The bald eagle visits the rabbit.', 'Erin is huge.', False)
('The bald eagle visits the rabbit.', 'Erin is huge.', False)
('The cat is kind.', 'Charlie is sleep.', False)
('The cat is kind.', 'Charlie is sleep.', False)
('The bear is rough.', 'Bob is sad.', False)
('The bear is rough.', 'Bob is sad.', False)
('The bald eagle is obese.', 'Erin is strong.', False)
('The bald eagle is obese.', 'Erin isry.', False)
('The mouse is cute.', 'Anne is mouse.', False)
('The mouse is cute.', 'Anne is mouse.', False)
('The bear chases the mouse.', 'Bob isbald.', False)
('The bear chases the mouse.', 'Bob isbald.', False)
('The mouse is kind.', 'Anne is kind.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The wolf is angry.', 'Fiona is obese.', False)
('The wolf is angry.', 'Fiona is obese.', False)
('The cheetah is obese.', 'Che.', False)
('The cheetah is obese.', 'Che.', False)
('The cat is lovely.', 'Cat is obese.', False)
('The cat is lovely.', 'Cat is obese.', False)
('The wolf chases the cat.', 'Fiona is imperfect.', False)
('The wolf chases the cat.', 'Fiona is imperfect.', False)
('The hamster is quiet.', 'Harry is quiet.', False)
('The hamster is quiet.', 'Harry is quiet.', False)
('The falcon is dull.', 'Fiona is bad.', False)
('The falcon is dull.', 'Fiona is bad.', False)
('The wolf is heavy.', 'Fiona is heavy.', False)
('The wolf is heavy.', 'Fiona is heavy.', False)
('The squirrel is lovely.', 'Fiona is squirrel.', False)
('The squirrel is lovely.', 'Fiona is squirrel.', False)
('The falcon attacks the squirrel.', 'Fiona is bad.', False)
('The falcon attacks the squirrel.', 'Fiona is bad.', False)
('The hamster is kind.', 'Erin is strong.', False)
('The hamster is kind.', 'Erin is strong.', False)
('The tiger is angry.', 'Gary is dull.', False)
('The tiger is angry.', 'Gary is dull.', False)
('The dinosaur is strong.', 'Dave is strong.', False)
('The dinosaur is strong.', 'Dave is strong.', False)
('The rabbit is cute.', 'Anne is obese.', False)
('The rabbit is cute.', 'Anne is obese.', False)
('The tiger chases the rabbit.', 'Gary is sad.', False)
('The tiger chases the rabbit.', 'Gary is sad.', False)
('The cat is smart.', 'Charlie is huge.', False)
('The cat is smart.', 'Charlie is huge.', False)
('The crocodile is sleepy.', 'Charlie is bad.', False)
('The crocodile is sleepy.', 'Charlie is bad.', False)
('The bear is big.', 'Anne is strong.', False)
('The bear is big.', 'Bob is strong.', False)
('The rabbit is cute.', 'Anne is kind.', False)
('The rabbit is cute.', 'Anne is kind.', False)
('The crocodile sees the rabbit.', 'Charlie is bad.', False)
('The crocodile sees the rabbit.', 'Erin is bad.', False)
('The squirrel is nice.', 'Charlie is quiet.', False)
('The squirrel is nice.', 'Charlie is quiet.', False)
('The tiger is tired.', 'Gary is rabbit.', False)
('The tiger is tired.', 'Gary is rabbit.', False)
('The bear is fierce.', 'Bob is rabbit.', False)
('The bear is fierce.', 'Bob is rabbit.', False)
('The rabbit is small.', 'Anne is kind.', False)
('The rabbit is small.', 'Anne is kind.', False)
('The tiger sees the rabbit.', 'Gary is huge.', False)
('The tiger sees the rabbit.', 'Gary is huge.', False)
('The hamster is quiet.', 'Harry is nice.', False)
('The hamster is quiet.', 'Harry is kind.', False)
('The wolf is reckless.', 'Fiona is obese.', False)
('The wolf is reckless.', 'Fiona is obese.', False)
('The bald eagle is fierce.', 'Anne is strong.', False)
('The bald eagle is fierce.', 'Anne is strong.', False)
('The cat is beautiful.', 'Charlie is clever.', False)
('The cat is beautiful.', 'Charlie is kind.', False)
('The wolf chases the cat.', 'Fiona is huge.', False)
('The wolf chases the cat.', 'Fiona is huge.', False)
('The rabbit is kind.', 'Anne is rabbit.', False)
('The rabbit is kind.', 'Anne is rabbit.', False)
('The lion is sleepy.', 'Alan is rough.', False)
('The lion is sleepy.', 'Alan is rough.', False)
('The bald eagle is awful.', 'Erin is huge.', False)
('The bald eagle is awful.', 'Erin is huge.', False)
('The squirrel is funny.', 'Charlie is clever.', False)
('The squirrel is funny.', 'Charlie is clever.', False)
('The lion likes the squirrel.', 'Anne is heavy.', False)
('The lion likes the squirrel.', 'Bob is heavy.', False)
('The hamster is smart.', 'Harry is quiet.', False)
('The hamster is smart.', 'Harry is quiet.', False)
('The bear is lazy.', 'Charlie is bad.', False)
('The bear is lazy.', 'Bob is bad.', False)
('The cheetah is fierce.', 'Che.', False)
('The cheetah is fierce.', 'Che.', False)
('The dog is lovely.', 'Charlie is bad.', False)
('The dog is lovely.', 'Charlie is bad.', False)
('The bear likes the dog.', 'Bob is strong.', False)
('The bear likes the dog.', 'Bob is strong.', False)
('The dog is nice.', 'Charlie is kind.', False)
('The dog is nice.', 'Charlie is kind.', False)
('The leopard is dull.', 'Charlie is squirrel.', False)
('The leopard is dull.', 'Charlie is sad.', False)
('The crocodile is strong.', 'Erin is sad.', False)
('The crocodile is strong.', 'Erin is sad.', False)
('The squirrel is cute.', 'Charlie is obese.', False)
('The squirrel is cute.', 'Charlie is quiet.', False)
('The leopard needs the squirrel.', 'Charlie is strong.', False)
('The leopard needs the squirrel.', 'Charlie is strong.', False)
('The squirrel is quiet.', 'Charlie is kind.', False)
('The squirrel is quiet.', 'Charlie is kind.', False)
('The crocodile is dull.', 'Charlie is quiet.', False)
('The crocodile is dull.', 'Charlie is quiet.', False)
('The cheetah is awful.', 'Che.', False)
('The cheetah is awful.', 'Che.', False)
('The cat is funny.', 'Charlie is quiet.', False)
('The cat is funny.', 'Charlie is quiet.', False)
('The crocodile likes the cat.', 'Erin is bad.', False)
('The crocodile likes the cat.', 'Erin is bad.', False)
('The cat is smart.', 'Charlie is huge.', False)
('The cat is smart.', 'Charlie is huge.', False)
('The crocodile is dull.', 'Charlie is sad.', False)
('The crocodile is dull.', 'Charlie is bad.', False)
('The falcon is big.', 'Fiona is big.', False)
('The falcon is big.', 'Fiona is big.', False)
('The squirrel is lovely.', 'Fiona is little.', False)
('The squirrel is lovely.', 'Fiona is little.', False)
('The crocodile chases the squirrel.', 'Erin is big.', False)
('The crocodile chases the squirrel.', 'Erin is big.', False)
('The rabbit is smart.', 'Anne is quiet.', False)
('The rabbit is smart.', 'Anne is quiet.', False)
('The bald eagle is reckless.', 'Erin is rough.', False)
('The bald eagle is reckless.', 'Erin is rough.', False)
('The leopard is obese.', 'Charlie is strong.', False)
('The leopard is obese.', 'Charlie is strong.', False)
('The hamster is furry.', 'Harry is quiet.', False)
('The hamster is furry.', 'Harry is quiet.', False)
('The bald eagle needs the hamster.', 'Anne is strong.', False)
('The bald eagle needs the hamster.', 'Anne is strong.', False)
('The hamster is round.', 'Harry is obese.', False)
('The hamster is round.', 'Harry is obese.', False)
('The wolf is slow.', 'Fiona is rough.', False)
('The wolf is slow.', 'Fiona is rough.', False)
('The snake is obese.', 'Anne is rough.', False)
('The snake is obese.', 'Anne is rough.', False)
('The mouse is cute.', 'Anne is short.', False)
('The mouse is cute.', 'Anne is small.', False)
('The wolf attacks the mouse.', 'Fiona is big.', False)
('The wolf attacks the mouse.', 'Fiona is big.', False)
('The mouse is kind.', 'Anne is obese.', False)
('The mouse is kind.', 'Anne is obese.', False)
('The dinosaur is sleepy.', 'Dave is dull.', False)
('The dinosaur is sleepy.', 'Dave is dull.', False)
('The wolf is obese.', 'Fiona is dull.', False)
('The wolf is obese.', 'Fiona is dull.', False)
('The dog is cute.', 'Charlie is obese.', False)
('The dog is cute.', 'Charlie is obese.', False)
('The dinosaur attacks the dog.', 'Dave is huge.', False)
('The dinosaur attacks the dog.', 'Dave is huge.', False)
('The squirrel is quiet.', 'Charlie is quiet.', False)
('The squirrel is quiet.', 'Charlie is quiet.', False)
('The bear is sleepy.', 'Bob is bad.', False)
('The bear is sleepy.', 'Bob is bad.', False)
('The cheetah is awful.', 'Che.', False)
('The cheetah is awful.', 'Che.', False)
('The mouse is small.', 'Charlie is mouse.', False)
('The mouse is small.', 'Erin is mouse.', False)
('The bear needs the mouse.', 'Anne is huge.', False)
('The bear needs the mouse.', 'Bob is huge.', False)
('The rabbit is smart.', 'Anne is nice.', False)
