('The cat is smart.', 'Erin is smart.', False)
('The dinosaur attacks the rabbit.', 'Erin is attacks.', False)
('The rabbit is nice.', 'is nice.', False)
('The rabbit is nice.', 'is nice.', False)
('The bear is slow.', 'Erin is slow.', False)
('The bear is slow.', 'Erin is slow.', False)
('The snake is obese.', 'is obese.', False)
('The snake is obese.', 'Erin is obese.', False)
('The dog is furry.', 'Fiona is fur.', False)
('The dog is furry.', 'Fiona is fur.', False)
('The bear attacks the dog.', 'Erin is attacks.', False)
('The bear attacks the dog.', 'Erin is attacks.', False)
('The cat is kind.', 'Charlie is rough.', False)
('The cat is kind.', 'Charlie is rough.', False)
('The crocodile is rough.', 'Erin is rough.', False)
('The crocodile is rough.', 'Erin is rough.', False)
('The wolf is big.', 'is rough.', False)
('The wolf is big.', 'is rough.', False)
('The squirrel is funny.', 'Fiona is funny.', False)
('The squirrel is funny.', 'Fiona is funny.', False)
('The crocodile needs the squirrel.', 'Erin is    poor.', False)
('The crocodile needs the squirrel.', 'Erin is    poor.', False)
('The squirrel is quiet.', 'S is quiet.', False)
('The squirrel is quiet.', 'S is quiet.', False)
('The dinosaur is lazy.', 'Erin is lazy.', False)
('The dinosaur is lazy.', 'Erin is lazy.', False)
('The tiger is strong.', 'Erin is obese.', False)
('The tiger is strong.', 'Erin is obese.', False)
('The hamster is adorable.', 'is quiet.', False)
('The hamster is adorable.', 'is quiet.', False)
('The dinosaur attacks the hamster.', 'Erin is strong.', False)
('The dinosaur attacks the hamster.', 'Erin is heavy.', False)
('The cat is round.', 'Charlie is round.', False)
('The cat is round.', 'Charlie is round.', False)
('The cheetah is rough.', 'Erin is bad.', False)
('The cheetah is rough.', 'Erin is rough.', False)
('The falcon is big.', 'Fiona is big.', False)
('The falcon is big.', 'Fiona is big.', False)
('The hamster is cute.', 'is nice.', False)
('The hamster is cute.', 'is nice.', False)
('The cheetah sees the hamster.', 'Erin is big.', False)
('The cheetah sees the hamster.', 'Erin is big.', False)
('The cat is quiet.', 'Erin is quiet.', False)
('The cat is quiet.', 'Charlie is quiet.', False)
('The leopard is boring.', 'Erin is quiet.', False)
('The leopard is boring.', 'Erin is quiet.', False)
('The bear is heavy.', 'Erin is heavy.', False)
('The bear is heavy.', 'Erin is heavy.', False)
('The hamster is lovely.', 'is quiet.', False)
('The hamster is lovely.', 'is quiet.', False)
('The leopard attacks the hamster.', 'Charlie is heavy.', False)
('The leopard attacks the hamster.', 'Charlie is heavy.', False)
('The rabbit is smart.', 'is smart.', False)
('The rabbit is smart.', 'is smart.', False)
('The wolf is angry.', 'is sad.', False)
('The wolf is angry.', 'is sad.', False)
('The lion is heavy.', 'is heavy.', False)
('The lion is heavy.', 'Erin is heavy.', False)
('The dog is lovely.', 'Fiona is sad.', False)
('The dog is lovely.', 'Fiona is sad.', False)
('The wolf needs the dog.', 'is heavy.', False)
('The wolf needs the dog.', 'is heavy.', False)
('The hamster is nice.', 'Erin is small.', False)
('The hamster is nice.', 'Erin is clever.', False)
('The leopard is tired.', 'Charlie is tired.', False)
('The leopard is tired.', 'Charlie is tired.', False)
('The crocodile is heavy.', 'Erin is heavy.', False)
('The crocodile is heavy.', 'Erin is heavy.', False)
('The rabbit is lovely.', 'Alan is fur.', False)
('The rabbit is lovely.', 'Erin is fur.', False)
('The leopard needs the rabbit.', 'Charlie is tired.', False)
('The leopard needs the rabbit.', 'Charlie is tired.', False)
('The squirrel is kind.', 'Erin is kind.', False)
('The squirrel is kind.', 'Erin is kind.', False)
('The tiger is slow.', 'Erin is slow.', False)
('The tiger is slow.', 'Erin is slow.', False)
('The snake is strong.', 'Erin is strong.', False)
('The snake is strong.', 'Erin is strong.', False)
('The cat is cute.', 'Erin is kind.', False)
('The cat is cute.', 'Erin is kind.', False)
('The tiger needs the cat.', 'Erin is strong.', False)
('The tiger needs the cat.', 'Erin is strong.', False)
('The rabbit is round.', 'is round.', False)
('The rabbit is round.', 'is round.', False)
('The falcon is sleepy.', 'Fiona is funny.', False)
('The falcon is sleepy.', 'Fiona is funny.', False)
('The leopard is big.', 'Charlie is big.', False)
('The leopard is big.', 'Charlie is big.', False)
('The dog is funny.', 'Charlie is funny.', False)
('The dog is funny.', 'Fiona is funny.', False)
('The falcon visits the dog.', 'Fiona is bad.', False)
('The falcon visits the dog.', 'Fiona is bad.', False)
('The rabbit is quiet.', 'Fiona is quiet.', False)
('The rabbit is quiet.', 'Fiona is quiet.', False)
('The leopard is angry.', 'Erin is chase.', False)
('The leopard is angry.', 'Charlie is chase.', False)
('The falcon is obese.', 'Fiona is huge.', False)
('The falcon is obese.', 'Fiona is high.', False)
('The cat is funny.', 'Erin is funny.', False)
('The cat is funny.', 'Erin is funny.', False)
('The leopard likes the cat.', 'Charlie is strong.', False)
('The leopard likes the cat.', 'Charlie is strong.', False)
('The dog is nice.', 'Fiona is small.', False)
('The dog is nice.', 'Fiona is small.', False)
('The dinosaur is boring.', 'Erin is sad.', False)
('The dinosaur is boring.', 'Erin is high.', False)
('The falcon is strong.', 'Fiona is obese.', False)
('The falcon is strong.', 'Fiona is obese.', False)
('The rabbit is small.', 'Alan is small.', False)
('The rabbit is small.', 'Alan is small.', False)
('The dinosaur visits the rabbit.', 'Erin is visits.', False)
('The dinosaur visits the rabbit.', 'Erin is visits.', False)
('The hamster is kind.', 'is kind.', False)
('The hamster is kind.', 'is kind.', False)
('The falcon is lazy.', 'Fiona is chase.', False)
('The falcon is lazy.', 'Fiona is kind.', False)
('The leopard is awful.', 'Charlie is huge.', False)
('The leopard is awful.', 'Charlie is huge.', False)
('The dog is adorable.', 'Fiona is heavy.', False)
('The dog is adorable.', 'Fiona is heavy.', False)
('The falcon sees the dog.', 'Fiona is heavy.', False)
('The falcon sees the dog.', 'Fiona is heavy.', False)
('The rabbit is quiet.', 'Erin is quiet.', False)
('The rabbit is quiet.', 'Erin is quiet.', False)
('The lion is slow.', 'Erin is slow.', False)
('The lion is slow.', 'Erin is slow.', False)
('The cheetah is fierce.', 'Erin is huge.', False)
('The cheetah is fierce.', 'Erin is huge.', False)
('The dog is adorable.', 'Fiona is clever.', False)
('The dog is adorable.', 'Fiona is clever.', False)
('The lion needs the dog.', 'Erin is bad.', False)
('The lion needs the dog.', 'Erin is sad.', False)
('The squirrel is kind.', 'Erin is lazy.', False)
('The squirrel is kind.', 'Erin is lazy.', False)
('The crocodile is boring.', 'Erin is lazy.', False)
('The crocodile is boring.', 'Erin is kind.', False)
('The bear is big.', 'Erin is bad.', False)
('The bear is big.', 'Erin is bad.', False)
('The hamster is small.', 'is kind.', False)
('The hamster is small.', 'is kind.', False)
('The crocodile attacks the hamster.', 'Erin is attacks.', False)
('The crocodile attacks the hamster.', 'Erin is attacks.', False)
('The cat is smart.', 'Erin is smart.', False)
('The cat is smart.', 'Erin is smart.', False)
('The tiger is sleepy.', 'Erin is nice.', False)
('The tiger is sleepy.', 'Erin is nice.', False)
('The bald eagle is heavy.', 'Erin is heavy.', False)
('The bald eagle is heavy.', 'Erin is heavy.', False)
('The rabbit is beautiful.', 'Erin is smart.', False)
('The rabbit is beautiful.', 'is smart.', False)
('The tiger chases the rabbit.', 'Erin is chase.', False)
('The tiger chases the rabbit.', 'Erin is chase.', False)
('The squirrel is quiet.', 'Fiona is quiet.', False)
('The squirrel is quiet.', 'Erin is quiet.', False)
('The crocodile is tired.', 'Erin is sad.', False)
('The crocodile is tired.', 'Erin is tired.', False)
('The falcon is heavy.', 'Fiona is heavy.', False)
('The falcon is heavy.', 'Fiona is heavy.', False)
('The dog is cute.', 'Fiona is cute.', False)
('The dog is cute.', 'Fiona is nice.', False)
('The crocodile chases the dog.', 'Erin is chase.', False)
('The crocodile chases the dog.', 'Erin is chase.', False)
('The dog is kind.', 'Erin is kind.', False)
('The dog is kind.', 'Erin is kind.', False)
('The dinosaur is angry.', 'Erin is angry.', False)
('The dinosaur is angry.', 'Erin is angry.', False)
('The tiger is obese.', 'Erin is obese.', False)
('The tiger is obese.', 'Erin is obese.', False)
('The mouse is furry.', 'Erin is fur.', False)
('The mouse is furry.', 'Erin is fur.', False)
('The dinosaur chases the mouse.', 'Erin is heavy.', False)
('The dinosaur chases the mouse.', 'Erin is heavy.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The mouse is kind.', 'Erin is slow.', False)
('The falcon is dull.', 'Fiona is slow.', False)
('The falcon is dull.', 'Fiona is slow.', False)
('The leopard is fierce.', 'Charlie is huge.', False)
('The leopard is fierce.', 'Charlie is huge.', False)
('The squirrel is adorable.', 'is kind.', False)
('The squirrel is adorable.', 'is kind.', False)
('The falcon sees the squirrel.', 'Fiona is strong.', False)
('The falcon sees the squirrel.', 'Fiona is strong.', False)
('The mouse is quiet.', 'Erin is quiet.', False)
('The mouse is quiet.', 'Erin is quiet.', False)
('The bear is reckless.', 'Erin is reckless.', False)
('The bear is reckless.', 'Erin is reckless.', False)
('The snake is heavy.', 'is heavy.', False)
('The snake is heavy.', 'Erin is heavy.', False)
('The dog is cute.', 'Fiona is nice.', False)
('The dog is cute.', 'Fiona is quiet.', False)
('The bear likes the dog.', 'Erin is lazy.', False)
('The bear likes the dog.', 'Erin is lazy.', False)
('The squirrel is round.', 'is round.', False)
('The squirrel is round.', 'is round.', False)
('The leopard is angry.', 'Charlie is lazy.', False)
('The leopard is angry.', 'Charlie is lazy.', False)
('The bear is awful.', 'Erin is heavy.', False)
('The bear is awful.', 'Erin is heavy.', False)
('The hamster is cute.', 'is cute.', False)
('The hamster is cute.', 'is nice.', False)
('The leopard attacks the hamster.', 'Charlie is attacks.', False)
('The leopard attacks the hamster.', 'Charlie is attacks.', False)
('The cat is quiet.', 'Erin is quiet.', False)
('The cat is quiet.', 'Erin is quiet.', False)
('The bald eagle is boring.', 'Erin is lazy.', False)
('The bald eagle is boring.', 'Erin is lazy.', False)
('The tiger is big.', 'Erin is big.', False)
('The tiger is big.', 'Erin is big.', False)
('The squirrel is furry.', 'Fiona is fur.', False)
('The squirrel is furry.', 'Erin is fur.', False)
('The bald eagle visits the squirrel.', 'Erin is big.', False)
('The bald eagle visits the squirrel.', 'Erin is big.', False)
('The cat is quiet.', 'Erin is quiet.', False)
('The cat is quiet.', 'Erin is quiet.', False)
('The crocodile is slow.', 'Erin is sad.', False)
('The crocodile is slow.', 'Erin is sad.', False)
('The bear is fierce.', 'Erin is huge.', False)
('The bear is fierce.', 'Erin is huge.', False)
('The mouse is adorable.', 'Erin is clever.', False)
('The mouse is adorable.', 'Erin is clever.', False)
('The crocodile likes the mouse.', 'Erin is fierce.', False)
('The crocodile likes the mouse.', 'Erin is fierce.', False)
('The squirrel is round.', 'S is round.', False)
('The squirrel is round.', 'S is round.', False)
('The leopard is tired.', 'Charlie is tired.', False)
('The leopard is tired.', 'Charlie is tired.', False)
('The bald eagle is obese.', 'Erin is obese.', False)
('The bald eagle is obese.', 'Erin is obese.', False)
('The cat is furry.', 'Erin is fur.', False)
('The cat is furry.', 'Erin is fur.', False)
('The leopard needs the cat.', 'Charlie is obese.', False)
('The leopard needs the cat.', 'Charlie is obese.', False)
('The hamster is round.', 'is round.', False)
('The hamster is round.', 'is round.', False)
('The cheetah is tired.', 'Erin is strong.', False)
('The cheetah is tired.', 'Erin is strong.', False)
('The falcon is awful.', 'Fiona is huge.', False)
('The falcon is awful.', 'Fiona is huge.', False)
('The rabbit is funny.', 'Alan is funny.', False)
('The rabbit is funny.', 'Alan is funny.', False)
('The cheetah attacks the rabbit.', 'Erin is bad.', False)
('The cheetah attacks the rabbit.', 'Erin is bad.', False)
('The cat is quiet.', 'Erin is quiet.', False)
('The cat is quiet.', 'Charlie is quiet.', False)
('The snake is sleepy.', 'is sleep.', False)
('The snake is sleepy.', 'is sleep.', False)
('The dinosaur is fierce.', 'Erin is fierce.', False)
('The dinosaur is fierce.', 'Erin is fierce.', False)
('The mouse is funny.', 'Erin is funny.', False)
('The mouse is funny.', 'Erin is funny.', False)
('The snake needs the mouse.', 'Erin is     is     is   ', False)
('The snake needs the mouse.', 'Erin is     is     is   ', False)
('The squirrel is round.', 'is round.', False)
('The squirrel is round.', 'is round.', False)
('The snake is reckless.', 'is poor.', False)
('The snake is reckless.', 'is rough.', False)
('The wolf is big.', 'Fiona is big.', False)
('The wolf is big.', 'Fiona is big.', False)
('The cat is cute.', 'Cat is nice.', False)
('The cat is cute.', 'Cat is nice.', False)
('The snake likes the cat.', 'is big.', False)
('The snake likes the cat.', 'is big.', False)
('The rabbit is quiet.', 'is quiet.', False)
('The rabbit is quiet.', 'Alan is quiet.', False)
('The snake is lazy.', 'is lazy.', False)
('The snake is lazy.', 'is lazy.', False)
('The bald eagle is big.', 'Erin is big.', False)
('The bald eagle is big.', 'Erin is big.', False)
('The dog is lovely.', 'Fiona is quiet.', False)
('The dog is lovely.', 'Fiona is quiet.', False)
('The snake chases the dog.', 'is sad.', False)
('The snake chases the dog.', 'is sad.', False)
('The squirrel is smart.', 'Erin is smart.', False)
('The squirrel is smart.', 'Erin is smart.', False)
('The lion is sleepy.', 'Erin is lazy.', False)
('The lion is sleepy.', 'Erin is lazy.', False)
('The cheetah is obese.', 'Erin is obese.', False)
('The cheetah is obese.', 'Erin is obese.', False)
('The rabbit is cute.', 'Erin is nice.', False)
('The rabbit is cute.', 'Erin is nice.', False)
('The lion likes the rabbit.', 'Erin is strong.', False)
('The lion likes the rabbit.', 'Erin is strong.', False)
('The hamster is nice.', 'is attacks.', False)
('The hamster is nice.', 'Erin is attacks.', False)
('The bear is angry.', 'Erin is angry.', False)
('The bear is angry.', 'Erin is angry.', False)
('The lion is awful.', 'Erin is bad.', False)
('The lion is awful.', 'Erin is bad.', False)
('The squirrel is beautiful.', 'Fiona is beautiful.', False)
('The squirrel is beautiful.', 'Fiona is nice.', False)
('The bear likes the squirrel.', 'Charlie is strong.', False)
('The bear likes the squirrel.', 'Charlie is strong.', False)
('The dog is smart.', 'Fiona is smart.', False)
('The dog is smart.', 'Fiona is smart.', False)
('The dinosaur is boring.', 'Erin is dull.', False)
('The dinosaur is boring.', 'Erin is dull.', False)
('The crocodile is heavy.', 'Erin is heavy.', False)
('The crocodile is heavy.', 'Erin is heavy.', False)
('The cat is small.', 'Erin is small.', False)
('The cat is small.', 'Erin is small.', False)
('The dinosaur sees the cat.', 'Erin is heavy.', False)
('The dinosaur sees the cat.', 'Erin is heavy.', False)
('The squirrel is quiet.', 'Erin is quiet.', False)
('The squirrel is quiet.', 'Erin is quiet.', False)
('The tiger is reckless.', 'Erin is lazy.', False)
('The tiger is reckless.', 'Erin is lazy.', False)
('The bald eagle is big.', 'Charlie is big.', False)
('The bald eagle is big.', 'Charlie is big.', False)
('The hamster is funny.', 'is funny.', False)
('The hamster is funny.', 'is funny.', False)
('The tiger sees the hamster.', 'Erin is poor.', False)
('The tiger sees the hamster.', 'Erin is poor.', False)
('The hamster is nice.', 'is smart.', False)
('The hamster is nice.', 'is smart.', False)
('The falcon is dull.', 'Fiona is poor.', False)
('The falcon is dull.', 'Fiona is lazy.', False)
('The bear is fierce.', 'Erin is huge.', False)
('The bear is fierce.', 'Erin is huge.', False)
('The dog is cute.', 'Fiona is cute.', False)
('The dog is cute.', 'Fiona is cute.', False)
('The falcon attacks the dog.', 'Fiona is attacks.', False)
('The falcon attacks the dog.', 'Fiona is attacks attacks.', False)
('The squirrel is kind.', 'S is kind.', False)
('The squirrel is kind.', 'S is kind.', False)
('The dinosaur is slow.', 'Erin is slow.', False)
('The dinosaur is slow.', 'Erin is slow.', False)
('The falcon is fierce.', 'Fiona is fierce.', False)
('The falcon is fierce.', 'Fiona is fierce.', False)
('The rabbit is adorable.', 'Fiona is cute.', False)
('The rabbit is adorable.', 'Fiona is cute.', False)
('The dinosaur visits the rabbit.', 'Erin is high.', False)
('The dinosaur visits the rabbit.', 'Erin is high.', False)
('The hamster is kind.', 'is kind.', False)
('The hamster is kind.', 'is kind.', False)
('The crocodile is dull.', 'Erin is poor.', False)
('The crocodile is dull.', 'Erin is poor.', False)
('The lion is strong.', 'Erin is strong.', False)
('The lion is strong.', 'Erin is strong.', False)
('The cat is adorable.', 'Erin is cute.', False)
('The cat is adorable.', 'Erin is cute.', False)
('The crocodile visits the cat.', 'Erin is slow.', False)
('The crocodile visits the cat.', 'Erin is slow.', False)
('The hamster is round.', 'is nice.', False)
('The hamster is round.', 'is nice.', False)
('The wolf is slow.', 'is slow.', False)
('The wolf is slow.', 'is slow.', False)
('The dinosaur is strong.', 'Erin is obese.', False)
('The dinosaur is strong.', 'Erin is obese.', False)
('The squirrel is funny.', 'is funny.', False)
('The squirrel is funny.', 'is funny.', False)
('The wolf sees the squirrel.', 'is lazy.', False)
('The wolf sees the squirrel.', 'is lazy.', False)
('The hamster is kind.', 'Erin is kind.', False)
('The hamster is kind.', 'Erin is sad.', False)
('The leopard is reckless.', 'Erin is bad.', False)
('The leopard is reckless.', 'Erin is reckless.', False)
('The falcon is big.', 'Fiona is big.', False)
('The falcon is big.', 'Fiona is big.', False)
('The mouse is funny.', 'Erin is nice.', False)
('The mouse is funny.', 'Erin is kind.', False)
('The leopard likes the mouse.', 'Charlie is heavy.', False)
('The leopard likes the mouse.', 'Charlie is heavy.', False)
('The rabbit is round.', 'is round.', False)
('The rabbit is round.', 'is round.', False)
('The lion is sleepy.', 'Erin is sleep.', False)
('The lion is sleepy.', 'Erin is sleep.', False)
('The wolf is heavy.', 'Fiona is heavy.', False)
('The wolf is heavy.', 'Fiona is heavy.', False)
('The mouse is cute.', 'Erin is nice.', False)
('The mouse is cute.', 'Erin is nice.', False)
('The lion sees the mouse.', 'Erin is heavy.', False)
('The lion sees the mouse.', 'Erin is heavy.', False)
('The rabbit is round.', 'is round.', False)
('The rabbit is round.', 'Alan is round.', False)
('The bear is boring.', 'Erin is dull.', False)
('The bear is boring.', 'Erin is dull.', False)
('The snake is awful.', 'Erin is sad.', False)
('The snake is awful.', 'Erin is sad.', False)
('The mouse is cute.', 'Erin is round.', False)
('The mouse is cute.', 'Erin is round.', False)
('The bear sees the mouse.', 'Erin is slow.', False)
('The bear sees the mouse.', 'Erin is slow.', False)
('The cat is round.', 'Erin is round.', False)
('The cat is round.', 'Erin is round.', False)
('The leopard is slow.', 'Charlie is slow.', False)
('The leopard is slow.', 'Charlie is slow.', False)
('The falcon is heavy.', 'Fiona is heavy.', False)
('The falcon is heavy.', 'Fiona is heavy.', False)
('The rabbit is funny.', 'Alan is funny.', False)
('The rabbit is funny.', 'Alan is funny.', False)
('The leopard needs the rabbit.', 'Erin is slow.', False)
('The leopard needs the rabbit.', 'Erin is slow.', False)
('The hamster is round.', 'is round.', False)
('The hamster is round.', 'is round.', False)
('The tiger is slow.', 'Erin is slow.', False)
('The tiger is slow.', 'Erin is slow.', False)
('The crocodile is strong.', 'Erin is sad.', False)
('The crocodile is strong.', 'Erin is strong.', False)
('The mouse is cute.', 'Erin is cute.', False)
('The mouse is cute.', 'Erin is cute.', False)
('The tiger likes the mouse.', 'Erin is strong.', False)
('The tiger likes the mouse.', 'Erin is heavy.', False)
('The dog is quiet.', 'Fiona is quiet.', False)
('The dog is quiet.', 'Fiona is quiet.', False)
('The dinosaur is reckless.', 'Erin is reckless.', False)
('The dinosaur is reckless.', 'Erin is reckless.', False)
('The wolf is big.', 'is big.', False)
('The wolf is big.', 'is big.', False)
('The rabbit is small.', 'Erin is small.', False)
('The rabbit is small.', 'Erin is small.', False)
('The dinosaur visits the rabbit.', 'Erin is high.', False)
('The dinosaur visits the rabbit.', 'Erin is high.', False)
('The cat is round.', 'Erin is round.', False)
('The cat is round.', 'Erin is round.', False)
('The tiger is slow.', 'Erin is slow.', False)
('The tiger is slow.', 'Erin is slow.', False)
('The leopard is obese.', 'Charlie is obese.', False)
('The leopard is obese.', 'Charlie is obese.', False)
('The rabbit is furry.', 'Erin is fur.', False)
('The rabbit is furry.', 'is fur.', False)
('The tiger chases the rabbit.', 'Erin is chase.', False)
('The tiger chases the rabbit.', 'Erin is chase.', False)
('The dog is quiet.', 'Erin is quiet.', False)
('The dog is quiet.', 'Erin is quiet.', False)
('The bald eagle is dull.', 'Erin is quiet.', False)
('The bald eagle is dull.', 'Erin is quiet.', False)
('The cheetah is strong.', 'Erin is strong.', False)
('The cheetah is strong.', 'Erin is strong.', False)
('The squirrel is adorable.', 'Erin is quiet.', False)
('The squirrel is adorable.', 'Erin is quiet.', False)
('The bald eagle needs the squirrel.', 'Charlie is needs needs needs needs needs needs needs needs needs needs needs needs needs needs needs needs n', False)
('The bald eagle needs the squirrel.', 'Charlie is needs needs needs needs needs needs needs strong.', False)
('The squirrel is smart.', 'Erin is smart.', False)
('The squirrel is smart.', 'Erin is smart.', False)
('The bald eagle is tired.', 'Erin is tired.', False)
('The bald eagle is tired.', 'Erin is tired.', False)
('The lion is big.', 'Erin is big.', False)
('The lion is big.', 'Erin is big.', False)
('The hamster is beautiful.', 'is smart.', False)
('The hamster is beautiful.', 'is smart.', False)
('The bald eagle visits the hamster.', 'Erin is bad.', False)
('The bald eagle visits the hamster.', 'Erin is nice.', False)
('The mouse is smart.', 'Erin is small.', False)
('The mouse is smart.', 'Erin is small.', False)
('The crocodile is sleepy.', 'Erin is sleep.', False)
('The crocodile is sleepy.', 'Erin is sleep.', False)
('The lion is obese.', 'Erin is obese.', False)
('The lion is obese.', 'Erin is obese.', False)
('The rabbit is small.', 'Alan is small.', False)
('The rabbit is small.', 'Alan is small.', False)
('The crocodile visits the rabbit.', 'Erin is visits.', False)
('The crocodile visits the rabbit.', 'Erin is visits.', False)
('The dog is smart.', 'Fiona is smart.', False)
('The dog is smart.', 'Erin is smart.', False)
('The dinosaur is lazy.', 'Erin is lazy.', False)
('The dinosaur is lazy.', 'Erin is lazy.', False)
('The bear is fierce.', 'Erin is fierce.', False)
('The bear is fierce.', 'Erin is fierce.', False)
('The rabbit is adorable.', 'Erin is clever.', False)
('The rabbit is adorable.', 'Erin is clever.', False)
('The dinosaur chases the rabbit.', 'Erin is chase.', False)
('The dinosaur chases the rabbit.', 'Erin is chase.', False)
('The hamster is nice.', 'is small.', False)
('The hamster is nice.', 'is small.', False)
('The cheetah is boring.', 'Erin is dull.', False)
