('The dog is quiet.', 'The dog is quiet.', True)
('The cheetah sees the dog.', 'The cheetah sees the dog.', True)
('The squirrel is smart.', 'The squirrel is smart.', True)
('The squirrel is smart.', 'The squirrel is smart.', True)
('The lion is tired.', 'The lion is tired.', True)
('The lion is tired.', 'The lion is tired.', True)
('The snake is obese.', 'The snake is obese.', True)
('The snake is obese.', 'The snake is obese.', True)
('The cat is cute.', 'The cat is cute.', True)
('The cat is cute.', 'The cat is cute.', True)
('The lion attacks the cat.', 'The lion attacks the cat.', True)
('The lion attacks the cat.', 'The lion attacks the cat.', True)
('The squirrel is kind.', 'The squirrel is nice.', False)
('The squirrel is kind.', 'The squirrel is nice.', False)
('The bald eagle is tired.', 'The bald eagle is tired.', True)
('The bald eagle is tired.', 'The bald eagle is tired.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The dog is furry.', 'The dog is furry.', True)
('The dog is furry.', 'The dog is furry.', True)
('The bald eagle needs the dog.', 'The bald eagle needs the dog.', True)
('The bald eagle needs the dog.', 'The bald eagle needs the dog.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The snake is strong.', 'The snake is strong.', True)
('The snake is strong.', 'The snake is strong.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The wolf attacks the mouse.', 'The wolf attacks the mouse.', True)
('The wolf attacks the mouse.', 'The wolf attacks the mouse.', True)
('The dog is round.', 'The dog is round.', True)
('The dog is round.', 'The dog is round.', True)
('The falcon is lazy.', 'The falcon is lazy.', True)
('The falcon is lazy.', 'The falcon is lazy.', True)
('The lion is awful.', 'The lion is awful.', True)
('The lion is awful.', 'The lion is awful.', True)
('The cat is funny.', 'The cat is attacks the cat.', False)
('The cat is funny.', 'The cat is attacks the cat.', False)
('The falcon attacks the cat.', 'The falcon attacks the cat.', True)
('The falcon attacks the cat.', 'The falcon attacks the cat.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The lion is dull.', 'The lion is dull.', True)
('The lion is dull.', 'The lion is dull.', True)
('The falcon is heavy.', 'The falcon is heavy.', True)
('The falcon is heavy.', 'The falcon is heavy.', True)
('The mouse is small.', 'The mouse is small.', True)
('The mouse is small.', 'The mouse is small.', True)
('The lion attacks the mouse.', 'The lion attacks the mouse.', True)
('The lion attacks the mouse.', 'The lion attacks the mouse.', True)
('The dog is quiet.', 'The dog is quiet.', True)
('The dog is quiet.', 'The dog is quiet.', True)
('The tiger is slow.', 'The tiger is slow.', True)
('The tiger is slow.', 'The tiger is slow.', True)
('The bear is strong.', 'The bear is strong.', True)
('The bear is strong.', 'The bear is strong.', True)
('The cat is lovely.', 'The cat is lovely.', True)
('The cat is lovely.', 'The cat is lovely.', True)
('The tiger likes the cat.', 'The tiger likes the cat.', True)
('The tiger likes the cat.', 'The tiger likes the cat.', True)
('The hamster is kind.', 'The hamster is nice.', False)
('The hamster is kind.', 'The hamster is nice.', False)
('The tiger is reckless.', 'The tiger is reckless.', True)
('The tiger is reckless.', 'The tiger is reckless.', True)
('The crocodile is fierce.', 'The crocodile is fierce.', True)
('The crocodile is fierce.', 'The crocodile is fierce.', True)
('The dog is funny.', 'The dog is funny.', True)
('The dog is funny.', 'The dog is funny.', True)
('The tiger sees the dog.', 'The tiger sees the dog.', True)
('The tiger sees the dog.', 'The tiger sees the dog.', True)
('The hamster is round.', 'The hamster is round.', True)
('The hamster is round.', 'The hamster is round.', True)
('The cheetah is tired.', 'The cheetah is tired.', True)
('The cheetah is tired.', 'The cheetah is tired.', True)
('The dinosaur is fierce.', 'The dinosaur is fierce.', True)
('The dinosaur is fierce.', 'The dinosaur is fierce.', True)
('The dog is adorable.', 'The dog is lovely.', False)
('The dog is adorable.', 'The dog is lovely.', False)
('The cheetah visits the dog.', 'The cheetah visits the dog.', True)
('The cheetah visits the dog.', 'The cheetah visits the dog.', True)
('The cat is round.', 'The cat is round.', True)
('The cat is round.', 'The cat is round.', True)
('The bald eagle is angry.', 'The bald eagle is angry.', True)
('The bald eagle is angry.', 'The bald eagle is angry.', True)
('The lion is heavy.', 'The lion is heavy.', True)
('The lion is heavy.', 'The lion is heavy.', True)
('The rabbit is small.', 'The rabbit is small.', True)
('The rabbit is small.', 'The rabbit is small.', True)
('The bald eagle sees the rabbit.', 'The bald eagle sees the rabbit.', True)
('The bald eagle sees the rabbit.', 'The bald eagle sees the rabbit.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The bear is lazy.', 'The bear is lazy.', True)
('The bear is lazy.', 'The bear is lazy.', True)
('The lion is strong.', 'The lion is strong.', True)
('The lion is strong.', 'The lion is strong.', True)
('The hamster is lovely.', 'The hamster is lovely.', True)
('The hamster is lovely.', 'The hamster is lovely.', True)
('The bear likes the hamster.', 'The bear likes the hamster.', True)
('The bear likes the hamster.', 'The bear likes the hamster.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The bald eagle is lazy.', 'The bald eagle is lazy.', True)
('The bald eagle is lazy.', 'The bald eagle is lazy.', True)
('The bear is heavy.', 'The bear is heavy.', True)
('The bear is heavy.', 'The bear is heavy.', True)
('The squirrel is small.', 'The squirrel is small.', True)
('The squirrel is small.', 'The squirrel is small.', True)
('The bald eagle visits the squirrel.', 'The bald eagle visits the squirrel.', True)
('The bald eagle visits the squirrel.', 'The bald eagle visits the squirrel.', True)
('The cat is smart.', 'The cat is smart.', True)
('The cat is smart.', 'The cat is smart.', True)
('The crocodile is sleepy.', 'The crocodile is sleepy.', True)
('The crocodile is sleepy.', 'The crocodile is sleepy.', True)
('The bald eagle is big.', 'The bald eagle is big.', True)
('The bald eagle is big.', 'The bald eagle is big.', True)
('The hamster is funny.', 'The hamster is funny.', True)
('The hamster is funny.', 'The hamster is funny.', True)
('The crocodile needs the hamster.', 'The crocodile needs the hamster.', True)
('The crocodile needs the hamster.', 'The crocodile needs the hamster.', True)
('The squirrel is kind.', 'The squirrel is smart.', False)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The leopard is sleepy.', 'The leopard is sleepy.', True)
('The leopard is sleepy.', 'The leopard is sleepy.', True)
('The lion is strong.', 'The lion is strong.', True)
('The lion is strong.', 'The lion is strong.', True)
('The dog is beautiful.', 'The dog is beautiful.', True)
('The dog is beautiful.', 'The dog is beautiful.', True)
('The leopard likes the dog.', 'The leopard likes the dog.', True)
('The leopard likes the dog.', 'The leopard likes the dog.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The leopard is boring.', 'The leopard is boring.', True)
('The leopard is boring.', 'The leopard is boring.', True)
('The cheetah is awful.', 'The cheetah is awful.', True)
('The cheetah is awful.', 'The cheetah is awful.', True)
('The dog is cute.', 'The dog is cute.', True)
('The dog is cute.', 'The dog is cute.', True)
('The leopard needs the dog.', 'The leopard needs the dog.', True)
('The leopard needs the dog.', 'The leopard needs the dog.', True)
('The dog is round.', 'The dog is round.', True)
('The dog is round.', 'The dog is round.', True)
('The crocodile is boring.', 'The crocodile is boring.', True)
('The crocodile is boring.', 'The crocodile is boring.', True)
('The bear is heavy.', 'The bear is heavy.', True)
('The bear is heavy.', 'The bear is heavy.', True)
('The cat is adorable.', 'The cat is adorable.', True)
('The cat is adorable.', 'The cat is adorable.', True)
('The crocodile attacks the cat.', 'The crocodile attacks the cat.', True)
('The crocodile attacks the cat.', 'The crocodile attacks the cat.', True)
('The cat is smart.', 'The cat is smart.', True)
('The cat is smart.', 'The cat is smart.', True)
('The bear is slow.', 'The bear is slow.', True)
('The bear is slow.', 'The bear is slow.', True)
('The falcon is obese.', 'The falcon is obese.', True)
('The falcon is obese.', 'The falcon is obese.', True)
('The hamster is funny.', 'The hamster is funny.', True)
('The hamster is funny.', 'The hamster is funny.', True)
('The bear sees the hamster.', 'The bear sees the hamster.', True)
('The bear sees the hamster.', 'The bear sees the hamster.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The dinosaur is dull.', 'The dinosaur is dull.', True)
('The dinosaur is dull.', 'The dinosaur is dull.', True)
('The tiger is strong.', 'The tiger is strong.', True)
('The tiger is strong.', 'The tiger is strong.', True)
('The hamster is funny.', 'The hamster is funny.', True)
('The hamster is funny.', 'The hamster is funny.', True)
('The dinosaur likes the hamster.', 'The dinosaur likes the hamster.', True)
('The dinosaur likes the hamster.', 'The dinosaur likes the hamster.', True)
('The rabbit is kind.', 'The rabbit is nice.', False)
('The rabbit is kind.', 'The rabbit is nice.', False)
('The dinosaur is lazy.', 'The dinosaur is lazy.', True)
('The dinosaur is lazy.', 'The dinosaur is lazy.', True)
('The lion is strong.', 'The lion is strong.', True)
('The lion is strong.', 'The lion is strong.', True)
('The cat is funny.', 'The cat is funny.', True)
('The cat is funny.', 'The cat is funny.', True)
('The dinosaur chases the cat.', 'The dinosaur chases the cat.', True)
('The dinosaur chases the cat.', 'The dinosaur chases the cat.', True)
('The cat is smart.', 'The cat is smart.', True)
('The cat is smart.', 'The cat is smart.', True)
('The bald eagle is lazy.', 'The bald eagle is lazy.', True)
('The bald eagle is lazy.', 'The bald eagle is lazy.', True)
('The leopard is strong.', 'The leopard is strong.', True)
('The leopard is strong.', 'The leopard is strong.', True)
('The mouse is small.', 'The mouse is small.', True)
('The mouse is small.', 'The mouse is small.', True)
('The bald eagle visits the mouse.', 'The bald eagle visits the mouse.', True)
('The bald eagle visits the mouse.', 'The bald eagle visits the mouse.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The bald eagle is boring.', 'The bald eagle is boring.', True)
('The bald eagle is boring.', 'The bald eagle is boring.', True)
('The crocodile is strong.', 'The crocodile is strong.', True)
('The crocodile is strong.', 'The crocodile is strong.', True)
('The rabbit is lovely.', 'The rabbit is lovely.', True)
('The rabbit is lovely.', 'The rabbit is lovely.', True)
('The bald eagle sees the rabbit.', 'The bald eagle sees the rabbit.', True)
('The bald eagle sees the rabbit.', 'The bald eagle sees the rabbit.', True)
('The cat is nice.', 'The cat is nice.', True)
('The cat is nice.', 'The cat is nice.', True)
('The falcon is rough.', 'The falcon is rough.', True)
('The falcon is rough.', 'The falcon is rough.', True)
('The bald eagle is awful.', 'The bald eagle is awful.', True)
('The bald eagle is awful.', 'The bald eagle is awful.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The falcon sees the dog.', 'The falcon sees the dog.', True)
('The falcon sees the dog.', 'The falcon sees the dog.', True)
('The hamster is round.', 'The hamster is round.', True)
('The hamster is round.', 'The hamster is round.', True)
('The crocodile is lazy.', 'The crocodile is lazy.', True)
('The crocodile is lazy.', 'The crocodile is lazy.', True)
('The leopard is big.', 'The leopard is big.', True)
('The leopard is big.', 'The leopard is big.', True)
('The rabbit is funny.', 'The rabbit is funny.', True)
('The rabbit is funny.', 'The rabbit is funny.', True)
('The crocodile chases the rabbit.', 'The crocodile chases the rabbit.', True)
('The crocodile chases the rabbit.', 'The crocodile chases the rabbit.', True)
('The cat is nice.', 'The cat is nice.', True)
('The cat is nice.', 'The cat is nice.', True)
('The falcon is dull.', 'The falcon is dull.', True)
('The falcon is dull.', 'The falcon is dull.', True)
('The dinosaur is big.', 'The dinosaur is big.', True)
('The dinosaur is big.', 'The dinosaur is big.', True)
('The dog is beautiful.', 'The dog is beautiful.', True)
('The dog is beautiful.', 'The dog is beautiful.', True)
('The falcon chases the dog.', 'The falcon chases the dog.', True)
('The falcon chases the dog.', 'The falcon chases the dog.', True)
('The dog is quiet.', 'The dog is quiet.', True)
('The dog is quiet.', 'The dog is quiet.', True)
('The lion is tired.', 'The lion is tired.', True)
('The lion is tired.', 'The lion is tired.', True)
('The bear is heavy.', 'The bear is heavy.', True)
('The bear is heavy.', 'The bear is heavy.', True)
('The squirrel is lovely.', 'The squirrel is lovely.', True)
('The squirrel is lovely.', 'The squirrel is lovely.', True)
('The lion likes the squirrel.', 'The lion likes the squirrel.', True)
('The lion likes the squirrel.', 'The lion likes the squirrel.', True)
('The squirrel is smart.', 'The squirrel is smart.', True)
('The squirrel is smart.', 'The squirrel is smart.', True)
('The leopard is sleepy.', 'The leopard is sleepy.', True)
('The leopard is sleepy.', 'The leopard is sleepy.', True)
('The crocodile is big.', 'The crocodile is big.', True)
('The crocodile is big.', 'The crocodile is big.', True)
('The mouse is funny.', 'The mouse is funny.', True)
('The mouse is funny.', 'The mouse is funny.', True)
('The leopard attacks the mouse.', 'The leopard attacks the mouse.', True)
('The leopard attacks the mouse.', 'The leopard attacks the mouse.', True)
('The dog is smart.', 'The dog is smart.', True)
('The dog is smart.', 'The dog is smart.', True)
('The bald eagle is sleepy.', 'The bald eagle is sleepy.', True)
('The bald eagle is sleepy.', 'The bald eagle is sleepy.', True)
('The wolf is strong.', 'The wolf is strong.', True)
('The wolf is strong.', 'The wolf is strong.', True)
('The cat is cute.', 'The cat is cute.', True)
('The cat is cute.', 'The cat is cute.', True)
('The bald eagle visits the cat.', 'The bald eagle visits the cat.', True)
('The bald eagle visits the cat.', 'The bald eagle visits the cat.', True)
('The mouse is round.', 'The mouse is round.', True)
('The mouse is round.', 'The mouse is round.', True)
('The bear is rough.', 'The bear is rough.', True)
('The bear is rough.', 'The bear is rough.', True)
('The crocodile is heavy.', 'The crocodile is heavy.', True)
('The crocodile is heavy.', 'The crocodile is heavy.', True)
('The cat is furry.', 'The cat is furry.', True)
('The cat is furry.', 'The cat is furry.', True)
('The bear visits the cat.', 'The bear visits the cat.', True)
('The bear visits the cat.', 'The bear visits the cat.', True)
('The cat is nice.', 'The cat is nice.', True)
('The cat is nice.', 'The cat is nice.', True)
('The leopard is slow.', 'The leopard is slow.', True)
('The leopard is slow.', 'The leopard is slow.', True)
('The cheetah is fierce.', 'The cheetah is fierce.', True)
('The cheetah is fierce.', 'The cheetah is fierce.', True)
('The mouse is cute.', 'The mouse is cute.', True)
('The mouse is cute.', 'The mouse is cute.', True)
('The leopard sees the mouse.', 'The leopard sees the mouse.', True)
('The leopard sees the mouse.', 'The leopard sees the mouse.', True)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The snake is dull.', 'The snake is dull.', True)
('The snake is dull.', 'The snake is dull.', True)
('The lion is big.', 'The lion is big.', True)
('The lion is big.', 'The lion is big.', True)
('The dog is small.', 'The dog is small.', True)
('The dog is small.', 'The dog is small.', True)
('The snake attacks the dog.', 'The snake attacks the dog.', True)
('The snake attacks the dog.', 'The snake attacks the dog.', True)
('The hamster is kind.', 'The hamster is nice.', False)
('The hamster is kind.', 'The hamster is nice.', False)
('The crocodile is tired.', 'The crocodile is tired.', True)
('The crocodile is tired.', 'The crocodile is tired.', True)
('The lion is heavy.', 'The lion is heavy.', True)
('The lion is heavy.', 'The lion is heavy.', True)
('The mouse is cute.', 'The mouse is cute.', True)
('The mouse is cute.', 'The mouse is cute.', True)
('The crocodile visits the mouse.', 'The crocodile visits the mouse.', True)
('The crocodile visits the mouse.', 'The crocodile visits the mouse.', True)
('The cat is round.', 'The cat is round.', True)
('The cat is round.', 'The cat is round.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The bald eagle is awful.', 'The bald eagle is awful.', True)
('The bald eagle is awful.', 'The bald eagle is awful.', True)
('The dog is small.', 'The dog is small.', True)
('The dog is small.', 'The dog is small.', True)
('The wolf visits the dog.', 'The wolf visits the dog.', True)
('The wolf visits the dog.', 'The wolf visits the dog.', True)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The cheetah is sleepy.', 'The cheetah is sleepy.', True)
('The cheetah is sleepy.', 'The cheetah is sleepy.', True)
('The snake is obese.', 'The snake is obese.', True)
('The snake is obese.', 'The snake is obese.', True)
('The hamster is furry.', 'The hamster is furry.', True)
('The hamster is furry.', 'The hamster is furry.', True)
('The cheetah needs the hamster.', 'The cheetah needs the hamster.', True)
('The cheetah needs the hamster.', 'The cheetah needs the hamster.', True)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The squirrel is nice.', 'The squirrel is nice.', True)
('The cheetah is sleepy.', 'The cheetah is sleepy.', True)
('The cheetah is sleepy.', 'The cheetah is sleepy.', True)
('The bald eagle is strong.', 'The bald eagle is strong.', True)
('The bald eagle is strong.', 'The bald eagle is strong.', True)
('The hamster is small.', 'The hamster is small.', True)
('The hamster is small.', 'The hamster is small.', True)
('The cheetah visits the hamster.', 'The cheetah visits the hamster.', True)
('The cheetah visits the hamster.', 'The cheetah visits the hamster.', True)
('The dog is quiet.', 'The dog is quiet.', True)
('The dog is quiet.', 'The dog is quiet.', True)
('The leopard is reckless.', 'The leopard is reckless.', True)
('The leopard is reckless.', 'The leopard is reckless.', True)
('The cheetah is big.', 'The cheetah is big.', True)
('The cheetah is big.', 'The cheetah is big.', True)
('The squirrel is cute.', 'The squirrel is cute.', True)
('The squirrel is cute.', 'The squirrel is cute.', True)
('The leopard likes the squirrel.', 'The leopard likes the squirrel.', True)
('The leopard likes the squirrel.', 'The leopard likes the squirrel.', True)
('The hamster is nice.', 'The hamster is nice.', True)
('The hamster is nice.', 'The hamster is nice.', True)
('The lion is slow.', 'The lion is slow.', True)
('The lion is slow.', 'The lion is slow.', True)
('The wolf is big.', 'The wolf is big.', True)
('The wolf is big.', 'The wolf is big.', True)
('The mouse is cute.', 'The mouse is cute.', True)
('The mouse is cute.', 'The mouse is cute.', True)
('The lion sees the mouse.', 'The lion sees the mouse.', True)
('The lion sees the mouse.', 'The lion sees the mouse.', True)
('The rabbit is round.', 'The rabbit is round.', True)
('The rabbit is round.', 'The rabbit is round.', True)
('The dinosaur is angry.', 'The dinosaur is angry.', True)
('The dinosaur is angry.', 'The dinosaur is angry.', True)
('The wolf is fierce.', 'The wolf is fierce.', True)
('The wolf is fierce.', 'The wolf is fierce.', True)
('The squirrel is lovely.', 'The squirrel is lovely.', True)
('The squirrel is lovely.', 'The squirrel is lovely.', True)
('The dinosaur needs the squirrel.', 'The dinosaur needs the squirrel.', True)
('The dinosaur needs the squirrel.', 'The dinosaur needs the squirrel.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The dinosaur is boring.', 'The dinosaur is boring.', True)
('The dinosaur is boring.', 'The dinosaur is boring.', True)
('The crocodile is big.', 'The crocodile is big.', True)
('The crocodile is big.', 'The crocodile is big.', True)
('The dog is furry.', 'The dog is furry.', True)
('The dog is furry.', 'The dog is furry.', True)
('The dinosaur attacks the dog.', 'The dinosaur attacks the dog.', True)
('The dinosaur attacks the dog.', 'The dinosaur attacks the dog.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The cat is quiet.', 'The cat is quiet.', True)
('The wolf is slow.', 'The wolf is slow.', True)
('The wolf is slow.', 'The wolf is slow.', True)
('The lion is big.', 'The lion is big.', True)
('The lion is big.', 'The lion is big.', True)
('The mouse is small.', 'The mouse is small.', True)
('The mouse is small.', 'The mouse is small.', True)
('The wolf likes the mouse.', 'The wolf likes the mouse.', True)
('The wolf likes the mouse.', 'The wolf likes the mouse.', True)
('The mouse is quiet.', 'The mouse is quiet.', True)
('The mouse is quiet.', 'The mouse is quiet.', True)
('The dinosaur is sleepy.', 'The dinosaur is sleepy.', True)
('The dinosaur is sleepy.', 'The dinosaur is sleepy.', True)
('The falcon is strong.', 'The falcon is strong.', True)
('The falcon is strong.', 'The falcon is strong.', True)
('The cat is adorable.', 'The cat is lovely.', False)
('The cat is adorable.', 'The cat is lovely.', False)
('The dinosaur attacks the cat.', 'The dinosaur attacks the cat.', True)
('The dinosaur attacks the cat.', 'The dinosaur attacks the cat.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The mouse is nice.', 'The mouse is nice.', True)
('The bear is boring.', 'The bear is boring.', True)
('The bear is boring.', 'The bear is boring.', True)
('The lion is fierce.', 'The lion is fierce.', True)
('The lion is fierce.', 'The lion is fierce.', True)
('The squirrel is lovely.', 'The squirrel is lovely.', True)
('The squirrel is lovely.', 'The squirrel is lovely.', True)
('The bear chases the squirrel.', 'The bear chases the squirrel.', True)
('The bear chases the squirrel.', 'The bear chases the squirrel.', True)
('The mouse is kind.', 'The mouse is smart.', False)
('The mouse is kind.', 'The mouse is smart.', False)
('The falcon is tired.', 'The falcon is tired.', True)
('The falcon is tired.', 'The falcon is tired.', True)
('The bear is strong.', 'The bear is strong.', True)
('The bear is strong.', 'The bear is strong.', True)
('The dog is lovely.', 'The dog is lovely.', True)
('The dog is lovely.', 'The dog is lovely.', True)
('The falcon sees the dog.', 'The falcon sees the dog.', True)
('The falcon sees the dog.', 'The falcon sees the dog.', True)
('The dog is round.', 'The dog is round.', True)
('The dog is round.', 'The dog is round.', True)
('The wolf is angry.', 'The wolf is angry.', True)
('The wolf is angry.', 'The wolf is angry.', True)
('The bald eagle is fierce.', 'The bald eagle is fierce.', True)
('The bald eagle is fierce.', 'The bald eagle is fierce.', True)
('The rabbit is funny.', 'The rabbit is funny.', True)
('The rabbit is funny.', 'The rabbit is funny.', True)
('The wolf sees the rabbit.', 'The wolf sees the rabbit.', True)
('The wolf sees the rabbit.', 'The wolf sees the rabbit.', True)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The snake is reckless.', 'The snake is reckless.', True)
('The snake is reckless.', 'The snake is reckless.', True)
('The wolf is obese.', 'The wolf is obese.', True)
('The wolf is obese.', 'The wolf is obese.', True)
('The cat is funny.', 'The cat is funny.', True)
('The cat is funny.', 'The cat is funny.', True)
('The snake attacks the cat.', 'The snake attacks the cat.', True)
('The snake attacks the cat.', 'The snake attacks the cat.', True)
('The dog is round.', 'The dog is round.', True)
('The dog is round.', 'The dog is round.', True)
('The falcon is angry.', 'The falcon is angry.', True)
('The falcon is angry.', 'The falcon is angry.', True)
('The wolf is awful.', 'The wolf is awful.', True)
('The wolf is awful.', 'The wolf is awful.', True)
('The rabbit is furry.', 'The rabbit is furry.', True)
('The rabbit is furry.', 'The rabbit is furry.', True)
('The falcon sees the rabbit.', 'The falcon sees the rabbit.', True)
('The falcon sees the rabbit.', 'The falcon sees the rabbit.', True)
('The hamster is kind.', 'The hamster is smart.', False)
('The hamster is kind.', 'The hamster is smart.', False)
('The dinosaur is tired.', 'The dinosaur is tired.', True)
('The dinosaur is tired.', 'The dinosaur is tired.', True)
('The leopard is obese.', 'The leopard is obese.', True)
('The leopard is obese.', 'The leopard is obese.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The dog is adorable.', 'The dog is adorable.', True)
('The dinosaur likes the dog.', 'The dinosaur likes the dog.', True)
('The dinosaur likes the dog.', 'The dinosaur likes the dog.', True)
('The cat is round.', 'The cat is round.', True)
('The cat is round.', 'The cat is round.', True)
('The lion is sleepy.', 'The lion is sleepy.', True)
('The lion is sleepy.', 'The lion is sleepy.', True)
('The cheetah is heavy.', 'The cheetah is heavy.', True)
('The cheetah is heavy.', 'The cheetah is heavy.', True)
('The rabbit is furry.', 'The rabbit is furry.', True)
('The rabbit is furry.', 'The rabbit is furry.', True)
('The lion attacks the rabbit.', 'The lion attacks the rabbit.', True)
('The lion attacks the rabbit.', 'The lion attacks the rabbit.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The wolf is dull.', 'The wolf is dull.', True)
('The wolf is dull.', 'The wolf is dull.', True)
('The bald eagle is obese.', 'The bald eagle is obese.', True)
('The bald eagle is obese.', 'The bald eagle is obese.', True)
('The cat is adorable.', 'The cat is adorable.', True)
('The cat is adorable.', 'The cat is adorable.', True)
('The wolf visits the cat.', 'The wolf visits the cat.', True)
('The wolf visits the cat.', 'The wolf visits the cat.', True)
('The cat is kind.', 'The cat is nice.', False)
('The cat is kind.', 'The cat is nice.', False)
('The wolf is angry.', 'The wolf is angry.', True)
('The wolf is angry.', 'The wolf is angry.', True)
('The cheetah is strong.', 'The cheetah is strong.', True)
('The cheetah is strong.', 'The cheetah is strong.', True)
('The mouse is lovely.', 'The mouse is lovely.', True)
('The mouse is lovely.', 'The mouse is lovely.', True)
('The wolf likes the mouse.', 'The wolf likes the mouse.', True)
('The wolf likes the mouse.', 'The wolf likes the mouse.', True)
('The cat is nice.', 'The cat is nice.', True)
('The cat is nice.', 'The cat is nice.', True)
('The dinosaur is rough.', 'The dinosaur is rough.', True)
('The dinosaur is rough.', 'The dinosaur is rough.', True)
('The tiger is heavy.', 'The tiger is heavy.', True)
('The tiger is heavy.', 'The tiger is heavy.', True)
('The rabbit is funny.', 'The rabbit is funny.', True)
('The rabbit is funny.', 'The rabbit is funny.', True)
('The dinosaur visits the rabbit.', 'The dinosaur visits the rabbit.', True)
