('The dog is quiet.', 'Charlie is quiet.', False)
('The wolf attacks the mouse.', 'Fiona is imperfect.', False)
('The dog is round.', 'Charlie is obese.', False)
('The dog is round.', 'Charlie is obese.', False)
('The falcon is lazy.', 'Fiona is bad.', False)
('The falcon is lazy.', 'Fiona is bad.', False)
('The lion is awful.', 'Anne is heavy.', False)
('The lion is awful.', 'Fiona is heavy.', False)
('The cat is funny.', 'Charlie is obese.', False)
('The cat is funny.', 'Charlie is obese.', False)
('The falcon attacks the cat.', 'Fiona is heavy.', False)
('The falcon attacks the cat.', 'Fiona is heavy.', False)
('The rabbit is nice.', 'Anne is clever.', False)
('The rabbit is nice.', 'Anne is clever.', False)
('The lion is dull.', 'Alan is bad.', False)
('The lion is dull.', 'Alan is bad.', False)
('The falcon is heavy.', 'Fiona is heavy.', False)
('The falcon is heavy.', 'Fiona is heavy.', False)
('The mouse is small.', 'Erin is bad.', False)
('The mouse is small.', 'Erin is bad.', False)
('The lion attacks the mouse.', 'Bob is bad.', False)
('The lion attacks the mouse.', 'Bob is bad.', False)
('The dog is quiet.', 'Charlie is quiet.', False)
('The dog is quiet.', 'Charlie is quiet.', False)
('The tiger is slow.', 'Gary is bad.', False)
('The tiger is slow.', 'Gary is bad.', False)
('The bear is strong.', 'Bob is strong.', False)
('The bear is strong.', 'Bob is strong.', False)
('The cat is lovely.', 'Charlie is round.', False)
('The cat is lovely.', 'Charlie is round.', False)
('The tiger likes the cat.', 'Fiona is strong.', False)
('The tiger likes the cat.', 'Fiona is strong.', False)
('The hamster is kind.', 'Erin is obese.', False)
('The hamster is kind.', 'Erin is obese.', False)
('The tiger is reckless.', 'Gary is dull.', False)
('The tiger is reckless.', 'Gary is dull.', False)
('The crocodile is fierce.', 'Charlie is dull.', False)
('The crocodile is fierce.', 'Charlie is dull.', False)
('The dog is funny.', 'Fiona is small.', False)
('The dog is funny.', 'Fiona is small.', False)
('The tiger sees the dog.', 'Erin is huge.', False)
('The tiger sees the dog.', 'Erin is huge.', False)
('The hamster is round.', 'Harry is nice.', False)
('The hamster is round.', 'Harry is nice.', False)
('The cheetah is tired.', 'Che.', False)
('The cheetah is tired.', 'Che.', False)
('The dinosaur is fierce.', 'Dave is huge.', False)
('The dinosaur is fierce.', 'Dave is huge.', False)
('The dog is adorable.', 'Charlie is quiet.', False)
('The dog is adorable.', 'Fiona is kind.', False)
('The cheetah visits the dog.', 'Che.', False)
('The cheetah visits the dog.', 'Che.', False)
('The cat is round.', 'Charlie is quiet.', False)
('The cat is round.', 'Charlie is quiet.', False)
('The bald eagle is angry.', 'Erin is rough.', False)
('The bald eagle is angry.', 'Erin is rough.', False)
('The lion is heavy.', 'Alan is reckless.', False)
('The lion is heavy.', 'Alan is rough.', False)
('The rabbit is small.', 'Anne is quiet.', False)
('The rabbit is small.', 'Anne is quiet.', False)
('The bald eagle sees the rabbit.', 'Anne is huge.', False)
('The bald eagle sees the rabbit.', 'Anne is huge.', False)
('The rabbit is quiet.', 'Anne is strong.', False)
('The rabbit is quiet.', 'Anne is strong.', False)
('The bear is lazy.', 'Bob is obese.', False)
('The bear is lazy.', 'Bob is obese.', False)
('The lion is strong.', 'Anne is strong.', False)
('The lion is strong.', 'Fiona is strong.', False)
('The hamster is lovely.', 'Harry is quiet.', False)
('The hamster is lovely.', 'Harry is quiet.', False)
('The bear likes the hamster.', 'Bob is imperfect.', False)
('The bear likes the hamster.', 'Bob is imperfect.', False)
('The rabbit is quiet.', 'Anne is huge.', False)
('The rabbit is quiet.', 'Anne is huge.', False)
('The bald eagle is lazy.', 'Erin is bad.', False)
('The bald eagle is lazy.', 'Erin is bad.', False)
('The bear is heavy.', 'Bob is fierce.', False)
('The bear is heavy.', 'Bob is fierce.', False)
('The squirrel is small.', 'Charlie is sad.', False)
('The squirrel is small.', 'Charlie is bad.', False)
('The bald eagle visits the squirrel.', 'Erin is bad.', False)
('The bald eagle visits the squirrel.', 'Erin is bad.', False)
('The cat is smart.', 'Charlie is strong.', False)
('The cat is smart.', 'Charlie is ham.', False)
('The crocodile is sleepy.', 'Charlie is angry.', False)
('The crocodile is sleepy.', 'Charlie is angry.', False)
('The bald eagle is big.', 'Anne is huge.', False)
('The bald eagle is big.', 'Erin is huge.', False)
('The hamster is funny.', 'Erin is little.', False)
('The hamster is funny.', 'Erin is little.', False)
('The crocodile needs the hamster.', 'Erin is strong.', False)
('The crocodile needs the hamster.', 'Erin is strong.', False)
('The squirrel is kind.', 'Charlie is obese.', False)
('The squirrel is kind.', 'Charlie is obese.', False)
('The leopard is sleepy.', 'Charlie is sad.', False)
('The leopard is sleepy.', 'Charlie is poor.', False)
('The lion is strong.', 'Alan is poor.', False)
('The lion is strong.', 'Alan is poor.', False)
('The dog is beautiful.', 'Charlie is angry.', False)
('The dog is beautiful.', 'Charlie is angry.', False)
('The leopard likes the dog.', 'Charlie is strong.', False)
('The leopard likes the dog.', 'Charlie is strong.', False)
('The cat is quiet.', 'Charlie is quiet.', False)
('The cat is quiet.', 'Charlie is quiet.', False)
('The leopard is boring.', 'Charlie is bad.', False)
('The leopard is boring.', 'Charlie is bad.', False)
('The cheetah is awful.', 'Che.', False)
('The cheetah is awful.', 'Che.', False)
('The dog is cute.', 'Fiona is little.', False)
('The dog is cute.', 'Fiona is little.', False)
('The leopard needs the dog.', 'Charlie is strong.', False)
('The leopard needs the dog.', 'Charlie is strong.', False)
('The dog is round.', 'Charlie is smart.', False)
('The dog is round.', 'Charlie is smart.', False)
('The crocodile is boring.', 'Charlie is cat.', False)
('The crocodile is boring.', 'Charlie is cat.', False)
('The bear is heavy.', 'Bob is cat.', False)
('The bear is heavy.', 'Bob is cat.', False)
('The cat is adorable.', 'Charlie is kind.', False)
('The cat is adorable.', 'Charlie is kind.', False)
('The crocodile attacks the cat.', 'Charlie is huge.', False)
('The crocodile attacks the cat.', 'Erin is huge.', False)
('The cat is smart.', 'Charlie is quiet.', False)
('The cat is smart.', 'Charlie is quiet.', False)
('The bear is slow.', 'Bob is dull.', False)
('The bear is slow.', 'Bob is dull.', False)
('The falcon is obese.', 'Fiona is huge.', False)
('The falcon is obese.', 'Fiona is huge.', False)
('The hamster is funny.', 'Harry is quiet.', False)
('The hamster is funny.', 'Harry is quiet.', False)
('The bear sees the hamster.', 'Bob is huge.', False)
('The bear sees the hamster.', 'Bob is huge.', False)
('The rabbit is quiet.', 'Anne is clever.', False)
('The rabbit is quiet.', 'Anne is clever.', False)
('The dinosaur is dull.', 'Dave is poor.', False)
('The dinosaur is dull.', 'Dave is poor.', False)
('The tiger is strong.', 'Gary is strong.', False)
('The tiger is strong.', 'Gary is strong.', False)
('The hamster is funny.', 'Harry is kind.', False)
('The hamster is funny.', 'Harry is kind.', False)
('The dinosaur likes the hamster.', 'Dave is obese.', False)
('The dinosaur likes the hamster.', 'Dave is obese.', False)
('The rabbit is kind.', 'Anne is rabbit.', False)
('The rabbit is kind.', 'Anne is rabbit.', False)
('The dinosaur is lazy.', 'Dave is dull.', False)
('The dinosaur is lazy.', 'Dave is dull.', False)
('The lion is strong.', 'Alan is dull.', False)
('The lion is strong.', 'Fiona is sad.', False)
('The cat is funny.', 'Charlie is nice.', False)
('The cat is funny.', 'Charlie is quiet.', False)
('The dinosaur chases the cat.', 'Dave is strong.', False)
('The dinosaur chases the cat.', 'Dave is strong.', False)
('The cat is smart.', 'Charlie is kind.', False)
('The cat is smart.', 'Charlie is kind.', False)
('The bald eagle is lazy.', 'Erin is imperfect.', False)
('The bald eagle is lazy.', 'Erin is imperfect.', False)
('The leopard is strong.', 'Charlie is strong.', False)
('The leopard is strong.', 'Charlie is strong.', False)
('The mouse is small.', 'Erin is clever.', False)
('The mouse is small.', 'Erin is nice.', False)
('The bald eagle visits the mouse.', 'Anne is strong.', False)
('The bald eagle visits the mouse.', 'Erin is strong.', False)
('The hamster is smart.', 'Harry is nice.', False)
('The hamster is smart.', 'Harry is nice.', False)
('The bald eagle is boring.', 'Erin iscro.', False)
('The bald eagle is boring.', 'Erin iscro.', False)
('The crocodile is strong.', 'Charlie iscro.', False)
('The crocodile is strong.', 'Charlie iscro.', False)
('The rabbit is lovely.', 'Anne is quiet.', False)
('The rabbit is lovely.', 'Anne is quiet.', False)
('The bald eagle sees the rabbit.', 'Erin iscro.', False)
('The bald eagle sees the rabbit.', 'Erin iscro.', False)
('The cat is nice.', 'Charlie is kind.', False)
('The cat is nice.', 'Charlie is kind.', False)
('The falcon is rough.', 'Fiona is bad.', False)
('The falcon is rough.', 'Fiona is bad.', False)
('The bald eagle is awful.', 'Erin is bad.', False)
('The bald eagle is awful.', 'Erin is bad.', False)
('The dog is adorable.', 'Fiona is kind.', False)
('The dog is adorable.', 'Fiona is kind.', False)
('The falcon sees the dog.', 'Fiona is big.', False)
('The falcon sees the dog.', 'Fiona is bad.', False)
('The hamster is round.', 'Harry is quiet.', False)
('The hamster is round.', 'Harry is quiet.', False)
('The crocodile is lazy.', 'Charlie is bad.', False)
('The crocodile is lazy.', 'Erin is bad.', False)
('The leopard is big.', 'Charlie is huge.', False)
('The leopard is big.', 'Charlie is huge.', False)
('The rabbit is funny.', 'Anne is clever.', False)
('The rabbit is funny.', 'Anne is clever.', False)
('The crocodile chases the rabbit.', 'Erin is huge.', False)
('The crocodile chases the rabbit.', 'Erin is huge.', False)
('The cat is nice.', 'Charlie is huge.', False)
('The cat is nice.', 'Charlie is huge.', False)
('The falcon is dull.', 'Fiona is bad.', False)
('The falcon is dull.', 'Fiona is bad.', False)
('The dinosaur is big.', 'Dave is big.', False)
('The dinosaur is big.', 'Dave is big.', False)
('The dog is beautiful.', 'Fiona is quiet.', False)
('The dog is beautiful.', 'Fiona is quiet.', False)
('The falcon chases the dog.', 'Fiona is big.', False)
('The falcon chases the dog.', 'Fiona is big.', False)
('The dog is quiet.', 'Charlie is quiet.', False)
('The dog is quiet.', 'Charlie is quiet.', False)
('The lion is tired.', 'Fiona is quiet.', False)
('The lion is tired.', 'Bob is quiet.', False)
('The bear is heavy.', 'Bob is sad.', False)
('The bear is heavy.', 'Bob is sad.', False)
('The squirrel is lovely.', 'Charlie is quiet.', False)
('The squirrel is lovely.', 'Charlie is quiet.', False)
('The lion likes the squirrel.', 'Alan is sad.', False)
('The lion likes the squirrel.', 'Alan is sad.', False)
('The squirrel is smart.', 'Charlie is clever.', False)
('The squirrel is smart.', 'Charlie is clever.', False)
('The leopard is sleepy.', 'Charlie is bad.', False)
('The leopard is sleepy.', 'Charlie is bad.', False)
('The crocodile is big.', 'Erin is huge.', False)
('The crocodile is big.', 'Erin is huge.', False)
('The mouse is funny.', 'Anne is kind.', False)
('The mouse is funny.', 'Erin is kind.', False)
('The leopard attacks the mouse.', 'Charlie is bad.', False)
('The leopard attacks the mouse.', 'Charlie is bad.', False)
('The dog is smart.', 'Charlie is quiet.', False)
('The dog is smart.', 'Charlie is quiet.', False)
('The bald eagle is sleepy.', 'Erin is kind.', False)
('The bald eagle is sleepy.', 'Erin is sad.', False)
('The wolf is strong.', 'Fiona is strong.', False)
('The wolf is strong.', 'Fiona is strong.', False)
('The cat is cute.', 'Charlie is short.', False)
('The cat is cute.', 'Charlie is short.', False)
('The bald eagle visits the cat.', 'Erin is imperfect.', False)
('The bald eagle visits the cat.', 'Erin is imperfect.', False)
('The mouse is round.', 'Charlie is nice.', False)
('The mouse is round.', 'Charlie is nice.', False)
('The bear is rough.', 'Bob is sad.', False)
('The bear is rough.', 'Bob is sad.', False)
('The crocodile is heavy.', 'Charlie is heavy.', False)
('The crocodile is heavy.', 'Charlie is heavy.', False)
('The cat is furry.', 'Charlie is nice.', False)
('The cat is furry.', 'Charlie is sad.', False)
('The bear visits the cat.', 'Bob is heavy.', False)
('The bear visits the cat.', 'Bob is heavy.', False)
('The cat is nice.', 'Charlie is quiet.', False)
('The cat is nice.', 'Charlie is quiet.', False)
('The leopard is slow.', 'Charlie is bad.', False)
('The leopard is slow.', 'Charlie is bad.', False)
('The cheetah is fierce.', 'Che.', False)
('The cheetah is fierce.', 'Che.', False)
('The mouse is cute.', 'Anne is slow.', False)
('The mouse is cute.', 'Anne is small.', False)
('The leopard sees the mouse.', 'Charlie is huge.', False)
('The leopard sees the mouse.', 'Charlie is huge.', False)
('The squirrel is nice.', 'Charlie is small.', False)
('The squirrel is nice.', 'Charlie is small.', False)
('The snake is dull.', 'Anne is angry.', False)
('The snake is dull.', 'Anne is angry.', False)
('The lion is big.', 'Alan is sad.', False)
('The lion is big.', 'Alan is poor.', False)
('The dog is small.', 'Charlie is dog.', False)
('The dog is small.', 'Charlie is angry.', False)
('The snake attacks the dog.', 'Anne is huge.', False)
('The snake attacks the dog.', 'Anne is huge.', False)
('The hamster is kind.', 'Harry is obese.', False)
('The hamster is kind.', 'Harry is obese.', False)
('The crocodile is tired.', 'Erin is dull.', False)
('The crocodile is tired.', 'Erin is dull.', False)
('The lion is heavy.', 'Alan is dull.', False)
('The lion is heavy.', 'Alan is dull.', False)
('The mouse is cute.', 'Erin is obese.', False)
('The mouse is cute.', 'Erin is obese.', False)
('The crocodile visits the mouse.', 'Erin is huge.', False)
('The crocodile visits the mouse.', 'Erin is huge.', False)
('The cat is round.', 'Charlie is nice.', False)
('The cat is round.', 'Charlie is nice.', False)
('The wolf is reckless.', 'Fiona is bad.', False)
('The wolf is reckless.', 'Fiona is bad.', False)
('The bald eagle is awful.', 'Erin isbald.', False)
('The bald eagle is awful.', 'Erin isbald.', False)
('The dog is small.', 'Fiona is bad.', False)
('The dog is small.', 'Charlie is bad.', False)
('The wolf visits the dog.', 'Fiona is big.', False)
('The wolf visits the dog.', 'Fiona is big.', False)
('The squirrel is nice.', 'Charlie is quiet.', False)
('The squirrel is nice.', 'Charlie is quiet.', False)
('The cheetah is sleepy.', 'Che.', False)
('The cheetah is sleepy.', 'Che.', False)
('The snake is obese.', 'Anne is sad.', False)
('The snake is obese.', 'Anne is sad.', False)
('The hamster is furry.', 'Erin is quiet.', False)
('The hamster is furry.', 'Harry is quiet.', False)
('The cheetah needs the hamster.', 'Che.', False)
('The cheetah needs the hamster.', 'Che.', False)
('The squirrel is nice.', 'Charlie is quiet.', False)
('The squirrel is nice.', 'Charlie is quiet.', False)
('The cheetah is sleepy.', 'Che.', False)
('The cheetah is sleepy.', 'Che.', False)
('The bald eagle is strong.', 'Erin is huge.', False)
('The bald eagle is strong.', 'Erin is huge.', False)
('The hamster is small.', 'Harry isbald.', False)
('The hamster is small.', 'Harry isbald.', False)
('The cheetah visits the hamster.', 'Che.', False)
('The cheetah visits the hamster.', 'Che.', False)
('The dog is quiet.', 'Fiona is huge.', False)
('The dog is quiet.', 'Fiona is un.', False)
('The leopard is reckless.', 'Charlie is squirrel.', False)
('The leopard is reckless.', 'Charlie is squirrel.', False)
('The cheetah is big.', 'Che.', False)
('The cheetah is big.', 'Che.', False)
('The squirrel is cute.', 'Fiona is small.', False)
('The squirrel is cute.', 'Fiona is small.', False)
('The leopard likes the squirrel.', 'Charlie is heavy.', False)
('The leopard likes the squirrel.', 'Charlie is heavy.', False)
('The hamster is nice.', 'Harry is high.', False)
('The hamster is nice.', 'Harry is little.', False)
('The lion is slow.', 'Bob is kind.', False)
('The lion is slow.', 'Bob is kind.', False)
('The wolf is big.', 'Fiona is strong.', False)
('The wolf is big.', 'Fiona is strong.', False)
('The mouse is cute.', 'Erin is bad.', False)
('The mouse is cute.', 'Erin is bad.', False)
('The lion sees the mouse.', 'Bob is bad.', False)
('The lion sees the mouse.', 'Bob is bad.', False)
('The rabbit is round.', 'Anne is quiet.', False)
('The rabbit is round.', 'Anne is quiet.', False)
('The dinosaur is angry.', 'Dave is quiet.', False)
('The dinosaur is angry.', 'Dave is quiet.', False)
('The wolf is fierce.', 'Fiona is sad.', False)
('The wolf is fierce.', 'Fiona is sad.', False)
('The squirrel is lovely.', 'Charlie is quiet.', False)
('The squirrel is lovely.', 'Charlie is quiet.', False)
('The dinosaur needs the squirrel.', 'Dave is huge.', False)
('The dinosaur needs the squirrel.', 'Dave is huge.', False)
('The rabbit is smart.', 'Anne is quiet.', False)
('The rabbit is smart.', 'Anne is quiet.', False)
('The dinosaur is boring.', 'Dave is    rough.', False)
('The dinosaur is boring.', 'Dave is    a rough.', False)
('The crocodile is big.', 'Charlie is big.', False)
('The crocodile is big.', 'Charlie is big.', False)
('The dog is furry.', 'Fiona is quiet.', False)
('The dog is furry.', 'Fiona is quiet.', False)
('The dinosaur attacks the dog.', 'Dave is big.', False)
('The dinosaur attacks the dog.', 'Dave is big.', False)
('The cat is quiet.', 'Charlie is quiet.', False)
('The cat is quiet.', 'Charlie is quiet.', False)
('The wolf is slow.', 'Fiona is dull.', False)
('The wolf is slow.', 'Fiona is dull.', False)
('The lion is big.', 'Alan is dull.', False)
('The lion is big.', 'Alan is dull.', False)
('The mouse is small.', 'Erin is dull.', False)
('The mouse is small.', 'Erin is dull.', False)
('The wolf likes the mouse.', 'Fiona is huge.', False)
('The wolf likes the mouse.', 'Fiona is huge.', False)
('The mouse is quiet.', 'Anne is nice.', False)
('The mouse is quiet.', 'Erin is nice.', False)
('The dinosaur is sleepy.', 'Dave is obese.', False)
('The dinosaur is sleepy.', 'Dave is obese.', False)
('The falcon is strong.', 'Fiona is strong.', False)
('The falcon is strong.', 'Fiona is strong.', False)
('The cat is adorable.', 'Charlie is nice.', False)
('The cat is adorable.', 'Charlie is quiet.', False)
('The dinosaur attacks the cat.', 'Dave is imperfect.', False)
('The dinosaur attacks the cat.', 'Dave is imperfect.', False)
('The mouse is nice.', 'Anne is kind.', False)
('The mouse is nice.', 'Charlie is kind.', False)
('The bear is boring.', 'Bob is squirrel.', False)
('The bear is boring.', 'Bob is squirrel.', False)
('The lion is fierce.', 'Alan is squirrel.', False)
('The lion is fierce.', 'Alan is squirrel.', False)
('The squirrel is lovely.', 'Fiona is short.', False)
('The squirrel is lovely.', 'Fiona is short.', False)
('The bear chases the squirrel.', 'Bob is strong.', False)
('The bear chases the squirrel.', 'Bob is huge.', False)
('The mouse is kind.', 'Erin is quiet.', False)
('The mouse is kind.', 'Erin is quiet.', False)
('The falcon is tired.', 'Fiona is obese.', False)
('The falcon is tired.', 'Fiona is obese.', False)
('The bear is strong.', 'Bob is strong.', False)
('The bear is strong.', 'Bob is strong.', False)
('The dog is lovely.', 'Charlie is obese.', False)
('The dog is lovely.', 'Charlie is obese.', False)
('The falcon sees the dog.', 'Fiona is strong.', False)
('The falcon sees the dog.', 'Fiona is strong.', False)
('The dog is round.', 'Charlie is quiet.', False)
('The dog is round.', 'Charlie is quiet.', False)
('The wolf is angry.', 'Fiona is bad.', False)
('The wolf is angry.', 'Fiona is bad.', False)
('The bald eagle is fierce.', 'Anne is heavy.', False)
('The bald eagle is fierce.', 'Anne is heavy.', False)
('The rabbit is funny.', 'Anne is quiet.', False)
('The rabbit is funny.', 'Anne is quiet.', False)
('The wolf sees the rabbit.', 'Fiona is bad.', False)
('The wolf sees the rabbit.', 'Fiona is bad.', False)
('The hamster is quiet.', 'Harry is kind.', False)
('The hamster is quiet.', 'Harry is kind.', False)
('The snake is reckless.', 'Anne is awful.', False)
('The snake is reckless.', 'Anne is bad.', False)
('The wolf is obese.', 'Fiona is huge.', False)
('The wolf is obese.', 'Fiona is huge.', False)
('The cat is funny.', 'Charlie is kind.', False)
('The cat is funny.', 'Charlie is kind.', False)
('The snake attacks the cat.', 'Anne is huge.', False)
('The snake attacks the cat.', 'Anne is huge.', False)
('The dog is round.', 'Charlie is nice.', False)
('The dog is round.', 'Charlie is nice.', False)
('The falcon is angry.', 'Fiona is rabbit.', False)
('The falcon is angry.', 'Fiona is rabbit.', False)
('The wolf is awful.', 'Fiona is rabbit.', False)
('The wolf is awful.', 'Fiona is rabbit.', False)
('The rabbit is furry.', 'Anne is rabbit.', False)
('The rabbit is furry.', 'Anne is rabbit.', False)
('The falcon sees the rabbit.', 'Fiona is huge.', False)
('The falcon sees the rabbit.', 'Fiona is huge.', False)
('The hamster is kind.', 'Harry is quiet.', False)
('The hamster is kind.', 'Harry is quiet.', False)
('The dinosaur is tired.', 'Dave is dog.', False)
('The dinosaur is tired.', 'Dave is dog.', False)
('The leopard is obese.', 'Charlie is huge.', False)
('The leopard is obese.', 'Charlie is huge.', False)
('The dog is adorable.', 'Fiona is quiet.', False)
('The dog is adorable.', 'Fiona is quiet.', False)
('The dinosaur likes the dog.', 'Dave is huge.', False)
('The dinosaur likes the dog.', 'Dave is huge.', False)
('The cat is round.', 'Charlie is smart.', False)
('The cat is round.', 'Charlie is smart.', False)
('The lion is sleepy.', 'Alan is rabbit.', False)
('The lion is sleepy.', 'Alan is rabbit.', False)
('The cheetah is heavy.', 'Che.', False)
('The cheetah is heavy.', 'Che.', False)
('The rabbit is furry.', 'Anne is rabbit.', False)
('The rabbit is furry.', 'Anne is rabbit.', False)
('The lion attacks the rabbit.', 'Anne is huge.', False)
('The lion attacks the rabbit.', 'Fiona is huge.', False)
('The rabbit is nice.', 'Anne is obese.', False)
('The rabbit is nice.', 'Anne is obese.', False)
('The wolf is dull.', 'Fiona is dull.', False)
('The wolf is dull.', 'Fiona is dull.', False)
('The bald eagle is obese.', 'Erin is dull.', False)
('The bald eagle is obese.', 'Erin is dull.', False)
('The cat is adorable.', 'Charlie is obese.', False)
('The cat is adorable.', 'Charlie is dull.', False)
('The wolf visits the cat.', 'Fiona is huge.', False)
('The wolf visits the cat.', 'Fiona is huge.', False)
('The cat is kind.', 'Charlie is clever.', False)
('The cat is kind.', 'Charlie is clever.', False)
('The wolf is angry.', 'Fiona is bad.', False)
('The wolf is angry.', 'Fiona is bad.', False)
('The cheetah is strong.', 'Che.', False)
('The cheetah is strong.', 'Che.', False)
('The mouse is lovely.', 'Charlie is clever.', False)
('The mouse is lovely.', 'Erin is clever.', False)
('The wolf likes the mouse.', 'Fiona is strong.', False)
('The wolf likes the mouse.', 'Fiona is strong.', False)
('The cat is nice.', 'Charlie is quiet.', False)
('The cat is nice.', 'Charlie is quiet.', False)
('The dinosaur is rough.', 'Dave is obese.', False)
('The dinosaur is rough.', 'Dave is obese.', False)
('The tiger is heavy.', 'Gary is heavy.', False)
('The tiger is heavy.', 'Gary is heavy.', False)
('The rabbit is funny.', 'Anne is quiet.', False)
('The rabbit is funny.', 'Anne is quiet.', False)
('The dinosaur visits the rabbit.', 'Dave is obese.', False)
('The dinosaur visits the rabbit.', 'Dave is obese.', False)
('The hamster is round.', 'Harry is nice.', False)
('The hamster is round.', 'Harry is nice.', False)
('The dinosaur is boring.', 'Dave is bad.', False)
('The dinosaur is boring.', 'Dave is bad.', False)
('The tiger is awful.', 'Fiona is big.', False)
('The tiger is awful.', 'Fiona is big.', False)
('The cat is furry.', 'Charlie is quiet.', False)
('The cat is furry.', 'Charlie is quiet.', False)
('The dinosaur needs the cat.', 'Dave is bad.', False)
('The dinosaur needs the cat.', 'Dave is bad.', False)
('The dog is round.', 'Charlie is smart.', False)
('The dog is round.', 'Charlie is smart.', False)
('The bear is boring.', 'Bob is bad.', False)
('The bear is boring.', 'Bob is bad.', False)
('The lion is heavy.', 'Anne is heavy.', False)
('The lion is heavy.', 'Fiona is heavy.', False)
('The rabbit is lovely.', 'Anne is quiet.', False)
('The rabbit is lovely.', 'Anne is quiet.', False)
('The bear needs the rabbit.', 'Bob is bad.', False)
('The bear needs the rabbit.', 'Bob is bad.', False)
('The rabbit is round.', 'Anne is quiet.', False)
('The rabbit is round.', 'Anne is quiet.', False)
('The cheetah is sleepy.', 'Che.', False)
('The cheetah is sleepy.', 'Che.', False)
('The wolf is strong.', 'Fiona is sad.', False)
('The wolf is strong.', 'Fiona is sad.', False)
('The squirrel is beautiful.', 'Charlie is quiet.', False)
('The squirrel is beautiful.', 'Charlie is quiet.', False)
('The cheetah chases the squirrel.', 'Che.', False)
('The cheetah chases the squirrel.', 'Che.', False)
('The squirrel is smart.', 'Charlie is quiet.', False)
