('The squirrel is smart.', 'The squirrel is smart.', True)
('The lion is tired.', 'The lion is tired.', True)
('The snake is obese.', 'The snake is obese.', True)
('The snake is obese.', 'The snake is obese.', True)
('The mouse is cute.', 'The mouse is lovely.', False)
('The mouse is cute.', 'The mouse is lovely.', False)
('The lion needs the mouse.', 'The lion is strong.', False)
('The lion needs the mouse.', 'The lion is strong.', False)
('The rabbit is round.', 'The rabbit is round.', True)
('The rabbit is round.', 'The rabbit is round.', True)
('The bear is boring.', 'The bear is boring.', True)
('The bear is boring.', 'The bear is boring.', True)
('The lion is strong.', 'The lion is strong.', True)
('The lion is strong.', 'The lion is strong.', True)
('The hamster is funny.', 'The hamster is beautiful.', False)
('The hamster is funny.', 'The hamster is beautiful.', False)
('The bear chases the hamster.', 'The bear chases the hamster.', True)
('The bear chases the hamster.', 'The bear chases the hamster.', True)
('The mouse is quiet.', 'The mouse is quiet.', True)
('The mouse is quiet.', 'The mouse is quiet.', True)
('The crocodile is boring.', 'The crocodile is boring.', True)
('The crocodile is boring.', 'The crocodile is boring.', True)
('The bear is fierce.', 'The bear is fierce.', True)
('The bear is fierce.', 'The bear is fierce.', True)
('The rabbit is furry.', 'The rabbit is furry.', True)
('The rabbit is furry.', 'The rabbit is furry.', True)
('The crocodile likes the rabbit.', 'The crocodile likes the rabbit.', True)
('The crocodile likes the rabbit.', 'The crocodile likes the rabbit.', True)
('The mouse is round.', 'The mouse is smart.', False)
('The mouse is round.', 'The mouse is smart.', False)
('The falcon is dull.', 'The falcon is dull.', True)
('The falcon is dull.', 'The falcon is dull.', True)
('The bald eagle is obese.', 'The bald eagle is obese.', True)
('The bald eagle is obese.', 'The bald eagle is obese.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The falcon sees the squirrel.', 'The falcon chases the mouse.', False)
('The falcon sees the squirrel.', 'The falcon chases the mouse.', False)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The crocodile is dull.', 'The crocodile is dull.', True)
('The crocodile is dull.', 'The crocodile is dull.', True)
('The bear is strong.', 'The bear is strong.', True)
('The bear is strong.', 'The bear is strong.', True)
('The hamster is small.', 'The hamster is funny.', False)
('The hamster is small.', 'The hamster is funny.', False)
('The crocodile sees the hamster.', 'The crocodile likes the hamster.', False)
('The crocodile sees the hamster.', 'The crocodile likes the hamster.', False)
('The mouse is round.', 'The mouse is round.', True)
('The mouse is round.', 'The mouse is round.', True)
('The cheetah is lazy.', 'The cheetah is lazy.', True)
('The cheetah is lazy.', 'The cheetah is lazy.', True)
('The lion is obese.', 'The lion is obese.', True)
('The lion is obese.', 'The lion is obese.', True)
('The hamster is adorable.', 'The hamster is adorable.', True)
('The hamster is adorable.', 'The hamster is adorable.', True)
('The cheetah visits the hamster.', 'The cheetah needs the mouse.', False)
('The cheetah visits the hamster.', 'The cheetah needs the mouse.', False)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The rabbit is quiet.', 'The rabbit is quiet.', True)
('The tiger is angry.', 'The tiger is angry.', True)
('The tiger is angry.', 'The tiger is angry.', True)
('The leopard is big.', 'The leopard is big.', True)
('The leopard is big.', 'The leopard is big.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The tiger likes the squirrel.', 'The tiger likes the squirrel.', True)
('The tiger likes the squirrel.', 'The tiger likes the squirrel.', True)
('The hamster is quiet.', 'The hamster is smart.', False)
('The hamster is quiet.', 'The hamster is smart.', False)
('The wolf is sleepy.', 'The wolf is sleepy.', True)
('The wolf is sleepy.', 'The wolf is sleepy.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The rabbit is small.', 'The rabbit is beautiful.', False)
('The rabbit is small.', 'The rabbit is beautiful.', False)
('The wolf visits the rabbit.', 'The wolf is strong.', False)
('The wolf visits the rabbit.', 'The wolf is strong.', False)
('The mouse is quiet.', 'The mouse is quiet.', True)
('The mouse is quiet.', 'The mouse is quiet.', True)
('The crocodile is slow.', 'The crocodile is slow.', True)
('The crocodile is slow.', 'The crocodile is slow.', True)
('The bear is strong.', 'The bear is strong.', True)
('The bear is strong.', 'The bear is strong.', True)
('The hamster is beautiful.', 'The hamster is beautiful.', True)
('The hamster is beautiful.', 'The hamster is beautiful.', True)
('The crocodile needs the hamster.', 'The crocodile needs the hamster.', True)
('The crocodile needs the hamster.', 'The crocodile needs the hamster.', True)
('The rabbit is round.', 'The rabbit is smart.', False)
('The rabbit is round.', 'The rabbit is smart.', False)
('The wolf is slow.', 'The wolf is slow.', True)
('The wolf is slow.', 'The wolf is slow.', True)
('The lion is big.', 'The lion is big.', True)
('The lion is big.', 'The lion is big.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The squirrel is beautiful.', 'The squirrel is beautiful.', True)
('The wolf sees the squirrel.', 'The wolf sees the rabbit.', False)
('The wolf sees the squirrel.', 'The wolf sees the rabbit.', False)
('The mouse is round.', 'The mouse is kind.', False)
('The mouse is round.', 'The mouse is kind.', False)
('The crocodile is reckless.', 'The crocodile is reckless.', True)
('The crocodile is reckless.', 'The crocodile is reckless.', True)
('The bear is big.', 'The bear is big.', True)
('The bear is big.', 'The bear is big.', True)
('The squirrel is small.', 'The squirrel is lovely.', False)
('The squirrel is small.', 'The squirrel is lovely.', False)
('The crocodile chases the squirrel.', 'The crocodile chases the squirrel.', True)
('The crocodile chases the squirrel.', 'The crocodile chases the squirrel.', True)
('The cat is smart.', 'The cat is smart.', True)
('The cat is smart.', 'The cat is smart.', True)
('The wolf is tired.', 'The wolf is tired.', True)
('The wolf is tired.', 'The wolf is tired.', True)
('The lion is big.', 'The lion is big.', True)
('The lion is big.', 'The lion is big.', True)
('The hamster is cute.', 'The hamster is beautiful.', False)
('The hamster is cute.', 'The hamster is beautiful.', False)
('The wolf likes the hamster.', 'The wolf attacks the hamster.', False)
('The wolf likes the hamster.', 'The wolf attacks the hamster.', False)
('The hamster is kind.', 'The hamster is kind.', True)
('The hamster is kind.', 'The hamster is kind.', True)
('The tiger is angry.', 'The tiger is angry.', True)
('The tiger is angry.', 'The tiger is angry.', True)
('The crocodile is fierce.', 'The crocodile is fierce.', True)
('The crocodile is fierce.', 'The crocodile is fierce.', True)
('The mouse is furry.', 'The mouse is cute.', False)
('The mouse is furry.', 'The mouse is cute.', False)
('The tiger chases the mouse.', 'The tiger chases the mouse.', True)
('The tiger chases the mouse.', 'The tiger chases the mouse.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The rabbit is nice.', 'The rabbit is nice.', True)
('The bald eagle is tired.', 'The bald eagle is tired.', True)
('The bald eagle is tired.', 'The bald eagle is tired.', True)
('The wolf is heavy.', 'The wolf is heavy.', True)
('The wolf is heavy.', 'The wolf is heavy.', True)
('The squirrel is beautiful.', 'The squirrel is lovely.', False)
('The squirrel is beautiful.', 'The squirrel is lovely.', False)
('The bald eagle chases the squirrel.', 'The bald eagle likes the rabbit.', False)
('The bald eagle chases the squirrel.', 'The bald eagle likes the rabbit.', False)
('The squirrel is round.', 'The squirrel is round.', True)
('The squirrel is round.', 'The squirrel is round.', True)
('The lion is lazy.', 'The lion is lazy.', True)
('The lion is lazy.', 'The lion is lazy.', True)
('The tiger is big.', 'The tiger is big.', True)
('The tiger is big.', 'The tiger is big.', True)
('The dog is beautiful.', 'The dog is beautiful.', True)
('The dog is beautiful.', 'The dog is beautiful.', True)
('The lion visits the dog.', 'The lion is fierce.', False)
('The lion visits the dog.', 'The lion is fierce.', False)
('The mouse is quiet.', 'The mouse is quiet.', True)
('The mouse is quiet.', 'The mouse is quiet.', True)
('The falcon is boring.', 'The falcon is reckless.', False)
('The falcon is boring.', 'The falcon is reckless.', False)
('The lion is heavy.', 'The lion is heavy.', True)
('The lion is heavy.', 'The lion is heavy.', True)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The falcon chases the rabbit.', 'The falcon likes the mouse.', False)
('The falcon chases the rabbit.', 'The falcon likes the mouse.', False)
('The cat is round.', 'The cat is round.', True)
('The cat is round.', 'The cat is round.', True)
('The crocodile is rough.', 'The crocodile is rough.', True)
('The crocodile is rough.', 'The crocodile is rough.', True)
('The lion is obese.', 'The lion is obese.', True)
('The lion is obese.', 'The lion is obese.', True)
('The dog is lovely.', 'The dog is lovely.', True)
('The dog is lovely.', 'The dog is lovely.', True)
('The crocodile chases the dog.', 'The crocodile visits the cat.', False)
('The crocodile chases the dog.', 'The crocodile visits the cat.', False)
('The cat is kind.', 'The cat is kind.', True)
('The cat is kind.', 'The cat is kind.', True)
('The leopard is angry.', 'The leopard is angry.', True)
('The leopard is angry.', 'The leopard is angry.', True)
('The cheetah is big.', 'The cheetah is big.', True)
('The cheetah is big.', 'The cheetah is big.', True)
('The squirrel is small.', 'The squirrel is small.', True)
('The squirrel is small.', 'The squirrel is funny.', False)
('The leopard attacks the squirrel.', 'The leopard attacks the cat.', False)
('The leopard attacks the squirrel.', 'The leopard attacks the cat.', False)
('The hamster is nice.', 'The hamster is nice.', True)
('The hamster is nice.', 'The hamster is nice.', True)
('The dinosaur is boring.', 'The dinosaur is boring.', True)
('The dinosaur is boring.', 'The dinosaur is boring.', True)
('The cheetah is big.', 'The cheetah is big.', True)
('The cheetah is big.', 'The cheetah is big.', True)
('The mouse is furry.', 'The mouse is adorable.', False)
('The mouse is furry.', 'The mouse is adorable.', False)
('The dinosaur sees the mouse.', 'The dinosaur is hamster is strong.', False)
('The dinosaur sees the mouse.', 'The dinosaur is hamster is strong.', False)
('The rabbit is round.', 'The rabbit is round.', True)
('The rabbit is round.', 'The rabbit is round.', True)
('The lion is dull.', 'The lion is dull.', True)
('The lion is dull.', 'The lion is dull.', True)
('The snake is big.', 'The snake is big.', True)
('The snake is big.', 'The snake is big.', True)
('The cat is cute.', 'The cat is funny.', False)
('The cat is cute.', 'The cat is funny.', False)
('The lion chases the cat.', 'The lion chases the cat.', True)
('The lion chases the cat.', 'The lion chases the cat.', True)
('The mouse is quiet.', 'The mouse is kind.', False)
('The mouse is quiet.', 'The mouse is kind.', False)
('The tiger is angry.', 'The tiger is angry.', True)
('The tiger is angry.', 'The tiger is angry.', True)
('The crocodile is big.', 'The crocodile is big.', True)
('The crocodile is big.', 'The crocodile is big.', True)
('The dog is funny.', 'The dog is adorable.', False)
('The dog is funny.', 'The dog is adorable.', False)
('The tiger needs the dog.', 'The tiger needs the dog.', True)
('The tiger needs the dog.', 'The tiger needs the dog.', True)
('The hamster is kind.', 'The hamster is kind.', True)
('The hamster is kind.', 'The hamster is kind.', True)
('The tiger is tired.', 'The tiger is tired.', True)
('The tiger is tired.', 'The tiger is tired.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The crocodile is obese.', 'The crocodile is obese.', True)
('The cat is funny.', 'The cat is small.', False)
('The cat is funny.', 'The cat is funny.', True)
('The tiger attacks the cat.', 'The tiger chases the hamster.', False)
('The tiger attacks the cat.', 'The tiger chases the hamster.', False)
('The rabbit is kind.', 'The rabbit is kind.', True)
('The rabbit is kind.', 'The rabbit is kind.', True)
('The lion is lazy.', 'The lion is lazy.', True)
('The lion is lazy.', 'The lion is lazy.', True)
('The cheetah is heavy.', 'The cheetah is heavy.', True)
('The cheetah is heavy.', 'The cheetah is heavy.', True)
('The cat is lovely.', 'The cat is lovely.', True)
('The cat is lovely.', 'The cat is lovely.', True)
('The lion sees the cat.', 'The lion sees the cat.', True)
('The lion sees the cat.', 'The lion sees the cat.', True)
('The hamster is nice.', 'The hamster is nice.', True)
('The hamster is nice.', 'The hamster is nice.', True)
('The bald eagle is boring.', 'The bald eagle is boring.', True)
('The bald eagle is boring.', 'The bald eagle is boring.', True)
('The bear is awful.', 'The bear is awful.', True)
('The bear is awful.', 'The bear is awful.', True)
('The squirrel is furry.', 'The squirrel is furry.', True)
('The squirrel is furry.', 'The squirrel is furry.', True)
('The bald eagle sees the squirrel.', 'The bald eagle sees the squirrel.', True)
('The bald eagle sees the squirrel.', 'The bald eagle sees the squirrel.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The rabbit is smart.', 'The rabbit is smart.', True)
('The bear is lazy.', 'The bear is lazy.', True)
('The bear is lazy.', 'The bear is lazy.', True)
('The cheetah is strong.', 'The cheetah is strong.', True)
('The cheetah is strong.', 'The cheetah is strong.', True)
('The squirrel is funny.', 'The squirrel is cute.', False)
('The squirrel is funny.', 'The squirrel is cute.', False)
('The bear needs the squirrel.', 'The bear attacks the rabbit.', False)
('The bear needs the squirrel.', 'The bear attacks the rabbit.', False)
('The cat is smart.', 'The cat is smart.', True)
('The cat is smart.', 'The cat is smart.', True)
('The bald eagle is boring.', 'The bald eagle is boring.', True)
('The bald eagle is boring.', 'The bald eagle is boring.', True)
('The bear is fierce.', 'The bear is fierce.', True)
('The bear is fierce.', 'The bear is fierce.', True)
('The squirrel is lovely.', 'The squirrel is lovely.', True)
('The squirrel is lovely.', 'The squirrel is lovely.', True)
('The bald eagle attacks the squirrel.', 'The bald eagle sees the cat.', False)
('The bald eagle attacks the squirrel.', 'The bald eagle sees the cat.', False)
('The hamster is smart.', 'The hamster is smart.', True)
('The hamster is smart.', 'The hamster is smart.', True)
('The bear is tired.', 'The bear is tired.', True)
('The bear is tired.', 'The bear is tired.', True)
('The crocodile is big.', 'The crocodile is big.', True)
('The crocodile is big.', 'The crocodile is big.', True)
('The rabbit is beautiful.', 'The rabbit is beautiful.', True)
('The rabbit is beautiful.', 'The rabbit is beautiful.', True)
('The bear sees the rabbit.', 'The bear needs the hamster.', False)
('The bear sees the rabbit.', 'The bear needs the hamster.', False)
('The squirrel is smart.', 'The squirrel is smart.', True)
('The squirrel is smart.', 'The squirrel is smart.', True)
('The cheetah is dull.', 'The cheetah is dull.', True)
('The cheetah is dull.', 'The cheetah is dull.', True)
('The tiger is heavy.', 'The tiger is heavy.', True)
('The tiger is heavy.', 'The tiger is heavy.', True)
('The rabbit is cute.', 'The rabbit is adorable.', False)
('The rabbit is cute.', 'The rabbit is adorable.', False)
('The cheetah likes the rabbit.', 'The cheetah needs the squirrel.', False)
('The cheetah likes the rabbit.', 'The cheetah needs the squirrel.', False)
('The mouse is kind.', 'The mouse is kind.', True)
('The mouse is kind.', 'The mouse is kind.', True)
('The bald eagle is lazy.', 'The bald eagle is lazy.', True)
('The bald eagle is lazy.', 'The bald eagle is lazy.', True)
('The lion is heavy.', 'The lion is heavy.', True)
('The lion is heavy.', 'The lion is heavy.', True)
('The dog is furry.', 'The dog is adorable.', False)
('The dog is furry.', 'The dog is adorable.', False)
('The bald eagle visits the dog.', 'The bald eagle needs the mouse.', False)
('The bald eagle visits the dog.', 'The bald eagle needs the mouse.', False)
