('The squirrel is quiet.', 'Charlie is small.', False)
('The tiger needs the mouse.', 'Gary is fur.', False)
('The tiger needs the mouse.', 'Gary is fur.', False)
('The cat is nice.', 'Charlie is dull.', False)
('The cat is nice.', 'Charlie is dull.', False)
('The dinosaur is dull.', 'Dave is quiet.', False)
('The dinosaur is dull.', 'Dave is quiet.', False)
('The bald eagle is heavy.', 'Anne is  dull.', False)
('The bald eagle is heavy.', 'Anne is  dull.', False)
('The hamster is furry.', 'Harry is thin.', False)
('The hamster is furry.', 'Harry is thin.', False)
('The dinosaur attacks the hamster.', 'Dave isbald.', False)
('The dinosaur attacks the hamster.', 'Dave isbald.', False)
('The squirrel is quiet.', 'Charlie is sleep.', False)
('The squirrel is quiet.', 'Charlie is sleep.', False)
('The lion is sleepy.', 'Alan is squirrel.', False)
('The lion is sleepy.', 'Alan is squirrel.', False)
('The cheetah is obese.', 'Che.', False)
('The cheetah is obese.', 'Charlie is strong.', False)
('The mouse is small.', 'Charlie is sleep.', False)
('The mouse is small.', 'Charlie is sleep.', False)
('The lion sees the mouse.', 'Anne is strong.', False)
('The lion sees the mouse.', 'Fiona is strong.', False)
('The cat is nice.', 'Charlie is dull.', False)
('The cat is nice.', 'Charlie is dull.', False)
('The lion is reckless.', 'Alan is bad.', False)
('The lion is reckless.', 'Bob is bad.', False)
('The dinosaur is fierce.', 'Dave is strong.', False)
('The dinosaur is fierce.', 'Dave is strong.', False)
('The dog is furry.', 'Fiona is kind.', False)
('The dog is furry.', 'Fiona is kind.', False)
('The lion needs the dog.', 'Anne is strong.', False)
('The lion needs the dog.', 'Harry is strong.', False)
('The hamster is kind.', 'Harry is quiet.', False)
('The hamster is kind.', 'Harry is quiet.', False)
('The bald eagle is lazy.', 'Erin is rough.', False)
('The bald eagle is lazy.', 'Erin is rough.', False)
('The tiger is fierce.', 'Gary is rough.', False)
('The tiger is fierce.', 'Gary is rough.', False)
('The squirrel is funny.', 'Charlie is quiet.', False)
('The squirrel is funny.', 'Charlie is quiet.', False)
('The bald eagle attacks the squirrel.', 'Erin is round.', False)
('The bald eagle attacks the squirrel.', 'Erin is round.', False)
('The rabbit is quiet.', 'Anne is quiet.', False)
('The rabbit is quiet.', 'Anne is quiet.', False)
('The bald eagle is sleepy.', 'Erin is obese.', False)
('The bald eagle is sleepy.', 'Erin is obese.', False)
('The leopard is fierce.', 'Charlie is strong.', False)
('The leopard is fierce.', 'Charlie is strong.', False)
('The mouse is lovely.', 'Charlie is obese.', False)
('The mouse is lovely.', 'Charlie is obese.', False)
('The bald eagle visits the mouse.', 'Erin is obese.', False)
('The bald eagle visits the mouse.', 'Anne is obese.', False)
('The squirrel is round.', 'Charlie is quiet.', False)
('The squirrel is round.', 'Charlie is quiet.', False)
('The lion is boring.', 'Alan is awful.', False)
('The lion is boring.', 'Alan is awful.', False)
('The tiger is fierce.', 'Gary is huge.', False)
('The tiger is fierce.', 'Gary is huge.', False)
('The mouse is furry.', 'Charlie is clever.', False)
('The mouse is furry.', 'Erin is clever.', False)
('The lion chases the mouse.', 'Anne is huge.', False)
('The lion chases the mouse.', 'Bob is huge.', False)
('The mouse is kind.', 'Charlie is obese.', False)
('The mouse is kind.', 'Erin is obese.', False)
('The crocodile is reckless.', 'Charlie is angry.', False)
('The crocodile is reckless.', 'Charlie is angry.', False)
('The wolf is heavy.', 'Fiona is angry.', False)
('The wolf is heavy.', 'Fiona is angry.', False)
('The cat is small.', 'Charlie is obese.', False)
('The cat is small.', 'Charlie is obese.', False)
('The crocodile chases the cat.', 'Erin is huge.', False)
('The crocodile chases the cat.', 'Erin is huge.', False)
('The rabbit is quiet.', 'Anne isham.', False)
('The rabbit is quiet.', 'Anne is angry.', False)
('The bald eagle is lazy.', 'Erin is angry.', False)
('The bald eagle is lazy.', 'Erin is angry.', False)
('The cheetah is awful.', 'Che.', False)
('The cheetah is awful.', 'Che.', False)
('The hamster is cute.', 'Harry is angry.', False)
('The hamster is cute.', 'Harry is angry.', False)
('The bald eagle needs the hamster.', 'Anne isham.', False)
('The bald eagle needs the hamster.', 'Anne isham.', False)
('The dog is smart.', 'Fiona is small.', False)
('The dog is smart.', 'Fiona is small.', False)
('The bald eagle is dull.', 'Erin is little.', False)
('The bald eagle is dull.', 'Erin is little.', False)
('The wolf is fierce.', 'Fiona is slow.', False)
('The wolf is fierce.', 'Fiona is sad.', False)
('The hamster is cute.', 'Harry is nice.', False)
('The hamster is cute.', 'Harry is kind.', False)
('The bald eagle likes the hamster.', 'Anne is huge.', False)
('The bald eagle likes the hamster.', 'Anne is huge.', False)
('The cat is nice.', 'Charlie is small.', False)
('The cat is nice.', 'Charlie is small.', False)
('The lion is sleepy.', 'Alan is angry.', False)
('The lion is sleepy.', 'Bob is angry.', False)
('The bear is obese.', 'Bob is angry.', False)
('The bear is obese.', 'Bob is angry.', False)
('The squirrel is funny.', 'Charlie is obese.', False)
('The squirrel is funny.', 'Charlie is obese.', False)
('The lion likes the squirrel.', 'Anne is huge.', False)
('The lion likes the squirrel.', 'Harry is huge.', False)
('The mouse is round.', 'Erin is quiet.', False)
('The mouse is round.', 'Erin is quiet.', False)
('The snake is boring.', 'Anne is sad.', False)
('The snake is boring.', 'Anne is sad.', False)
('The crocodile is heavy.', 'Charlie is huge.', False)
('The crocodile is heavy.', 'Erin is huge.', False)
('The hamster is cute.', 'Harry is quiet.', False)
('The hamster is cute.', 'Harry is quiet.', False)
('The snake chases the hamster.', 'Anne is huge.', False)
('The snake chases the hamster.', 'Anne is huge.', False)
('The cat is smart.', 'Charlie is quiet.', False)
('The cat is smart.', 'Charlie is quiet.', False)
('The crocodile is angry.', 'Charlie is quiet.', False)
('The crocodile is angry.', 'Charlie is quiet.', False)
('The bear is awful.', 'Anne is big.', False)
('The bear is awful.', 'Bob is big.', False)
('The dog is small.', 'Charlie is awful.', False)
('The dog is small.', 'Charlie is awful.', False)
('The crocodile attacks the dog.', 'Erin is big.', False)
('The crocodile attacks the dog.', 'Erin is big.', False)
('The squirrel is smart.', 'Charlie is kind.', False)
('The squirrel is smart.', 'Charlie is clever.', False)
('The leopard is lazy.', 'Charlie is dull.', False)
('The leopard is lazy.', 'Charlie is dull.', False)
('The lion is fierce.', 'Bob is dull.', False)
('The lion is fierce.', 'Bob is dull.', False)
('The hamster is cute.', 'Harry is dull.', False)
('The hamster is cute.', 'Harry is dull.', False)
('The leopard likes the hamster.', 'Charlie is huge.', False)
('The leopard likes the hamster.', 'Charlie is huge.', False)
('The rabbit is quiet.', 'Anne is small.', False)
('The rabbit is quiet.', 'Anne is bad.', False)
('The bear is boring.', 'Bob is bad.', False)
('The bear is boring.', 'Bob is bad.', False)
('The leopard is awful.', 'Charlie is heavy.', False)
('The leopard is awful.', 'Charlie is heavy.', False)
('The cat is cute.', 'Charlie is quiet.', False)
('The cat is cute.', 'Charlie is quiet.', False)
('The bear sees the cat.', 'Bob is heavy.', False)
('The bear sees the cat.', 'Bob is heavy.', False)
('The hamster is nice.', 'Harry is quiet.', False)
('The hamster is nice.', 'Harry is quiet.', False)
('The bald eagle is slow.', 'Erin is bad.', False)
('The bald eagle is slow.', 'Erin is bad.', False)
('The snake is awful.', 'Anne is huge.', False)
('The snake is awful.', 'Anne is huge.', False)
('The squirrel is cute.', 'Charlie is clever.', False)
('The squirrel is cute.', 'Charlie is clever.', False)
('The bald eagle sees the squirrel.', 'Anne is heavy.', False)
('The bald eagle sees the squirrel.', 'Anne is heavy.', False)
('The mouse is nice.', 'Erin is heavy.', False)
('The mouse is nice.', 'Erin is huge.', False)
('The crocodile is reckless.', 'Charlie is awful.', False)
('The crocodile is reckless.', 'Charlie is awful.', False)
('The wolf is awful.', 'Fiona is heavy.', False)
('The wolf is awful.', 'Fiona is heavy.', False)
('The squirrel is small.', 'Charlie is awful.', False)
('The squirrel is small.', 'Charlie is awful.', False)
('The crocodile likes the squirrel.', 'Charlie is awful.', False)
('The crocodile likes the squirrel.', 'Charlie is awful.', False)
('The rabbit is nice.', 'Anne is quiet.', False)
('The rabbit is nice.', 'Anne is quiet.', False)
('The bear is reckless.', 'Bob is bad.', False)
('The bear is reckless.', 'Bob is bad.', False)
('The crocodile is awful.', 'Erin is strong.', False)
('The crocodile is awful.', 'Erin is strong.', False)
('The hamster is funny.', 'Harry is round.', False)
('The hamster is funny.', 'Harry is round.', False)
('The bear attacks the hamster.', 'Bob is huge.', False)
('The bear attacks the hamster.', 'Bob is huge.', False)
('The squirrel is smart.', 'Charlie is kind.', False)
('The squirrel is smart.', 'Charlie is kind.', False)
('The leopard is slow.', 'Charlie is bad.', False)
('The leopard is slow.', 'Charlie is bad.', False)
('The falcon is obese.', 'Fiona is big.', False)
('The falcon is obese.', 'Fiona is big.', False)
('The cat is small.', 'Charlie is awful.', False)
('The cat is small.', 'Cat is bad.', False)
('The leopard attacks the cat.', 'Charlie is big.', False)
('The leopard attacks the cat.', 'Charlie is big.', False)
('The squirrel is quiet.', 'Charlie is quiet.', False)
('The squirrel is quiet.', 'Charlie is quiet.', False)
('The leopard is tired.', 'Charlie isbald.', False)
('The leopard is tired.', 'Charlie isbald.', False)
('The bald eagle is big.', 'Erin is huge.', False)
('The bald eagle is big.', 'Erin is huge.', False)
('The dog is funny.', 'Fiona is lazy.', False)
('The dog is funny.', 'Fiona is lazy.', False)
('The leopard visits the dog.', 'Charlie isbald.', False)
('The leopard visits the dog.', 'Charlie isbald.', False)
('The cat is nice.', 'Charlie is small.', False)
('The cat is nice.', 'Charlie is small.', False)
('The cheetah is angry.', 'Che.', False)
('The cheetah is angry.', 'Che.', False)
('The snake is heavy.', 'Anne is poor.', False)
('The snake is heavy.', 'Anne is poor.', False)
('The hamster is furry.', 'Harry is quiet.', False)
('The hamster is furry.', 'Harry is quiet.', False)
('The cheetah visits the hamster.', 'Che.', False)
('The cheetah visits the hamster.', 'Che.', False)
('The dog is kind.', 'Charlie is visit.', False)
('The dog is kind.', 'Charlie is visit.', False)
('The tiger is lazy.', 'Gary is sad.', False)
('The tiger is lazy.', 'Gary is sad.', False)
('The bald eagle is big.', 'Anne is strong.', False)
('The bald eagle is big.', 'Anne is strong.', False)
('The rabbit is cute.', 'Anne is visit.', False)
('The rabbit is cute.', 'Anne is visit.', False)
('The tiger chases the rabbit.', 'Gary isbald.', False)
('The tiger chases the rabbit.', 'Gary is bad.', False)
('The mouse is round.', 'Charlie is quiet.', False)
('The mouse is round.', 'Charlie is quiet.', False)
('The bald eagle is slow.', 'Erin is fierce.', False)
('The bald eagle is slow.', 'Erin is fierce.', False)
('The falcon is strong.', 'Fiona is huge.', False)
('The falcon is strong.', 'Fiona is huge.', False)
('The hamster is adorable.', 'Harry is kind.', False)
('The hamster is adorable.', 'Harry is kind.', False)
('The bald eagle needs the hamster.', 'Erin is fierce.', False)
('The bald eagle needs the hamster.', 'Erin is fierce.', False)
