('The squirrel is quiet.', 'Erin is funny.', False)
('The bear attacks the cat.', 'Charlie is high.', False)
('The bear attacks the cat.', 'Charlie is high.', False)
('The mouse is smart.', 'Erin is bad.', False)
('The mouse is smart.', 'Erin is bad.', False)
('The crocodile is dull.', 'Erin is bad.', False)
('The crocodile is dull.', 'Erin is bad.', False)
('The wolf is fierce.', 'is bad.', False)
('The wolf is fierce.', 'is bad.', False)
('The hamster is funny.', 'is smart.', False)
('The hamster is funny.', 'is smart.', False)
('The crocodile sees the hamster.', 'Erin is strong.', False)
('The crocodile sees the hamster.', 'Erin is strong.', False)
('The rabbit is round.', 'is round.', False)
('The rabbit is round.', 'is round.', False)
('The cheetah is lazy.', 'Erin is lazy.', False)
('The cheetah is lazy.', 'Erin is lazy.', False)
('The snake is big.', 'is lazy.', False)
('The snake is big.', 'is lazy.', False)
('The hamster is beautiful.', 'is round.', False)
('The hamster is beautiful.', 'is round.', False)
('The cheetah attacks the hamster.', 'Erin is attack.', False)
('The cheetah attacks the hamster.', 'Erin is attack.', False)
('The hamster is smart.', 'is sleep.', False)
('The hamster is smart.', 'is sleep.', False)
('The snake is sleepy.', 'is sleep.', False)
('The snake is sleepy.', 'is sleep.', False)
('The tiger is awful.', 'Erin is bad.', False)
('The tiger is awful.', 'Erin is huge.', False)
('The mouse is small.', 'Erin is smart.', False)
('The mouse is small.', 'Erin is smart.', False)
('The snake attacks the mouse.', 'is slow.', False)
('The snake attacks the mouse.', 'is slow.', False)
('The mouse is smart.', 'Erin is small.', False)
('The mouse is smart.', 'Erin is small.', False)
('The crocodile is tired.', 'Erin is tired.', False)
('The crocodile is tired.', 'Erin is tired.', False)
('The snake is obese.', 'Erin is obese.', False)
('The snake is obese.', 'Erin is obese.', False)
('The rabbit is small.', 'is smart.', False)
('The rabbit is small.', 'is smart.', False)
('The crocodile chases the rabbit.', 'Erin is slow.', False)
('The crocodile chases the rabbit.', 'Erin is slow.', False)
('The squirrel is quiet.', 'Erin is poor.', False)
('The squirrel is quiet.', 'Erin is poor.', False)
('The bald eagle is lazy.', 'Alan is poor.', False)
('The bald eagle is lazy.', 'Erin is poor.', False)
('The falcon is strong.', 'Fiona is obese.', False)
('The falcon is strong.', 'Fiona is obese.', False)
('The hamster is furry.', 'is fur.', False)
('The hamster is furry.', 'is fur.', False)
('The bald eagle sees the hamster.', 'Charlie is bad.', False)
('The bald eagle sees the hamster.', 'Charlie is bad.', False)
('The squirrel is nice.', 'S is nice.', False)
('The squirrel is nice.', 'S is nice.', False)
('The bear is sleepy.', 'Erin is sleep.', False)
('The bear is sleepy.', 'Erin is sleep.', False)
('The lion is fierce.', 'Erin is fierce.', False)
('The lion is fierce.', 'Erin is fierce.', False)
('The hamster is cute.', 'is nice.', False)
('The hamster is cute.', 'is nice.', False)
('The bear likes the hamster.', 'Erin is sad.', False)
('The bear likes the hamster.', 'Erin is smart.', False)
('The hamster is round.', 'is round.', False)
('The hamster is round.', 'is round.', False)
('The leopard is tired.', 'Erin is high.', False)
('The leopard is tired.', 'Erin is fierce.', False)
('The lion is strong.', 'Erin is strong.', False)
('The lion is strong.', 'Erin is strong.', False)
('The squirrel is furry.', 'Fiona is fur.', False)
('The squirrel is furry.', 'is fur.', False)
('The leopard chases the squirrel.', 'Charlie is strong.', False)
('The leopard chases the squirrel.', 'Charlie is strong.', False)
('The rabbit is smart.', 'Alan is strong.', False)
('The rabbit is smart.', 'Erin is strong.', False)
('The lion is sleepy.', 'Erin is slow.', False)
('The lion is sleepy.', 'Erin is slow.', False)
('The tiger is awful.', 'Erin is obese.', False)
('The tiger is awful.', 'Erin is obese.', False)
('The cat is small.', 'Erin is strong.', False)
('The cat is small.', 'Erin is strong.', False)
('The lion visits the cat.', 'Erin is visits visits visits visit is visits.', False)
('The lion visits the cat.', 'Erin is strong.', False)
('The cat is nice.', 'Cat is nice.', False)
('The cat is nice.', 'Cat is nice.', False)
('The tiger is angry.', 'Erin is lazy.', False)
('The tiger is angry.', 'Erin is lazy.', False)
('The cheetah is fierce.', 'Erin is obese.', False)
('The cheetah is fierce.', 'Erin is obese.', False)
('The dog is adorable.', 'Fiona is sad.', False)
('The dog is adorable.', 'Fiona is sad.', False)
('The tiger visits the dog.', 'Erin is visits.', False)
('The tiger visits the dog.', 'Erin is visits.', False)
('The squirrel is round.', 'S is round.', False)
('The squirrel is round.', 'S is round.', False)
('The bald eagle is sleepy.', 'Charlie is lazy.', False)
('The bald eagle is sleepy.', 'Charlie is lazy.', False)
('The crocodile is heavy.', 'Cro is heavy.', False)
('The crocodile is heavy.', 'Cro is heavy.', False)
('The mouse is beautiful.', 'Erin is nice.', False)
('The mouse is beautiful.', 'Erin is nice.', False)
('The bald eagle needs the mouse.', 'Alan is poor.', False)
('The bald eagle needs the mouse.', 'Erin is sad.', False)
('The dog is smart.', 'Fiona is smart.', False)
('The dog is smart.', 'Erin is smart.', False)
('The falcon is lazy.', 'Fiona is smart.', False)
('The falcon is lazy.', 'Fiona is smart.', False)
('The tiger is awful.', 'Erin is bad.', False)
('The tiger is awful.', 'Erin is big.', False)
('The cat is cute.', 'Erin is nice.', False)
('The cat is cute.', 'Erin is sad.', False)
('The falcon likes the cat.', 'Fiona is bad.', False)
('The falcon likes the cat.', 'Fiona is bad.', False)
('The dog is nice.', 'Fiona is quiet.', False)
('The dog is nice.', 'Fiona is quiet.', False)
('The leopard is sleepy.', 'Charlie is lazy.', False)
('The leopard is sleepy.', 'Charlie is lazy.', False)
('The wolf is fierce.', 'Fiona is huge.', False)
('The wolf is fierce.', 'is huge.', False)
('The squirrel is small.', 'Fiona is small.', False)
('The squirrel is small.', 'Fiona is small.', False)
('The leopard visits the squirrel.', 'Charlie is slow.', False)
('The leopard visits the squirrel.', 'Charlie is slow.', False)
('The rabbit is round.', 'is round.', False)
('The rabbit is round.', 'is round.', False)
('The dinosaur is sleepy.', 'Erin is obese.', False)
('The dinosaur is sleepy.', 'Erin is obese.', False)
('The lion is heavy.', 'Fiona is obese.', False)
('The lion is heavy.', 'Fiona is heavy.', False)
('The squirrel is small.', 'Fiona is obese.', False)
('The squirrel is small.', 'Fiona is obese.', False)
('The dinosaur attacks the squirrel.', 'Erin is heavy.', False)
('The dinosaur attacks the squirrel.', 'Erin is heavy.', False)
('The dog is kind.', 'Erin is kind.', False)
('The dog is kind.', 'Erin is kind.', False)
('The falcon is lazy.', 'Fiona is lazy.', False)
('The falcon is lazy.', 'Fiona is lazy.', False)
('The bald eagle is big.', 'Erin is big.', False)
('The bald eagle is big.', 'Erin is big.', False)
('The squirrel is lovely.', 'Erin is kind.', False)
('The squirrel is lovely.', 'Erin is kind.', False)
('The falcon needs the squirrel.', 'Fiona is poor.', False)
('The falcon needs the squirrel.', 'Fiona is bad.', False)
('The squirrel is kind.', 'Erin is kind.', False)
('The squirrel is kind.', 'Erin is kind.', False)
('The crocodile is sleepy.', 'Erin is sad.', False)
('The crocodile is sleepy.', 'Erin is sad.', False)
('The leopard is heavy.', 'Erin is heavy.', False)
('The leopard is heavy.', 'Erin is heavy.', False)
('The rabbit is cute.', 'Fiona is nice.', False)
('The rabbit is cute.', 'Fiona is nice.', False)
('The crocodile chases the rabbit.', 'Erin is chase.', False)
('The crocodile chases the rabbit.', 'Erin is heavy.', False)
('The squirrel is kind.', 'Fiona is dull.', False)
('The squirrel is kind.', 'Fiona is dull.', False)
('The crocodile is dull.', 'Erin is dull.', False)
('The crocodile is dull.', 'Erin is dull.', False)
('The tiger is awful.', 'Erin is chase.', False)
('The tiger is awful.', 'Erin is chase.', False)
('The cat is funny.', 'Erin is kind.', False)
('The cat is funny.', 'Erin is kind.', False)
('The crocodile chases the cat.', 'Erin is chase.', False)
('The crocodile chases the cat.', 'Erin is chase.', False)
('The squirrel is round.', 'S is round.', False)
('The squirrel is round.', 'S is round.', False)
('The bald eagle is slow.', 'Erin is slow.', False)
('The bald eagle is slow.', 'Erin is slow.', False)
('The falcon is strong.', 'Fiona is obese.', False)
('The falcon is strong.', 'Fiona is obese.', False)
('The rabbit is funny.', 'is funny.', False)
('The rabbit is funny.', 'is funny.', False)
('The bald eagle likes the rabbit.', 'Fiona is strong.', False)
('The bald eagle likes the rabbit.', 'Charlie is strong.', False)
('The squirrel is smart.', 'Erin is smart.', False)
('The squirrel is smart.', 'Erin is smart.', False)
('The wolf is slow.', 'is tiny.', False)
('The wolf is slow.', 'is tiny.', False)
('The snake is obese.', 'is obese.', False)
('The snake is obese.', 'is obese.', False)
('The cat is adorable.', 'Erin is clever.', False)
('The cat is adorable.', 'Erin is clever.', False)
('The wolf sees the cat.', 'Fiona is heavy.', False)
('The wolf sees the cat.', 'Fiona is heavy.', False)
('The mouse is smart.', 'Erin is smart.', False)
('The mouse is smart.', 'Erin is smart.', False)
('The snake is reckless.', 'Erin is smart.', False)
('The snake is reckless.', 'Erin is smart.', False)
('The cheetah is heavy.', 'Erin is heavy.', False)
('The cheetah is heavy.', 'Erin is heavy.', False)
('The cat is cute.', 'Erin is smart.', False)
('The cat is cute.', 'Erin is smart.', False)
('The snake visits the cat.', 'Erin is smart.', False)
('The snake visits the cat.', 'Erin is smart.', False)
('The squirrel is nice.', 'Erin is strong.', False)
('The squirrel is nice.', 'Erin is strong.', False)
('The bald eagle is angry.', 'Erin is angry.', False)
('The bald eagle is angry.', 'Erin is angry.', False)
('The snake is awful.', 'Erin is strong.', False)
('The snake is awful.', 'Erin is strong.', False)
('The hamster is funny.', 'is funny.', False)
('The hamster is funny.', 'is funny.', False)
('The bald eagle needs the hamster.', 'Erin is strong.', False)
('The bald eagle needs the hamster.', 'Erin is strong.', False)
('The cat is quiet.', 'Erin is quiet.', False)
('The cat is quiet.', 'Erin is quiet.', False)
('The leopard is tired.', 'Erin is quiet.', False)
('The leopard is tired.', 'Erin is quiet.', False)
('The snake is fierce.', 'Erin is fierce.', False)
('The snake is fierce.', 'Erin is fierce.', False)
('The squirrel is beautiful.', 'Erin is quiet.', False)
('The squirrel is beautiful.', 'Erin is quiet.', False)
('The leopard visits the squirrel.', 'Charlie is heavy.', False)
('The leopard visits the squirrel.', 'Charlie is heavy.', False)
('The rabbit is kind.', 'Alan is kind.', False)
('The rabbit is kind.', 'Alan is kind.', False)
('The cheetah is sleepy.', 'Erin is slow.', False)
('The cheetah is sleepy.', 'Erin is slow.', False)
('The bear is awful.', 'Erin is bad.', False)
('The bear is awful.', 'Erin is bad.', False)
('The squirrel is lovely.', 'Fiona is sad.', False)
('The squirrel is lovely.', 'Fiona is sad.', False)
('The cheetah needs the squirrel.', 'Erin is   ', False)
('The cheetah needs the squirrel.', 'Erin is strong.', False)
('The squirrel is kind.', 'is kind.', False)
('The squirrel is kind.', 'Erin is kind.', False)
('The snake is lazy.', 'is lazy.', False)
('The snake is lazy.', 'is lazy.', False)
('The lion is awful.', 'Erin is huge.', False)
('The lion is awful.', 'Erin is huge.', False)
('The cat is furry.', 'Charlie is fur.', False)
('The cat is furry.', 'Charlie is fur.', False)
('The snake likes the cat.', 'is bad.', False)
('The snake likes the cat.', 'is bad.', False)
('The dog is quiet.', 'Fiona is quiet.', False)
('The dog is quiet.', 'Fiona is quiet.', False)
('The bald eagle is dull.', 'Erin is bad.', False)
('The bald eagle is dull.', 'Erin is bad.', False)
('The crocodile is awful.', 'Erin is bad.', False)
('The crocodile is awful.', 'Erin is bad.', False)
('The mouse is furry.', 'Erin is fur.', False)
('The mouse is furry.', 'Erin is fur.', False)
('The bald eagle attacks the mouse.', 'Erin is bad.', False)
('The bald eagle attacks the mouse.', 'Erin is bad.', False)
('The rabbit is smart.', 'Alan is smart.', False)
('The rabbit is smart.', 'Fiona is smart.', False)
('The crocodile is angry.', 'Erin is angry.', False)
('The crocodile is angry.', 'Erin is angry.', False)
('The cheetah is fierce.', 'Erin is fierce.', False)
('The cheetah is fierce.', 'Erin is fierce.', False)
('The cat is beautiful.', 'Erin is nice.', False)
('The cat is beautiful.', 'Erin is nice.', False)
('The crocodile needs the cat.', 'Erin is strong.', False)
('The crocodile needs the cat.', 'Erin is strong.', False)
('The squirrel is smart.', 'is smart.', False)
('The squirrel is smart.', 'is smart.', False)
('The cheetah is reckless.', 'Erin is lazy.', False)
('The cheetah is reckless.', 'Erin is lazy.', False)
('The wolf is obese.', 'is obese.', False)
('The wolf is obese.', 'is obese.', False)
('The cat is lovely.', 'Erin is smart.', False)
('The cat is lovely.', 'Erin is smart.', False)
('The cheetah sees the cat.', 'Erin is bad.', False)
('The cheetah sees the cat.', 'Erin is big.', False)
('The mouse is round.', 'Erin is round.', False)
('The mouse is round.', 'Erin is round.', False)
('The wolf is tired.', 'is tired.', False)
('The wolf is tired.', 'is tired.', False)
('The lion is heavy.', 'Erin is heavy.', False)
('The lion is heavy.', 'Erin is heavy.', False)
('The hamster is furry.', 'is round.', False)
('The hamster is furry.', 'is round.', False)
('The wolf chases the hamster.', 'is tired.', False)
('The wolf chases the hamster.', 'Charlie is tired.', False)
('The dog is smart.', 'Erin is smart.', False)
('The dog is smart.', 'Erin is smart.', False)
('The tiger is angry.', 'Erin is angry.', False)
('The tiger is angry.', 'Erin is angry.', False)
('The bear is strong.', 'Erin is fierce.', False)
('The bear is strong.', 'Erin is fierce.', False)
('The mouse is cute.', 'Erin is cute.', False)
('The mouse is cute.', 'Erin is cute.', False)
('The tiger needs the mouse.', 'Erin is lazy.', False)
('The tiger needs the mouse.', 'Erin is lazy.', False)
('The cat is nice.', 'Charlie is fur.', False)
('The cat is nice.', 'Cat is fur.', False)
('The dinosaur is dull.', 'Erin is fur.', False)
('The dinosaur is dull.', 'Erin is fur.', False)
('The bald eagle is heavy.', 'Charlie is heavy.', False)
('The bald eagle is heavy.', 'Charlie is heavy.', False)
('The hamster is furry.', 'is fur.', False)
('The hamster is furry.', 'is fur.', False)
('The dinosaur attacks the hamster.', 'Erin is attack.', False)
('The dinosaur attacks the hamster.', 'Erin is attack.', False)
('The squirrel is quiet.', 'Erin is quiet.', False)
('The squirrel is quiet.', 'Erin is quiet.', False)
('The lion is sleepy.', 'Erin is bad.', False)
('The lion is sleepy.', 'Erin is bad.', False)
('The cheetah is obese.', 'Erin is obese.', False)
('The cheetah is obese.', 'Erin is obese.', False)
('The mouse is small.', 'Erin is quiet.', False)
('The mouse is small.', 'Erin is quiet.', False)
('The lion sees the mouse.', 'Erin is slow.', False)
('The lion sees the mouse.', 'Erin is slow.', False)
('The cat is nice.', 'Erin is strong.', False)
('The cat is nice.', 'Erin is strong.', False)
('The lion is reckless.', 'Erin is poor.', False)
('The lion is reckless.', 'Erin is poor.', False)
('The dinosaur is fierce.', 'Erin is fierce.', False)
('The dinosaur is fierce.', 'Erin is fierce.', False)
('The dog is furry.', 'Fiona is fur.', False)
('The dog is furry.', 'Fiona is fur.', False)
('The lion needs the dog.', 'Erin is strong.', False)
('The lion needs the dog.', 'Erin is strong.', False)
('The hamster is kind.', 'is kind.', False)
('The hamster is kind.', 'is kind.', False)
('The bald eagle is lazy.', 'Erin is lazy.', False)
('The bald eagle is lazy.', 'Erin is lazy.', False)
('The tiger is fierce.', 'Erin is bad.', False)
('The tiger is fierce.', 'Erin is bad.', False)
('The squirrel is funny.', 'Erin is kind.', False)
('The squirrel is funny.', 'Erin is kind.', False)
('The bald eagle attacks the squirrel.', 'Erin is attack.', False)
('The bald eagle attacks the squirrel.', 'Erin is attack.', False)
('The rabbit is quiet.', 'Alan is quiet.', False)
('The rabbit is quiet.', 'Alan is quiet.', False)
('The bald eagle is sleepy.', 'Erin is slow.', False)
('The bald eagle is sleepy.', 'Erin is slow.', False)
('The leopard is fierce.', 'Charlie is high.', False)
('The leopard is fierce.', 'Charlie is high.', False)
('The mouse is lovely.', 'Erin is sad.', False)
('The mouse is lovely.', 'Erin is sad.', False)
('The bald eagle visits the mouse.', 'Alan is slow.', False)
('The bald eagle visits the mouse.', 'Charlie is slow.', False)
('The squirrel is round.', 'is round.', False)
('The squirrel is round.', 'is round.', False)
('The lion is boring.', 'Erin is rough.', False)
('The lion is boring.', 'Erin is rough.', False)
('The tiger is fierce.', 'Erin is huge.', False)
('The tiger is fierce.', 'Erin is heavy.', False)
('The mouse is furry.', 'Erin is round.', False)
('The mouse is furry.', 'Erin is round.', False)
('The lion chases the mouse.', 'Erin is chase.', False)
('The lion chases the mouse.', 'Erin is chase.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The crocodile is reckless.', 'Erin is slow.', False)
('The crocodile is reckless.', 'Erin is poor.', False)
('The wolf is heavy.', 'is obese.', False)
('The wolf is heavy.', 'is obese.', False)
('The cat is small.', 'Erin is kind.', False)
('The cat is small.', 'Erin is kind.', False)
('The crocodile chases the cat.', 'Erin is chase.', False)
('The crocodile chases the cat.', 'Erin is chase.', False)
('The rabbit is quiet.', 'Erin is quiet.', False)
('The rabbit is quiet.', 'Erin is quiet.', False)
('The bald eagle is lazy.', 'Erin is lazy.', False)
('The bald eagle is lazy.', 'Erin is lazy.', False)
('The cheetah is awful.', 'Erin is bad.', False)
('The cheetah is awful.', 'Erin is bad.', False)
('The hamster is cute.', 'is cute.', False)
('The hamster is cute.', 'is nice.', False)
('The bald eagle needs the hamster.', 'Erin is   poor.', False)
('The bald eagle needs the hamster.', 'Erin is  n is  n is  n is  ', False)
('The dog is smart.', 'Fiona is smart.', False)
('The dog is smart.', 'Fiona is slow.', False)
('The bald eagle is dull.', 'Erin is smart.', False)
('The bald eagle is dull.', 'Erin is smart.', False)
('The wolf is fierce.', 'is slow.', False)
('The wolf is fierce.', 'is slow.', False)
('The hamster is cute.', 'is nice.', False)
('The hamster is cute.', 'is clever.', False)
('The bald eagle likes the hamster.', 'Alan is slow.', False)
('The bald eagle likes the hamster.', 'Erin is slow.', False)
('The cat is nice.', 'Charlie is funny.', False)
('The cat is nice.', 'Charlie is bad.', False)
('The lion is sleepy.', 'Erin is slow.', False)
('The lion is sleepy.', 'Erin is slow.', False)
('The bear is obese.', 'Erin is obese.', False)
('The bear is obese.', 'Erin is obese.', False)
('The squirrel is funny.', 'Fiona is funny.', False)
('The squirrel is funny.', 'Fiona is nice.', False)
('The lion likes the squirrel.', 'Fiona is attack.', False)
('The lion likes the squirrel.', 'Erin is attack.', False)
('The mouse is round.', 'Erin is round.', False)
('The mouse is round.', 'Erin is round.', False)
('The snake is boring.', 'Erin is lazy.', False)
('The snake is boring.', 'Erin is lazy.', False)
('The crocodile is heavy.', 'Erin is heavy.', False)
('The crocodile is heavy.', 'Cro is heavy.', False)
('The hamster is cute.', 'is cute.', False)
('The hamster is cute.', 'is cute.', False)
('The snake chases the hamster.', 'is chase.', False)
('The snake chases the hamster.', 'Erin is chase.', False)
('The cat is smart.', 'Erin is smart.', False)
('The cat is smart.', 'Erin is smart.', False)
('The crocodile is angry.', 'Erin is smart.', False)
('The crocodile is angry.', 'Erin is smart.', False)
('The bear is awful.', 'Erin is awful.', False)
('The bear is awful.', 'Erin is awful.', False)
('The dog is small.', 'Fiona is small.', False)
('The dog is small.', 'Fiona is small.', False)
('The crocodile attacks the dog.', 'Erin is strong.', False)
('The crocodile attacks the dog.', 'Cro is strong.', False)
('The squirrel is smart.', 'is smart.', False)
('The squirrel is smart.', 'Erin is smart.', False)
('The leopard is lazy.', 'Charlie is smart.', False)
('The leopard is lazy.', 'Erin is smart.', False)
('The lion is fierce.', 'Erin is fierce.', False)
('The lion is fierce.', 'Erin is fierce.', False)
('The hamster is cute.', 'is nice.', False)
('The hamster is cute.', 'is smart.', False)
('The leopard likes the hamster.', 'Charlie is strong.', False)
('The leopard likes the hamster.', 'Charlie is strong.', False)
('The rabbit is quiet.', 'Erin is cute.', False)
('The rabbit is quiet.', 'Erin is cute.', False)
('The bear is boring.', 'Erin is awful.', False)
('The bear is boring.', 'Erin is awful.', False)
('The leopard is awful.', 'Charlie is huge.', False)
('The leopard is awful.', 'Charlie is huge.', False)
('The cat is cute.', 'Erin is cute.', False)
('The cat is cute.', 'Erin is cute.', False)
('The bear sees the cat.', 'Erin is cute.', False)
('The bear sees the cat.', 'Erin is sad.', False)
('The hamster is nice.', 'is nice.', False)
('The hamster is nice.', 'is nice.', False)
('The bald eagle is slow.', 'Erin is fierce.', False)
('The bald eagle is slow.', 'Erin is fierce.', False)
('The snake is awful.', 'is huge.', False)
('The snake is awful.', 'is huge.', False)
('The squirrel is cute.', 'is cute.', False)
('The squirrel is cute.', 'is cute.', False)
('The bald eagle sees the squirrel.', 'Erin is strong.', False)
('The bald eagle sees the squirrel.', 'Erin is strong.', False)
('The mouse is nice.', 'Erin is small.', False)
('The mouse is nice.', 'Erin is small.', False)
('The crocodile is reckless.', 'Erin is poor.', False)
('The crocodile is reckless.', 'Erin is poor.', False)
('The wolf is awful.', 'Charlie is huge.', False)
('The wolf is awful.', 'Charlie is huge.', False)
('The squirrel is small.', 'Fiona is small.', False)
('The squirrel is small.', 'Fiona is sad.', False)
('The crocodile likes the squirrel.', 'Erin is bad.', False)
('The crocodile likes the squirrel.', 'Cro is bad.', False)
('The rabbit is nice.', 'Alan is clever.', False)
('The rabbit is nice.', 'Alan is clever.', False)
('The bear is reckless.', 'Erin is reckless.', False)
('The bear is reckless.', 'Erin is reckless.', False)
('The crocodile is awful.', 'Erin is awful.', False)
('The crocodile is awful.', 'Cro is awful.', False)
('The hamster is funny.', 'is funny.', False)
('The hamster is funny.', 'is funny.', False)
('The bear attacks the hamster.', 'Erin is lazy.', False)
('The bear attacks the hamster.', 'Erin is lazy.', False)
('The squirrel is smart.', 'Erin is smart.', False)
('The squirrel is smart.', 'is smart.', False)
('The leopard is slow.', 'Erin is slow.', False)
('The leopard is slow.', 'Charlie is slow.', False)
('The falcon is obese.', 'Fiona is obese.', False)
('The falcon is obese.', 'Fiona is obese.', False)
('The cat is small.', 'Erin is small.', False)
('The cat is small.', 'Erin is small.', False)
('The leopard attacks the cat.', 'Charlie is attacks.', False)
('The leopard attacks the cat.', 'Charlie is attacks.', False)
('The squirrel is quiet.', 'Erin is quiet.', False)
('The squirrel is quiet.', 'Erin is quiet.', False)
('The leopard is tired.', 'Charlie is tired.', False)
('The leopard is tired.', 'Charlie is tired.', False)
('The bald eagle is big.', 'Fiona is big.', False)
('The bald eagle is big.', 'Fiona is big.', False)
('The dog is funny.', 'Fiona is quiet.', False)
('The dog is funny.', 'Fiona is quiet.', False)
('The leopard visits the dog.', 'Charlie is lazy.', False)
('The leopard visits the dog.', 'Charlie is lazy.', False)
('The cat is nice.', 'Charlie is nice.', False)
('The cat is nice.', 'Charlie is nice.', False)
('The cheetah is angry.', 'Erin is angry.', False)
('The cheetah is angry.', 'Erin is angry.', False)
('The snake is heavy.', 'is heavy.', False)
('The snake is heavy.', 'is heavy.', False)
('The hamster is furry.', 'is nice.', False)
('The hamster is furry.', 'is nice.', False)
('The cheetah visits the hamster.', 'Erin is lazy.', False)
('The cheetah visits the hamster.', 'Erin is lazy.', False)
('The dog is kind.', 'Fiona is kind.', False)
('The dog is kind.', 'Fiona is kind.', False)
('The tiger is lazy.', 'Erin is strong.', False)
('The tiger is lazy.', 'Erin is strong.', False)
('The bald eagle is big.', 'Alan is strong.', False)
('The bald eagle is big.', 'Charlie is big.', False)
('The rabbit is cute.', 'is nice.', False)
('The rabbit is cute.', 'is nice.', False)
('The tiger chases the rabbit.', 'Erin is chase.', False)
('The tiger chases the rabbit.', 'Erin is chase.', False)
('The mouse is round.', 'Erin is round.', False)
('The mouse is round.', 'Erin is round.', False)
('The bald eagle is slow.', 'Erin is slow.', False)
('The bald eagle is slow.', 'Erin is slow.', False)
('The falcon is strong.', 'Fiona is fierce.', False)
('The falcon is strong.', 'Fiona is fierce.', False)
('The hamster is adorable.', 'is tiny.', False)
('The hamster is adorable.', 'is tiny.', False)
('The bald eagle needs the hamster.', 'Erin is lazy.', False)
('The bald eagle needs the hamster.', 'Erin is lazy.', False)
('The rabbit is quiet.', 'Alan is quiet.', False)
('The rabbit is quiet.', 'Alan is quiet.', False)
('The cheetah is dull.', 'Erin is nice.', False)
('The cheetah is dull.', 'Erin is cute.', False)
('The dinosaur is heavy.', 'Erin is heavy.', False)
('The dinosaur is heavy.', 'Erin is heavy.', False)
('The mouse is cute.', 'Erin is nice.', False)
('The mouse is cute.', 'Erin is quiet.', False)
('The cheetah chases the mouse.', 'Erin is nice.', False)
('The cheetah chases the mouse.', 'Erin is nice.', False)
('The squirrel is nice.', 'S is kind.', False)
('The squirrel is nice.', 'S is kind.', False)
('The tiger is sleepy.', 'Erin is lazy.', False)
