('Fiona is high.', 'Fiona is high.', True)
('Anne is nice.', 'Anne is nice.', True)
('Anne is nice.', 'Anne is nice.', True)
('Charlie is bad.', 'Charlie is bad.', True)
('Charlie is bad.', 'Charlie is bad.', True)
('Erin is high.', 'Erin is high.', True)
('Erin is high.', 'Erin is high.', True)
('Alan is small.', 'Alan is small.', True)
('Alan is small.', 'Alan is small.', True)
('Dave is nice.', 'Dave is nice.', True)
('Dave is nice.', 'Dave is nice.', True)
('Harry is poor.', 'Harry is poor.', True)
('Harry is poor.', 'Harry is poor.', True)
('Fiona is big.', 'Fiona is big.', True)
('Fiona is big.', 'Fiona is big.', True)
('Gary is tiny.', 'Gary is tiny.', True)
('Gary is tiny.', 'Gary is tiny.', True)
('Erin is smart.', 'Erin is smart.', True)
('Erin is smart.', 'Erin is smart.', True)
('Anne is poor.', 'Anne is poor.', True)
('Anne is poor.', 'Anne is poor.', True)
('Alan is big.', 'Alan is big.', True)
('Alan is big.', 'Alan is big.', True)
('Dave is tiny.', 'Dave is tiny.', True)
('Dave is tiny.', 'Dave is tiny.', True)
('Anne is clever.', 'Anne is clever.', True)
('Anne is clever.', 'Anne is clever.', True)
('Gary is rough.', 'Gary is rough.', True)
('Gary is rough.', 'Gary is rough.', True)
('Harry is heavy.', 'Harry is heavy.', True)
('Harry is heavy.', 'Harry is heavy.', True)
('Charlie is tiny.', 'Charlie is tiny.', True)
('Charlie is tiny.', 'Charlie is tiny.', True)
('Erin is wealthy.', 'Erin is wealthy.', True)
('Erin is wealthy.', 'Erin is wealthy.', True)
('Anne is sad.', 'Anne is sad.', True)
('Anne is sad.', 'Anne is sad.', True)
('Alan is heavy.', 'Alan is heavy.', True)
('Alan is heavy.', 'Alan is heavy.', True)
('Charlie is short.', 'Charlie is short.', True)
('Charlie is short.', 'Charlie is short.', True)
('Erin is clever.', 'Erin is clever.', True)
('Erin is clever.', 'Erin is clever.', True)
('Harry is bad.', 'Harry is bad.', True)
('Harry is bad.', 'Harry is bad.', True)
('Gary is high.', 'Gary is high.', True)
('Gary is high.', 'Gary is high.', True)
('Charlie is small.', 'Charlie is small.', True)
('Charlie is small.', 'Charlie is small.', True)
('Fiona is nice.', 'Fiona is nice.', True)
('Fiona is nice.', 'Fiona is nice.', True)
('Alan is imperfect.', 'Alan is imperfect.', True)
('Alan is imperfect.', 'Alan is imperfect.', True)
('Gary is big.', 'Gary is big.', True)
('Gary is big.', 'Gary is big.', True)
('Alan is short.', 'Alan is short.', True)
('Alan is short.', 'Alan is short.', True)
('Fiona is wealthy.', 'Fiona is wealthy.', True)
('Fiona is wealthy.', 'Fiona is wealthy.', True)
('Charlie is bad.', 'Charlie is bad.', True)
('Charlie is bad.', 'Charlie is bad.', True)
('Erin is big.', 'Erin is big.', True)
('Erin is big.', 'Erin is big.', True)
('Anne is little.', 'Anne is little.', True)
('Anne is little.', 'Anne is little.', True)
('Fiona is nice.', 'Fiona is nice.', True)
('Fiona is nice.', 'Fiona is nice.', True)
('Harry is poor.', 'Harry is poor.', True)
('Harry is poor.', 'Harry is poor.', True)
('Erin is strong.', 'Erin is strong.', True)
('Erin is strong.', 'Erin is strong.', True)
('Alan is tiny.', 'Alan is tiny.', True)
('Alan is tiny.', 'Alan is tiny.', True)
('Anne is clever.', 'Anne is clever.', True)
('Anne is clever.', 'Anne is clever.', True)
('Charlie is dull.', 'Charlie is dull.', True)
('Charlie is dull.', 'Charlie is dull.', True)
('Anne is big.', 'Anne is big.', True)
('Anne is big.', 'Anne is big.', True)
('Gary is little.', 'Gary is little.', True)
('Gary is little.', 'Gary is little.', True)
('Erin is quiet.', 'Erin is quiet.', True)
('Erin is quiet.', 'Erin is quiet.', True)
('Alan is bad.', 'Alan is bad.', True)
('Alan is bad.', 'Alan is bad.', True)
('Gary is strong.', 'Gary is strong.', True)
('Gary is strong.', 'Gary is strong.', True)
('Alan is tiny.', 'Alan is tiny.', True)
('Alan is tiny.', 'Alan is tiny.', True)
('Erin is quiet.', 'Erin is quiet.', True)
('Erin is quiet.', 'Erin is quiet.', True)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Anne is little.', 'Anne is little.', True)
('Anne is little.', 'Anne is little.', True)
('Dave is kind.', 'Dave is kind.', True)
('Dave is kind.', 'Dave is kind.', True)
('Bob is sad.', 'Bob is sad.', True)
('Bob is sad.', 'Bob is sad.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Harry is little.', 'Harry is little.', True)
('Harry is little.', 'Harry is little.', True)
('Gary is smart.', 'Gary is smart.', True)
('Gary is smart.', 'Gary is smart.', True)
('Alan is poor.', 'Alan is poor.', True)
('Alan is poor.', 'Alan is poor.', True)
('Alan is huge.', 'Alan is huge.', True)
('Alan is huge.', 'Alan is huge.', True)
('Charlie is little.', 'Charlie is little.', True)
('Charlie is little.', 'Charlie is little.', True)
('Harry is wealthy.', 'Harry is wealthy.', True)
('Harry is wealthy.', 'Harry is wealthy.', True)
('Anne is dull.', 'Anne is dull.', True)
('Anne is dull.', 'Anne is dull.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Anne is short.', 'Anne is short.', True)
('Anne is short.', 'Anne is short.', True)
('Erin is kind.', 'Erin is kind.', True)
('Erin is kind.', 'Erin is kind.', True)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Gary is big.', 'Gary is big.', True)
('Gary is big.', 'Gary is big.', True)
('Erin is small.', 'Erin is small.', True)
('Erin is small.', 'Erin is small.', True)
('Charlie is quiet.', 'Charlie is quiet.', True)
('Charlie is quiet.', 'Charlie is quiet.', True)
('Alan is dull.', 'Alan is dull.', True)
('Alan is dull.', 'Alan is dull.', True)
('Alan is heavy.', 'Alan is heavy.', True)
('Alan is heavy.', 'Alan is heavy.', True)
('Fiona is little.', 'Fiona is little.', True)
('Fiona is little.', 'Fiona is little.', True)
('Erin is clever.', 'Erin is clever.', True)
('Erin is clever.', 'Erin is clever.', True)
('Gary is rough.', 'Gary is rough.', True)
('Gary is rough.', 'Gary is rough.', True)
('Bob is big.', 'Bob is big.', True)
('Bob is big.', 'Bob is big.', True)
('Charlie is tiny.', 'Charlie is tiny.', True)
('Charlie is tiny.', 'Charlie is tiny.', True)
('Gary is wealthy.', 'Gary is wealthy.', True)
('Gary is wealthy.', 'Gary is wealthy.', True)
('Fiona is poor.', 'Fiona is poor.', True)
('Fiona is poor.', 'Fiona is poor.', True)
('Charlie is high.', 'Charlie is high.', True)
('Charlie is high.', 'Charlie is high.', True)
('Anne is small.', 'Anne is small.', True)
('Anne is small.', 'Anne is small.', True)
('Harry is quiet.', 'Harry is quiet.', True)
('Harry is quiet.', 'Harry is quiet.', True)
('Alan is rough.', 'Alan is rough.', True)
('Alan is rough.', 'Alan is rough.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Gary is small.', 'Gary is small.', True)
('Gary is small.', 'Gary is small.', True)
('Erin is smart.', 'Erin is smart.', True)
('Erin is smart.', 'Erin is smart.', True)
('Anne is rough.', 'Anne is rough.', True)
('Anne is rough.', 'Anne is rough.', True)
('Alan is strong.', 'Alan is strong.', True)
('Alan is strong.', 'Alan is strong.', True)
('Harry is little.', 'Harry is little.', True)
('Harry is little.', 'Harry is little.', True)
('Bob is smart.', 'Bob is smart.', True)
('Bob is smart.', 'Bob is smart.', True)
('Anne is poor.', 'Anne is poor.', True)
('Anne is poor.', 'Anne is poor.', True)
('Anne is big.', 'Anne is big.', True)
('Anne is big.', 'Anne is big.', True)
('Dave is small.', 'Dave is small.', True)
('Dave is small.', 'Dave is small.', True)
('Harry is quiet.', 'Harry is quiet.', True)
('Harry is quiet.', 'Harry is quiet.', True)
('Gary is imperfect.', 'Gary is imperfect.', True)
('Gary is imperfect.', 'Gary is imperfect.', True)
('Alan is big.', 'Alan is big.', True)
('Alan is big.', 'Alan is big.', True)
('Fiona is small.', 'Fiona is small.', True)
('Fiona is small.', 'Fiona is small.', True)
('Erin is clever.', 'Erin is clever.', True)
('Erin is clever.', 'Erin is clever.', True)
('Anne is poor.', 'Anne is poor.', True)
('Anne is poor.', 'Anne is poor.', True)
('Harry is big.', 'Harry is big.', True)
('Harry is big.', 'Harry is big.', True)
('Alan is short.', 'Alan is short.', True)
('Alan is short.', 'Alan is short.', True)
('Bob is smart.', 'Bob is smart.', True)
('Bob is smart.', 'Bob is smart.', True)
('Erin is imperfect.', 'Erin is imperfect.', True)
('Erin is imperfect.', 'Erin is imperfect.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Fiona is small.', 'Fiona is small.', True)
('Fiona is small.', 'Fiona is small.', True)
('Dave is quiet.', 'Dave is quiet.', True)
('Dave is quiet.', 'Dave is quiet.', True)
('Anne is dull.', 'Anne is dull.', True)
('Anne is dull.', 'Anne is dull.', True)
('Erin is heavy.', 'Erin is heavy.', True)
('Erin is heavy.', 'Erin is heavy.', True)
('Harry is short.', 'Harry is short.', True)
('Harry is short.', 'Harry is short.', True)
('Charlie is kind.', 'Charlie is kind.', True)
('Charlie is kind.', 'Charlie is kind.', True)
('Anne is imperfect.', 'Anne is imperfect.', True)
('Anne is imperfect.', 'Anne is imperfect.', True)
('Dave is huge.', 'Dave is huge.', True)
('Dave is huge.', 'Dave is huge.', True)
('Harry is small.', 'Harry is small.', True)
('Harry is small.', 'Harry is small.', True)
('Charlie is quiet.', 'Charlie is quiet.', True)
('Charlie is quiet.', 'Charlie is quiet.', True)
('Anne is poor.', 'Anne is poor.', True)
('Anne is poor.', 'Anne is poor.', True)
('Alan is high.', 'Alan is high.', True)
('Alan is high.', 'Alan is high.', True)
('Gary is small.', 'Gary is small.', True)
('Gary is small.', 'Gary is small.', True)
('Erin is nice.', 'Erin is nice.', True)
('Erin is nice.', 'Erin is nice.', True)
('Fiona is bad.', 'Fiona is bad.', True)
('Fiona is bad.', 'Fiona is bad.', True)
('Gary is high.', 'Gary is high.', True)
('Gary is high.', 'Gary is high.', True)
('Anne is thin.', 'Anne is thin.', True)
('Anne is thin.', 'Anne is thin.', True)
('Alan is quiet.', 'Alan is quiet.', True)
('Alan is quiet.', 'Alan is quiet.', True)
('Erin is imperfect.', 'Erin is imperfect.', True)
('Erin is imperfect.', 'Erin is imperfect.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Harry is small.', 'Harry is small.', True)
('Harry is small.', 'Harry is small.', True)
('Gary is clever.', 'Gary is clever.', True)
('Gary is clever.', 'Gary is clever.', True)
('Erin is bad.', 'Erin is bad.', True)
('Erin is bad.', 'Erin is bad.', True)
('Alan is big.', 'Alan is big.', True)
('Alan is big.', 'Alan is big.', True)
('Harry is small.', 'Harry is small.', True)
('Harry is small.', 'Harry is small.', True)
('Erin is quiet.', 'Erin is quiet.', True)
('Erin is quiet.', 'Erin is quiet.', True)
('Charlie is poor.', 'Charlie is poor.', True)
('Charlie is poor.', 'Charlie is poor.', True)
('Gary is strong.', 'Gary is strong.', True)
('Gary is strong.', 'Gary is strong.', True)
('Alan is little.', 'Alan is little.', True)
('Alan is little.', 'Alan is little.', True)
('Harry is kind.', 'Harry is kind.', True)
('Harry is kind.', 'Harry is kind.', True)
('Dave is poor.', 'Dave is poor.', True)
('Dave is poor.', 'Dave is poor.', True)
('Harry is huge.', 'Harry is huge.', True)
('Harry is huge.', 'Harry is huge.', True)
('Erin is tiny.', 'Erin is tiny.', True)
('Erin is tiny.', 'Erin is tiny.', True)
('Charlie is kind.', 'Charlie is kind.', True)
('Charlie is kind.', 'Charlie is kind.', True)
('Gary is poor.', 'Gary is poor.', True)
('Gary is poor.', 'Gary is poor.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Bob is tiny.', 'Bob is tiny.', True)
('Bob is tiny.', 'Bob is tiny.', True)
('Gary is clever.', 'Gary is clever.', True)
('Gary is clever.', 'Gary is clever.', True)
('Dave is rough.', 'Dave is rough.', True)
('Dave is rough.', 'Dave is rough.', True)
('Bob is big.', 'Bob is big.', True)
('Bob is big.', 'Bob is big.', True)
('Erin is small.', 'Erin is small.', True)
('Erin is small.', 'Erin is small.', True)
('Harry is wealthy.', 'Harry is wealthy.', True)
('Harry is wealthy.', 'Harry is wealthy.', True)
('Alan is imperfect.', 'Alan is imperfect.', True)
('Alan is imperfect.', 'Alan is imperfect.', True)
('Erin is high.', 'Erin is high.', True)
('Erin is high.', 'Erin is high.', True)
('Anne is small.', 'Anne is small.', True)
('Anne is small.', 'Anne is small.', True)
('Gary is wealthy.', 'Gary is wealthy.', True)
('Gary is wealthy.', 'Gary is wealthy.', True)
('Alan is dull.', 'Alan is dull.', True)
('Alan is dull.', 'Alan is dull.', True)
('Fiona is strong.', 'Fiona is strong.', True)
('Fiona is strong.', 'Fiona is strong.', True)
('Charlie is thin.', 'Charlie is thin.', True)
('Charlie is thin.', 'Charlie is thin.', True)
('Erin is nice.', 'Erin is nice.', True)
('Erin is nice.', 'Erin is nice.', True)
('Gary is sad.', 'Gary is sad.', True)
('Gary is sad.', 'Gary is sad.', True)
('Gary is heavy.', 'Gary is heavy.', True)
('Gary is heavy.', 'Gary is heavy.', True)
('Dave is little.', 'Dave is little.', True)
('Dave is little.', 'Dave is little.', True)
('Erin is quiet.', 'Erin is quiet.', True)
('Erin is quiet.', 'Erin is quiet.', True)
('Fiona is bad.', 'Fiona is bad.', True)
('Fiona is bad.', 'Fiona is bad.', True)
('Fiona is strong.', 'Fiona is strong.', True)
('Fiona is strong.', 'Fiona is strong.', True)
('Gary is tiny.', 'Gary is tiny.', True)
('Gary is tiny.', 'Gary is tiny.', True)
('Alan is clever.', 'Alan is clever.', True)
('Alan is clever.', 'Alan is clever.', True)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Bob is big.', 'Bob is big.', True)
('Bob is big.', 'Bob is big.', True)
('Fiona is little.', 'Fiona is little.', True)
('Fiona is little.', 'Fiona is little.', True)
('Anne is clever.', 'Anne is clever.', True)
('Anne is clever.', 'Anne is clever.', True)
('Alan is dull.', 'Alan is dull.', True)
('Alan is dull.', 'Alan is dull.', True)
('Dave is huge.', 'Dave is huge.', True)
('Dave is huge.', 'Dave is huge.', True)
('Anne is small.', 'Anne is small.', True)
('Anne is small.', 'Anne is small.', True)
('Bob is wealthy.', 'Bob is wealthy.', True)
('Bob is wealthy.', 'Bob is wealthy.', True)
('Charlie is poor.', 'Charlie is poor.', True)
('Charlie is poor.', 'Charlie is poor.', True)
('Anne is big.', 'Anne is big.', True)
('Anne is big.', 'Anne is big.', True)
('Fiona is tiny.', 'Fiona is tiny.', True)
('Fiona is tiny.', 'Fiona is tiny.', True)
('Erin is clever.', 'Erin is clever.', True)
('Erin is clever.', 'Erin is clever.', True)
('Charlie is bad.', 'Charlie is bad.', True)
('Charlie is bad.', 'Charlie is bad.', True)
('Harry is huge.', 'Harry is huge.', True)
('Harry is huge.', 'Harry is huge.', True)
('Fiona is short.', 'Fiona is short.', True)
('Fiona is short.', 'Fiona is short.', True)
('Dave is quiet.', 'Dave is quiet.', True)
('Dave is quiet.', 'Dave is quiet.', True)
('Bob is imperfect.', 'Bob is imperfect.', True)
('Bob is imperfect.', 'Bob is imperfect.', True)
('Alan is big.', 'Alan is big.', True)
('Alan is big.', 'Alan is big.', True)
('Dave is tiny.', 'Dave is tiny.', True)
('Dave is tiny.', 'Dave is tiny.', True)
('Harry is smart.', 'Harry is smart.', True)
('Harry is smart.', 'Harry is smart.', True)
('Bob is dull.', 'Bob is dull.', True)
('Bob is dull.', 'Bob is dull.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Gary is short.', 'Gary is short.', True)
('Gary is short.', 'Gary is short.', True)
('Erin is clever.', 'Erin is clever.', True)
('Erin is clever.', 'Erin is clever.', True)
('Bob is imperfect.', 'Bob is imperfect.', True)
('Bob is imperfect.', 'Bob is imperfect.', True)
('Fiona is big.', 'Fiona is big.', True)
('Fiona is big.', 'Fiona is big.', True)
('Harry is short.', 'Harry is short.', True)
('Harry is short.', 'Harry is short.', True)
('Alan is quiet.', 'Alan is quiet.', True)
('Alan is quiet.', 'Alan is quiet.', True)
('Erin is poor.', 'Erin is poor.', True)
('Erin is poor.', 'Erin is poor.', True)
('Alan is huge.', 'Alan is huge.', True)
('Alan is huge.', 'Alan is huge.', True)
('Erin is little.', 'Erin is little.', True)
('Erin is little.', 'Erin is little.', True)
('Bob is smart.', 'Bob is smart.', True)
('Bob is smart.', 'Bob is smart.', True)
('Anne is poor.', 'Anne is poor.', True)
('Anne is poor.', 'Anne is poor.', True)
('Anne is strong.', 'Anne is strong.', True)
('Anne is strong.', 'Anne is strong.', True)
('Erin is small.', 'Erin is small.', True)
('Erin is small.', 'Erin is small.', True)
('Fiona is wealthy.', 'Fiona is wealthy.', True)
('Fiona is wealthy.', 'Fiona is wealthy.', True)
('Gary is dull.', 'Gary is dull.', True)
('Gary is dull.', 'Gary is dull.', True)
('Gary is heavy.', 'Gary is heavy.', True)
('Gary is heavy.', 'Gary is heavy.', True)
('Erin is thin.', 'Erin is thin.', True)
('Erin is thin.', 'Erin is thin.', True)
('Harry is quiet.', 'Harry is quiet.', True)
('Harry is quiet.', 'Harry is quiet.', True)
('Alan is dull.', 'Alan is dull.', True)
('Alan is dull.', 'Alan is dull.', True)
('Bob is high.', 'Bob is high.', True)
('Bob is high.', 'Bob is high.', True)
('Anne is short.', 'Anne is short.', True)
('Anne is short.', 'Anne is short.', True)
('Dave is smart.', 'Dave is smart.', True)
('Dave is smart.', 'Dave is smart.', True)
('Gary is sad.', 'Gary is sad.', True)
('Gary is sad.', 'Gary is sad.', True)
('Alan is high.', 'Alan is high.', True)
('Alan is high.', 'Alan is high.', True)
('Bob is short.', 'Bob is short.', True)
('Bob is short.', 'Bob is short.', True)
('Charlie is quiet.', 'Charlie is quiet.', True)
('Charlie is quiet.', 'Charlie is quiet.', True)
('Dave is bad.', 'Dave is bad.', True)
('Dave is bad.', 'Dave is bad.', True)
('Harry is heavy.', 'Harry is heavy.', True)
('Harry is heavy.', 'Harry is heavy.', True)
('Dave is short.', 'Dave is short.', True)
('Dave is short.', 'Dave is short.', True)
('Gary is wealthy.', 'Gary is wealthy.', True)
('Gary is wealthy.', 'Gary is wealthy.', True)
('Erin is poor.', 'Erin is poor.', True)
('Erin is poor.', 'Erin is poor.', True)
('Alan is big.', 'Alan is big.', True)
('Alan is big.', 'Alan is big.', True)
('Gary is short.', 'Gary is short.', True)
('Gary is short.', 'Gary is short.', True)
('Fiona is clever.', 'Fiona is clever.', True)
('Fiona is clever.', 'Fiona is clever.', True)
('Bob is imperfect.', 'Bob is imperfect.', True)
('Bob is imperfect.', 'Bob is imperfect.', True)
('Gary is strong.', 'Gary is strong.', True)
('Gary is strong.', 'Gary is strong.', True)
('Anne is small.', 'Anne is small.', True)
('Anne is small.', 'Anne is small.', True)
('Dave is smart.', 'Dave is smart.', True)
('Dave is smart.', 'Dave is smart.', True)
('Fiona is imperfect.', 'Fiona is imperfect.', True)
('Fiona is imperfect.', 'Fiona is imperfect.', True)
('Harry is heavy.', 'Harry is heavy.', True)
('Harry is heavy.', 'Harry is heavy.', True)
('Bob is little.', 'Bob is little.', True)
('Bob is little.', 'Bob is little.', True)
('Dave is nice.', 'Dave is nice.', True)
('Dave is nice.', 'Dave is nice.', True)
('Gary is rough.', 'Gary is rough.', True)
('Gary is rough.', 'Gary is rough.', True)
('Harry is heavy.', 'Harry is heavy.', True)
('Harry is heavy.', 'Harry is heavy.', True)
('Fiona is little.', 'Fiona is little.', True)
('Fiona is little.', 'Fiona is little.', True)
('Charlie is wealthy.', 'Charlie is wealthy.', True)
('Charlie is wealthy.', 'Charlie is wealthy.', True)
('Gary is sad.', 'Gary is sad.', True)
('Gary is sad.', 'Gary is sad.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Erin is small.', 'Erin is small.', True)
('Erin is small.', 'Erin is small.', True)
('Gary is kind.', 'Gary is kind.', True)
('Gary is kind.', 'Gary is kind.', True)
('Harry is imperfect.', 'Harry is imperfect.', True)
('Harry is imperfect.', 'Harry is imperfect.', True)
('Anne is huge.', 'Anne is huge.', True)
('Anne is huge.', 'Anne is huge.', True)
('Erin is tiny.', 'Erin is tiny.', True)
('Erin is tiny.', 'Erin is tiny.', True)
('Gary is clever.', 'Gary is clever.', True)
('Gary is clever.', 'Gary is clever.', True)
('Bob is rough.', 'Bob is rough.', True)
('Bob is rough.', 'Bob is rough.', True)
('Anne is strong.', 'Anne is strong.', True)
('Anne is strong.', 'Anne is strong.', True)
('Charlie is small.', 'Charlie is small.', True)
('Charlie is small.', 'Charlie is small.', True)
