('Fiona is high.', 'Fiona is small.', False)
('Charlie is strong.', 'Charlie is strong.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Erin is thin.', 'Erin is small.', False)
('Erin is thin.', 'Erin is small.', False)
('Gary is quiet.', 'Gary is clever.', False)
('Gary is quiet.', 'Gary is clever.', False)
('Fiona is bad.', 'Fiona is sad.', False)
('Fiona is bad.', 'Fiona is sad.', False)
('Fiona is big.', 'Fiona is strong.', False)
('Fiona is big.', 'Fiona is strong.', False)
('Gary is thin.', 'Gary is small.', False)
('Gary is thin.', 'Gary is small.', False)
('Alan is clever.', 'Alan is clever.', True)
('Alan is clever.', 'Alan is clever.', True)
('Dave is poor.', 'Dave is sad.', False)
('Dave is poor.', 'Dave is sad.', False)
('Charlie is huge.', 'Charlie is strong.', False)
('Charlie is huge.', 'Charlie is strong.', False)
('Fiona is small.', 'Fiona is small.', True)
('Fiona is small.', 'Fiona is small.', True)
('Erin is kind.', 'Erin is kind.', True)
('Erin is kind.', 'Erin is kind.', True)
('Anne is dull.', 'Anne is dull.', True)
('Anne is dull.', 'Anne is dull.', True)
('Harry is high.', 'Harry is strong.', False)
('Harry is high.', 'Harry is strong.', False)
('Charlie is little.', 'Charlie is small.', False)
('Charlie is little.', 'Charlie is small.', False)
('Bob is wealthy.', 'Bob is clever.', False)
('Bob is wealthy.', 'Bob is clever.', False)
('Dave is poor.', 'Dave is dull.', False)
('Dave is poor.', 'Dave is dull.', False)
('Alan is strong.', 'Alan is small.', False)
('Alan is strong.', 'Alan is small.', False)
('Gary is tiny.', 'Gary is small.', False)
('Gary is tiny.', 'Gary is small.', False)
('Charlie is kind.', 'Charlie is kind.', True)
('Charlie is kind.', 'Charlie is kind.', True)
('Dave is bad.', 'Dave is bad.', True)
('Dave is bad.', 'Dave is poor.', False)
('Dave is strong.', 'Dave is strong.', True)
('Dave is strong.', 'Dave is strong.', True)
('Anne is small.', 'Anne is small.', True)
('Anne is small.', 'Anne is small.', True)
('Harry is clever.', 'Harry is clever.', True)
('Harry is clever.', 'Harry is clever.', True)
('Bob is bad.', 'Bob is sad.', False)
('Bob is bad.', 'Bob is sad.', False)
('Erin is high.', 'Erin is strong.', False)
('Erin is high.', 'Erin is strong.', False)
('Bob is short.', 'Bob is small.', False)
('Bob is short.', 'Bob is small.', False)
('Fiona is smart.', 'Fiona is kind.', False)
('Fiona is smart.', 'Fiona is kind.', False)
('Anne is sad.', 'Anne is sad.', True)
('Anne is sad.', 'Anne is sad.', True)
('Gary is huge.', 'Gary is strong.', False)
('Gary is huge.', 'Gary is strong.', False)
('Bob is tiny.', 'Bob is small.', False)
('Bob is tiny.', 'Bob is small.', False)
('Erin is clever.', 'Erin is clever.', True)
('Erin is clever.', 'Erin is clever.', True)
('Harry is poor.', 'Harry is imperfect.', False)
('Harry is poor.', 'Harry is imperfect.', False)
('Alan is high.', 'Alan is strong.', False)
('Alan is high.', 'Alan is strong.', False)
('Bob is small.', 'Bob is small.', True)
('Bob is small.', 'Bob is small.', True)
('Erin is wealthy.', 'Erin is clever.', False)
('Erin is wealthy.', 'Erin is clever.', False)
('Fiona is poor.', 'Fiona is sad.', False)
('Fiona is poor.', 'Fiona is sad.', False)
('Anne is strong.', 'Anne is strong.', True)
('Anne is strong.', 'Anne is strong.', True)
('Charlie is short.', 'Charlie is strong.', False)
('Charlie is short.', 'Charlie is strong.', False)
('Bob is clever.', 'Bob is clever.', True)
('Bob is clever.', 'Bob is clever.', True)
('Alan is bad.', 'Alan is sad.', False)
('Alan is bad.', 'Alan is sad.', False)
('Gary is big.', 'Gary is strong.', False)
('Gary is big.', 'Gary is strong.', False)
('Dave is little.', 'Dave is clever.', False)
('Dave is little.', 'Dave is clever.', False)
('Fiona is quiet.', 'Fiona is clever.', False)
('Fiona is quiet.', 'Fiona is clever.', False)
('Charlie is poor.', 'Charlie is sad.', False)
('Charlie is poor.', 'Charlie is sad.', False)
('Harry is big.', 'Harry is strong.', False)
('Harry is big.', 'Harry is strong.', False)
('Dave is thin.', 'Dave is small.', False)
('Dave is thin.', 'Dave is small.', False)
('Anne is nice.', 'Anne is clever.', False)
('Anne is nice.', 'Anne is clever.', False)
('Charlie is bad.', 'Charlie is sad.', False)
('Charlie is bad.', 'Charlie is sad.', False)
('Erin is high.', 'Erin is strong.', False)
('Erin is high.', 'Erin is strong.', False)
('Alan is small.', 'Alan is small.', True)
('Alan is small.', 'Alan is small.', True)
('Dave is nice.', 'Dave is kind.', False)
('Dave is nice.', 'Dave is kind.', False)
('Harry is poor.', 'Harry is imperfect.', False)
('Harry is poor.', 'Harry is imperfect.', False)
('Fiona is big.', 'Fiona is strong.', False)
('Fiona is big.', 'Fiona is strong.', False)
('Gary is tiny.', 'Gary is small.', False)
('Gary is tiny.', 'Gary is small.', False)
('Erin is smart.', 'Erin is kind.', False)
('Erin is smart.', 'Erin is kind.', False)
('Anne is poor.', 'Anne is sad.', False)
('Anne is poor.', 'Anne is sad.', False)
('Alan is big.', 'Alan is strong.', False)
('Alan is big.', 'Alan is strong.', False)
('Dave is tiny.', 'Dave is small.', False)
('Dave is tiny.', 'Dave is small.', False)
('Anne is clever.', 'Anne is clever.', True)
('Anne is clever.', 'Anne is clever.', True)
('Gary is rough.', 'Gary is imperfect.', False)
('Gary is rough.', 'Gary is imperfect.', False)
('Harry is heavy.', 'Harry is strong.', False)
('Harry is heavy.', 'Harry is strong.', False)
('Charlie is tiny.', 'Charlie is small.', False)
('Charlie is tiny.', 'Charlie is small.', False)
('Erin is wealthy.', 'Erin is kind.', False)
('Erin is wealthy.', 'Erin is kind.', False)
('Anne is sad.', 'Anne is sad.', True)
('Anne is sad.', 'Anne is sad.', True)
('Alan is heavy.', 'Alan is strong.', False)
('Alan is heavy.', 'Alan is strong.', False)
('Charlie is short.', 'Charlie is small.', False)
('Charlie is short.', 'Charlie is small.', False)
('Erin is clever.', 'Erin is clever.', True)
('Erin is clever.', 'Erin is clever.', True)
('Harry is bad.', 'Harry is imperfect.', False)
('Harry is bad.', 'Harry is imperfect.', False)
('Gary is high.', 'Gary is small.', False)
('Gary is high.', 'Gary is small.', False)
('Charlie is small.', 'Charlie is small.', True)
('Charlie is small.', 'Charlie is small.', True)
('Fiona is nice.', 'Fiona is kind.', False)
('Fiona is nice.', 'Fiona is kind.', False)
('Alan is imperfect.', 'Alan is sad.', False)
('Alan is imperfect.', 'Alan is sad.', False)
('Gary is big.', 'Gary is small.', False)
('Gary is big.', 'Gary is small.', False)
('Alan is short.', 'Alan is small.', False)
('Alan is short.', 'Alan is small.', False)
('Fiona is wealthy.', 'Fiona is kind.', False)
('Fiona is wealthy.', 'Fiona is kind.', False)
('Charlie is bad.', 'Charlie is sad.', False)
('Charlie is bad.', 'Charlie is sad.', False)
('Erin is big.', 'Erin is strong.', False)
('Erin is big.', 'Erin is strong.', False)
('Anne is little.', 'Anne is clever.', False)
('Anne is little.', 'Anne is clever.', False)
('Fiona is nice.', 'Fiona is clever.', False)
('Fiona is nice.', 'Fiona is clever.', False)
('Harry is poor.', 'Harry is bad.', False)
('Harry is poor.', 'Harry is poor.', True)
('Erin is strong.', 'Erin is strong.', True)
('Erin is strong.', 'Erin is strong.', True)
('Alan is tiny.', 'Alan is small.', False)
('Alan is tiny.', 'Alan is small.', False)
('Anne is clever.', 'Anne is clever.', True)
('Anne is clever.', 'Anne is clever.', True)
('Charlie is dull.', 'Charlie is imperfect.', False)
('Charlie is dull.', 'Charlie is imperfect.', False)
('Anne is big.', 'Anne is strong.', False)
('Anne is big.', 'Anne is strong.', False)
('Gary is little.', 'Gary is small.', False)
('Gary is little.', 'Gary is small.', False)
('Erin is quiet.', 'Erin is kind.', False)
('Erin is quiet.', 'Erin is kind.', False)
('Alan is bad.', 'Alan is imperfect.', False)
('Alan is bad.', 'Alan is imperfect.', False)
('Gary is strong.', 'Gary is strong.', True)
('Gary is strong.', 'Gary is strong.', True)
('Alan is tiny.', 'Alan is small.', False)
('Alan is tiny.', 'Alan is small.', False)
('Erin is quiet.', 'Erin is clever.', False)
('Erin is quiet.', 'Erin is clever.', False)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Anne is little.', 'Anne is strong.', False)
('Anne is little.', 'Anne is strong.', False)
('Dave is kind.', 'Dave is kind.', True)
('Dave is kind.', 'Dave is kind.', True)
('Bob is sad.', 'Bob is sad.', True)
('Bob is sad.', 'Bob is sad.', True)
('Dave is heavy.', 'Dave is strong.', False)
('Dave is heavy.', 'Dave is strong.', False)
('Harry is little.', 'Harry is small.', False)
('Harry is little.', 'Harry is small.', False)
('Gary is smart.', 'Gary is clever.', False)
('Gary is smart.', 'Gary is clever.', False)
('Alan is poor.', 'Alan is bad.', False)
('Alan is poor.', 'Alan is bad.', False)
('Alan is huge.', 'Alan is strong.', False)
('Alan is huge.', 'Alan is strong.', False)
('Charlie is little.', 'Charlie is small.', False)
('Charlie is little.', 'Charlie is small.', False)
('Harry is wealthy.', 'Harry is clever.', False)
('Harry is wealthy.', 'Harry is clever.', False)
('Anne is dull.', 'Anne is dull.', True)
('Anne is dull.', 'Anne is dull.', True)
('Dave is heavy.', 'Dave is strong.', False)
('Dave is heavy.', 'Dave is strong.', False)
('Anne is short.', 'Anne is small.', False)
('Anne is short.', 'Anne is small.', False)
('Erin is kind.', 'Erin is clever.', False)
('Erin is kind.', 'Erin is clever.', False)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Gary is big.', 'Gary is strong.', False)
('Gary is big.', 'Gary is strong.', False)
('Erin is small.', 'Erin is small.', True)
('Erin is small.', 'Erin is small.', True)
('Charlie is quiet.', 'Charlie is clever.', False)
('Charlie is quiet.', 'Charlie is clever.', False)
('Alan is dull.', 'Alan is sad.', False)
('Alan is dull.', 'Alan is sad.', False)
('Alan is heavy.', 'Alan is strong.', False)
('Alan is heavy.', 'Alan is strong.', False)
('Fiona is little.', 'Fiona is clever.', False)
('Fiona is little.', 'Fiona is clever.', False)
('Erin is clever.', 'Erin is clever.', True)
('Erin is clever.', 'Erin is clever.', True)
('Gary is rough.', 'Gary is sad.', False)
('Gary is rough.', 'Gary is sad.', False)
('Bob is big.', 'Bob is strong.', False)
('Bob is big.', 'Bob is strong.', False)
('Charlie is tiny.', 'Charlie is small.', False)
('Charlie is tiny.', 'Charlie is small.', False)
('Gary is wealthy.', 'Gary is kind.', False)
('Gary is wealthy.', 'Gary is kind.', False)
('Fiona is poor.', 'Fiona is sad.', False)
('Fiona is poor.', 'Fiona is sad.', False)
('Charlie is high.', 'Charlie is strong.', False)
('Charlie is high.', 'Charlie is strong.', False)
('Anne is small.', 'Anne is small.', True)
('Anne is small.', 'Anne is small.', True)
('Harry is quiet.', 'Harry is smart.', False)
('Harry is quiet.', 'Harry is clever.', False)
('Alan is rough.', 'Alan is imperfect.', False)
('Alan is rough.', 'Alan is imperfect.', False)
('Charlie is heavy.', 'Charlie is strong.', False)
('Charlie is heavy.', 'Charlie is strong.', False)
('Gary is small.', 'Gary is small.', True)
('Gary is small.', 'Gary is small.', True)
('Erin is smart.', 'Erin is clever.', False)
('Erin is smart.', 'Erin is clever.', False)
('Anne is rough.', 'Anne is sad.', False)
('Anne is rough.', 'Anne is sad.', False)
('Alan is strong.', 'Alan is strong.', True)
('Alan is strong.', 'Alan is strong.', True)
('Harry is little.', 'Harry is small.', False)
('Harry is little.', 'Harry is small.', False)
('Bob is smart.', 'Bob is kind.', False)
('Bob is smart.', 'Bob is kind.', False)
('Anne is poor.', 'Anne is dull.', False)
('Anne is poor.', 'Anne is dull.', False)
('Anne is big.', 'Anne is clever.', False)
('Anne is big.', 'Anne is clever.', False)
('Dave is small.', 'Dave is small.', True)
('Dave is small.', 'Dave is clever.', False)
('Harry is quiet.', 'Harry is clever.', False)
('Harry is quiet.', 'Harry is clever.', False)
('Gary is imperfect.', 'Gary is imperfect.', True)
('Gary is imperfect.', 'Gary is sad.', False)
('Alan is big.', 'Alan is strong.', False)
('Alan is big.', 'Alan is strong.', False)
('Fiona is small.', 'Fiona is small.', True)
('Fiona is small.', 'Fiona is small.', True)
('Erin is clever.', 'Erin is clever.', True)
('Erin is clever.', 'Erin is clever.', True)
('Anne is poor.', 'Anne is bad.', False)
('Anne is poor.', 'Anne is bad.', False)
('Harry is big.', 'Harry is small.', False)
('Harry is big.', 'Harry is small.', False)
('Alan is short.', 'Alan is small.', False)
('Alan is short.', 'Alan is small.', False)
('Bob is smart.', 'Bob is clever.', False)
('Bob is smart.', 'Bob is clever.', False)
('Erin is imperfect.', 'Erin is imperfect.', True)
('Erin is imperfect.', 'Erin is imperfect.', True)
('Charlie is heavy.', 'Charlie is strong.', False)
('Charlie is heavy.', 'Charlie is strong.', False)
('Fiona is small.', 'Fiona is small.', True)
('Fiona is small.', 'Fiona is small.', True)
('Dave is quiet.', 'Dave is clever.', False)
('Dave is quiet.', 'Dave is clever.', False)
('Anne is dull.', 'Anne is dull.', True)
('Anne is dull.', 'Anne is dull.', True)
('Erin is heavy.', 'Erin is strong.', False)
('Erin is heavy.', 'Erin is strong.', False)
('Harry is short.', 'Harry is small.', False)
('Harry is short.', 'Harry is small.', False)
('Charlie is kind.', 'Charlie is kind.', True)
('Charlie is kind.', 'Charlie is kind.', True)
('Anne is imperfect.', 'Anne is sad.', False)
('Anne is imperfect.', 'Anne is sad.', False)
('Dave is huge.', 'Dave is strong.', False)
('Dave is huge.', 'Dave is strong.', False)
('Harry is small.', 'Harry is small.', True)
('Harry is small.', 'Harry is small.', True)
('Charlie is quiet.', 'Charlie is clever.', False)
('Charlie is quiet.', 'Charlie is clever.', False)
('Anne is poor.', 'Anne is imperfect.', False)
('Anne is poor.', 'Anne is imperfect.', False)
('Alan is high.', 'Alan is strong.', False)
('Alan is high.', 'Alan is strong.', False)
('Gary is small.', 'Gary is small.', True)
('Gary is small.', 'Gary is small.', True)
('Erin is nice.', 'Erin is clever.', False)
('Erin is nice.', 'Erin is clever.', False)
('Fiona is bad.', 'Fiona is dull.', False)
('Fiona is bad.', 'Fiona is dull.', False)
('Gary is high.', 'Gary is high.', True)
('Gary is high.', 'Gary is strong.', False)
('Anne is thin.', 'Anne is small.', False)
('Anne is thin.', 'Anne is small.', False)
('Alan is quiet.', 'Alan is smart.', False)
('Alan is quiet.', 'Alan is smart.', False)
('Erin is imperfect.', 'Erin is sad.', False)
('Erin is imperfect.', 'Erin is sad.', False)
('Charlie is heavy.', 'Charlie is strong.', False)
('Charlie is heavy.', 'Charlie is strong.', False)
('Harry is small.', 'Harry is small.', True)
('Harry is small.', 'Harry is small.', True)
('Gary is clever.', 'Gary is clever.', True)
('Gary is clever.', 'Gary is clever.', True)
('Erin is bad.', 'Erin is sad.', False)
('Erin is bad.', 'Erin is sad.', False)
('Alan is big.', 'Alan is strong.', False)
('Alan is big.', 'Alan is strong.', False)
('Harry is small.', 'Harry is small.', True)
('Harry is small.', 'Harry is small.', True)
('Erin is quiet.', 'Erin is clever.', False)
('Erin is quiet.', 'Erin is clever.', False)
('Charlie is poor.', 'Charlie is sad.', False)
('Charlie is poor.', 'Charlie is sad.', False)
('Gary is strong.', 'Gary is strong.', True)
('Gary is strong.', 'Gary is strong.', True)
('Alan is little.', 'Alan is small.', False)
('Alan is little.', 'Alan is small.', False)
('Harry is kind.', 'Harry is clever.', False)
('Harry is kind.', 'Harry is clever.', False)
('Dave is poor.', 'Dave is sad.', False)
('Dave is poor.', 'Dave is sad.', False)
('Harry is huge.', 'Harry is strong.', False)
('Harry is huge.', 'Harry is strong.', False)
('Erin is tiny.', 'Erin is clever.', False)
('Erin is tiny.', 'Erin is clever.', False)
('Charlie is kind.', 'Charlie is clever.', False)
('Charlie is kind.', 'Charlie is clever.', False)
('Gary is poor.', 'Gary is sad.', False)
('Gary is poor.', 'Gary is sad.', False)
('Charlie is strong.', 'Charlie is strong.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Bob is tiny.', 'Bob is clever.', False)
('Bob is tiny.', 'Bob is clever.', False)
('Gary is clever.', 'Gary is clever.', True)
('Gary is clever.', 'Gary is clever.', True)
('Dave is rough.', 'Dave is sad.', False)
('Dave is rough.', 'Dave is sad.', False)
('Bob is big.', 'Bob is strong.', False)
('Bob is big.', 'Bob is strong.', False)
('Erin is small.', 'Erin is small.', True)
('Erin is small.', 'Erin is small.', True)
('Harry is wealthy.', 'Harry is kind.', False)
('Harry is wealthy.', 'Harry is kind.', False)
('Alan is imperfect.', 'Alan is dull.', False)
('Alan is imperfect.', 'Alan is dull.', False)
('Erin is high.', 'Erin is strong.', False)
('Erin is high.', 'Erin is strong.', False)
('Anne is small.', 'Anne is small.', True)
('Anne is small.', 'Anne is small.', True)
('Gary is wealthy.', 'Gary is kind.', False)
('Gary is wealthy.', 'Gary is kind.', False)
('Alan is dull.', 'Alan is imperfect.', False)
('Alan is dull.', 'Alan is imperfect.', False)
('Fiona is strong.', 'Fiona is strong.', True)
('Fiona is strong.', 'Fiona is strong.', True)
('Charlie is thin.', 'Charlie is small.', False)
('Charlie is thin.', 'Charlie is small.', False)
('Erin is nice.', 'Erin is clever.', False)
('Erin is nice.', 'Erin is clever.', False)
('Gary is sad.', 'Gary is sad.', True)
('Gary is sad.', 'Gary is sad.', True)
('Gary is heavy.', 'Gary is small.', False)
('Gary is heavy.', 'Gary is small.', False)
('Dave is little.', 'Dave is small.', False)
('Dave is little.', 'Dave is small.', False)
('Erin is quiet.', 'Erin is kind.', False)
('Erin is quiet.', 'Erin is kind.', False)
('Fiona is bad.', 'Fiona is sad.', False)
('Fiona is bad.', 'Fiona is sad.', False)
('Fiona is strong.', 'Fiona is strong.', True)
('Fiona is strong.', 'Fiona is strong.', True)
('Gary is tiny.', 'Gary is small.', False)
('Gary is tiny.', 'Gary is small.', False)
('Alan is clever.', 'Alan is clever.', True)
('Alan is clever.', 'Alan is clever.', True)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Bob is big.', 'Bob is strong.', False)
('Bob is big.', 'Bob is strong.', False)
('Fiona is little.', 'Fiona is small.', False)
('Fiona is little.', 'Fiona is small.', False)
('Anne is clever.', 'Anne is clever.', True)
('Anne is clever.', 'Anne is clever.', True)
('Alan is dull.', 'Alan is sad.', False)
('Alan is dull.', 'Alan is sad.', False)
('Dave is huge.', 'Dave is strong.', False)
('Dave is huge.', 'Dave is strong.', False)
('Anne is small.', 'Anne is small.', True)
('Anne is small.', 'Anne is small.', True)
('Bob is wealthy.', 'Bob is clever.', False)
('Bob is wealthy.', 'Bob is clever.', False)
('Charlie is poor.', 'Charlie is sad.', False)
('Charlie is poor.', 'Charlie is sad.', False)
('Anne is big.', 'Anne is strong.', False)
('Anne is big.', 'Anne is strong.', False)
('Fiona is tiny.', 'Fiona is small.', False)
('Fiona is tiny.', 'Fiona is small.', False)
('Erin is clever.', 'Erin is clever.', True)
('Erin is clever.', 'Erin is clever.', True)
('Charlie is bad.', 'Charlie is sad.', False)
('Charlie is bad.', 'Charlie is sad.', False)
('Harry is huge.', 'Harry is strong.', False)
('Harry is huge.', 'Harry is strong.', False)
('Fiona is short.', 'Fiona is clever.', False)
('Fiona is short.', 'Fiona is clever.', False)
('Dave is quiet.', 'Dave is clever.', False)
('Dave is quiet.', 'Dave is clever.', False)
('Bob is imperfect.', 'Bob is sad.', False)
('Bob is imperfect.', 'Bob is sad.', False)
('Alan is big.', 'Alan is strong.', False)
('Alan is big.', 'Alan is strong.', False)
('Dave is tiny.', 'Dave is clever.', False)
('Dave is tiny.', 'Dave is clever.', False)
('Harry is smart.', 'Harry is clever.', False)
('Harry is smart.', 'Harry is clever.', False)
('Bob is dull.', 'Bob is sad.', False)
('Bob is dull.', 'Bob is sad.', False)
('Charlie is strong.', 'Charlie is strong.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Gary is short.', 'Gary is small.', False)
('Gary is short.', 'Gary is small.', False)
('Erin is clever.', 'Erin is clever.', True)
('Erin is clever.', 'Erin is clever.', True)
('Bob is imperfect.', 'Bob is sad.', False)
('Bob is imperfect.', 'Bob is sad.', False)
('Fiona is big.', 'Fiona is strong.', False)
('Fiona is big.', 'Fiona is strong.', False)
('Harry is short.', 'Harry is clever.', False)
('Harry is short.', 'Harry is clever.', False)
('Alan is quiet.', 'Alan is clever.', False)
('Alan is quiet.', 'Alan is clever.', False)
('Erin is poor.', 'Erin is bad.', False)
('Erin is poor.', 'Erin is bad.', False)
('Alan is huge.', 'Alan is strong.', False)
('Alan is huge.', 'Alan is strong.', False)
('Erin is little.', 'Erin is clever.', False)
('Erin is little.', 'Erin is clever.', False)
('Bob is smart.', 'Bob is clever.', False)
('Bob is smart.', 'Bob is clever.', False)
('Anne is poor.', 'Anne is sad.', False)
('Anne is poor.', 'Anne is sad.', False)
('Anne is strong.', 'Anne is strong.', True)
('Anne is strong.', 'Anne is strong.', True)
('Erin is small.', 'Erin is small.', True)
('Erin is small.', 'Erin is small.', True)
('Fiona is wealthy.', 'Fiona is clever.', False)
('Fiona is wealthy.', 'Fiona is clever.', False)
('Gary is dull.', 'Gary is dull.', True)
('Gary is dull.', 'Gary is dull.', True)
('Gary is heavy.', 'Gary is strong.', False)
('Gary is heavy.', 'Gary is strong.', False)
('Erin is thin.', 'Erin is small.', False)
('Erin is thin.', 'Erin is small.', False)
('Harry is quiet.', 'Harry is clever.', False)
('Harry is quiet.', 'Harry is clever.', False)
('Alan is dull.', 'Alan is poor.', False)
('Alan is dull.', 'Alan is poor.', False)
('Bob is high.', 'Bob is strong.', False)
('Bob is high.', 'Bob is strong.', False)
('Anne is short.', 'Anne is small.', False)
('Anne is short.', 'Anne is small.', False)
('Dave is smart.', 'Dave is clever.', False)
('Dave is smart.', 'Dave is clever.', False)
('Gary is sad.', 'Gary is sad.', True)
('Gary is sad.', 'Gary is sad.', True)
('Alan is high.', 'Alan is high.', True)
('Alan is high.', 'Alan is high.', True)
('Bob is short.', 'Bob is small.', False)
('Bob is short.', 'Bob is small.', False)
('Charlie is quiet.', 'Charlie is clever.', False)
('Charlie is quiet.', 'Charlie is nice.', False)
('Dave is bad.', 'Dave is dull.', False)
('Dave is bad.', 'Dave is dull.', False)
('Harry is heavy.', 'Harry is strong.', False)
('Harry is heavy.', 'Harry is strong.', False)
('Dave is short.', 'Dave is clever.', False)
('Dave is short.', 'Dave is clever.', False)
('Gary is wealthy.', 'Gary is clever.', False)
('Gary is wealthy.', 'Gary is clever.', False)
('Erin is poor.', 'Erin is sad.', False)
('Erin is poor.', 'Erin is sad.', False)
('Alan is big.', 'Alan is strong.', False)
('Alan is big.', 'Alan is strong.', False)
('Gary is short.', 'Gary is small.', False)
('Gary is short.', 'Gary is small.', False)
('Fiona is clever.', 'Fiona is clever.', True)
('Fiona is clever.', 'Fiona is clever.', True)
('Bob is imperfect.', 'Bob is sad.', False)
('Bob is imperfect.', 'Bob is sad.', False)
('Gary is strong.', 'Gary is strong.', True)
('Gary is strong.', 'Gary is strong.', True)
('Anne is small.', 'Anne is small.', True)
('Anne is small.', 'Anne is small.', True)
('Dave is smart.', 'Dave is smart.', True)
('Dave is smart.', 'Dave is smart.', True)
('Fiona is imperfect.', 'Fiona is sad.', False)
('Fiona is imperfect.', 'Fiona is sad.', False)
('Harry is heavy.', 'Harry is strong.', False)
('Harry is heavy.', 'Harry is strong.', False)
('Bob is little.', 'Bob is small.', False)
('Bob is little.', 'Bob is small.', False)
('Dave is nice.', 'Dave is nice.', True)
('Dave is nice.', 'Dave is nice.', True)
('Gary is rough.', 'Gary is sad.', False)
('Gary is rough.', 'Gary is sad.', False)
('Harry is heavy.', 'Harry is strong.', False)
('Harry is heavy.', 'Harry is strong.', False)
('Fiona is little.', 'Fiona is small.', False)
('Fiona is little.', 'Fiona is small.', False)
('Charlie is wealthy.', 'Charlie is clever.', False)
('Charlie is wealthy.', 'Charlie is strong.', False)
('Gary is sad.', 'Gary is sad.', True)
('Gary is sad.', 'Gary is sad.', True)
('Dave is heavy.', 'Dave is small.', False)
('Dave is heavy.', 'Dave is small.', False)
('Erin is small.', 'Erin is small.', True)
('Erin is small.', 'Erin is small.', True)
('Gary is kind.', 'Gary is kind.', True)
('Gary is kind.', 'Gary is kind.', True)
('Harry is imperfect.', 'Harry is imperfect.', True)
('Harry is imperfect.', 'Harry is imperfect.', True)
('Anne is huge.', 'Anne is strong.', False)
('Anne is huge.', 'Anne is strong.', False)
('Erin is tiny.', 'Erin is small.', False)
('Erin is tiny.', 'Erin is small.', False)
('Gary is clever.', 'Gary is clever.', True)
('Gary is clever.', 'Gary is clever.', True)
('Bob is rough.', 'Bob is sad.', False)
('Bob is rough.', 'Bob is sad.', False)
('Anne is strong.', 'Anne is strong.', True)
('Anne is strong.', 'Anne is strong.', True)
('Charlie is small.', 'Charlie is small.', True)
('Charlie is small.', 'Charlie is small.', True)
('Dave is clever.', 'Dave is clever.', True)
('Dave is clever.', 'Dave is clever.', True)
('Alan is rough.', 'Alan is sad.', False)
('Alan is rough.', 'Alan is sad.', False)
('Dave is big.', 'Dave is strong.', False)
('Dave is big.', 'Dave is strong.', False)
