('Fiona is high.', 'The lion is lion is lion is lion is lion is lio', False)
('Harry is poor.', 'The Harry is dull.', False)
('Alan is high.', 'The Alan is strong.', False)
('Alan is high.', 'The Alan is strong.', False)
('Bob is small.', 'The dinosaur is small.', False)
('Bob is small.', 'The bear is small.', False)
('Erin is wealthy.', 'The lion is wealthy.', False)
('Erin is wealthy.', 'The lion is wealthy.', False)
('Fiona is poor.', 'The lion is poor.', False)
('Fiona is poor.', 'The lion is poor.', False)
('Anne is strong.', 'The lion is strong.', False)
('Anne is strong.', 'The lion is strong.', False)
('Charlie is short.', 'The Charlie is short.', False)
('Charlie is short.', 'The Charlie is short.', False)
('Bob is clever.', 'The Bob is smart.', False)
('Bob is clever.', 'The Bob is smart.', False)
('Alan is bad.', 'The Alan is bad.', False)
('Alan is bad.', 'The Alan is bad.', False)
('Gary is big.', 'The bald eagle is big.', False)
('Gary is big.', 'The bald eagle is big.', False)
('Dave is little.', 'The dinosaur is short.', False)
('Dave is little.', 'The Dave is short.', False)
('Fiona is quiet.', 'The lion is quiet.', False)
('Fiona is quiet.', 'The falcon is quiet.', False)
('Charlie is poor.', 'The Charlie is poor.', False)
('Charlie is poor.', 'The Charlie is poor.', False)
('Harry is big.', 'The lion is big.', False)
('Harry is big.', 'The bald eagle is big.', False)
('Dave is thin.', 'The Dave is cute.', False)
('Dave is thin.', 'The Dave is cute.', False)
('Anne is nice.', 'The lion is nice.', False)
('Anne is nice.', 'The lion is nice.', False)
('Charlie is bad.', 'The Charlie is bad.', False)
('Charlie is bad.', 'The Charlie is bad.', False)
('Erin is high.', 'The bald eagle is strong.', False)
('Erin is high.', 'The bald eagle is strong.', False)
('Alan is small.', 'The Alan is small.', False)
('Alan is small.', 'The Alan is small.', False)
('Dave is nice.', 'The dinosaur is nice.', False)
('Dave is nice.', 'The dinosaur is nice.', False)
('Harry is poor.', 'The lion is poor.', False)
('Harry is poor.', 'The Harry is poor.', False)
('Fiona is big.', 'The lion is big.', False)
('Fiona is big.', 'The lion is big.', False)
('Gary is tiny.', 'The bald eagle is dull.', False)
('Gary is tiny.', 'The bald eagle is dull.', False)
('Erin is smart.', 'The bald eagle is smart.', False)
('Erin is smart.', 'The bald eagle is smart.', False)
('Anne is poor.', 'The lion is poor.', False)
('Anne is poor.', 'The lion is poor.', False)
('Alan is big.', 'The Alan is big.', False)
('Alan is big.', 'The Alan is big.', False)
('Dave is tiny.', 'The Dave is short.', False)
('Dave is tiny.', 'The Dave is short.', False)
('Anne is clever.', 'The lion is wealthy.', False)
('Anne is clever.', 'The lion is wealthy.', False)
('Gary is rough.', 'The bald eagle is rough.', False)
('Gary is rough.', 'The bald eagle is rough.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Charlie is tiny.', 'The Charlie is small.', False)
('Charlie is tiny.', 'The Charlie is small.', False)
('Erin is wealthy.', 'The bald eagle is quiet.', False)
('Erin is wealthy.', 'The bald eagle is quiet.', False)
('Anne is sad.', 'The lion is sad.', False)
('Anne is sad.', 'The lion is sad.', False)
('Alan is heavy.', 'The Alan is heavy.', False)
('Alan is heavy.', 'The Alan is heavy.', False)
('Charlie is short.', 'The Charlie is short.', False)
('Charlie is short.', 'The Charlie is short.', False)
('Erin is clever.', 'The lion is smart.', False)
('Erin is clever.', 'The lion is smart.', False)
('Harry is bad.', 'The Harry is bad.', False)
('Harry is bad.', 'The Harry is bad.', False)
('Gary is high.', 'The bald eagle is awful.', False)
('Gary is high.', 'The bald eagle is awful.', False)
('Charlie is small.', 'The wolf is small.', False)
('Charlie is small.', 'The Charlie is small.', False)
('Fiona is nice.', 'The lion is nice.', False)
('Fiona is nice.', 'The lion is nice.', False)
('Alan is imperfect.', 'The Alan is imperfect.', False)
('Alan is imperfect.', 'The Alan is imperfect.', False)
('Gary is big.', 'The bald eagle is big.', False)
('Gary is big.', 'The bald eagle is big.', False)
('Alan is short.', 'The Alan is short.', False)
('Alan is short.', 'The Alan is short.', False)
('Fiona is wealthy.', 'The lion is wealthy.', False)
('Fiona is wealthy.', 'The lion is wealthy.', False)
('Charlie is bad.', 'The Charlie is bad.', False)
('Charlie is bad.', 'The Charlie is bad.', False)
('Erin is big.', 'The bald eagle is big.', False)
('Erin is big.', 'The bald eagle is big.', False)
('Anne is little.', 'The lion is small.', False)
('Anne is little.', 'The lion is small.', False)
('Fiona is nice.', 'The ficon is nice.', False)
('Fiona is nice.', 'The ficon is nice.', False)
('Harry is poor.', 'The lion is nice.', False)
('Harry is poor.', 'The lion is poor.', False)
('Erin is strong.', 'The bald eagle is strong.', False)
('Erin is strong.', 'The bald eagle is strong.', False)
('Alan is tiny.', 'The lion is dull.', False)
('Alan is tiny.', 'The Alan is small.', False)
('Anne is clever.', 'The lion is smart.', False)
('Anne is clever.', 'The lion is smart.', False)
('Charlie is dull.', 'The dog is dull.', False)
('Charlie is dull.', 'The Charlie is dull.', False)
('Anne is big.', 'The lion is big.', False)
('Anne is big.', 'The lion is big.', False)
('Gary is little.', 'The bald eagle is beautiful.', False)
('Gary is little.', 'The bald eagle is small.', False)
('Erin is quiet.', 'The bald eagle is quiet.', False)
('Erin is quiet.', 'The bald eagle is quiet.', False)
('Alan is bad.', 'The Alan is bad.', False)
('Alan is bad.', 'The Alan is bad.', False)
('Gary is strong.', 'The bald eagle is strong.', False)
('Gary is strong.', 'The bald eagle is strong.', False)
('Alan is tiny.', 'The Alan is short.', False)
('Alan is tiny.', 'The Alan is short.', False)
('Erin is quiet.', 'The bald eagle is quiet.', False)
('Erin is quiet.', 'The lion is quiet.', False)
('Charlie is imperfect.', 'The wolf is imperfect.', False)
('Charlie is imperfect.', 'The Charlie is imperfect.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Anne is little.', 'The lion is a person is person.', False)
('Anne is little.', 'The lion is a person is person.', False)
('Dave is kind.', 'The Dave is kind.', False)
('Dave is kind.', 'The Dave is kind.', False)
('Bob is sad.', 'The bear is sad.', False)
('Bob is sad.', 'The Bob is sad.', False)
('Dave is heavy.', 'The Dave is heavy.', False)
('Dave is heavy.', 'The Dave is heavy.', False)
('Harry is little.', 'The Harry is thin.', False)
('Harry is little.', 'The Harry is thin.', False)
('Gary is smart.', 'The bald eagle is smart.', False)
('Gary is smart.', 'The bald eagle is smart.', False)
('Alan is poor.', 'The Alan is poor.', False)
('Alan is poor.', 'The Alan is poor.', False)
('Alan is huge.', 'The Alan is big.', False)
('Alan is huge.', 'The Alan is big.', False)
('Charlie is little.', 'The Charlie is short.', False)
('Charlie is little.', 'The Charlie is short.', False)
('Harry is wealthy.', 'The Harry is nice.', False)
('Harry is wealthy.', 'The Harry is nice.', False)
('Anne is dull.', 'The lion is dull.', False)
('Anne is dull.', 'The lion is dull.', False)
('Dave is heavy.', 'The Dave is heavy.', False)
('Dave is heavy.', 'The Dave is heavy.', False)
('Anne is short.', 'The lion is short.', False)
('Anne is short.', 'The lion is short.', False)
('Erin is kind.', 'The bald eagle is kind.', False)
('Erin is kind.', 'The bald eagle is kind.', False)
('Charlie is imperfect.', 'The Charlie is imperfect.', False)
('Charlie is imperfect.', 'The Charlie is imperfect.', False)
('Gary is big.', 'The bald eagle is big.', False)
('Gary is big.', 'The bald eagle is big.', False)
('Erin is small.', 'The lion is small.', False)
('Erin is small.', 'The lion is small.', False)
('Charlie is quiet.', 'The Charlie is quiet.', False)
('Charlie is quiet.', 'The Charlie is quiet.', False)
('Alan is dull.', 'The Alan is dull.', False)
('Alan is dull.', 'The Alan is dull.', False)
('Alan is heavy.', 'The Alan is heavy.', False)
('Alan is heavy.', 'The Alan is heavy.', False)
('Fiona is little.', 'The ficon is small.', False)
('Fiona is little.', 'The ficon is small.', False)
('Erin is clever.', 'The lion is clever.', False)
('Erin is clever.', 'The lion is clever.', False)
('Gary is rough.', 'The bald eagle is rough.', False)
('Gary is rough.', 'The bald eagle is rough.', False)
('Bob is big.', 'The bald eagle is big.', False)
('Bob is big.', 'The bear is big.', False)
('Charlie is tiny.', 'The Charlie is small.', False)
('Charlie is tiny.', 'The Charlie is small.', False)
('Gary is wealthy.', 'The bald eagle is wealthy.', False)
('Gary is wealthy.', 'The bald eagle is wealthy.', False)
('Fiona is poor.', 'The ficon is poor.', False)
('Fiona is poor.', 'The ficon is poor.', False)
('Charlie is high.', 'The Charlie is high.', False)
('Charlie is high.', 'The Charlie is high.', False)
('Anne is small.', 'The lion is small.', False)
('Anne is small.', 'The lion is small.', False)
('Harry is quiet.', 'The lion is quiet.', False)
('Harry is quiet.', 'The lion is quiet.', False)
('Alan is rough.', 'The lion is rough.', False)
('Alan is rough.', 'The Alan is rough.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Gary is small.', 'The bald eagle is small.', False)
('Gary is small.', 'The bald eagle is small.', False)
('Erin is smart.', 'The bald eagle is smart.', False)
('Erin is smart.', 'The bald eagle is smart.', False)
('Anne is rough.', 'The lion is rough.', False)
('Anne is rough.', 'The lion is rough.', False)
('Alan is strong.', 'The Alan is strong.', False)
('Alan is strong.', 'The Alan is strong.', False)
('Harry is little.', 'The Harry is wealthy.', False)
('Harry is little.', 'The Harry is wealthy.', False)
('Bob is smart.', 'The dog is smart.', False)
('Bob is smart.', 'The Bob is smart.', False)
('Anne is poor.', 'The lion is poor.', False)
('Anne is poor.', 'The lion is poor.', False)
('Anne is big.', 'The lion is big.', False)
('Anne is big.', 'The lion is big.', False)
('Dave is small.', 'The dinosaur is small.', False)
('Dave is small.', 'The dinosaur is small.', False)
('Harry is quiet.', 'The Harry is quiet.', False)
('Harry is quiet.', 'The Harry is quiet.', False)
('Gary is imperfect.', 'The Gary is imperfect.', False)
('Gary is imperfect.', 'The bald eagle is imperfect.', False)
('Alan is big.', 'The lion is big.', False)
('Alan is big.', 'The Alan is big.', False)
('Fiona is small.', 'The ficon is small.', False)
('Fiona is small.', 'The lion is small.', False)
('Erin is clever.', 'The lion is quiet.', False)
('Erin is clever.', 'The lion is quiet.', False)
('Anne is poor.', 'The lion is small.', False)
('Anne is poor.', 'The lion is small.', False)
('Harry is big.', 'The bald eagle is big.', False)
('Harry is big.', 'The bald eagle is big.', False)
('Alan is short.', 'The lion is short.', False)
('Alan is short.', 'The Alan is quiet.', False)
('Bob is smart.', 'The bald eagle is smart.', False)
('Bob is smart.', 'The bob is smart.', False)
('Erin is imperfect.', 'The lion is imperfect.', False)
('Erin is imperfect.', 'The bald eagle is imperfect.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Fiona is small.', 'The ficon is small.', False)
('Fiona is small.', 'The lion is small.', False)
('Dave is quiet.', 'The Dave is quiet.', False)
('Dave is quiet.', 'The Dave is quiet.', False)
('Anne is dull.', 'The lion is dull.', False)
('Anne is dull.', 'The lion is dull.', False)
('Erin is heavy.', 'The bald eagle is heavy.', False)
('Erin is heavy.', 'The bald eagle is heavy.', False)
('Harry is short.', 'The lion is short.', False)
('Harry is short.', 'The lion is short.', False)
('Charlie is kind.', 'The Charlie is kind.', False)
('Charlie is kind.', 'The Charlie is kind.', False)
('Anne is imperfect.', 'The lion is imperfect.', False)
('Anne is imperfect.', 'The lion is imperfect.', False)
('Dave is huge.', 'The dinosaur is wealthy.', False)
('Dave is huge.', 'The dinosaur is wealthy.', False)
('Harry is small.', 'The lion is small.', False)
('Harry is small.', 'The Harry is small.', False)
('Charlie is quiet.', 'The Charlie is quiet.', False)
('Charlie is quiet.', 'The Charlie is quiet.', False)
('Anne is poor.', 'The lion is poor.', False)
('Anne is poor.', 'The lion is poor.', False)
('Alan is high.', 'The bald eagle is high.', False)
('Alan is high.', 'The Alan is high.', False)
('Gary is small.', 'The bald eagle is small.', False)
('Gary is small.', 'The bald eagle is small.', False)
('Erin is nice.', 'The bald eagle is nice.', False)
('Erin is nice.', 'The bald eagle is nice.', False)
('Fiona is bad.', 'The lion is bad.', False)
('Fiona is bad.', 'The lion is bad.', False)
('Gary is high.', 'The bald eagle is big.', False)
('Gary is high.', 'The bald eagle is big.', False)
('Anne is thin.', 'The lion is person is person is person is person.', False)
('Anne is thin.', 'The lion is person is person is person is person.', False)
('Alan is quiet.', 'The Alan is quiet.', False)
('Alan is quiet.', 'The Alan is quiet.', False)
('Erin is imperfect.', 'The bald eagle is imperfect.', False)
('Erin is imperfect.', 'The lion is imperfect.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Harry is small.', 'The lion is small.', False)
('Harry is small.', 'The lion is small.', False)
('Gary is clever.', 'The bald eagle is smart.', False)
('Gary is clever.', 'The bald eagle is smart.', False)
('Erin is bad.', 'The bald eagle is bad.', False)
('Erin is bad.', 'The bald eagle is bad.', False)
('Alan is big.', 'The Alan is big.', False)
('Alan is big.', 'The Alan is big.', False)
('Harry is small.', 'The Harry is small.', False)
('Harry is small.', 'The Harry is small.', False)
('Erin is quiet.', 'The bald eagle is quiet.', False)
('Erin is quiet.', 'The bald eagle is quiet.', False)
('Charlie is poor.', 'The Charlie is poor.', False)
('Charlie is poor.', 'The Charlie is poor.', False)
('Gary is strong.', 'The bald eagle is strong.', False)
('Gary is strong.', 'The bald eagle is strong.', False)
('Alan is little.', 'The Alan is thin.', False)
('Alan is little.', 'The Alan is thin.', False)
('Harry is kind.', 'The Harry is kind.', False)
('Harry is kind.', 'The Harry is kind.', False)
('Dave is poor.', 'The Dave is poor.', False)
('Dave is poor.', 'The Dave is poor.', False)
('Harry is huge.', 'The Harry is strong.', False)
('Harry is huge.', 'The Harry is strong.', False)
('Erin is tiny.', 'The lion is tiger is small.', False)
('Erin is tiny.', 'The lion is tiger is small.', False)
('Charlie is kind.', 'The Charlie is kind.', False)
('Charlie is kind.', 'The Charlie is kind.', False)
('Gary is poor.', 'The bald eagle is poor.', False)
('Gary is poor.', 'The bald eagle is poor.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Bob is tiny.', 'The Bob is small.', False)
('Bob is tiny.', 'The Bob is small.', False)
('Gary is clever.', 'The bald eagle is smart.', False)
('Gary is clever.', 'The bald eagle is smart.', False)
('Dave is rough.', 'The Dave is rough.', False)
('Dave is rough.', 'The Dave is rough.', False)
('Bob is big.', 'The bear is big.', False)
('Bob is big.', 'The bear is big.', False)
('Erin is small.', 'The lion is small.', False)
('Erin is small.', 'The lion is small.', False)
('Harry is wealthy.', 'The lion is wealthy.', False)
('Harry is wealthy.', 'The lion is wealthy.', False)
('Alan is imperfect.', 'The lion is imperfect.', False)
('Alan is imperfect.', 'The Alan is imperfect.', False)
('Erin is high.', 'The bald eagle is strong.', False)
('Erin is high.', 'The bald eagle is strong.', False)
('Anne is small.', 'The lion is small.', False)
('Anne is small.', 'The lion is small.', False)
('Gary is wealthy.', 'The bald eagle is nice.', False)
('Gary is wealthy.', 'The bald eagle is wealthy.', False)
('Alan is dull.', 'The Alan is dull.', False)
('Alan is dull.', 'The Alan is wealthy.', False)
('Fiona is strong.', 'The lion is strong.', False)
('Fiona is strong.', 'The lion is strong.', False)
('Charlie is thin.', 'The Charlie is thin.', False)
('Charlie is thin.', 'The Charlie is thin.', False)
('Erin is nice.', 'The lion is nice.', False)
('Erin is nice.', 'The lion is nice.', False)
('Gary is sad.', 'The bald eagle is sad.', False)
('Gary is sad.', 'The bald eagle is sad.', False)
('Gary is heavy.', 'The bald eagle is heavy.', False)
('Gary is heavy.', 'The bald eagle is heavy.', False)
('Dave is little.', 'The Dave is thin.', False)
('Dave is little.', 'The Dave is thin.', False)
('Erin is quiet.', 'The lion is quiet.', False)
('Erin is quiet.', 'The lion is quiet.', False)
('Fiona is bad.', 'The lion is bad.', False)
('Fiona is bad.', 'The lion is bad.', False)
('Fiona is strong.', 'The lion is strong.', False)
('Fiona is strong.', 'The lion is strong.', False)
('Gary is tiny.', 'The lion is small.', False)
('Gary is tiny.', 'The bald eagle is small.', False)
('Alan is clever.', 'The Alan is smart.', False)
('Alan is clever.', 'The Alan is smart.', False)
('Charlie is imperfect.', 'The Charlie is imperfect.', False)
('Charlie is imperfect.', 'The Charlie is imperfect.', False)
('Bob is big.', 'The bear is big.', False)
('Bob is big.', 'The bear is big.', False)
('Fiona is little.', 'The ficon is small.', False)
('Fiona is little.', 'The ficon is small.', False)
('Anne is clever.', 'The lion is clever.', False)
('Anne is clever.', 'The Anne is clever.', False)
('Alan is dull.', 'The Alan is dull.', False)
('Alan is dull.', 'The Alan is dull.', False)
('Dave is huge.', 'The dinosaur is big.', False)
('Dave is huge.', 'The dinosaur is big.', False)
('Anne is small.', 'The lion is small.', False)
('Anne is small.', 'The lion is small.', False)
('Bob is wealthy.', 'The bald eagle is wealthy.', False)
('Bob is wealthy.', 'The bald eagle is wealthy.', False)
('Charlie is poor.', 'The wolf is small.', False)
('Charlie is poor.', 'The Charlie is small.', False)
('Anne is big.', 'The lion is big.', False)
('Anne is big.', 'The lion is big.', False)
('Fiona is tiny.', 'The ficon is small.', False)
('Fiona is tiny.', 'The lion is tiger is small.', False)
('Erin is clever.', 'The bald eagle is smart.', False)
('Erin is clever.', 'The bald eagle is smart.', False)
('Charlie is bad.', 'The Charlie is bad.', False)
('Charlie is bad.', 'The Charlie is bad.', False)
('Harry is huge.', 'The Harry is big.', False)
('Harry is huge.', 'The Harry is big.', False)
('Fiona is short.', 'The ficon is small.', False)
('Fiona is short.', 'The ficon is small.', False)
('Dave is quiet.', 'The Dave is quiet.', False)
('Dave is quiet.', 'The Dave is quiet.', False)
('Bob is imperfect.', 'The Bob is imperfect.', False)
('Bob is imperfect.', 'The Bob is imperfect.', False)
('Alan is big.', 'The Alan is big.', False)
('Alan is big.', 'The Alan is big.', False)
('Dave is tiny.', 'The dinosaur is big.', False)
('Dave is tiny.', 'The dinosaur is big.', False)
('Harry is smart.', 'The Harry is smart.', False)
('Harry is smart.', 'The Harry is smart.', False)
('Bob is dull.', 'The dog is dull.', False)
('Bob is dull.', 'The Bob is dull.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Gary is short.', 'The bald eagle is short.', False)
('Gary is short.', 'The bald eagle is short.', False)
('Erin is clever.', 'The bald eagle is kind.', False)
('Erin is clever.', 'The bald eagle is kind.', False)
('Bob is imperfect.', 'The Bob is imperfect.', False)
('Bob is imperfect.', 'The Bob is imperfect.', False)
('Fiona is big.', 'The lion is big.', False)
('Fiona is big.', 'The lion is big.', False)
('Harry is short.', 'The lion is small.', False)
('Harry is short.', 'The lion is small.', False)
('Alan is quiet.', 'The Alan is quiet.', False)
('Alan is quiet.', 'The Alan is quiet.', False)
('Erin is poor.', 'The bald eagle is poor.', False)
('Erin is poor.', 'The bald eagle is poor.', False)
('Alan is huge.', 'The Alan is strong.', False)
('Alan is huge.', 'The Alan is strong.', False)
('Erin is little.', 'The lion is tiger is bald eagle is e', False)
('Erin is little.', 'The lion is short.', False)
('Bob is smart.', 'The bear is smart.', False)
('Bob is smart.', 'The Bob is smart.', False)
('Anne is poor.', 'The lion is poor.', False)
('Anne is poor.', 'The lion is poor.', False)
('Anne is strong.', 'The lion is strong.', False)
('Anne is strong.', 'The lion is strong.', False)
('Erin is small.', 'The lion is small.', False)
('Erin is small.', 'The lion is small.', False)
('Fiona is wealthy.', 'The ficon is nice.', False)
('Fiona is wealthy.', 'The ficon is nice.', False)
('Gary is dull.', 'The bald eagle is dull.', False)
('Gary is dull.', 'The bald eagle is dull.', False)
('Gary is heavy.', 'The bald eagle is heavy.', False)
('Gary is heavy.', 'The bald eagle is heavy.', False)
('Erin is thin.', 'The lion is thin.', False)
('Erin is thin.', 'The bald eagle is thin.', False)
('Harry is quiet.', 'The lion is quiet.', False)
('Harry is quiet.', 'The lion is quiet.', False)
('Alan is dull.', 'The bald eagle is dull.', False)
('Alan is dull.', 'The Alan is dull.', False)
('Bob is high.', 'The Bob is high.', False)
('Bob is high.', 'The Bob is high.', False)
('Anne is short.', 'The lion is short.', False)
('Anne is short.', 'The lion is short.', False)
('Dave is smart.', 'The Dave is smart.', False)
('Dave is smart.', 'The Dave is smart.', False)
('Gary is sad.', 'The Gary is sad.', False)
('Gary is sad.', 'The bald eagle is sad.', False)
('Alan is high.', 'The Alan is wealthy.', False)
('Alan is high.', 'The Alan is wealthy.', False)
('Bob is short.', 'The Bob is small.', False)
('Bob is short.', 'The Bob is small.', False)
('Charlie is quiet.', 'The Charlie is quiet.', False)
('Charlie is quiet.', 'The Charlie is quiet.', False)
('Dave is bad.', 'The Dave is bad.', False)
('Dave is bad.', 'The Dave is bad.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Dave is short.', 'The Dave is thin.', False)
('Dave is short.', 'The Dave is thin.', False)
('Gary is wealthy.', 'The bald eagle is kind.', False)
('Gary is wealthy.', 'The bald eagle is kind.', False)
('Erin is poor.', 'The bald eagle is poor.', False)
('Erin is poor.', 'The bald eagle is poor.', False)
('Alan is big.', 'The lion is big.', False)
('Alan is big.', 'The Alan is big.', False)
('Gary is short.', 'The bald eagle is beautiful.', False)
('Gary is short.', 'The bald eagle is beautiful.', False)
('Fiona is clever.', 'The ficon is quiet.', False)
('Fiona is clever.', 'The ficon is quiet.', False)
('Bob is imperfect.', 'The bear is imperfect.', False)
('Bob is imperfect.', 'The bear is imperfect.', False)
('Gary is strong.', 'The bald eagle is strong.', False)
('Gary is strong.', 'The bald eagle is strong.', False)
('Anne is small.', 'The lion is small.', False)
('Anne is small.', 'The lion is small.', False)
('Dave is smart.', 'The Dave is smart.', False)
('Dave is smart.', 'The Dave is smart.', False)
('Fiona is imperfect.', 'The lion is imperfect.', False)
('Fiona is imperfect.', 'The lion is imperfect.', False)
('Harry is heavy.', 'The bald eagle is heavy.', False)
('Harry is heavy.', 'The bald eagle is heavy.', False)
('Bob is little.', 'The bald eagle is small.', False)
('Bob is little.', 'The Bob is small.', False)
('Dave is nice.', 'The Dave is nice.', False)
