('Fiona is big.', 'The lion is poor.', False)
('Erin is rough.', 'The bald eagle is sad.', False)
('Erin is rough.', 'The bald eagle is sad.', False)
('Fiona is strong.', 'The lion is sad.', False)
('Fiona is strong.', 'The lion is sad.', False)
('Charlie is thin.', 'The Charlie is smart.', False)
('Charlie is thin.', 'The Charlie is smart.', False)
('Anne is quiet.', 'The bald eagle is smart.', False)
('Anne is quiet.', 'The bald eagle is smart.', False)
('Harry is sad.', 'The Harry is sad.', False)
('Harry is sad.', 'The Harry is sad.', False)
('Gary is high.', 'The dog is sad.', False)
('Gary is high.', 'The dog is sad.', False)
('Bob is short.', 'Thebob is poor.', False)
('Bob is short.', 'The dog is poor.', False)
('Harry is quiet.', 'The Harry is small.', False)
('Harry is quiet.', 'The Harry is rough.', False)
('Fiona is sad.', 'The lion is sad.', False)
('Fiona is sad.', 'The falcon is sad.', False)
('Gary is strong.', 'The dog is strong.', False)
('Gary is strong.', 'The dog is rough.', False)
('Dave is short.', 'The Dave is short.', False)
('Dave is short.', 'The Dave is short.', False)
('Erin is wealthy.', 'The lion is sad.', False)
('Erin is wealthy.', 'The lion is sad.', False)
('Charlie is imperfect.', 'The Charlie is short.', False)
('Charlie is imperfect.', 'The Charlie is short.', False)
('Alan is big.', 'The Alan is small.', False)
('Alan is big.', 'The Alan is small.', False)
('Fiona is small.', 'The lion is small.', False)
('Fiona is small.', 'The lion is small.', False)
('Gary is quiet.', 'The dog is sad.', False)
('Gary is quiet.', 'The dog is sad.', False)
('Dave is poor.', 'The Dave is small.', False)
('Dave is poor.', 'The Dave is small.', False)
('Charlie is strong.', 'The Charlie is bad.', False)
('Charlie is strong.', 'The Charlie is bad.', False)
('Bob is small.', 'Thebob is nice.', False)
('Bob is small.', 'Thebob is nice.', False)
('Erin is clever.', 'The lion is smart.', False)
('Erin is clever.', 'The lion is smart.', False)
('Alan is bad.', 'The Alan is bad.', False)
('Alan is bad.', 'The Alan is bad.', False)
('Anne is big.', 'The bald eagle is big.', False)
('Anne is big.', 'The bald eagle is big.', False)
('Gary is little.', 'The dog is small.', False)
('Gary is little.', 'The dog is small.', False)
('Bob is clever.', 'The dog is small.', False)
('Bob is clever.', 'The dog is small.', False)
('Alan is bad.', 'The Alan is small.', False)
('Alan is bad.', 'The Alan is small.', False)
('Dave is strong.', 'The Dave is small.', False)
('Dave is strong.', 'The Dave is small.', False)
('Charlie is thin.', 'The Charlie is small.', False)
('Charlie is thin.', 'The Charlie is small.', False)
('Fiona is kind.', 'The lion is big.', False)
('Fiona is kind.', 'The lion is big.', False)
('Harry is rough.', 'The Harry is big.', False)
('Harry is rough.', 'The Harry is big.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Bob is short.', 'Thebob is poor.', False)
('Bob is short.', 'Thebob is poor.', False)
('Gary is kind.', 'The dog is poor.', False)
('Gary is kind.', 'The dog is poor.', False)
('Alan is dull.', 'The Alan is poor.', False)
('Alan is dull.', 'The Alan is poor.', False)
('Anne is huge.', 'The bald eagle is sad.', False)
('Anne is huge.', 'The bald eagle is sad.', False)
('Alan is tiny.', 'The Alan is sad.', False)
('Alan is tiny.', 'The Alan is sad.', False)
('Gary is quiet.', 'The dog is bad.', False)
('Gary is quiet.', 'The dog is bad.', False)
('Charlie is sad.', 'The Charlie is sad.', False)
('Charlie is sad.', 'The Charlie is sad.', False)
('Erin is huge.', 'The lion is big.', False)
('Erin is huge.', 'The lion is big.', False)
('Fiona is small.', 'The lion is smart.', False)
('Fiona is small.', 'The falcon is smart.', False)
('Alan is clever.', 'The Alan is smart.', False)
('Alan is clever.', 'The Alan is smart.', False)
('Harry is dull.', 'The Harry is smart.', False)
('Harry is dull.', 'The Harry is smart.', False)
('Gary is big.', 'The dog is small.', False)
('Gary is big.', 'The dog is small.', False)
('Alan is little.', 'The Alan is small.', False)
('Alan is little.', 'The Alan is small.', False)
('Charlie is kind.', 'The Charlie is small.', False)
('Charlie is kind.', 'The Charlie is small.', False)
('Dave is dull.', 'The Dave is small.', False)
('Dave is dull.', 'The dog is small.', False)
('Fiona is high.', 'The falcon is big.', False)
('Fiona is high.', 'The falcon is big.', False)
('Anne is little.', 'The bald eagle is small.', False)
('Anne is little.', 'The bald eagle is small.', False)
('Harry is nice.', 'The Harry is sad.', False)
('Harry is nice.', 'The Harry is sad.', False)
('Charlie is rough.', 'The Charlie is nice.', False)
('Charlie is rough.', 'The Charlie is poor.', False)
('Dave is huge.', 'The Dave is poor.', False)
('Dave is huge.', 'The Dave is poor.', False)
('Alan is thin.', 'The Alan is big.', False)
('Alan is thin.', 'The Alan is big.', False)
('Charlie is quiet.', 'The Charlie is poor.', False)
('Charlie is quiet.', 'The Charlie is poor.', False)
('Erin is poor.', 'The bald eagle is poor.', False)
('Erin is poor.', 'The bald eagle is poor.', False)
('Alan is strong.', 'The Alan is small.', False)
('Alan is strong.', 'The Alan is small.', False)
('Anne is thin.', 'The bald eagle is small.', False)
('Anne is thin.', 'The bald eagle is small.', False)
('Bob is smart.', 'The dog is sad.', False)
('Bob is smart.', 'The dog is sad.', False)
('Gary is poor.', 'The dog is poor.', False)
('Gary is poor.', 'The dog is poor.', False)
('Anne is big.', 'The Anne is small.', False)
('Anne is big.', 'The Anne is small.', False)
('Alan is short.', 'The Alan is small.', False)
('Alan is short.', 'The Alan is small.', False)
('Harry is smart.', 'The Harry is poor.', False)
('Harry is smart.', 'The Harry is poor.', False)
('Dave is rough.', 'The Dave is small.', False)
('Dave is rough.', 'The Dave is small.', False)
('Gary is strong.', 'The dog is sad.', False)
('Gary is strong.', 'The dog is sad.', False)
('Fiona is little.', 'The lion is small.', False)
('Fiona is little.', 'The falcon is small.', False)
('Dave is quiet.', 'The Dave is sad.', False)
('Dave is quiet.', 'The Dave is sad.', False)
('Harry is dull.', 'The Harry is sad.', False)
('Harry is dull.', 'The Harry is sad.', False)
('Dave is huge.', 'The Dave is small.', False)
('Dave is huge.', 'The Dave is small.', False)
('Gary is tiny.', 'The dog is small.', False)
('Gary is tiny.', 'The dog is small.', False)
('Fiona is nice.', 'The lion is nice.', False)
('Fiona is nice.', 'The lion is nice.', False)
('Charlie is rough.', 'The Charlie is sad.', False)
('Charlie is rough.', 'The Charlie is small.', False)
('Fiona is heavy.', 'The lion is heavy.', False)
('Fiona is heavy.', 'The falcon is heavy.', False)
('Anne is small.', 'The bald eagle is sad.', False)
('Anne is small.', 'The bald eagle is sad.', False)
('Harry is wealthy.', 'The Harry is sad.', False)
('Harry is wealthy.', 'The Harry is sad.', False)
('Gary is rough.', 'The dog is sad.', False)
('Gary is rough.', 'The dog is sad.', False)
('Alan is strong.', 'The Alan is sad.', False)
('Alan is strong.', 'The Alan is sad.', False)
('Fiona is short.', 'The lion is small.', False)
('Fiona is short.', 'The falcon is small.', False)
('Dave is kind.', 'The Dave is smart.', False)
('Dave is kind.', 'The Dave is smart.', False)
('Gary is sad.', 'The dog is sad.', False)
('Gary is sad.', 'The dog is sad.', False)
('Charlie is heavy.', 'The Charlie is small.', False)
('Charlie is heavy.', 'The Charlie is small.', False)
('Gary is short.', 'The dog is poor.', False)
('Gary is short.', 'The dog is poor.', False)
('Fiona is smart.', 'The lion is poor.', False)
('Fiona is smart.', 'The falcon is poor.', False)
('Anne is dull.', 'The bald eagle is small.', False)
('Anne is dull.', 'The bald eagle is small.', False)
('Harry is big.', 'The Harry is small.', False)
('Harry is big.', 'The Harry is small.', False)
('Dave is thin.', 'The Dave is small.', False)
('Dave is thin.', 'The Dave is small.', False)
('Charlie is kind.', 'The Charlie is smart.', False)
('Charlie is kind.', 'The Charlie is smart.', False)
('Bob is bad.', 'The dog is big.', False)
('Bob is bad.', 'The dog is big.', False)
('Dave is high.', 'The Dave is big.', False)
('Dave is high.', 'The Dave is big.', False)
('Harry is thin.', 'The Harry is smart.', False)
('Harry is thin.', 'The Harry is smart.', False)
('Gary is nice.', 'The dog is smart.', False)
('Gary is nice.', 'The dog is smart.', False)
('Bob is dull.', 'The dog is smart.', False)
('Bob is dull.', 'The dog is smart.', False)
('Bob is high.', 'The Bob is poor.', False)
('Bob is high.', 'The Bob is poor.', False)
('Alan is little.', 'The Alan is small.', False)
('Alan is little.', 'The Alan is small.', False)
('Harry is smart.', 'The Harry is small.', False)
('Harry is smart.', 'The Harry is small.', False)
('Gary is poor.', 'The dog is poor.', False)
('Gary is poor.', 'The dog is poor.', False)
('Bob is big.', 'The dog is small.', False)
('Bob is big.', 'The dog is small.', False)
('Fiona is short.', 'The lion is poor.', False)
('Fiona is short.', 'The lion is poor.', False)
('Dave is quiet.', 'The Dave is small.', False)
('Dave is quiet.', 'The Dave is poor.', False)
('Charlie is imperfect.', 'The Charlie is poor.', False)
('Charlie is imperfect.', 'The Charlie is poor.', False)
('Fiona is big.', 'The lion is poor.', False)
('Fiona is big.', 'The lion is poor.', False)
('Bob is small.', 'The Bob is short.', False)
('Bob is small.', 'Thebob is short.', False)
('Erin is quiet.', 'The lion is sad.', False)
('Erin is quiet.', 'The lion is sad.', False)
('Charlie is poor.', 'The Charlie is poor.', False)
('Charlie is poor.', 'The Charlie is poor.', False)
('Charlie is high.', 'The Charlie is rough.', False)
('Charlie is high.', 'The Charlie is rough.', False)
('Bob is tiny.', 'The dog is poor.', False)
('Bob is tiny.', 'The dog is poor.', False)
('Gary is clever.', 'The dog is poor.', False)
('Gary is clever.', 'The dog is poor.', False)
('Harry is imperfect.', 'The Harry is poor.', False)
('Harry is imperfect.', 'The Harry is poor.', False)
('Anne is big.', 'The bald eagle is small.', False)
('Anne is big.', 'The bald eagle is small.', False)
('Charlie is thin.', 'The Charlie is small.', False)
('Charlie is thin.', 'The Charlie is small.', False)
('Fiona is nice.', 'The lion is nice.', False)
('Fiona is nice.', 'The lion is nice.', False)
('Alan is sad.', 'The Alan is small.', False)
('Alan is sad.', 'The Alan is small.', False)
('Fiona is high.', 'The lion is short.', False)
('Fiona is high.', 'The lion is short.', False)
('Gary is tiny.', 'The dog is small.', False)
('Gary is tiny.', 'The dog is small.', False)
('Charlie is smart.', 'The Charlie is sad.', False)
('Charlie is smart.', 'The Charlie is sad.', False)
('Anne is rough.', 'The bald eagle is sad.', False)
('Anne is rough.', 'The bald eagle is sad.', False)
('Alan is strong.', 'The Alan is small.', False)
('Alan is strong.', 'The Alan is small.', False)
('Dave is small.', 'The Dave is small.', False)
('Dave is small.', 'The Dave is small.', False)
('Erin is kind.', 'The lion is poor.', False)
('Erin is kind.', 'The lion is poor.', False)
('Charlie is imperfect.', 'The Charlie is rough.', False)
('Charlie is imperfect.', 'The Charlie is poor.', False)
('Erin is heavy.', 'The lion is big.', False)
('Erin is heavy.', 'The lion is heavy.', False)
('Dave is short.', 'The Dave is poor.', False)
('Dave is short.', 'The Dave is poor.', False)
('Alan is clever.', 'The Alan is poor.', False)
('Alan is clever.', 'The Alan is poor.', False)
('Bob is imperfect.', 'The Bob is poor.', False)
('Bob is imperfect.', 'The dog is poor.', False)
('Harry is heavy.', 'The Harry is bad.', False)
('Harry is heavy.', 'The Harry is bad.', False)
('Bob is tiny.', 'The dog is bad.', False)
('Bob is tiny.', 'The dog is bad.', False)
('Anne is smart.', 'The bald eagle is smart.', False)
('Anne is smart.', 'The bald eagle is smart.', False)
('Erin is bad.', 'The bald eagle is awful.', False)
('Erin is bad.', 'The rabbit is bad.', False)
('Dave is strong.', 'The Dave is small.', False)
('Dave is strong.', 'The Dave is small.', False)
('Bob is small.', 'The dog is small.', False)
('Bob is small.', 'The dog is small.', False)
('Gary is nice.', 'The dog is sad.', False)
('Gary is nice.', 'The dog is sad.', False)
('Charlie is rough.', 'The Charlie is sad.', False)
('Charlie is rough.', 'The Charlie is sad.', False)
('Charlie is strong.', 'The Charlie is small.', False)
('Charlie is strong.', 'The Charlie is small.', False)
('Dave is tiny.', 'The Dave is small.', False)
('Dave is tiny.', 'The Dave is small.', False)
('Anne is wealthy.', 'The bald eagle is smart.', False)
('Anne is wealthy.', 'The bald eagle is smart.', False)
('Fiona is imperfect.', 'The lion is bad.', False)
('Fiona is imperfect.', 'The lion is bad.', False)
('Anne is huge.', 'The bald eagle is big.', False)
('Anne is huge.', 'The bald eagle is big.', False)
('Gary is small.', 'The dog is bad.', False)
('Gary is small.', 'The dog is bad.', False)
('Bob is kind.', 'The dog is bad.', False)
('Bob is kind.', 'The dog is bad.', False)
('Dave is dull.', 'The Dave is bad.', False)
('Dave is dull.', 'The Dave is bad.', False)
('Bob is huge.', 'Thebob is bad.', False)
('Bob is huge.', 'Thebob is bad.', False)
('Gary is little.', 'The dog is small.', False)
('Gary is little.', 'The dog is small.', False)
('Anne is kind.', 'The bald eagle is small.', False)
('Anne is kind.', 'The bald eagle is small.', False)
('Harry is bad.', 'The Harry is big.', False)
('Harry is bad.', 'The Harry is big.', False)
('Fiona is heavy.', 'The lion is big.', False)
('Fiona is heavy.', 'The falcon is big.', False)
('Alan is short.', 'The Alan is small.', False)
('Alan is short.', 'The Alan is small.', False)
('Harry is smart.', 'The Harry is small.', False)
('Harry is smart.', 'The Harry is small.', False)
('Anne is bad.', 'The bald eagle is small.', False)
('Anne is bad.', 'The bald eagle is small.', False)
('Charlie is big.', 'The Charlie is sad.', False)
('Charlie is big.', 'The Charlie is sad.', False)
('Erin is tiny.', 'The lion is sad.', False)
('Erin is tiny.', 'The lion is sad.', False)
('Fiona is clever.', 'The falcon is sad.', False)
('Fiona is clever.', 'The falcon is sad.', False)
('Gary is rough.', 'The dog is sad.', False)
('Gary is rough.', 'The dog is sad.', False)
('Charlie is strong.', 'The Charlie is small.', False)
('Charlie is strong.', 'The Charlie is small.', False)
('Dave is tiny.', 'The Dave is poor.', False)
('Dave is tiny.', 'The Dave is poor.', False)
('Harry is quiet.', 'The Harry is poor.', False)
('Harry is quiet.', 'The Harry is poor.', False)
('Erin is imperfect.', 'The bald eagle is sad.', False)
('Erin is imperfect.', 'The lion is small.', False)
('Fiona is big.', 'The lion is poor.', False)
('Fiona is big.', 'The lion is poor.', False)
('Harry is thin.', 'The Harry is nice.', False)
('Harry is thin.', 'The Harry is nice.', False)
('Bob is wealthy.', 'Thebob is nice.', False)
('Bob is wealthy.', 'Thebob is nice.', False)
('Anne is poor.', 'The bald eagle is nice.', False)
('Anne is poor.', 'The bald eagle is nice.', False)
('Charlie is big.', 'The Charlie is big.', False)
('Charlie is big.', 'The Charlie is big.', False)
('Dave is short.', 'The Dave is short.', False)
('Dave is short.', 'The Dave is short.', False)
('Erin is kind.', 'The lion is short.', False)
('Erin is kind.', 'The lion is rough.', False)
('Fiona is rough.', 'The lion is small.', False)
('Fiona is rough.', 'The falcon is short.', False)
('Gary is high.', 'The Gary is dull.', False)
('Gary is high.', 'The dog is dull.', False)
('Dave is tiny.', 'The Dave is small.', False)
('Dave is tiny.', 'The Dave is small.', False)
('Bob is smart.', 'The dog is small.', False)
('Bob is smart.', 'The dog is small.', False)
('Anne is dull.', 'The bald eagle is small.', False)
('Anne is dull.', 'The bald eagle is small.', False)
('Charlie is high.', 'The Charlie is smart.', False)
('Charlie is high.', 'The Charlie is big.', False)
('Erin is little.', 'The lion is small.', False)
('Erin is little.', 'The lion is small.', False)
('Alan is clever.', 'The Alan is small.', False)
('Alan is clever.', 'The Alan is small.', False)
('Gary is dull.', 'The dog is small.', False)
('Gary is dull.', 'The dog is smart.', False)
('Dave is big.', 'The Dave is big.', False)
('Dave is big.', 'The Dave is big.', False)
('Gary is small.', 'The dog is sad.', False)
('Gary is small.', 'The dog is sad.', False)
('Anne is nice.', 'The bald eagle is sad.', False)
('Anne is nice.', 'The bald eagle is sad.', False)
('Erin is dull.', 'The lion is sad.', False)
('Erin is dull.', 'The lion is sad.', False)
('Harry is heavy.', 'The Harry is small.', False)
('Harry is heavy.', 'The Harry is small.', False)
('Bob is tiny.', 'Thebob is small.', False)
('Bob is tiny.', 'Thebob is small.', False)
('Dave is quiet.', 'The Dave is sad.', False)
('Dave is quiet.', 'The Dave is sad.', False)
('Erin is dull.', 'The rabbit is small.', False)
('Erin is dull.', 'The rabbit is small.', False)
('Erin is big.', 'The lion is poor.', False)
('Erin is big.', 'The lion is poor.', False)
('Charlie is small.', 'The Charlie is nice.', False)
('Charlie is small.', 'The Charlie is nice.', False)
('Fiona is quiet.', 'The lion is bad.', False)
('Fiona is quiet.', 'The falcon is bad.', False)
('Bob is poor.', 'The Bob is poor.', False)
('Bob is poor.', 'The dog is poor.', False)
('Dave is strong.', 'The Dave is sad.', False)
('Dave is strong.', 'The Dave is sad.', False)
('Harry is little.', 'The Harry is small.', False)
('Harry is little.', 'The Harry is small.', False)
('Charlie is smart.', 'The Charlie is small.', False)
('Charlie is smart.', 'The Charlie is small.', False)
('Erin is sad.', 'The bald eagle is sad.', False)
('Erin is sad.', 'The lion is sad.', False)
('Fiona is high.', 'The falcon is smart.', False)
('Fiona is high.', 'The falcon is smart.', False)
('Alan is short.', 'The Alan is big.', False)
('Alan is short.', 'The Alan is big.', False)
('Harry is wealthy.', 'The Harry is smart.', False)
('Harry is wealthy.', 'The Harry is smart.', False)
('Dave is imperfect.', 'The Dave is big.', False)
('Dave is imperfect.', 'The Dave is big.', False)
('Fiona is strong.', 'The lion is strong.', False)
('Fiona is strong.', 'The falcon is strong.', False)
('Gary is short.', 'The dog is short.', False)
('Gary is short.', 'The dog is short.', False)
('Erin is quiet.', 'The lion is nice.', False)
('Erin is quiet.', 'The lion is nice.', False)
('Bob is rough.', 'The dog is bad.', False)
('Bob is rough.', 'The dog is bad.', False)
('Harry is high.', 'The Harry is big.', False)
('Harry is high.', 'The Harry is strong.', False)
('Fiona is short.', 'The falcon is slow.', False)
('Fiona is short.', 'The falcon is slow.', False)
('Alan is clever.', 'The Alan is smart.', False)
('Alan is clever.', 'The Alan is smart.', False)
('Erin is poor.', 'The lion is poor.', False)
('Erin is poor.', 'The lion is poor.', False)
('Anne is heavy.', 'The bald eagle is sad.', False)
('Anne is heavy.', 'The bald eagle is sad.', False)
('Dave is little.', 'The Dave is small.', False)
('Dave is little.', 'The Dave is small.', False)
('Alan is clever.', 'The Alan is small.', False)
('Alan is clever.', 'The Alan is small.', False)
('Fiona is poor.', 'The falcon is poor.', False)
('Fiona is poor.', 'The falcon is poor.', False)
('Anne is strong.', 'The bald eagle is poor.', False)
('Anne is strong.', 'The bald eagle is poor.', False)
('Fiona is tiny.', 'The lion is small.', False)
('Fiona is tiny.', 'The lion is small.', False)
('Bob is nice.', 'The Bob is nice.', False)
('Bob is nice.', 'The Bob is nice.', False)
('Alan is poor.', 'The Alan is poor.', False)
('Alan is poor.', 'The Alan is poor.', False)
('Gary is heavy.', 'The dog is nice.', False)
('Gary is heavy.', 'The dog is nice.', False)
('Dave is tiny.', 'The Dave is sad.', False)
('Dave is tiny.', 'The Dave is sad.', False)
('Harry is quiet.', 'The lion is sad.', False)
('Harry is quiet.', 'The Harry is sad.', False)
('Alan is dull.', 'The Alan is sad.', False)
('Alan is dull.', 'The Alan is sad.', False)
('Gary is high.', 'The dog is poor.', False)
('Gary is high.', 'The dog is poor.', False)
('Fiona is short.', 'The lion is small.', False)
('Fiona is short.', 'The lion is small.', False)
('Alan is kind.', 'The Alan is poor.', False)
('Alan is kind.', 'The Alan is poor.', False)
('Anne is poor.', 'The bald eagle is poor.', False)
('Anne is poor.', 'The bald eagle is poor.', False)
('Harry is heavy.', 'The Harry is big.', False)
('Harry is heavy.', 'The Harry is big.', False)
('Fiona is short.', 'The falcon is small.', False)
('Fiona is short.', 'The falcon is small.', False)
('Dave is quiet.', 'The Dave is poor.', False)
('Dave is quiet.', 'The Dave is poor.', False)
('Gary is bad.', 'The dog is rough.', False)
('Gary is bad.', 'The dog is poor.', False)
('Alan is huge.', 'The Alan is small.', False)
('Alan is huge.', 'The Alan is small.', False)
('Charlie is short.', 'The Charlie is small.', False)
('Charlie is short.', 'The Charlie is small.', False)
('Anne is clever.', 'The bald eagle is poor.', False)
('Anne is clever.', 'The bald eagle is poor.', False)
('Erin is imperfect.', 'The bald eagle is sad.', False)
('Erin is imperfect.', 'The bald eagle is sad.', False)
('Charlie is strong.', 'The Charlie is small.', False)
('Charlie is strong.', 'The Charlie is small.', False)
('Harry is little.', 'The Harry is small.', False)
('Harry is little.', 'The Harry is small.', False)
('Bob is nice.', 'The dog is small.', False)
('Bob is nice.', 'The dog is small.', False)
('Fiona is dull.', 'The falcon is small.', False)
('Fiona is dull.', 'The falcon is small.', False)
('Alan is big.', 'The Alan is big.', False)
('Alan is big.', 'The Alan is big.', False)
('Erin is small.', 'The lion is rough.', False)
('Erin is small.', 'The rabbit is rough.', False)
('Charlie is kind.', 'The Charlie is poor.', False)
('Charlie is kind.', 'The Charlie is poor.', False)
('Harry is dull.', 'The Harry is poor.', False)
('Harry is dull.', 'The Harry is poor.', False)
('Alan is heavy.', 'The Alan is poor.', False)
('Alan is heavy.', 'The Alan is rough.', False)
