('The squirrel is kind.', 'Charlie is small.', False)
('The hamster is kind.', 'Harry is nice.', False)
('The hamster is kind.', 'Harry is nice.', False)
('The lion is sleepy.', 'Fiona is dull.', False)
('The lion is sleepy.', 'Fiona is dull.', False)
('The wolf is fierce.', 'Fiona is dull.', False)
('The wolf is fierce.', 'Fiona is dull.', False)
('The cat is lovely.', 'Charlie is nice.', False)
('The cat is lovely.', 'Charlie is nice.', False)
('The lion needs the cat.', 'Anne is heavy.', False)
('The lion needs the cat.', 'Fiona is heavy.', False)
('The cat is smart.', 'Charlie is heavy.', False)
('The cat is smart.', 'Charlie is huge.', False)
('The crocodile is reckless.', 'Charlie is rough.', False)
('The crocodile is reckless.', 'Charlie is rough.', False)
('The snake is heavy.', 'Anne is strong.', False)
('The snake is heavy.', 'Anne is strong.', False)
('The hamster is funny.', 'Harry is smart.', False)
('The hamster is funny.', 'Harry is smart.', False)
('The crocodile attacks the hamster.', 'Charlie is rough.', False)
('The crocodile attacks the hamster.', 'Charlie is rough.', False)
('The squirrel is kind.', 'Charlie is dull.', False)
('The squirrel is kind.', 'Charlie is dull.', False)
('The wolf is dull.', 'Fiona is dull.', False)
('The wolf is dull.', 'Fiona is dull.', False)
('The leopard is obese.', 'Charlie is big.', False)
('The leopard is obese.', 'Charlie is big.', False)
('The rabbit is furry.', 'Anne is clever.', False)
('The rabbit is furry.', 'Anne is clever.', False)
('The wolf visits the rabbit.', 'Fiona is big.', False)
('The wolf visits the rabbit.', 'Fiona is big.', False)
('The dog is smart.', 'Charlie is smart.', False)
('The dog is smart.', 'Charlie is smart.', False)
('The lion is tired.', 'Alan is angry.', False)
('The lion is tired.', 'Bob is angry.', False)
('The leopard is heavy.', 'Charlie is angry.', False)
('The leopard is heavy.', 'Charlie is angry.', False)
('The mouse is lovely.', 'Charlie is angry.', False)
('The mouse is lovely.', 'Charlie is angry.', False)
('The lion likes the mouse.', 'Anne is heavy.', False)
('The lion likes the mouse.', 'Fiona is heavy.', False)
('The squirrel is nice.', 'Charlie is heavy.', False)
('The squirrel is nice.', 'Charlie is huge.', False)
('The leopard is lazy.', 'Charlie is cute.', False)
('The leopard is lazy.', 'Charlie is cute.', False)
('The dinosaur is heavy.', 'Dave is dull.', False)
('The dinosaur is heavy.', 'Dave is dull.', False)
('The hamster is adorable.', 'Harry is clever.', False)
('The hamster is adorable.', 'Harry is clever.', False)
('The leopard needs the hamster.', 'Charlie is dull.', False)
('The leopard needs the hamster.', 'Charlie is dull.', False)
('The cat is kind.', 'Charlie is kind.', False)
('The cat is kind.', 'Charlie is kind.', False)
('The leopard is reckless.', 'Charlie is rabbit.', False)
('The leopard is reckless.', 'Charlie is rabbit.', False)
('The falcon is big.', 'Fiona is rabbit.', False)
('The falcon is big.', 'Fiona is rabbit.', False)
('The rabbit is adorable.', 'Anne is kind.', False)
('The rabbit is adorable.', 'Anne is kind.', False)
('The leopard attacks the rabbit.', 'Charlie is huge.', False)
('The leopard attacks the rabbit.', 'Charlie is huge.', False)
('The mouse is quiet.', 'Charlie is quiet.', False)
('The mouse is quiet.', 'Charlie is quiet.', False)
('The snake is lazy.', 'Anne is rough.', False)
('The snake is lazy.', 'Anne is rough.', False)
('The leopard is obese.', 'Charlie is big.', False)
('The leopard is obese.', 'Charlie is big.', False)
('The dog is small.', 'Fiona is quiet.', False)
('The dog is small.', 'Fiona is quiet.', False)
('The snake likes the dog.', 'Anne is big.', False)
('The snake likes the dog.', 'Anne is huge.', False)
('The hamster is kind.', 'Harry is kind.', False)
('The hamster is kind.', 'Harry is kind.', False)
('The cheetah is lazy.', 'Che.', False)
('The cheetah is lazy.', 'Che.', False)
('The lion is awful.', 'Anne is heavy.', False)
('The lion is awful.', 'Fiona is heavy.', False)
('The mouse is small.', 'Charlie is kind.', False)
('The mouse is small.', 'Charlie is kind.', False)
('The cheetah attacks the mouse.', 'Che.', False)
('The cheetah attacks the mouse.', 'Che.', False)
('The mouse is smart.', 'Erin is clever.', False)
('The mouse is smart.', 'Erin is clever.', False)
('The leopard is slow.', 'Charlie is dull.', False)
('The leopard is slow.', 'Charlie is dull.', False)
('The dinosaur is big.', 'Dave is heavy.', False)
('The dinosaur is big.', 'Dave is heavy.', False)
('The rabbit is furry.', 'Anne is quiet.', False)
('The rabbit is furry.', 'Anne is dull.', False)
('The leopard chases the rabbit.', 'Charlie is heavy.', False)
('The leopard chases the rabbit.', 'Charlie is heavy.', False)
('The hamster is nice.', 'Harry is nice.', False)
('The hamster is nice.', 'Harry is nice.', False)
('The bald eagle is reckless.', 'Erin is dull.', False)
('The bald eagle is reckless.', 'Erin is dull.', False)
('The lion is awful.', 'Alan is tired.', False)
('The lion is awful.', 'Fiona is tired.', False)
('The cat is beautiful.', 'Charlie is nice.', False)
('The cat is beautiful.', 'Charlie is nice.', False)
('The bald eagle visits the cat.', 'Anne is huge.', False)
('The bald eagle visits the cat.', 'Anne is huge.', False)
('The rabbit is quiet.', 'Anne is small.', False)
('The rabbit is quiet.', 'Anne is small.', False)
('The falcon is boring.', 'Fiona is dull.', False)
('The falcon is boring.', 'Fiona is dull.', False)
('The bear is obese.', 'Anne is strong.', False)
('The bear is obese.', 'Bob is strong.', False)
('The cat is small.', 'Charlie is quiet.', False)
('The cat is small.', 'Charlie is quiet.', False)
('The falcon visits the cat.', 'Fiona is dull.', False)
('The falcon visits the cat.', 'Fiona is dull.', False)
('The hamster is smart.', 'Harry is smart.', False)
('The hamster is smart.', 'Harry is smart.', False)
('The cheetah is lazy.', 'Che.', False)
('The cheetah is lazy.', 'Che.', False)
('The crocodile is strong.', 'Charlie is strong.', False)
('The crocodile is strong.', 'Charlie is strong.', False)
('The mouse is cute.', 'Charlie is bad.', False)
('The mouse is cute.', 'Charlie is bad.', False)
('The cheetah visits the mouse.', 'Che.', False)
('The cheetah visits the mouse.', 'Che.', False)
('The cat is quiet.', 'Charlie is dull.', False)
('The cat is quiet.', 'Charlie is dull.', False)
('The falcon is tired.', 'Fiona is kind.', False)
('The falcon is tired.', 'Fiona is quiet.', False)
('The cheetah is fierce.', 'Che.', False)
('The cheetah is fierce.', 'Che.', False)
('The hamster is lovely.', 'Harry is dull.', False)
('The hamster is lovely.', 'Harry is dull.', False)
('The falcon visits the hamster.', 'Fiona is huge.', False)
('The falcon visits the hamster.', 'Fiona is huge.', False)
('The dog is quiet.', 'Fiona is huge.', False)
('The dog is quiet.', 'Fiona is huge.', False)
('The tiger is slow.', 'Fiona is dull.', False)
('The tiger is slow.', 'Fiona is dull.', False)
('The lion is big.', 'Alan is dull.', False)
('The lion is big.', 'Alan is dull.', False)
('The squirrel is cute.', 'Charlie is smart.', False)
('The squirrel is cute.', 'Charlie is smart.', False)
('The tiger chases the squirrel.', 'Gary is dull.', False)
('The tiger chases the squirrel.', 'Gary is dull.', False)
('The squirrel is kind.', 'Charlie is huge.', False)
('The squirrel is kind.', 'Charlie is huge.', False)
('The tiger is reckless.', 'Gary is dull.', False)
('The tiger is reckless.', 'Gary is dull.', False)
('The wolf is strong.', 'Fiona is dull.', False)
('The wolf is strong.', 'Fiona is dull.', False)
('The mouse is small.', 'Charlie is dull.', False)
('The mouse is small.', 'Charlie is dull.', False)
('The tiger needs the mouse.', 'Fiona is strong.', False)
('The tiger needs the mouse.', 'Gary is huge.', False)
('The squirrel is smart.', 'Charlie is smart.', False)
('The squirrel is smart.', 'Charlie is smart.', False)
('The bear is slow.', 'Bob is kind.', False)
('The bear is slow.', 'Bob is bad.', False)
('The tiger is strong.', 'Gary is strong.', False)
('The tiger is strong.', 'Gary is strong.', False)
('The rabbit is adorable.', 'Anne is clever.', False)
('The rabbit is adorable.', 'Anne is clever.', False)
('The bear needs the rabbit.', 'Bob is strong.', False)
('The bear needs the rabbit.', 'Bob is strong.', False)
('The dog is kind.', 'Charlie is kind.', False)
('The dog is kind.', 'Charlie is kind.', False)
('The lion is boring.', 'Alan is dull.', False)
('The lion is boring.', 'Fiona is dull.', False)
('The bear is obese.', 'Anne is huge.', False)
('The bear is obese.', 'Bob is huge.', False)
('The mouse is lovely.', 'Charlie is kind.', False)
('The mouse is lovely.', 'Erin is kind.', False)
('The lion sees the mouse.', 'Alan is dull.', False)
('The lion sees the mouse.', 'Harry is dull.', False)
('The hamster is smart.', 'Harry is smart.', False)
('The hamster is smart.', 'Harry is smart.', False)
('The crocodile is lazy.', 'Charlie is bad.', False)
('The crocodile is lazy.', 'Charlie is bad.', False)
('The bear is awful.', 'Charlie is big.', False)
('The bear is awful.', 'Bob is big.', False)
('The rabbit is furry.', 'Anne is smart.', False)
('The rabbit is furry.', 'Anne is smart.', False)
('The crocodile chases the rabbit.', 'Charlie is bad.', False)
('The crocodile chases the rabbit.', 'Charlie is bad.', False)
('The dog is nice.', 'Charlie is nice.', False)
('The dog is nice.', 'Charlie is nice.', False)
('The dinosaur is boring.', 'Dave is dull.', False)
('The dinosaur is boring.', 'Dave is dull.', False)
('The bear is obese.', 'Bob is big.', False)
('The bear is obese.', 'Bob is big.', False)
('The rabbit is furry.', 'Anne is nice.', False)
('The rabbit is furry.', 'Anne is nice.', False)
('The dinosaur needs the rabbit.', 'Dave is big.', False)
('The dinosaur needs the rabbit.', 'Dave is big.', False)
('The hamster is kind.', 'Harry is huge.', False)
('The hamster is kind.', 'Harry is bad.', False)
('The dinosaur is slow.', 'Dave is bad.', False)
('The dinosaur is slow.', 'Dave is bad.', False)
('The cheetah is obese.', 'Che.', False)
('The cheetah is obese.', 'Che.', False)
('The rabbit is lovely.', 'Anne is bad.', False)
('The rabbit is lovely.', 'Anne is bad.', False)
('The dinosaur attacks the rabbit.', 'Dave is strong.', False)
('The dinosaur attacks the rabbit.', 'Dave is strong.', False)
('The squirrel is round.', 'Charlie is quiet.', False)
('The squirrel is round.', 'Charlie is quiet.', False)
('The snake is rough.', 'Anne is bad.', False)
('The snake is rough.', 'Anne isbald.', False)
('The bald eagle is big.', 'Erin isbald.', False)
('The bald eagle is big.', 'Erin isbald.', False)
('The dog is small.', 'Fiona is nice.', False)
('The dog is small.', 'Fiona is nice.', False)
('The snake chases the dog.', 'Anne is big.', False)
('The snake chases the dog.', 'Anne is big.', False)
('The mouse is smart.', 'Charlie is smart.', False)
('The mouse is smart.', 'Charlie is smart.', False)
('The bear is reckless.', 'Bob is rough.', False)
('The bear is reckless.', 'Bob is rough.', False)
('The falcon is awful.', 'Fiona is rough.', False)
('The falcon is awful.', 'Fiona is rough.', False)
('The squirrel is lovely.', 'Charlie is smart.', False)
('The squirrel is lovely.', 'Charlie is smart.', False)
('The bear sees the squirrel.', 'Anne is heavy.', False)
('The bear sees the squirrel.', 'Bob is heavy.', False)
('The squirrel is round.', 'Charlie is quiet.', False)
('The squirrel is round.', 'Charlie is quiet.', False)
('The leopard is angry.', 'Charlie is dull.', False)
('The leopard is angry.', 'Charlie is dull.', False)
('The bear is obese.', 'Anne is strong.', False)
('The bear is obese.', 'Bob is strong.', False)
('The hamster is lovely.', 'Harry is quiet.', False)
('The hamster is lovely.', 'Harry is quiet.', False)
('The leopard likes the hamster.', 'Charlie is strong.', False)
('The leopard likes the hamster.', 'Charlie is strong.', False)
('The squirrel is round.', 'Charlie is clever.', False)
('The squirrel is round.', 'Charlie is clever.', False)
('The tiger is dull.', 'Gary is dull.', False)
('The tiger is dull.', 'Gary is dull.', False)
('The cheetah is heavy.', 'Che.', False)
('The cheetah is heavy.', 'Che.', False)
('The rabbit is adorable.', 'Anne is clever.', False)
('The rabbit is adorable.', 'Anne is clever.', False)
('The tiger chases the rabbit.', 'Gary is dull.', False)
('The tiger chases the rabbit.', 'Gary is dull.', False)
('The hamster is smart.', 'Harry is nice.', False)
('The hamster is smart.', 'Harry is nice.', False)
('The crocodile is dull.', 'Charlie is dull.', False)
('The crocodile is dull.', 'Charlie is dull.', False)
('The wolf is fierce.', 'Fiona is huge.', False)
('The wolf is fierce.', 'Fiona is huge.', False)
('The squirrel is small.', 'Charlie is nice.', False)
('The squirrel is small.', 'Charlie is nice.', False)
('The crocodile visits the squirrel.', 'Charlie is dull.', False)
('The crocodile visits the squirrel.', 'Charlie is dull.', False)
('The mouse is smart.', 'Anne is nice.', False)
('The mouse is smart.', 'Anne is nice.', False)
('The crocodile is tired.', 'Charlie is dull.', False)
('The crocodile is tired.', 'Charlie is dull.', False)
('The leopard is awful.', 'Charlie is strong.', False)
('The leopard is awful.', 'Charlie is strong.', False)
('The dog is adorable.', 'Fiona is round.', False)
('The dog is adorable.', 'Fiona is round.', False)
('The crocodile chases the dog.', 'Charlie is dull.', False)
('The crocodile chases the dog.', 'Erin is dull.', False)
('The cat is round.', 'Charlie is kind.', False)
('The cat is round.', 'Charlie is kind.', False)
('The cheetah is reckless.', 'Che.', False)
('The cheetah is reckless.', 'Che.', False)
('The snake is strong.', 'Anne is dull.', False)
('The snake is strong.', 'Anne is dull.', False)
('The hamster is furry.', 'Harry is kind.', False)
('The hamster is furry.', 'Harry is kind.', False)
('The cheetah attacks the hamster.', 'Che.', False)
('The cheetah attacks the hamster.', 'Che.', False)
('The cat is round.', 'Charlie is nice.', False)
('The cat is round.', 'Charlie is nice.', False)
('The lion is sleepy.', 'Bob is dull.', False)
('The lion is sleepy.', 'Bob is dull.', False)
('The leopard is strong.', 'Charlie is dull.', False)
('The leopard is strong.', 'Charlie is dull.', False)
('The rabbit is funny.', 'Anne is round.', False)
('The rabbit is funny.', 'Anne is round.', False)
('The lion chases the rabbit.', 'Bob is strong.', False)
('The lion chases the rabbit.', 'Bob is strong.', False)
('The rabbit is kind.', 'Anne is kind.', False)
('The rabbit is kind.', 'Anne is kind.', False)
('The tiger is slow.', 'Gary is rough.', False)
('The tiger is slow.', 'Gary is rough.', False)
('The falcon is awful.', 'Fiona is heavy.', False)
('The falcon is awful.', 'Fiona is heavy.', False)
('The squirrel is cute.', 'Charlie is kind.', False)
('The squirrel is cute.', 'Charlie is kind.', False)
('The tiger visits the squirrel.', 'Fiona is heavy.', False)
('The tiger visits the squirrel.', 'Fiona is heavy.', False)
('The dog is kind.', 'Charlie is quiet.', False)
('The dog is kind.', 'Charlie is sleep.', False)
('The cheetah is sleepy.', 'Che.', False)
('The cheetah is sleepy.', 'Che.', False)
('The dinosaur is obese.', 'Dave is round.', False)
('The dinosaur is obese.', 'Dave is round.', False)
('The mouse is funny.', 'Anne is round.', False)
('The mouse is funny.', 'Anne is round.', False)
('The cheetah likes the mouse.', 'Che.', False)
('The cheetah likes the mouse.', 'Che.', False)
('The squirrel is nice.', 'Charlie is nice.', False)
('The squirrel is nice.', 'Charlie is nice.', False)
('The dinosaur is lazy.', 'Dave is dull.', False)
('The dinosaur is lazy.', 'Dave is dull.', False)
('The wolf is fierce.', 'Fiona is heavy.', False)
('The wolf is fierce.', 'Fiona is heavy.', False)
('The mouse is funny.', 'Charlie is nice.', False)
('The mouse is funny.', 'Charlie is nice.', False)
('The dinosaur likes the mouse.', 'Dave is dull.', False)
('The dinosaur likes the mouse.', 'Dave is dull.', False)
('The cat is nice.', 'Charlie is strong.', False)
('The cat is nice.', 'Charlie is slow.', False)
('The bald eagle is lazy.', 'Erin is bad.', False)
('The bald eagle is lazy.', 'Erin is bad.', False)
('The crocodile is strong.', 'Charlie is heavy.', False)
('The crocodile is strong.', 'Charlie is heavy.', False)
('The dog is furry.', 'Fiona is nice.', False)
('The dog is furry.', 'Fiona is nice.', False)
('The bald eagle sees the dog.', 'Erin is bad.', False)
('The bald eagle sees the dog.', 'Erin is bad.', False)
('The mouse is kind.', 'Charlie is quiet.', False)
('The mouse is kind.', 'Charlie is kind.', False)
('The leopard is angry.', 'Charlie is dull.', False)
('The leopard is angry.', 'Charlie is dull.', False)
('The wolf is obese.', 'Fiona is huge.', False)
('The wolf is obese.', 'Fiona is huge.', False)
('The dog is cute.', 'Fiona is thin.', False)
('The dog is cute.', 'Fiona is thin.', False)
('The leopard sees the dog.', 'Charlie is huge.', False)
('The leopard sees the dog.', 'Charlie is huge.', False)
('The dog is nice.', 'Charlie is quiet.', False)
('The dog is nice.', 'Charlie is quiet.', False)
('The cheetah is lazy.', 'Charlie is quiet.', False)
('The cheetah is lazy.', 'Charlie is lazy.', False)
('The wolf is awful.', 'Fiona is strong.', False)
('The wolf is awful.', 'Fiona is strong.', False)
('The rabbit is furry.', 'Anne is quiet.', False)
('The rabbit is furry.', 'Fiona is quiet.', False)
('The cheetah likes the rabbit.', 'Che.', False)
('The cheetah likes the rabbit.', 'Charlie is strong.', False)
('The hamster is nice.', 'Harry is quiet.', False)
('The hamster is nice.', 'Harry is quiet.', False)
('The falcon is lazy.', 'Fiona is obese.', False)
('The falcon is lazy.', 'Fiona is obese.', False)
('The wolf is fierce.', 'Fiona is strong.', False)
('The wolf is fierce.', 'Fiona is fierce.', False)
('The mouse is adorable.', 'Anne is round.', False)
('The mouse is adorable.', 'Anne is round.', False)
('The falcon chases the mouse.', 'Fiona is imperfect.', False)
('The falcon chases the mouse.', 'Fiona is imperfect.', False)
('The dog is quiet.', 'Charlie is nice.', False)
('The dog is quiet.', 'Charlie is nice.', False)
('The wolf is boring.', 'Fiona is dull.', False)
('The wolf is boring.', 'Fiona is dull.', False)
('The snake is big.', 'Anne is dull.', False)
('The snake is big.', 'Anne is dull.', False)
('The hamster is cute.', 'Harry is nice.', False)
('The hamster is cute.', 'Harry is nice.', False)
('The wolf chases the hamster.', 'Fiona is big.', False)
('The wolf chases the hamster.', 'Fiona is big.', False)
('The rabbit is smart.', 'Anne is dull.', False)
('The rabbit is smart.', 'Anne is dull.', False)
('The dinosaur is dull.', 'Dave is dull.', False)
('The dinosaur is dull.', 'Dave is dull.', False)
('The tiger is awful.', 'Gary is huge.', False)
('The tiger is awful.', 'Gary is huge.', False)
('The cat is adorable.', 'Charlie is little.', False)
('The cat is adorable.', 'Charlie is little.', False)
('The dinosaur needs the cat.', 'Dave is huge.', False)
('The dinosaur needs the cat.', 'Dave is huge.', False)
('The rabbit is round.', 'Anne is smart.', False)
('The rabbit is round.', 'Anne is smart.', False)
('The wolf is reckless.', 'Fiona is dull.', False)
('The wolf is reckless.', 'Fiona is dull.', False)
('The falcon is strong.', 'Fiona is dull.', False)
('The falcon is strong.', 'Fiona is dull.', False)
('The hamster is lovely.', 'Harry is smart.', False)
('The hamster is lovely.', 'Harry is smart.', False)
('The wolf chases the hamster.', 'Fiona is huge.', False)
('The wolf chases the hamster.', 'Fiona is huge.', False)
('The rabbit is smart.', 'Anne is smart.', False)
('The rabbit is smart.', 'Anne is smart.', False)
('The leopard is dull.', 'Charlie is dull.', False)
('The leopard is dull.', 'Charlie is dull.', False)
('The bald eagle is awful.', 'Anne is big.', False)
('The bald eagle is awful.', 'Anne is big.', False)
('The hamster is lovely.', 'Harry is clever.', False)
('The hamster is lovely.', 'Harry is clever.', False)
('The leopard needs the hamster.', 'Charlie is big.', False)
('The leopard needs the hamster.', 'Charlie is big.', False)
('The rabbit is round.', 'Anne is nice.', False)
('The rabbit is round.', 'Anne is nice.', False)
('The bald eagle is lazy.', 'Erin is awful.', False)
('The bald eagle is lazy.', 'Erin is awful.', False)
('The tiger is obese.', 'Fiona is big.', False)
('The tiger is obese.', 'Fiona is big.', False)
('The dog is beautiful.', 'Charlie is awful.', False)
('The dog is beautiful.', 'Charlie is awful.', False)
('The bald eagle attacks the dog.', 'Anne is big.', False)
('The bald eagle attacks the dog.', 'Erin is big.', False)
('The cat is quiet.', 'Charlie is quiet.', False)
('The cat is quiet.', 'Charlie is quiet.', False)
('The snake is rough.', 'Anne is rough.', False)
('The snake is rough.', 'Anne is rough.', False)
('The dinosaur is fierce.', 'Dave is huge.', False)
('The dinosaur is fierce.', 'Dave is huge.', False)
('The mouse is funny.', 'Charlie is quiet.', False)
('The mouse is funny.', 'Charlie is quiet.', False)
('The snake visits the mouse.', 'Anne is heavy.', False)
('The snake visits the mouse.', 'Anne is heavy.', False)
('The dog is kind.', 'Charlie is kind.', False)
('The dog is kind.', 'Charlie is kind.', False)
('The snake is rough.', 'Anne is rough.', False)
('The snake is rough.', 'Anne is rough.', False)
('The tiger is strong.', 'Fiona is strong.', False)
('The tiger is strong.', 'Fiona is strong.', False)
('The rabbit is furry.', 'Anne is kind.', False)
('The rabbit is furry.', 'Anne is kind.', False)
('The snake attacks the rabbit.', 'Anne is rough.', False)
('The snake attacks the rabbit.', 'Anne is rough.', False)
('The squirrel is quiet.', 'Charlie is clever.', False)
('The squirrel is quiet.', 'Charlie is clever.', False)
('The leopard is slow.', 'Charlie is sad.', False)
('The leopard is slow.', 'Charlie is sad.', False)
('The falcon is strong.', 'Fiona is strong.', False)
('The falcon is strong.', 'Fiona is strong.', False)
('The cat is small.', 'Charlie is clever.', False)
('The cat is small.', 'Charlie is clever.', False)
('The leopard visits the cat.', 'Charlie is strong.', False)
('The leopard visits the cat.', 'Charlie is strong.', False)
('The cat is smart.', 'Charlie is nice.', False)
('The cat is smart.', 'Charlie is nice.', False)
('The lion is slow.', 'Alan is cat.', False)
('The lion is slow.', 'Alan is rabbit.', False)
('The bear is heavy.', 'Bob is cat.', False)
('The bear is heavy.', 'Bob is poor.', False)
('The rabbit is cute.', 'Anne is thin.', False)
('The rabbit is cute.', 'Anne is little.', False)
('The lion likes the rabbit.', 'Bob is heavy.', False)
('The lion likes the rabbit.', 'Bob is heavy.', False)
('The cat is round.', 'Charlie is clever.', False)
('The cat is round.', 'Charlie is squirrel.', False)
('The falcon is angry.', 'Fiona is quiet.', False)
('The falcon is angry.', 'Fiona is quiet.', False)
('The tiger is awful.', 'Gary is huge.', False)
('The tiger is awful.', 'Gary is huge.', False)
('The squirrel is funny.', 'Fiona is thin.', False)
('The squirrel is funny.', 'Fiona is thin.', False)
('The falcon chases the squirrel.', 'Fiona is strong.', False)
('The falcon chases the squirrel.', 'Fiona is strong.', False)
('The hamster is round.', 'Harry is nice.', False)
('The hamster is round.', 'Harry is nice.', False)
('The bear is lazy.', 'Bob is lazy.', False)
('The bear is lazy.', 'Bob is lazy.', False)
('The cheetah is big.', 'Che.', False)
('The cheetah is big.', 'Che.', False)
('The rabbit is beautiful.', 'Anne is quiet.', False)
('The rabbit is beautiful.', 'Anne is quiet.', False)
('The bear needs the rabbit.', 'Bob is lazy.', False)
('The bear needs the rabbit.', 'Bob is lazy.', False)
('The rabbit is round.', 'Anne is quiet.', False)
('The rabbit is round.', 'Anne is quiet.', False)
('The snake is angry.', 'Anne is dull.', False)
('The snake is angry.', 'Anne is dull.', False)
