('The dog is round.', 'The dog is round.', True)
('The lion is fierce.', 'The lion is fierce.', True)
('The hamster is funny.', 'The hamster is kind.', False)
('The hamster is funny.', 'The hamster is kind.', False)
('The wolf needs the hamster.', 'The wolf is reckless.', False)
('The wolf needs the hamster.', 'The wolf is reckless.', False)
('The cat is nice.', 'The cat is kind.', False)
('The cat is nice.', 'The cat is kind.', False)
('The snake is sleepy.', 'The snake is sleepy.', True)
('The snake is sleepy.', 'The snake is sleepy.', True)
('The lion is obese.', 'The lion is obese.', True)
('The lion is obese.', 'The lion is obese.', True)
('The dog is small.', 'The dog is kind.', False)
('The dog is small.', 'The dog is kind.', False)
('The snake needs the dog.', 'The snake is angry.', False)
('The snake needs the dog.', 'The snake is angry.', False)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The leopard is tired.', 'The leopard is rough.', False)
('The leopard is tired.', 'The leopard is rough.', False)
('The tiger is strong.', 'The tiger is strong.', True)
('The tiger is strong.', 'The tiger is strong.', True)
('The dog is beautiful.', 'The dog is furry.', False)
('The dog is beautiful.', 'The dog is furry.', False)
('The leopard likes the dog.', 'The leopard is lazy.', False)
('The leopard likes the dog.', 'The leopard is lazy.', False)
('The cat is nice.', 'The cat is nice.', True)
('The cat is nice.', 'The cat is nice.', True)
('The leopard is tired.', 'The leopard is sleepy.', False)
('The leopard is tired.', 'The leopard is sleepy.', False)
('The crocodile is fierce.', 'The crocodile is fierce.', True)
('The crocodile is fierce.', 'The crocodile is fierce.', True)
('The mouse is funny.', 'The mouse is fierce.', False)
('The mouse is funny.', 'The mouse is fierce.', False)
('The leopard visits the mouse.', 'The leopard visits the mouse.', True)
('The leopard visits the mouse.', 'The leopard visits the mouse.', True)
('The cat is smart.', 'The cat is adorable.', False)
('The cat is smart.', 'The cat is adorable.', False)
('The cheetah is lazy.', 'The cheetah is furry.', False)
('The cheetah is lazy.', 'The cheetah is furry.', False)
('The crocodile is big.', 'The crocodile is lovely.', False)
('The crocodile is big.', 'The crocodile is lovely.', False)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The cheetah visits the rabbit.', 'The cheetah visits the rabbit.', True)
('The cheetah visits the rabbit.', 'The cheetah visits the rabbit.', True)
('The rabbit is nice.', 'The rabbit is kind.', False)
('The rabbit is nice.', 'The rabbit is kind.', False)
('The cheetah is dull.', 'The cheetah is lazy.', False)
('The cheetah is dull.', 'The cheetah is lazy.', False)
('The leopard is fierce.', 'The leopard is funny.', False)
('The leopard is fierce.', 'The leopard is funny.', False)
('The squirrel is adorable.', 'The squirrel is fierce.', False)
('The squirrel is adorable.', 'The squirrel is fierce.', False)
('The cheetah sees the squirrel.', 'The cheetah sees the squirrel.', True)
('The cheetah sees the squirrel.', 'The cheetah sees the squirrel.', True)
('The squirrel is smart.', 'The squirrel is quiet.', False)
('The squirrel is smart.', 'The squirrel is quiet.', False)
('The falcon is rough.', 'The falcon is rough.', True)
('The falcon is rough.', 'The falcon is rough.', True)
('The leopard is fierce.', 'The leopard is heavy.', False)
('The leopard is fierce.', 'The leopard is heavy.', False)
('The rabbit is lovely.', 'The rabbit is boring.', False)
('The rabbit is lovely.', 'The rabbit is boring.', False)
('The falcon needs the rabbit.', 'The falcon needs the rabbit.', True)
('The falcon needs the rabbit.', 'The falcon needs the rabbit.', True)
('The squirrel is round.', 'The squirrel is nice.', False)
('The squirrel is round.', 'The squirrel is nice.', False)
('The lion is slow.', 'The lion is obese.', False)
('The lion is slow.', 'The lion is obese.', False)
('The bear is big.', 'The bear is strong.', False)
('The bear is big.', 'The bear is strong.', False)
('The hamster is cute.', 'The hamster is cute.', True)
('The hamster is cute.', 'The hamster is cute.', True)
('The lion needs the hamster.', 'The lion is angry.', False)
('The lion needs the hamster.', 'The lion is angry.', False)
('The hamster is round.', 'The hamster is beautiful.', False)
('The hamster is round.', 'The hamster is beautiful.', False)
('The cheetah is dull.', 'The cheetah is furry.', False)
('The cheetah is dull.', 'The cheetah is furry.', False)
('The wolf is strong.', 'The wolf is awful.', False)
('The wolf is strong.', 'The wolf is awful.', False)
('The cat is beautiful.', 'The cat is furry.', False)
('The cat is beautiful.', 'The cat is small.', False)
('The cheetah likes the cat.', 'The cheetah is reckless.', False)
('The cheetah likes the cat.', 'The cheetah is reckless.', False)
('The rabbit is smart.', 'The rabbit is kind.', False)
('The rabbit is smart.', 'The rabbit is kind.', False)
('The wolf is lazy.', 'The wolf is lazy.', True)
('The wolf is lazy.', 'The wolf is lazy.', True)
('The cheetah is fierce.', 'The cheetah is awful.', False)
('The cheetah is fierce.', 'The cheetah is awful.', False)
('The dog is lovely.', 'The dog is lovely.', True)
('The dog is lovely.', 'The dog is lovely.', True)
('The wolf sees the dog.', 'The wolf sees the dog.', True)
('The wolf sees the dog.', 'The wolf sees the dog.', True)
('The squirrel is nice.', 'The squirrel is smart.', False)
('The squirrel is nice.', 'The squirrel is smart.', False)
('The cheetah is sleepy.', 'The cheetah is sleepy.', True)
('The cheetah is sleepy.', 'The cheetah is sleepy.', True)
('The tiger is obese.', 'The tiger is awful.', False)
('The tiger is obese.', 'The tiger is awful.', False)
('The dog is small.', 'The dog is small.', True)
('The dog is small.', 'The dog is small.', True)
('The cheetah sees the dog.', 'The cheetah chases the squirrel.', False)
('The cheetah sees the dog.', 'The cheetah chases the squirrel.', False)
('The cat is quiet.', 'The cat is kind.', False)
('The cat is quiet.', 'The cat is kind.', False)
('The crocodile is lazy.', 'The crocodile is rough.', False)
('The crocodile is lazy.', 'The crocodile is rough.', False)
('The leopard is strong.', 'The leopard is fierce.', False)
('The leopard is strong.', 'The leopard is fierce.', False)
('The hamster is funny.', 'The hamster is funny.', True)
('The hamster is funny.', 'The hamster is funny.', True)
('The crocodile visits the hamster.', 'The crocodile chases the cat.', False)
('The crocodile visits the hamster.', 'The crocodile chases the cat.', False)
('The mouse is quiet.', 'The mouse is nice.', False)
('The mouse is quiet.', 'The mouse is nice.', False)
('The snake is lazy.', 'The snake is awful.', False)
('The snake is lazy.', 'The snake is awful.', False)
('The wolf is obese.', 'The wolf is adorable.', False)
('The wolf is obese.', 'The wolf is adorable.', False)
('The squirrel is cute.', 'The squirrel is furry.', False)
('The squirrel is cute.', 'The squirrel is furry.', False)
('The snake likes the squirrel.', 'The snake sees the mouse.', False)
('The snake likes the squirrel.', 'The snake sees the mouse.', False)
('The dog is kind.', 'The dog is angry.', False)
('The dog is kind.', 'The dog is angry.', False)
('The falcon is slow.', 'The falcon is angry.', False)
('The falcon is slow.', 'The falcon is angry.', False)
('The leopard is fierce.', 'The leopard is fierce.', True)
('The leopard is fierce.', 'The leopard is fierce.', True)
('The rabbit is furry.', 'The rabbit is furry.', True)
('The rabbit is furry.', 'The rabbit is furry.', True)
('The falcon sees the rabbit.', 'The falcon visits the dog.', False)
('The falcon sees the rabbit.', 'The falcon visits the dog.', False)
('The dog is nice.', 'The dog is kind.', False)
('The dog is nice.', 'The dog is kind.', False)
('The tiger is dull.', 'The tiger is boring.', False)
('The tiger is dull.', 'The tiger is boring.', False)
('The dinosaur is strong.', 'The dinosaur is strong.', True)
('The dinosaur is strong.', 'The dinosaur is strong.', True)
('The rabbit is cute.', 'The rabbit is adorable.', False)
('The rabbit is cute.', 'The rabbit is adorable.', False)
('The tiger needs the rabbit.', 'The tiger needs the rabbit.', True)
('The tiger needs the rabbit.', 'The tiger needs the rabbit.', True)
('The hamster is round.', 'The hamster is round.', True)
('The hamster is round.', 'The hamster is round.', True)
('The leopard is slow.', 'The leopard is big.', False)
('The leopard is slow.', 'The leopard is big.', False)
('The tiger is fierce.', 'The tiger is fierce.', True)
('The tiger is fierce.', 'The tiger is fierce.', True)
('The cat is adorable.', 'The cat is cute.', False)
('The cat is adorable.', 'The cat is cute.', False)
('The leopard sees the cat.', 'The leopard sees the cat.', True)
('The leopard sees the cat.', 'The leopard sees the cat.', True)
('The dog is nice.', 'The dog is kind.', False)
('The dog is nice.', 'The dog is kind.', False)
('The lion is tired.', 'The lion is tired.', True)
('The lion is tired.', 'The lion is tired.', True)
('The tiger is heavy.', 'The tiger is heavy.', True)
('The tiger is heavy.', 'The tiger is heavy.', True)
('The squirrel is small.', 'The squirrel is kind.', False)
('The squirrel is small.', 'The squirrel is kind.', False)
('The lion chases the squirrel.', 'The lion is likes the squirrel.', False)
('The lion chases the squirrel.', 'The lion is likes the squirrel.', False)
('The cat is nice.', 'The cat is kind.', False)
('The cat is nice.', 'The cat is kind.', False)
('The cheetah is reckless.', 'The cheetah is angry.', False)
('The cheetah is reckless.', 'The cheetah is angry.', False)
('The tiger is obese.', 'The tiger is strong.', False)
('The tiger is obese.', 'The tiger is strong.', False)
('The mouse is furry.', 'The mouse is furry.', True)
('The mouse is furry.', 'The mouse is furry.', True)
('The cheetah chases the mouse.', 'The cheetah sees the cat.', False)
('The cheetah chases the mouse.', 'The cheetah sees the cat.', False)
('The rabbit is round.', 'The rabbit is smart.', False)
('The rabbit is round.', 'The rabbit is smart.', False)
('The falcon is angry.', 'The falcon is sleepy.', False)
('The falcon is angry.', 'The falcon is sleepy.', False)
('The leopard is heavy.', 'The leopard is fierce.', False)
('The leopard is heavy.', 'The leopard is furry.', False)
('The dog is cute.', 'The dog is furry.', False)
('The dog is cute.', 'The dog is furry.', False)
('The falcon attacks the dog.', 'The falcon attacks the dog.', True)
('The falcon attacks the dog.', 'The falcon attacks the dog.', True)
('The cat is round.', 'The cat is kind.', False)
('The cat is round.', 'The cat is kind.', False)
('The tiger is angry.', 'The tiger is angry.', True)
('The tiger is angry.', 'The tiger is angry.', True)
('The snake is awful.', 'The snake is furry.', False)
('The snake is awful.', 'The snake is furry.', False)
('The hamster is beautiful.', 'The hamster is beautiful.', True)
('The hamster is beautiful.', 'The hamster is beautiful.', True)
('The tiger sees the hamster.', 'The tiger sees the hamster.', True)
('The tiger sees the hamster.', 'The tiger sees the hamster.', True)
('The mouse is round.', 'The mouse is nice.', False)
('The mouse is round.', 'The mouse is nice.', False)
('The cheetah is boring.', 'The cheetah is boring.', True)
('The cheetah is boring.', 'The cheetah is round.', False)
('The snake is fierce.', 'The snake is kind.', False)
('The snake is fierce.', 'The snake is kind.', False)
('The rabbit is adorable.', 'The rabbit is beautiful.', False)
('The rabbit is adorable.', 'The rabbit is adorable.', True)
('The cheetah sees the rabbit.', 'The cheetah is rough.', False)
('The cheetah sees the rabbit.', 'The cheetah is rough.', False)
('The rabbit is smart.', 'The leopard is round.', False)
('The rabbit is smart.', 'The rabbit is round.', False)
('The cheetah is dull.', 'The cheetah is strong.', False)
('The cheetah is dull.', 'The cheetah is strong.', False)
('The leopard is obese.', 'The leopard is furry.', False)
('The leopard is obese.', 'The leopard is furry.', False)
('The cat is funny.', 'The cat is boring.', False)
('The cat is funny.', 'The cat is boring.', False)
('The cheetah needs the cat.', 'The cheetah needs the cat.', True)
('The cheetah needs the cat.', 'The cheetah needs the cat.', True)
('The cat is nice.', 'The cat is smart.', False)
('The cat is nice.', 'The cat is rough.', False)
('The leopard is lazy.', 'The leopard is lazy.', True)
('The leopard is lazy.', 'The leopard is lazy.', True)
('The tiger is obese.', 'The tiger is small.', False)
('The tiger is obese.', 'The tiger is small.', False)
('The squirrel is adorable.', 'The squirrel is furry.', False)
('The squirrel is adorable.', 'The squirrel is furry.', False)
('The leopard chases the squirrel.', 'The leopard chases the squirrel.', True)
('The leopard chases the squirrel.', 'The leopard chases the squirrel.', True)
('The rabbit is kind.', 'The rabbit is nice.', False)
('The rabbit is kind.', 'The rabbit is nice.', False)
('The lion is tired.', 'The lion is furry.', False)
('The lion is tired.', 'The lion is furry.', False)
('The leopard is big.', 'The leopard is big.', True)
('The leopard is big.', 'The leopard is big.', True)
('The dog is lovely.', 'The dog is smart.', False)
('The dog is lovely.', 'The dog is smart.', False)
('The lion visits the dog.', 'The lion visits the rabbit.', False)
('The lion visits the dog.', 'The lion visits the rabbit.', False)
('The dog is quiet.', 'The dog is round.', False)
('The dog is quiet.', 'The dog is round.', False)
('The falcon is dull.', 'The falcon is heavy.', False)
('The falcon is dull.', 'The falcon is heavy.', False)
('The cheetah is fierce.', 'The cheetah is adorable.', False)
('The cheetah is fierce.', 'The cheetah is adorable.', False)
('The cat is furry.', 'The cat is fierce.', False)
('The cat is furry.', 'The cat is fierce.', False)
('The falcon likes the cat.', 'The falcon likes the cat.', True)
('The falcon likes the cat.', 'The falcon likes the cat.', True)
('The hamster is smart.', 'The hamster is kind.', False)
('The hamster is smart.', 'The hamster is kind.', False)
('The tiger is dull.', 'The tiger is awful.', False)
('The tiger is dull.', 'The tiger is awful.', False)
('The crocodile is fierce.', 'The crocodile is kind.', False)
('The crocodile is fierce.', 'The crocodile is kind.', False)
('The squirrel is adorable.', 'The crocodile is fierce.', False)
('The squirrel is adorable.', 'The squirrel is adorable.', True)
('The tiger attacks the squirrel.', 'The tiger likes the hamster.', False)
('The tiger attacks the squirrel.', 'The tiger likes the hamster.', False)
('The rabbit is nice.', 'The rabbit is furry.', False)
('The rabbit is nice.', 'The rabbit is furry.', False)
('The bear is slow.', 'The bear is lovely.', False)
('The bear is slow.', 'The bear is lovely.', False)
('The snake is heavy.', 'The snake is fierce.', False)
('The snake is heavy.', 'The snake is fierce.', False)
('The squirrel is furry.', 'The squirrel is furry.', True)
('The squirrel is furry.', 'The squirrel is furry.', True)
('The bear needs the squirrel.', 'The bear is dull.', False)
('The bear needs the squirrel.', 'The bear is dull.', False)
('The hamster is round.', 'The hamster is kind.', False)
('The hamster is round.', 'The hamster is kind.', False)
('The cheetah is tired.', 'The cheetah is furry.', False)
('The cheetah is tired.', 'The cheetah is furry.', False)
('The dinosaur is awful.', 'The dinosaur is fierce.', False)
('The dinosaur is awful.', 'The dinosaur is fierce.', False)
('The cat is beautiful.', 'The cat is nice.', False)
('The cat is beautiful.', 'The cat is nice.', False)
('The cheetah visits the cat.', 'The cheetah is slow.', False)
('The cheetah visits the cat.', 'The cheetah is slow.', False)
('The squirrel is smart.', 'The squirrel is rough.', False)
('The squirrel is smart.', 'The squirrel is rough.', False)
('The wolf is dull.', 'The wolf is smart.', False)
('The wolf is dull.', 'The wolf is smart.', False)
('The crocodile is obese.', 'The crocodile is awful.', False)
('The crocodile is obese.', 'The crocodile is awful.', False)
('The rabbit is furry.', 'The rabbit is furry.', True)
('The rabbit is furry.', 'The rabbit is quiet.', False)
('The wolf visits the rabbit.', 'The wolf visits the rabbit.', True)
('The wolf visits the rabbit.', 'The wolf visits the rabbit.', True)
('The rabbit is quiet.', 'The rabbit is round.', False)
('The rabbit is quiet.', 'The rabbit is round.', False)
('The lion is sleepy.', 'The lion is sleepy.', True)
('The lion is sleepy.', 'The lion is sleepy.', True)
('The tiger is big.', 'The tiger is beautiful.', False)
('The tiger is big.', 'The tiger is beautiful.', False)
('The hamster is small.', 'The hamster is beautiful.', False)
('The hamster is small.', 'The hamster is lovely.', False)
('The lion likes the hamster.', 'The lion likes the hamster.', True)
('The lion likes the hamster.', 'The lion likes the hamster.', True)
('The hamster is smart.', 'The hamster is quiet.', False)
('The hamster is smart.', 'The hamster is quiet.', False)
('The dinosaur is slow.', 'The dinosaur is slow.', True)
('The dinosaur is slow.', 'The dinosaur is slow.', True)
('The crocodile is fierce.', 'The crocodile is strong.', False)
('The crocodile is fierce.', 'The crocodile is strong.', False)
('The dog is cute.', 'The dog is small.', False)
('The dog is cute.', 'The dog is small.', False)
('The dinosaur sees the dog.', 'The dinosaur is rough.', False)
('The dinosaur sees the dog.', 'The dinosaur is rough.', False)
('The mouse is round.', 'The mouse is round.', True)
('The mouse is round.', 'The mouse is round.', True)
('The tiger is tired.', 'The tiger is fierce.', False)
('The tiger is tired.', 'The tiger is fierce.', False)
('The wolf is awful.', 'The wolf is awful.', True)
('The wolf is awful.', 'The wolf is awful.', True)
('The hamster is furry.', 'The hamster is furry.', True)
('The hamster is furry.', 'The hamster is furry.', True)
('The tiger needs the hamster.', 'The tiger is boring.', False)
('The tiger needs the hamster.', 'The tiger is boring.', False)
('The mouse is smart.', 'The mouse is kind.', False)
('The mouse is smart.', 'The mouse is kind.', False)
('The snake is boring.', 'The snake is strong.', False)
('The snake is boring.', 'The snake is strong.', False)
('The cheetah is awful.', 'The cheetah is kind.', False)
('The cheetah is awful.', 'The cheetah is kind.', False)
('The rabbit is furry.', 'The rabbit is furry.', True)
('The rabbit is furry.', 'The rabbit is furry.', True)
('The snake sees the rabbit.', 'The snake chases the mouse.', False)
('The snake sees the rabbit.', 'The snake chases the mouse.', False)
('The squirrel is kind.', 'The squirrel is lovely.', False)
('The squirrel is kind.', 'The squirrel is lovely.', False)
('The crocodile is tired.', 'The crocodile is furry.', False)
('The crocodile is tired.', 'The crocodile is furry.', False)
('The cheetah is awful.', 'The cheetah is strong.', False)
('The cheetah is awful.', 'The cheetah is strong.', False)
('The mouse is adorable.', 'The mouse is small.', False)
('The mouse is adorable.', 'The mouse is small.', False)
('The crocodile attacks the mouse.', 'The crocodile is boring.', False)
('The crocodile attacks the mouse.', 'The crocodile is boring.', False)
('The rabbit is round.', 'The rabbit is round.', True)
('The rabbit is round.', 'The rabbit is round.', True)
('The bear is tired.', 'The bear is angry.', False)
('The bear is tired.', 'The bear is angry.', False)
('The falcon is heavy.', 'The falcon is obese.', False)
('The falcon is heavy.', 'The falcon is obese.', False)
('The squirrel is cute.', 'The squirrel is quiet.', False)
('The squirrel is cute.', 'The squirrel is quiet.', False)
('The bear visits the squirrel.', 'The bear sees the rabbit.', False)
('The bear visits the squirrel.', 'The bear sees the rabbit.', False)
('The rabbit is quiet.', 'The rabbit is round.', False)
('The rabbit is quiet.', 'The rabbit is round.', False)
('The lion is angry.', 'The lion is angry.', True)
('The lion is angry.', 'The lion is angry.', True)
('The wolf is fierce.', 'The wolf is fierce.', True)
('The wolf is fierce.', 'The wolf is fierce.', True)
('The mouse is cute.', 'The mouse is beautiful.', False)
('The mouse is cute.', 'The mouse is beautiful.', False)
('The lion chases the mouse.', 'The lion is rough.', False)
('The lion chases the mouse.', 'The lion is rough.', False)
('The squirrel is round.', 'The squirrel is round.', True)
('The squirrel is round.', 'The squirrel is round.', True)
('The lion is lazy.', 'The lion is slow.', False)
('The lion is lazy.', 'The lion is slow.', False)
('The dinosaur is awful.', 'The dinosaur is awful.', True)
('The dinosaur is awful.', 'The dinosaur is awful.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The lion sees the mouse.', 'The lion needs the squirrel.', False)
('The lion sees the mouse.', 'The lion needs the squirrel.', False)
('The hamster is quiet.', 'The hamster is reckless.', False)
('The hamster is quiet.', 'The hamster is quiet.', True)
('The dinosaur is boring.', 'The dinosaur is boring.', True)
('The dinosaur is boring.', 'The dinosaur is strong.', False)
('The wolf is fierce.', 'The wolf is fierce.', True)
('The wolf is fierce.', 'The wolf is fierce.', True)
('The mouse is small.', 'The mouse is small.', True)
('The mouse is small.', 'The mouse is small.', True)
('The dinosaur sees the mouse.', 'The dinosaur sees the mouse.', True)
('The dinosaur sees the mouse.', 'The dinosaur sees the mouse.', True)
('The dog is round.', 'The dog is round.', True)
('The dog is round.', 'The dog is round.', True)
('The dinosaur is slow.', 'The dinosaur is furry.', False)
('The dinosaur is slow.', 'The dinosaur is furry.', False)
('The falcon is heavy.', 'The falcon is big.', False)
('The falcon is heavy.', 'The falcon is big.', False)
('The squirrel is small.', 'The squirrel is funny.', False)
('The squirrel is small.', 'The squirrel is funny.', False)
('The dinosaur attacks the squirrel.', 'The dinosaur is reckless.', False)
('The dinosaur attacks the squirrel.', 'The dinosaur is reckless.', False)
('The mouse is quiet.', 'The mouse is kind.', False)
('The mouse is quiet.', 'The mouse is kind.', False)
('The cheetah is reckless.', 'The cheetah is fierce.', False)
('The cheetah is reckless.', 'The cheetah is fierce.', False)
('The falcon is strong.', 'The falcon is quiet.', False)
('The falcon is strong.', 'The falcon is lovely.', False)
('The cat is furry.', 'The cat is kind.', False)
('The cat is furry.', 'The cat is kind.', False)
('The cheetah sees the cat.', 'The cheetah sees the cat.', True)
('The cheetah sees the cat.', 'The cheetah sees the cat.', True)
('The cat is kind.', 'The cat is kind.', True)
('The cat is kind.', 'The cat is kind.', True)
('The tiger is tired.', 'The tiger is obese.', False)
('The tiger is tired.', 'The tiger is obese.', False)
('The bear is fierce.', 'The tiger is heavy.', False)
('The bear is fierce.', 'The bear is heavy.', False)
('The mouse is funny.', 'The mouse is quiet.', False)
('The mouse is funny.', 'The mouse is quiet.', False)
('The tiger likes the mouse.', 'The tiger likes the mouse.', True)
('The tiger likes the mouse.', 'The tiger likes the mouse.', True)
('The dog is kind.', 'The dog is kind.', True)
('The dog is kind.', 'The dog is kind.', True)
('The bald eagle is rough.', 'The bald eagle is rough.', True)
('The bald eagle is rough.', 'The bald eagle is rough.', True)
('The cheetah is big.', 'The cheetah is big.', True)
('The cheetah is big.', 'The cheetah is big.', True)
('The rabbit is furry.', 'The rabbit is cute.', False)
('The rabbit is furry.', 'The rabbit is cute.', False)
('The bald eagle chases the rabbit.', 'The bald eagle likes the dog.', False)
('The bald eagle chases the rabbit.', 'The bald eagle likes the dog.', False)
('The dog is nice.', 'The dog is round.', False)
('The dog is nice.', 'The dog is round.', False)
