('The squirrel is kind.', 'Fiona is bad.', False)
('The squirrel is small.', 'Fiona is small.', False)
('The squirrel is small.', 'is small.', False)
('The lion likes the squirrel.', 'Erin is reckless.', False)
('The lion likes the squirrel.', 'Erin is reckless.', False)
('The dog is nice.', 'Fiona is slow.', False)
('The dog is nice.', 'Fiona is slow.', False)
('The falcon is lazy.', 'Fiona is lazy.', False)
('The falcon is lazy.', 'Fiona is lazy.', False)
('The wolf is strong.', 'Charlie is lazy.', False)
('The wolf is strong.', 'Charlie is lazy.', False)
('The rabbit is beautiful.', 'Alan is slow.', False)
('The rabbit is beautiful.', 'is slow.', False)
('The falcon attacks the rabbit.', 'Fiona is slow.', False)
('The falcon attacks the rabbit.', 'Fiona is slow.', False)
('The cat is kind.', 'Erin is slow.', False)
('The cat is kind.', 'Erin is slow.', False)
('The snake is reckless.', 'is slow.', False)
('The snake is reckless.', 'Erin is slow.', False)
('The lion is strong.', 'Erin is slow.', False)
('The lion is strong.', 'Erin is slow.', False)
('The mouse is cute.', 'Erin is slow.', False)
('The mouse is cute.', 'Erin is slow.', False)
('The snake needs the mouse.', 'Erin is slow.', False)
('The snake needs the mouse.', 'Erin is slow.', False)
('The hamster is round.', 'is smart.', False)
('The hamster is round.', 'is smart.', False)
('The wolf is boring.', 'is obese.', False)
('The wolf is boring.', 'is obese.', False)
('The bald eagle is obese.', 'Charlie is obese.', False)
('The bald eagle is obese.', 'Charlie is obese.', False)
('The rabbit is adorable.', 'Fiona is obese.', False)
('The rabbit is adorable.', 'Fiona is obese.', False)
('The wolf visits the rabbit.', 'Charlie is slow.', False)
('The wolf visits the rabbit.', 'Charlie is slow.', False)
('The dog is round.', 'Fiona is smart.', False)
('The dog is round.', 'Erin is smart.', False)
('The lion is tired.', 'Erin is fierce.', False)
('The lion is tired.', 'Erin is fierce.', False)
('The wolf is fierce.', 'Charlie is fierce.', False)
('The wolf is fierce.', 'Charlie is fierce.', False)
('The cat is lovely.', 'Erin is clever.', False)
('The cat is lovely.', 'Erin is smart.', False)
('The lion sees the cat.', 'Erin is fierce.', False)
('The lion sees the cat.', 'Erin is fierce.', False)
('The hamster is kind.', 'is kind.', False)
('The hamster is kind.', 'is kind.', False)
('The lion is sleepy.', 'Erin is fierce.', False)
('The lion is sleepy.', 'Erin is fierce.', False)
('The wolf is fierce.', 'is fierce.', False)
('The wolf is fierce.', 'is fierce.', False)
('The cat is lovely.', 'Erin is fierce.', False)
('The cat is lovely.', 'Erin is fierce.', False)
('The lion needs the cat.', 'Erin is strong.', False)
('The lion needs the cat.', 'Erin is strong.', False)
('The cat is smart.', 'Cat is lazy.', False)
('The cat is smart.', 'Erin is lazy.', False)
('The crocodile is reckless.', 'Erin is lazy.', False)
('The crocodile is reckless.', 'Erin is lazy.', False)
('The snake is heavy.', 'is fierce.', False)
('The snake is heavy.', 'Erin is fierce.', False)
('The hamster is funny.', 'is .', False)
('The hamster is funny.', 'is kind.', False)
('The crocodile attacks the hamster.', 'Cro is lazy.', False)
('The crocodile attacks the hamster.', 'Cro is lazy.', False)
('The squirrel is kind.', 'Fiona is slow.', False)
('The squirrel is kind.', 'Fiona is slow.', False)
('The wolf is dull.', 'is slow.', False)
('The wolf is dull.', 'is slow.', False)
('The leopard is obese.', 'Charlie is fierce.', False)
('The leopard is obese.', 'Charlie is fierce.', False)
('The rabbit is furry.', 'is slow.', False)
('The rabbit is furry.', 'is slow.', False)
('The wolf visits the rabbit.', 'is fierce.', False)
('The wolf visits the rabbit.', 'is fierce.', False)
('The dog is smart.', 'Fiona is lazy.', False)
('The dog is smart.', 'Fiona is lazy.', False)
('The lion is tired.', 'Erin is lazy.', False)
('The lion is tired.', 'Erin is lazy.', False)
('The leopard is heavy.', 'Charlie is lazy.', False)
('The leopard is heavy.', 'Charlie is lazy.', False)
('The mouse is lovely.', 'Erin is lazy.', False)
('The mouse is lovely.', 'Erin is lazy.', False)
('The lion likes the mouse.', 'Erin is lazy.', False)
('The lion likes the mouse.', 'Erin is lazy.', False)
('The squirrel is nice.', 'Fiona is fierce.', False)
('The squirrel is nice.', 'Fiona is high.', False)
('The leopard is lazy.', 'Charlie is lazy.', False)
('The leopard is lazy.', 'Charlie is lazy.', False)
('The dinosaur is heavy.', 'Erin is fierce.', False)
('The dinosaur is heavy.', 'Erin is fierce.', False)
('The hamster is adorable.', 'is lazy.', False)
('The hamster is adorable.', 'is smart.', False)
('The leopard needs the hamster.', 'Charlie is fierce.', False)
('The leopard needs the hamster.', 'Charlie is fierce.', False)
('The cat is kind.', 'Erin is kind.', False)
('The cat is kind.', 'Erin is kind.', False)
('The leopard is reckless.', 'Erin is reckless.', False)
('The leopard is reckless.', 'Erin is reckless.', False)
('The falcon is big.', 'Fiona is reckless.', False)
('The falcon is big.', 'Fiona is reckless.', False)
('The rabbit is adorable.', 'Fiona is kind.', False)
('The rabbit is adorable.', 'is kind.', False)
('The leopard attacks the rabbit.', 'Charlie is reckless.', False)
('The leopard attacks the rabbit.', 'Charlie is reckless.', False)
('The mouse is quiet.', 'Erin is nice.', False)
('The mouse is quiet.', 'Erin is clever.', False)
('The snake is lazy.', 'is lazy.', False)
('The snake is lazy.', 'Erin is lazy.', False)
('The leopard is obese.', 'Charlie is lazy.', False)
('The leopard is obese.', 'Charlie is lazy.', False)
('The dog is small.', 'Fiona is bad.', False)
('The dog is small.', 'Fiona is nice.', False)
('The snake likes the dog.', 'is lazy.', False)
('The snake likes the dog.', 'is lazy.', False)
('The hamster is kind.', 'is fierce.', False)
('The hamster is kind.', 'is clever.', False)
('The cheetah is lazy.', 'Erin is lazy.', False)
('The cheetah is lazy.', 'Erin is lazy.', False)
('The lion is awful.', 'Erin is fierce.', False)
('The lion is awful.', 'Erin is fierce.', False)
('The mouse is small.', 'Erin is clever.', False)
('The mouse is small.', 'Erin is clever.', False)
('The cheetah attacks the mouse.', 'Erin is slow.', False)
('The cheetah attacks the mouse.', 'Erin is slow.', False)
('The mouse is smart.', 'Erin is lazy.', False)
('The mouse is smart.', 'Erin is lazy.', False)
('The leopard is slow.', 'Erin is lazy.', False)
('The leopard is slow.', 'Erin is lazy.', False)
('The dinosaur is big.', 'Erin is sad.', False)
('The dinosaur is big.', 'Erin is sad.', False)
('The rabbit is furry.', 'Fiona is lazy.', False)
('The rabbit is furry.', 'Fiona is lazy.', False)
('The leopard chases the rabbit.', 'Charlie is chase.', False)
('The leopard chases the rabbit.', 'Charlie is chase.', False)
('The hamster is nice.', 'is slow.', False)
('The hamster is nice.', 'is slow.', False)
('The bald eagle is reckless.', 'Bob is slow.', False)
('The bald eagle is reckless.', 'Bob is slow.', False)
('The lion is awful.', 'Erin is slow.', False)
('The lion is awful.', 'Erin is slow.', False)
('The cat is beautiful.', 'Erin is slow.', False)
('The cat is beautiful.', 'Erin is slow.', False)
('The bald eagle visits the cat.', 'Alan is slow.', False)
('The bald eagle visits the cat.', 'Alan is slow.', False)
('The rabbit is quiet.', 'Fiona is fierce.', False)
('The rabbit is quiet.', 'Fiona is fierce.', False)
('The falcon is boring.', 'Fiona is obese.', False)
('The falcon is boring.', 'Fiona is obese.', False)
('The bear is obese.', 'Erin is high.', False)
('The bear is obese.', 'Erin is high.', False)
('The cat is small.', 'Erin is obese.', False)
('The cat is small.', 'Erin is obese.', False)
('The falcon visits the cat.', 'Fiona is obese.', False)
('The falcon visits the cat.', 'Fiona is obese.', False)
('The hamster is smart.', 'is kind.', False)
('The hamster is smart.', 'is kind.', False)
('The cheetah is lazy.', 'Erin is lazy.', False)
('The cheetah is lazy.', 'Erin is lazy.', False)
('The crocodile is strong.', 'Erin is strong.', False)
('The crocodile is strong.', 'Erin is strong.', False)
('The mouse is cute.', 'Erin is lazy.', False)
('The mouse is cute.', 'Erin is lazy.', False)
('The cheetah visits the mouse.', 'Erin is lazy.', False)
('The cheetah visits the mouse.', 'Erin is lazy.', False)
('The cat is quiet.', 'Charlie is lazy.', False)
('The cat is quiet.', 'Erin is lazy.', False)
('The falcon is tired.', 'Fiona is lazy.', False)
('The falcon is tired.', 'Fiona is lazy.', False)
('The cheetah is fierce.', 'Erin is fierce.', False)
('The cheetah is fierce.', 'Erin is fierce.', False)
('The hamster is lovely.', 'is lazy.', False)
('The hamster is lovely.', 'is lazy.', False)
('The falcon visits the hamster.', 'Fiona is slow.', False)
('The falcon visits the hamster.', 'Fiona is slow.', False)
('The dog is quiet.', 'Fiona is lazy.', False)
('The dog is quiet.', 'Fiona is lazy.', False)
('The tiger is slow.', 'Erin is lazy.', False)
('The tiger is slow.', 'Erin is lazy.', False)
('The lion is big.', 'Erin is slow.', False)
('The lion is big.', 'Erin is slow.', False)
('The squirrel is cute.', 'is    is    is    is  ', False)
('The squirrel is cute.', 'is kind.', False)
('The tiger chases the squirrel.', 'Erin is lazy.', False)
('The tiger chases the squirrel.', 'Erin is lazy.', False)
('The squirrel is kind.', 'Fiona is fierce.', False)
('The squirrel is kind.', 'Fiona is fierce.', False)
('The tiger is reckless.', 'Erin is bad.', False)
('The tiger is reckless.', 'Erin is bad.', False)
('The wolf is strong.', 'is fierce.', False)
('The wolf is strong.', 'is fierce.', False)
('The mouse is small.', 'Erin is fierce.', False)
('The mouse is small.', 'Erin is fierce.', False)
('The tiger needs the mouse.', 'Erin is fierce.', False)
('The tiger needs the mouse.', 'Erin is fierce.', False)
('The squirrel is smart.', 'Fiona is slow.', False)
('The squirrel is smart.', 'S is kind.', False)
('The bear is slow.', 'Erin is slow.', False)
('The bear is slow.', 'Erin is slow.', False)
('The tiger is strong.', 'Erin is slow.', False)
('The tiger is strong.', 'Erin is slow.', False)
('The rabbit is adorable.', 'Fiona is slow.', False)
('The rabbit is adorable.', 'Fiona is slow.', False)
('The bear needs the rabbit.', 'Fiona is slow.', False)
('The bear needs the rabbit.', 'Charlie is slow.', False)
('The dog is kind.', 'Fiona is smart.', False)
('The dog is kind.', 'Fiona is smart.', False)
('The lion is boring.', 'Fiona is fierce.', False)
('The lion is boring.', 'Erin is fierce.', False)
('The bear is obese.', 'Charlie is fierce.', False)
('The bear is obese.', 'Charlie is fierce.', False)
('The mouse is lovely.', 'Erin is smart.', False)
('The mouse is lovely.', 'Erin is smart.', False)
('The lion sees the mouse.', 'Erin is fierce.', False)
('The lion sees the mouse.', 'Erin is fierce.', False)
('The hamster is smart.', 'is lazy.', False)
('The hamster is smart.', 'is lazy.', False)
('The crocodile is lazy.', 'Erin is lazy.', False)
('The crocodile is lazy.', 'Erin is lazy.', False)
('The bear is awful.', 'Charlie is fierce.', False)
('The bear is awful.', 'Charlie is fierce.', False)
('The rabbit is furry.', 'Fiona is lazy.', False)
('The rabbit is furry.', 'Fiona is lazy.', False)
('The crocodile chases the rabbit.', 'Cro is lazy.', False)
('The crocodile chases the rabbit.', 'Cro is lazy.', False)
('The dog is nice.', 'Fiona is kind.', False)
('The dog is nice.', 'Fiona is kind.', False)
('The dinosaur is boring.', 'Erin is imperfect.', False)
('The dinosaur is boring.', 'Erin is imperfect.', False)
('The bear is obese.', 'Charlie is huge.', False)
('The bear is obese.', 'Charlie is huge.', False)
('The rabbit is furry.', 'Fiona is bad.', False)
('The rabbit is furry.', 'is kind.', False)
('The dinosaur needs the rabbit.', 'Erin is obese.', False)
('The dinosaur needs the rabbit.', 'Erin is obese.', False)
('The hamster is kind.', 'Erin is slow.', False)
('The hamster is kind.', 'Erin is slow.', False)
('The dinosaur is slow.', 'Erin is slow.', False)
('The dinosaur is slow.', 'Erin is lazy.', False)
('The cheetah is obese.', 'Erin is high.', False)
('The cheetah is obese.', 'Erin is obese.', False)
('The rabbit is lovely.', 'Fiona is slow.', False)
('The rabbit is lovely.', 'Fiona is lazy.', False)
('The dinosaur attacks the rabbit.', 'Erin is high.', False)
('The dinosaur attacks the rabbit.', 'Erin is high.', False)
('The squirrel is round.', 'Fiona is lazy.', False)
('The squirrel is round.', 'Erin is lazy.', False)
('The snake is rough.', 'Erin is lazy.', False)
('The snake is rough.', 'Erin is lazy.', False)
('The bald eagle is big.', 'Alan is bad.', False)
('The bald eagle is big.', 'Alan is bad.', False)
('The dog is small.', 'Fiona is lazy.', False)
('The dog is small.', 'Fiona is lazy.', False)
('The snake chases the dog.', 'Erin is lazy.', False)
('The snake chases the dog.', 'Erin is lazy.', False)
('The mouse is smart.', 'Erin is lazy.', False)
('The mouse is smart.', 'Erin is lazy.', False)
('The bear is reckless.', 'Erin is strong.', False)
('The bear is reckless.', 'Erin is strong.', False)
('The falcon is awful.', 'Fiona is strong.', False)
('The falcon is awful.', 'Fiona is strong.', False)
('The squirrel is lovely.', 'Fiona is lazy.', False)
('The squirrel is lovely.', 'Fiona is lazy.', False)
('The bear sees the squirrel.', 'Charlie is strong.', False)
('The bear sees the squirrel.', 'Erin is strong.', False)
('The squirrel is round.', 'is kind.', False)
('The squirrel is round.', 'is kind.', False)
('The leopard is angry.', 'Charlie is slow.', False)
('The leopard is angry.', 'Charlie is slow.', False)
('The bear is obese.', 'Erin is fierce.', False)
('The bear is obese.', 'Erin is fierce.', False)
('The hamster is lovely.', 'is nice.', False)
('The hamster is lovely.', 'is kind.', False)
('The leopard likes the hamster.', 'Charlie is reckless.', False)
('The leopard likes the hamster.', 'Charlie is reckless.', False)
('The squirrel is round.', 'Fiona is obese.', False)
('The squirrel is round.', 'Erin is obese.', False)
('The tiger is dull.', 'Erin is obese.', False)
('The tiger is dull.', 'Erin is obese.', False)
('The cheetah is heavy.', 'Erin is obese.', False)
('The cheetah is heavy.', 'Erin is obese.', False)
('The rabbit is adorable.', 'Fiona is obese.', False)
('The rabbit is adorable.', 'Fiona is obese.', False)
('The tiger chases the rabbit.', 'Erin is lazy.', False)
('The tiger chases the rabbit.', 'Erin is lazy.', False)
('The hamster is smart.', 'is lazy.', False)
('The hamster is smart.', 'is lazy.', False)
('The crocodile is dull.', 'Erin is lazy.', False)
('The crocodile is dull.', 'Erin is lazy.', False)
('The wolf is fierce.', 'Charlie is huge.', False)
('The wolf is fierce.', 'Charlie is huge.', False)
('The squirrel is small.', 'Fiona is lazy.', False)
('The squirrel is small.', 'Fiona is lazy.', False)
('The crocodile visits the squirrel.', 'Cro is bad.', False)
('The crocodile visits the squirrel.', 'Cro is sad.', False)
('The mouse is smart.', 'Erin is lazy.', False)
('The mouse is smart.', 'Erin is lazy.', False)
('The crocodile is tired.', 'Erin is fierce.', False)
('The crocodile is tired.', 'Erin is fierce.', False)
('The leopard is awful.', 'Charlie is fierce.', False)
('The leopard is awful.', 'Charlie is fierce.', False)
('The dog is adorable.', 'Fiona is lazy.', False)
('The dog is adorable.', 'Fiona is lazy.', False)
('The crocodile chases the dog.', 'Cro is lazy.', False)
('The crocodile chases the dog.', 'Cro is lazy.', False)
('The cat is round.', 'Erin is lazy.', False)
('The cat is round.', 'Erin is lazy.', False)
('The cheetah is reckless.', 'Erin is lazy.', False)
('The cheetah is reckless.', 'Erin is lazy.', False)
('The snake is strong.', 'Erin is lazy.', False)
('The snake is strong.', 'Erin is lazy.', False)
('The hamster is furry.', 'is lazy.', False)
('The hamster is furry.', 'is lazy.', False)
('The cheetah attacks the hamster.', 'Erin is attacks.', False)
('The cheetah attacks the hamster.', 'Erin is attacks.', False)
('The cat is round.', 'Erin is quiet.', False)
('The cat is round.', 'Erin is quiet.', False)
('The lion is sleepy.', 'Erin is bad.', False)
('The lion is sleepy.', 'Erin is bad.', False)
('The leopard is strong.', 'Charlie is bad.', False)
('The leopard is strong.', 'Charlie is bad.', False)
('The rabbit is funny.', 'Alan is small.', False)
('The rabbit is funny.', 'Erin is small.', False)
('The lion chases the rabbit.', 'Erin is strong.', False)
('The lion chases the rabbit.', 'Erin is strong.', False)
('The rabbit is kind.', 'Alan is obese.', False)
('The rabbit is kind.', 'Alan is obese.', False)
('The tiger is slow.', 'Erin is slow.', False)
('The tiger is slow.', 'Erin is slow.', False)
('The falcon is awful.', 'Fiona is slow.', False)
('The falcon is awful.', 'Fiona is slow.', False)
('The squirrel is cute.', 'Fiona is obese.', False)
('The squirrel is cute.', 'Fiona is obese.', False)
('The tiger visits the squirrel.', 'Erin is slow.', False)
('The tiger visits the squirrel.', 'Erin is slow.', False)
('The dog is kind.', 'Fiona is kind.', False)
('The dog is kind.', 'Erin is kind.', False)
('The cheetah is sleepy.', 'Erin is obese.', False)
('The cheetah is sleepy.', 'Erin is obese.', False)
('The dinosaur is obese.', 'Erin is obese.', False)
('The dinosaur is obese.', 'Erin is obese.', False)
('The mouse is funny.', 'Erin is small.', False)
('The mouse is funny.', 'Erin is small.', False)
('The cheetah likes the mouse.', 'Erin is obese.', False)
('The cheetah likes the mouse.', 'Erin is obese.', False)
('The squirrel is nice.', 'Fiona is clever.', False)
('The squirrel is nice.', 'Fiona is clever.', False)
('The dinosaur is lazy.', 'Erin is lazy.', False)
('The dinosaur is lazy.', 'Erin is lazy.', False)
('The wolf is fierce.', 'Charlie is fierce.', False)
('The wolf is fierce.', 'Charlie is fierce.', False)
('The mouse is funny.', 'Erin is high.', False)
('The mouse is funny.', 'Erin is clever.', False)
('The dinosaur likes the mouse.', 'Erin is bad.', False)
('The dinosaur likes the mouse.', 'Erin is lazy.', False)
('The cat is nice.', 'Erin is slow.', False)
('The cat is nice.', 'Erin is lazy.', False)
('The bald eagle is lazy.', 'Alan is lazy.', False)
('The bald eagle is lazy.', 'Alan is lazy.', False)
('The crocodile is strong.', 'Cro is lazy.', False)
('The crocodile is strong.', 'Cro is lazy.', False)
('The dog is furry.', 'Fiona is smart.', False)
('The dog is furry.', 'Fiona is smart.', False)
('The bald eagle sees the dog.', 'Erin is lazy.', False)
('The bald eagle sees the dog.', 'Erin is lazy.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The mouse is kind.', 'Erin is kind.', False)
('The leopard is angry.', 'Charlie is obese.', False)
('The leopard is angry.', 'Erin is bad.', False)
('The wolf is obese.', 'Charlie is obese.', False)
('The wolf is obese.', 'Charlie is obese.', False)
('The dog is cute.', 'Fiona is obese.', False)
('The dog is cute.', 'Fiona is obese.', False)
('The leopard sees the dog.', 'Charlie is obese.', False)
('The leopard sees the dog.', 'Charlie is obese.', False)
('The dog is nice.', 'Fiona is quiet.', False)
('The dog is nice.', 'Fiona is slow.', False)
('The cheetah is lazy.', 'Erin is poor.', False)
('The cheetah is lazy.', 'Erin is lazy.', False)
('The wolf is awful.', 'Charlie is slow.', False)
('The wolf is awful.', 'Charlie is slow.', False)
('The rabbit is furry.', 'Fiona is slow.', False)
('The rabbit is furry.', 'Fiona is slow.', False)
('The cheetah likes the rabbit.', 'Erin is heavy.', False)
('The cheetah likes the rabbit.', 'Erin is heavy.', False)
('The hamster is nice.', 'is lazy.', False)
('The hamster is nice.', 'is lazy.', False)
('The falcon is lazy.', 'Fiona is lazy.', False)
('The falcon is lazy.', 'Fiona is lazy.', False)
('The wolf is fierce.', 'is high.', False)
('The wolf is fierce.', 'is high.', False)
('The mouse is adorable.', 'Erin is fierce.', False)
('The mouse is adorable.', 'Erin is fierce.', False)
('The falcon chases the mouse.', 'Fiona is lazy.', False)
('The falcon chases the mouse.', 'Fiona is lazy.', False)
('The dog is quiet.', 'Fiona is  kind.', False)
('The dog is quiet.', 'Fiona is kind.', False)
('The wolf is boring.', 'is fierce.', False)
('The wolf is boring.', 'is fierce.', False)
('The snake is big.', 'is fierce.', False)
('The snake is big.', 'is fierce.', False)
('The hamster is cute.', 'is   is   is   is  kind.', False)
('The hamster is cute.', 'is  kind.', False)
('The wolf chases the hamster.', 'Charlie is chase.', False)
('The wolf chases the hamster.', 'Charlie is chase.', False)
('The rabbit is smart.', 'Erin is lazy.', False)
('The rabbit is smart.', 'Erin is lazy.', False)
('The dinosaur is dull.', 'Erin is lazy.', False)
('The dinosaur is dull.', 'Erin is lazy.', False)
('The tiger is awful.', 'Erin is fierce.', False)
('The tiger is awful.', 'Erin is fierce.', False)
('The cat is adorable.', 'Cat is small.', False)
('The cat is adorable.', 'Erin is small.', False)
('The dinosaur needs the cat.', 'Erin is fierce.', False)
('The dinosaur needs the cat.', 'Erin is fierce.', False)
('The rabbit is round.', 'Alan is obese.', False)
('The rabbit is round.', 'Alan is obese.', False)
('The wolf is reckless.', 'is obese.', False)
('The wolf is reckless.', 'is obese.', False)
('The falcon is strong.', 'Fiona is imperfect.', False)
('The falcon is strong.', 'Fiona is imperfect.', False)
('The hamster is lovely.', 'is obese.', False)
('The hamster is lovely.', 'is obese.', False)
('The wolf chases the hamster.', 'Charlie is high.', False)
('The wolf chases the hamster.', 'Charlie is high.', False)
('The rabbit is smart.', 'is slow.', False)
('The rabbit is smart.', 'Alan is slow.', False)
('The leopard is dull.', 'Charlie is slow.', False)
('The leopard is dull.', 'Charlie is slow.', False)
('The bald eagle is awful.', 'Charlie is obese.', False)
('The bald eagle is awful.', 'Charlie is obese.', False)
('The hamster is lovely.', 'is slow.', False)
('The hamster is lovely.', 'is slow.', False)
('The leopard needs the hamster.', 'Charlie is obese.', False)
('The leopard needs the hamster.', 'Charlie is obese.', False)
('The rabbit is round.', 'Alan is lazy.', False)
('The rabbit is round.', 'is lazy.', False)
('The bald eagle is lazy.', 'Fiona is lazy.', False)
('The bald eagle is lazy.', 'Charlie is lazy.', False)
('The tiger is obese.', 'Erin is obese.', False)
('The tiger is obese.', 'Erin is obese.', False)
('The dog is beautiful.', 'Fiona is lazy.', False)
('The dog is beautiful.', 'Fiona is lazy.', False)
('The bald eagle attacks the dog.', 'Charlie is lazy.', False)
('The bald eagle attacks the dog.', 'Charlie is lazy.', False)
('The cat is quiet.', 'Cat is kind.', False)
('The cat is quiet.', 'Cat is kind.', False)
('The snake is rough.', 'is fierce.', False)
('The snake is rough.', 'is fierce.', False)
('The dinosaur is fierce.', 'Erin is fierce.', False)
('The dinosaur is fierce.', 'Erin is fierce.', False)
('The mouse is funny.', 'Erin is clever.', False)
('The mouse is funny.', 'Erin is clever.', False)
('The snake visits the mouse.', 'is fierce.', False)
('The snake visits the mouse.', 'is fierce.', False)
('The dog is kind.', 'Fiona is clever.', False)
('The dog is kind.', 'Fiona is clever.', False)
('The snake is rough.', 'is imperfect.', False)
('The snake is rough.', 'is imperfect.', False)
('The tiger is strong.', 'Erin is fierce.', False)
('The tiger is strong.', 'Erin is fierce.', False)
('The rabbit is furry.', 'Fiona is fierce.', False)
('The rabbit is furry.', 'Fiona is fierce.', False)
('The snake attacks the rabbit.', 'Erin is fierce.', False)
('The snake attacks the rabbit.', 'Erin is fierce.', False)
('The squirrel is quiet.', 'Fiona is nice.', False)
('The squirrel is quiet.', 'Fiona is nice.', False)
('The leopard is slow.', 'Charlie is slow.', False)
('The leopard is slow.', 'Charlie is slow.', False)
('The falcon is strong.', 'Fiona is slow.', False)
('The falcon is strong.', 'Fiona is slow.', False)
('The cat is small.', 'Cat is slow.', False)
('The cat is small.', 'Erin is slow.', False)
('The leopard visits the cat.', 'Charlie is slow.', False)
('The leopard visits the cat.', 'Charlie is slow.', False)
('The cat is smart.', 'Erin is kind.', False)
('The cat is smart.', 'Erin is kind.', False)
('The lion is slow.', 'Erin is slow.', False)
('The lion is slow.', 'Erin is slow.', False)
('The bear is heavy.', 'Erin is slow.', False)
('The bear is heavy.', 'Erin is slow.', False)
('The rabbit is cute.', 'Alan is small.', False)
('The rabbit is cute.', 'Erin is small.', False)
('The lion likes the rabbit.', 'Erin is slow.', False)
('The lion likes the rabbit.', 'Erin is slow.', False)
('The cat is round.', 'Erin is lazy.', False)
('The cat is round.', 'Erin is lazy.', False)
('The falcon is angry.', 'Fiona is high.', False)
('The falcon is angry.', 'Fiona is high.', False)
('The tiger is awful.', 'Erin is fierce.', False)
('The tiger is awful.', 'Erin is fierce.', False)
('The squirrel is funny.', 'Fiona is lazy.', False)
('The squirrel is funny.', 'Fiona is lazy.', False)
('The falcon chases the squirrel.', 'Fiona is fierce.', False)
('The falcon chases the squirrel.', 'Fiona is fierce.', False)
('The hamster is round.', 'is clever.', False)
('The hamster is round.', 'Erin is clever.', False)
('The bear is lazy.', 'Erin is lazy.', False)
('The bear is lazy.', 'Erin is lazy.', False)
('The cheetah is big.', 'Erin is lazy.', False)
('The cheetah is big.', 'Erin is lazy.', False)
('The rabbit is beautiful.', 'Fiona is lazy.', False)
('The rabbit is beautiful.', 'Fiona is clever.', False)
('The bear needs the rabbit.', 'Erin is lazy.', False)
('The bear needs the rabbit.', 'Erin is lazy.', False)
('The rabbit is round.', 'Fiona is kind.', False)
('The rabbit is round.', 'Fiona is kind.', False)
('The snake is angry.', 'is sad.', False)
('The snake is angry.', 'is obese.', False)
('The bear is awful.', 'Fiona is sad.', False)
