('The squirrel is kind.', 'The squirrel is boring.', False)
('The lion is tired.', 'The lion is dull.', False)
('The lion is tired.', 'The lion is dull.', False)
('The wolf is fierce.', 'The wolf is awful.', False)
('The wolf is fierce.', 'The wolf is awful.', False)
('The cat is lovely.', 'The cat is adorable.', False)
('The cat is lovely.', 'The cat is adorable.', False)
('The lion sees the cat.', 'The lion is sees the boring.', False)
('The lion sees the cat.', 'The lion is sees the boring.', False)
('The hamster is kind.', 'The hamster is is is is is is is is is is is is is i', False)
('The hamster is kind.', 'The hamster is is is is is is is is is is is is is i', False)
('The lion is sleepy.', 'The lion is sleepy.', True)
('The lion is sleepy.', 'The lion is sleepy.', True)
('The wolf is fierce.', 'The wolf is heavy.', False)
('The wolf is fierce.', 'The wolf is heavy.', False)
('The cat is lovely.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is lovely.', 'The cat is are are are are are are are are are are are are are are are', False)
('The lion needs the cat.', 'The lion needs the cat.', True)
('The lion needs the cat.', 'The lion needs the cat.', True)
('The cat is smart.', 'The cat is is is is is is is is is is is is is is is i', False)
('The cat is smart.', 'The cat is is is is is is is is is is is is is is is i', False)
('The crocodile is reckless.', 'The crocodile is obese.', False)
('The crocodile is reckless.', 'The crocodile is obese.', False)
('The snake is heavy.', 'The snake is beautiful.', False)
('The snake is heavy.', 'The snake is beautiful.', False)
('The hamster is funny.', 'The hamster is beautiful.', False)
('The hamster is funny.', 'The hamster is beautiful.', False)
('The crocodile attacks the hamster.', 'The crocodile attacks the hamster.', True)
('The crocodile attacks the hamster.', 'The crocodile attacks the hamster.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The wolf is dull.', 'The wolf is big.', False)
('The wolf is dull.', 'The wolf is big.', False)
('The leopard is obese.', 'The leopard is obese.', True)
('The leopard is obese.', 'The leopard is obese.', True)
('The rabbit is furry.', 'The rabbit is adorable.', False)
('The rabbit is furry.', 'The rabbit is adorable.', False)
('The wolf visits the rabbit.', 'The wolf visits the rabbit.', True)
('The wolf visits the rabbit.', 'The wolf visits the rabbit.', True)
('The dog is smart.', 'The dog is are are are are are are are are are are are are are are are', False)
('The dog is smart.', 'The dog is are are are are are are are are are are are are are are are', False)
('The lion is tired.', 'The lion is boring.', False)
('The lion is tired.', 'The lion is boring.', False)
('The leopard is heavy.', 'The leopard is tired.', False)
('The leopard is heavy.', 'The leopard is tired.', False)
('The mouse is lovely.', 'The mouse is beautiful.', False)
('The mouse is lovely.', 'The mouse is beautiful.', False)
('The lion likes the mouse.', 'The lion likes the mouse.', True)
('The lion likes the mouse.', 'The lion likes the mouse.', True)
('The squirrel is nice.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The squirrel is nice.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The leopard is lazy.', 'The leopard is fierce.', False)
('The leopard is lazy.', 'The leopard is fierce.', False)
('The dinosaur is heavy.', 'The dinosaur is heavy.', True)
('The dinosaur is heavy.', 'The dinosaur is heavy.', True)
('The hamster is adorable.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is adorable.', 'The hamster is are are are are are are are are are are are are are', False)
('The leopard needs the hamster.', 'The leopard needs the hamster.', True)
('The leopard needs the hamster.', 'The leopard needs the hamster.', True)
('The cat is kind.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is kind.', 'The cat is are are are are are are are are are are are are are are are', False)
('The leopard is reckless.', 'The leopard is angry.', False)
('The leopard is reckless.', 'The leopard is angry.', False)
('The falcon is big.', 'The falcon is strong.', False)
('The falcon is big.', 'The falcon is strong.', False)
('The rabbit is adorable.', 'The rabbit is funny.', False)
('The rabbit is adorable.', 'The rabbit is funny.', False)
('The leopard attacks the rabbit.', 'The leopard attacks the rabbit.', True)
('The leopard attacks the rabbit.', 'The leopard attacks the rabbit.', True)
('The mouse is quiet.', 'The mouse is kind.', False)
('The mouse is quiet.', 'The mouse is kind.', False)
('The snake is lazy.', 'The snake is sleepy.', False)
('The snake is lazy.', 'The snake is sleepy.', False)
('The leopard is obese.', 'The leopard is obese.', True)
('The leopard is obese.', 'The leopard is obese.', True)
('The dog is small.', 'The dog is adorable.', False)
('The dog is small.', 'The dog is adorable.', False)
('The snake likes the dog.', 'The snake chases the mouse.', False)
('The snake likes the dog.', 'The snake chases the mouse.', False)
('The hamster is kind.', 'The hamster is kind.', True)
('The hamster is kind.', 'The hamster is kind.', True)
('The cheetah is lazy.', 'The cheetah is sleepy.', False)
('The cheetah is lazy.', 'The cheetah is sleepy.', False)
('The lion is awful.', 'The lion is heavy.', False)
('The lion is awful.', 'The lion is adorable.', False)
('The mouse is small.', 'The mouse is adorable.', False)
('The mouse is small.', 'The mouse is adorable.', False)
('The cheetah attacks the mouse.', 'The cheetah is attacks the hamster.', False)
('The cheetah attacks the mouse.', 'The cheetah is attacks the hamster.', False)
('The mouse is smart.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is smart.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The leopard is slow.', 'The leopard is lazy.', False)
('The leopard is slow.', 'The leopard is lazy.', False)
('The dinosaur is big.', 'The dinosaur is heavy.', False)
('The dinosaur is big.', 'The dinosaur is heavy.', False)
('The rabbit is furry.', 'The rabbit is cute.', False)
('The rabbit is furry.', 'The rabbit is cute.', False)
('The leopard chases the rabbit.', 'The leopard chases the rabbit.', True)
('The leopard chases the rabbit.', 'The leopard chases the rabbit.', True)
('The hamster is nice.', 'The hamster is beautiful.', False)
('The hamster is nice.', 'The hamster is is is is is is is is is is is is is i', False)
('The bald eagle is reckless.', 'The bald eagle is reckless.', True)
('The bald eagle is reckless.', 'The bald eagle is reckless.', True)
('The lion is awful.', 'The lion is awful.', True)
('The lion is awful.', 'The lion is awful.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The cat is beautiful.', 'The cat is beautiful.', True)
('The bald eagle visits the cat.', 'The bald eagle sees the hamster.', False)
('The bald eagle visits the cat.', 'The bald eagle sees the hamster.', False)
('The rabbit is quiet.', 'The rabbit is kind.', False)
('The rabbit is quiet.', 'The rabbit is kind.', False)
('The falcon is boring.', 'The falcon is boring.', True)
('The falcon is boring.', 'The falcon is boring.', True)
('The bear is obese.', 'The bear is obese.', True)
('The bear is obese.', 'The bear is obese.', True)
('The cat is small.', 'The cat is adorable.', False)
('The cat is small.', 'The cat is adorable.', False)
('The falcon visits the cat.', 'The falcon visits the cat.', True)
('The falcon visits the cat.', 'The falcon visits the cat.', True)
('The hamster is smart.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is smart.', 'The hamster is are are are are are are are are are are are are are', False)
('The cheetah is lazy.', 'The cheetah is funny.', False)
('The cheetah is lazy.', 'The cheetah is funny.', False)
('The crocodile is strong.', 'The crocodile is strong.', True)
('The crocodile is strong.', 'The crocodile is strong.', True)
('The mouse is cute.', 'The mouse is cute.', True)
('The mouse is cute.', 'The mouse is is cute.', False)
('The cheetah visits the mouse.', 'The cheetah visits the mouse.', True)
('The cheetah visits the mouse.', 'The cheetah visits the mouse.', True)
('The cat is quiet.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is quiet.', 'The cat is are are are are are are are are are are are are are are are', False)
('The falcon is tired.', 'The falcon is boring.', False)
('The falcon is tired.', 'The falcon is boring.', False)
('The cheetah is fierce.', 'The cheetah is cute.', False)
('The cheetah is fierce.', 'The cheetah is cute.', False)
('The hamster is lovely.', 'The hamster is is is is is is is is is is is is is i', False)
('The hamster is lovely.', 'The hamster is is is is is is is is is is is is is i', False)
('The falcon visits the hamster.', 'The falcon is and are and is and are and is and are are and is and', False)
('The falcon visits the hamster.', 'The falcon is and is and are and is and are and is and are and is', False)
('The dog is quiet.', 'The dog is are are are are are are are are are are are are are are are', False)
('The dog is quiet.', 'The dog is are are are are are are are are are are are are are are are', False)
('The tiger is slow.', 'The tiger is boring.', False)
('The tiger is slow.', 'The tiger is boring.', False)
('The lion is big.', 'The lion is fierce.', False)
('The lion is big.', 'The lion is fierce.', False)
('The squirrel is cute.', 'The squirrel is beautiful.', False)
('The squirrel is cute.', 'The squirrel is beautiful.', False)
('The tiger chases the squirrel.', 'The tiger needs the dog.', False)
('The tiger chases the squirrel.', 'The tiger needs the dog.', False)
('The squirrel is kind.', 'The squirrel is kind.', True)
('The squirrel is kind.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The tiger is reckless.', 'The tiger is angry.', False)
('The tiger is reckless.', 'The tiger is angry.', False)
('The wolf is strong.', 'The wolf is awful.', False)
('The wolf is strong.', 'The wolf is awful.', False)
('The mouse is small.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is small.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The tiger needs the mouse.', 'The tiger needs the mouse.', True)
('The tiger needs the mouse.', 'The tiger needs the mouse.', True)
('The squirrel is smart.', 'The squirrel is kind.', False)
('The squirrel is smart.', 'The squirrel is kind.', False)
('The bear is slow.', 'The bear is boring.', False)
('The bear is slow.', 'The bear is boring.', False)
('The tiger is strong.', 'The tiger is awful.', False)
('The tiger is strong.', 'The tiger is awful.', False)
('The rabbit is adorable.', 'The rabbit is cute.', False)
('The rabbit is adorable.', 'The rabbit is cute.', False)
('The bear needs the rabbit.', 'The bear needs the rabbit.', True)
('The bear needs the rabbit.', 'The bear needs the rabbit.', True)
('The dog is kind.', 'The dog is kind.', True)
('The dog is kind.', 'The dog is kind.', True)
('The lion is boring.', 'The lion is dull.', False)
('The lion is boring.', 'The lion is dull.', False)
('The bear is obese.', 'The bear is obese.', True)
('The bear is obese.', 'The bear is obese.', True)
('The mouse is lovely.', 'The mouse is beautiful.', False)
('The mouse is lovely.', 'The mouse is beautiful.', False)
('The lion sees the mouse.', 'The lion sees the mouse.', True)
('The lion sees the mouse.', 'The lion sees the mouse.', True)
('The hamster is smart.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is smart.', 'The hamster is are are are are are are are are are are are are are', False)
('The crocodile is lazy.', 'The crocodile is sleepy.', False)
('The crocodile is lazy.', 'The crocodile is sleepy.', False)
('The bear is awful.', 'The bear is awful.', True)
('The bear is awful.', 'The bear is awful.', True)
('The rabbit is furry.', 'The rabbit is is is is is is is is is is is is is is is i', False)
('The rabbit is furry.', 'The rabbit is is is is is is is is is is is is is is is i', False)
('The crocodile chases the rabbit.', 'The crocodile likes the hamster.', False)
('The crocodile chases the rabbit.', 'The crocodile likes the hamster.', False)
('The dog is nice.', 'The dog is kind.', False)
('The dog is nice.', 'The dog is kind.', False)
('The dinosaur is boring.', 'The dinosaur is dull.', False)
('The dinosaur is boring.', 'The dinosaur is dull.', False)
('The bear is obese.', 'The bear is adorable.', False)
('The bear is obese.', 'The bear is adorable.', False)
('The rabbit is furry.', 'The rabbit is adorable.', False)
('The rabbit is furry.', 'The rabbit is adorable.', False)
('The dinosaur needs the rabbit.', 'The dinosaur needs the rabbit.', True)
('The dinosaur needs the rabbit.', 'The dinosaur needs the rabbit.', True)
('The hamster is kind.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is kind.', 'The hamster is are are are are are are are are are are are are are', False)
('The dinosaur is slow.', 'The dinosaur is boring.', False)
('The dinosaur is slow.', 'The dinosaur is boring.', False)
('The cheetah is obese.', 'The cheetah is awful.', False)
('The cheetah is obese.', 'The cheetah is awful.', False)
('The rabbit is lovely.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The rabbit is lovely.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The dinosaur attacks the rabbit.', 'The dinosaur is attacks the hamster.', False)
('The dinosaur attacks the rabbit.', 'The dinosaur is attacks the hamster.', False)
('The squirrel is round.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The squirrel is round.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The snake is rough.', 'The snake is lazy.', False)
('The snake is rough.', 'The snake is lazy.', False)
('The bald eagle is big.', 'The bald eagle is obese.', False)
('The bald eagle is big.', 'The bald eagle is obese.', False)
('The dog is small.', 'The dog is beautiful.', False)
('The dog is small.', 'The dog is beautiful.', False)
('The snake chases the dog.', 'The snake attacks the squirrel.', False)
('The snake chases the dog.', 'The snake attacks the squirrel.', False)
('The mouse is smart.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The mouse is smart.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The bear is reckless.', 'The bear is heavy.', False)
('The bear is reckless.', 'The bear is heavy.', False)
('The falcon is awful.', 'The falcon is heavy.', False)
('The falcon is awful.', 'The falcon is heavy.', False)
('The squirrel is lovely.', 'The squirrel is beautiful.', False)
('The squirrel is lovely.', 'The squirrel is beautiful.', False)
('The bear sees the squirrel.', 'The bear is and the bear is and and the bear is and and and the bear is', False)
('The bear sees the squirrel.', 'The bear is and are and is and are and is and are and is and are an', False)
('The squirrel is round.', 'The squirrel is is is is is is is is is is is is is is is i', False)
('The squirrel is round.', 'The squirrel is is is is is is is is is is is is is is is i', False)
('The leopard is angry.', 'The leopard is fierce.', False)
('The leopard is angry.', 'The leopard is fierce.', False)
('The bear is obese.', 'The bear is obese.', True)
('The bear is obese.', 'The bear is obese.', True)
('The hamster is lovely.', 'The hamster is is is is is is is is is is is is is i', False)
('The hamster is lovely.', 'The hamster is is is is is is is is is is is is is i', False)
('The leopard likes the hamster.', 'The leopard is and and are and are and are and are and are and are and are', False)
('The leopard likes the hamster.', 'The leopard is and and are and are and are and are and are and are and is', False)
('The squirrel is round.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The squirrel is round.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The tiger is dull.', 'The tiger is dull.', True)
('The tiger is dull.', 'The tiger is dull.', True)
('The cheetah is heavy.', 'The cheetah is obese.', False)
('The cheetah is heavy.', 'The cheetah is obese.', False)
('The rabbit is adorable.', 'The rabbit is beautiful.', False)
('The rabbit is adorable.', 'The rabbit is beautiful.', False)
('The tiger chases the rabbit.', 'The tiger attacks the squirrel.', False)
('The tiger chases the rabbit.', 'The tiger attacks the squirrel.', False)
('The hamster is smart.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is smart.', 'The hamster is are are are are are are are are are are are are are', False)
('The crocodile is dull.', 'The crocodile is lazy.', False)
('The crocodile is dull.', 'The crocodile is obese.', False)
('The wolf is fierce.', 'The wolf is adorable.', False)
('The wolf is fierce.', 'The wolf is adorable.', False)
('The squirrel is small.', 'The squirrel is adorable.', False)
('The squirrel is small.', 'The squirrel is adorable.', False)
('The crocodile visits the squirrel.', 'The crocodile visits the squirrel.', True)
('The crocodile visits the squirrel.', 'The crocodile visits the squirrel.', True)
('The mouse is smart.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The mouse is smart.', 'The mouse is is is is is is is is is is is is is is is i', False)
('The crocodile is tired.', 'The crocodile is big.', False)
('The crocodile is tired.', 'The crocodile is big.', False)
('The leopard is awful.', 'The leopard is awful.', True)
('The leopard is awful.', 'The leopard is awful.', True)
('The dog is adorable.', 'The dog is kind.', False)
('The dog is adorable.', 'The dog is kind.', False)
('The crocodile chases the dog.', 'The crocodile chases the dog.', True)
('The crocodile chases the dog.', 'The crocodile chases the dog.', True)
('The cat is round.', 'The cat is kind.', False)
('The cat is round.', 'The cat is kind.', False)
('The cheetah is reckless.', 'The cheetah is boring.', False)
('The cheetah is reckless.', 'The cheetah is boring.', False)
('The snake is strong.', 'The snake is awful.', False)
('The snake is strong.', 'The snake is awful.', False)
('The hamster is furry.', 'The hamster is adorable.', False)
('The hamster is furry.', 'The hamster is adorable.', False)
('The cheetah attacks the hamster.', 'The cheetah is visits the cat.', False)
('The cheetah attacks the hamster.', 'The cheetah is visits the cat.', False)
('The cat is round.', 'The cat is are are are are are are are are are are are are are are are', False)
('The cat is round.', 'The cat is are are are are are are are are are are are are are are are', False)
('The lion is sleepy.', 'The lion is sleepy.', True)
('The lion is sleepy.', 'The lion is sleepy.', True)
('The leopard is strong.', 'The leopard is strong.', True)
('The leopard is strong.', 'The leopard is strong.', True)
('The rabbit is funny.', 'The rabbit is beautiful.', False)
('The rabbit is funny.', 'The rabbit is beautiful.', False)
('The lion chases the rabbit.', 'The lion visits the cat.', False)
('The lion chases the rabbit.', 'The lion visits the cat.', False)
('The rabbit is kind.', 'The rabbit is obese.', False)
('The rabbit is kind.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The tiger is slow.', 'The tiger is tired.', False)
('The tiger is slow.', 'The tiger is tired.', False)
('The falcon is awful.', 'The falcon is obese.', False)
('The falcon is awful.', 'The falcon is obese.', False)
('The squirrel is cute.', 'The squirrel is adorable.', False)
('The squirrel is cute.', 'The squirrel is adorable.', False)
('The tiger visits the squirrel.', 'The tiger chases the rabbit.', False)
('The tiger visits the squirrel.', 'The tiger chases the rabbit.', False)
('The dog is kind.', 'The dog is kind.', True)
('The dog is kind.', 'The dog is are are are are are are are are are are are are are are are', False)
('The cheetah is sleepy.', 'The cheetah is angry.', False)
('The cheetah is sleepy.', 'The cheetah is angry.', False)
('The dinosaur is obese.', 'The dinosaur is obese.', True)
('The dinosaur is obese.', 'The dinosaur is obese.', True)
('The mouse is funny.', 'The mouse is adorable.', False)
('The mouse is funny.', 'The mouse is adorable.', False)
('The cheetah likes the mouse.', 'The cheetah likes the mouse.', True)
('The cheetah likes the mouse.', 'The cheetah likes the mouse.', True)
('The squirrel is nice.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The squirrel is nice.', 'The squirrel is are are are are are are are are are are are are are are are', False)
('The dinosaur is lazy.', 'The dinosaur is sleepy.', False)
('The dinosaur is lazy.', 'The dinosaur is sleepy.', False)
('The wolf is fierce.', 'The wolf is and are beautiful.', False)
('The wolf is fierce.', 'The wolf is and are beautiful.', False)
('The mouse is funny.', 'The mouse is is funny.', False)
('The mouse is funny.', 'The mouse is is is funny.', False)
('The dinosaur likes the mouse.', 'The dinosaur likes the mouse.', True)
('The dinosaur likes the mouse.', 'The dinosaur likes the mouse.', True)
('The cat is nice.', 'The cat is kind.', False)
('The cat is nice.', 'The cat is kind.', False)
('The bald eagle is lazy.', 'The bald eagle is reckless.', False)
('The bald eagle is lazy.', 'The bald eagle is reckless.', False)
('The crocodile is strong.', 'The crocodile is awful.', False)
('The crocodile is strong.', 'The crocodile is awful.', False)
('The dog is furry.', 'The dog is adorable.', False)
('The dog is furry.', 'The dog is adorable.', False)
('The bald eagle sees the dog.', 'The bald eagle visits the cat.', False)
('The bald eagle sees the dog.', 'The bald eagle visits the cat.', False)
('The mouse is kind.', 'The mouse is kind.', True)
('The mouse is kind.', 'The mouse is are are are are are are are are are are are are are are are', False)
('The leopard is angry.', 'The leopard is boring.', False)
('The leopard is angry.', 'The leopard is boring.', False)
('The wolf is obese.', 'The wolf is round.', False)
('The wolf is obese.', 'The wolf is round.', False)
('The dog is cute.', 'The dog is are are are are are are are are are are are are are are are', False)
('The dog is cute.', 'The dog is are are are are are are are are are are are are are are are', False)
('The leopard sees the dog.', 'The leopard chases the mouse.', False)
('The leopard sees the dog.', 'The leopard chases the mouse.', False)
('The dog is nice.', 'The dog is are are are are are are are are are are are are are are are', False)
('The dog is nice.', 'The dog is are are are are are are are are are are are are are are are', False)
('The cheetah is lazy.', 'The cheetah is slow.', False)
('The cheetah is lazy.', 'The cheetah is obese.', False)
('The wolf is awful.', 'The wolf is awful.', True)
('The wolf is awful.', 'The wolf is awful.', True)
('The rabbit is furry.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The rabbit is furry.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The cheetah likes the rabbit.', 'The cheetah chases the dog.', False)
('The cheetah likes the rabbit.', 'The cheetah chases the dog.', False)
('The hamster is nice.', 'The hamster is adorable.', False)
('The hamster is nice.', 'The hamster is adorable.', False)
('The falcon is lazy.', 'The falcon is angry.', False)
('The falcon is lazy.', 'The falcon is angry.', False)
('The wolf is fierce.', 'The wolf is strong.', False)
('The wolf is fierce.', 'The wolf is strong.', False)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The mouse is adorable.', 'The mouse is adorable.', True)
('The falcon chases the mouse.', 'The falcon is boring.', False)
('The falcon chases the mouse.', 'The falcon is boring.', False)
('The dog is quiet.', 'The dog is are are are are are are are are are are are are are are are', False)
('The dog is quiet.', 'The dog is are are are are are are are are are are are are are are are', False)
('The wolf is boring.', 'The wolf is angry.', False)
('The wolf is boring.', 'The wolf is angry.', False)
('The snake is big.', 'The snake is round.', False)
('The snake is big.', 'The snake is round.', False)
('The hamster is cute.', 'The hamster is is is is is is is is is is is is is i', False)
('The hamster is cute.', 'The hamster is is is is is is is is is is is is is i', False)
('The wolf chases the hamster.', 'The wolf is chases the hamster.', False)
('The wolf chases the hamster.', 'The wolf is chases the hamster.', False)
('The rabbit is smart.', 'The rabbit is kind.', False)
('The rabbit is smart.', 'The rabbit is kind.', False)
('The dinosaur is dull.', 'The dinosaur is lazy.', False)
('The dinosaur is dull.', 'The dinosaur is lazy.', False)
('The tiger is awful.', 'The tiger is awful.', True)
('The tiger is awful.', 'The tiger is awful.', True)
('The cat is adorable.', 'The cat is kind.', False)
('The cat is adorable.', 'The cat is kind.', False)
('The dinosaur needs the cat.', 'The dinosaur is boring.', False)
('The dinosaur needs the cat.', 'The dinosaur is boring.', False)
('The rabbit is round.', 'The rabbit is kind.', False)
('The rabbit is round.', 'The rabbit is kind.', False)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The wolf is reckless.', 'The wolf is reckless.', True)
('The falcon is strong.', 'The falcon is fierce.', False)
('The falcon is strong.', 'The falcon is fierce.', False)
('The hamster is lovely.', 'The hamster is are are are are are are are are are are are are are', False)
('The hamster is lovely.', 'The hamster is are are are are are are are are are are are are are', False)
('The wolf chases the hamster.', 'The wolf visits the rabbit.', False)
('The wolf chases the hamster.', 'The wolf visits the rabbit.', False)
('The rabbit is smart.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The rabbit is smart.', 'The rabbit is are are are are are are are are are are are are are are are', False)
('The leopard is dull.', 'The leopard is dull.', True)
('The leopard is dull.', 'The leopard is dull.', True)
('The bald eagle is awful.', 'The bald eagle is awful.', True)
('The bald eagle is awful.', 'The bald eagle is awful.', True)
('The hamster is lovely.', 'The hamster is beautiful.', False)
