('Fiona is strong.', 'The fion is strong.', False)
('Fiona is smart.', 'The fion is smart.', False)
('Alan is sad.', 'The falcon is rough.', False)
('Alan is sad.', 'The falcon is rough.', False)
('Harry is huge.', 'The  Harry is big.', False)
('Harry is huge.', 'The Harry is big.', False)
('Gary is thin.', 'The bald eagle is thin.', False)
('Gary is thin.', 'The bald eagle is thin.', False)
('Dave is clever.', 'The dog is smart.', False)
('Dave is clever.', 'The bald eagle is smart.', False)
('Charlie is poor.', 'The cat is rough.', False)
('Charlie is poor.', 'The cat is rough.', False)
('Charlie is heavy.', 'The lion is big.', False)
('Charlie is heavy.', 'The lion is big.', False)
('Fiona is little.', 'The lion is small.', False)
('Fiona is little.', 'The lion is small.', False)
('Anne is quiet.', 'The lion is quiet.', False)
('Anne is quiet.', 'The lion is quiet.', False)
('Bob is sad.', 'The lion is sad.', False)
('Bob is sad.', 'The lion is sad.', False)
('Alan is high.', 'The cat is heavy.', False)
('Alan is high.', 'The cat is heavy.', False)
('Bob is little.', 'The dog is small.', False)
('Bob is little.', 'The dog is small.', False)
('Anne is clever.', 'The snake is smart.', False)
('Anne is clever.', 'The bald eagle is smart.', False)
('Gary is rough.', 'The bald eagle is rough.', False)
('Gary is rough.', 'The bald eagle is rough.', False)
('Gary is big.', 'The bald eagle is strong.', False)
('Gary is big.', 'The bald eagle is strong.', False)
('Charlie is little.', 'The cat is small.', False)
('Charlie is little.', 'The cat is small.', False)
('Harry is wealthy.', 'The h is wealthy.', False)
('Harry is wealthy.', 'The h is wealthy.', False)
('Bob is poor.', 'The cat is poor.', False)
('Bob is poor.', 'The cat is poor.', False)
('Anne is huge.', 'The snake is big.', False)
('Anne is huge.', 'The anneagle is big.', False)
('Fiona is short.', 'The lion is small.', False)
('Fiona is short.', 'The lion is small.', False)
('Erin is clever.', 'The erin is clever.', False)
('Erin is clever.', 'The erin is clever.', False)
('Dave is poor.', 'The dinosaur is poor.', False)
('Dave is poor.', 'The dinosaur is poor.', False)
('Anne is high.', 'The cat is big.', False)
('Anne is high.', 'The bald eagle is big.', False)
('Dave is thin.', 'The dog is short.', False)
('Dave is thin.', 'The dog is short.', False)
('Fiona is wealthy.', 'The fion is wealthy.', False)
('Fiona is wealthy.', 'The fion is wealthy.', False)
('Charlie is imperfect.', 'The cat is imperfect.', False)
('Charlie is imperfect.', 'The cat is imperfect.', False)
('Harry is heavy.', 'The h is heavy.', False)
('Harry is heavy.', 'The h is heavy.', False)
('Alan is short.', 'The cat is small.', False)
('Alan is short.', 'The cat is small.', False)
('Gary is clever.', 'The bald eagle is smart.', False)
('Gary is clever.', 'The bald eagle is smart.', False)
('Fiona is imperfect.', 'The lion is poor.', False)
('Fiona is imperfect.', 'The lion is poor.', False)
('Fiona is high.', 'The filion is heavy.', False)
('Fiona is high.', 'The filion is heavy.', False)
('Anne is tiny.', 'The a person is small.', False)
('Anne is tiny.', 'The a person is small.', False)
('Bob is smart.', 'The bald eagle is smart.', False)
('Bob is smart.', 'The bald eagle is smart.', False)
('Erin is sad.', 'The er is sad.', False)
('Erin is sad.', 'The erin is sad.', False)
('Harry is strong.', 'The Harry is big.', False)
('Harry is strong.', 'The Harry is big.', False)
('Dave is tiny.', 'The dog is short.', False)
('Dave is tiny.', 'The bald eagle is short.', False)
('Bob is clever.', 'The cat is nice.', False)
('Bob is clever.', 'The cat is nice.', False)
('Gary is sad.', 'The bald eagle is sad.', False)
('Gary is sad.', 'The bald eagle is sad.', False)
('Harry is big.', 'The lion is big.', False)
('Harry is big.', 'The lion is big.', False)
('Dave is small.', 'The dog is thin.', False)
('Dave is small.', 'The dog is thin.', False)
('Alan is smart.', 'The lion is nice.', False)
('Alan is smart.', 'The lion is nice.', False)
('Fiona is poor.', 'The lion is poor.', False)
('Fiona is poor.', 'The lion is poor.', False)
('Erin is high.', 'The er is high.', False)
('Erin is high.', 'The er is high.', False)
('Dave is thin.', 'The dog is small.', False)
('Dave is thin.', 'The dog is small.', False)
('Alan is nice.', 'The bald eagle is nice.', False)
('Alan is nice.', 'The bald eagle is nice.', False)
('Harry is sad.', 'The Harry is sad.', False)
('Harry is sad.', 'The Harry is sad.', False)
('Alan is high.', 'The cat is high.', False)
('Alan is high.', 'The cat is high.', False)
('Anne is small.', 'The cat is thin.', False)
('Anne is small.', 'The cat is thin.', False)
('Dave is clever.', 'The dinosaur is quiet.', False)
('Dave is clever.', 'The dinosaur is quiet.', False)
('Harry is poor.', 'The Harry is rough.', False)
('Harry is poor.', 'The Harry is rough.', False)
('Anne is big.', 'The snake is heavy.', False)
('Anne is big.', 'The snake is heavy.', False)
('Charlie is small.', 'The cat is small.', False)
('Charlie is small.', 'The cat is small.', False)
('Harry is quiet.', 'The h is smart.', False)
('Harry is quiet.', 'The h is smart.', False)
('Fiona is rough.', 'The lion is rough.', False)
('Fiona is rough.', 'The lion is rough.', False)
('Bob is heavy.', 'The bald eagle is big.', False)
('Bob is heavy.', 'The bald eagle is big.', False)
('Gary is small.', 'The a person is small.', False)
('Gary is small.', 'The a person is small.', False)
('Anne is clever.', 'The bald eagle is wealthy.', False)
('Anne is clever.', 'The bald eagle is wealthy.', False)
('Harry is rough.', 'The bald eagle is rough.', False)
('Harry is rough.', 'The lion is rough.', False)
('Anne is high.', 'The bald eagle is strong.', False)
('Anne is high.', 'The bald eagle is strong.', False)
('Charlie is tiny.', 'The cat is small.', False)
('Charlie is tiny.', 'The cat is small.', False)
('Fiona is smart.', 'The lion is wealthy.', False)
('Fiona is smart.', 'The lion is wealthy.', False)
('Erin is bad.', 'The er is bad.', False)
('Erin is bad.', 'The er is bad.', False)
('Fiona is strong.', 'The lion is strong.', False)
('Fiona is strong.', 'The lion is strong.', False)
('Dave is thin.', 'The dinosaur is thin.', False)
('Dave is thin.', 'The dinosaur is thin.', False)
('Erin is nice.', 'The er is nice.', False)
('Erin is nice.', 'The er is nice.', False)
('Gary is bad.', 'The bald eagle is bad.', False)
('Gary is bad.', 'The bald eagle is bad.', False)
('Gary is big.', 'The bald eagle is big.', False)
('Gary is big.', 'The bald eagle is big.', False)
('Erin is small.', 'The erin is small.', False)
('Erin is small.', 'The erin is small.', False)
('Harry is quiet.', 'The Harry is smart.', False)
('Harry is quiet.', 'The Harry is smart.', False)
('Charlie is sad.', 'The cat is quiet.', False)
('Charlie is sad.', 'The cat is quiet.', False)
('Erin is heavy.', 'The er is heavy.', False)
('Erin is heavy.', 'The er is heavy.', False)
('Anne is small.', 'The snake is small.', False)
('Anne is small.', 'The snake is small.', False)
('Dave is clever.', 'The dog is smart.', False)
('Dave is clever.', 'The ah is smart.', False)
('Alan is bad.', 'The Alan is bad.', False)
('Alan is bad.', 'The cat is bad.', False)
('Erin is heavy.', 'The erin is heavy.', False)
('Erin is heavy.', 'The erin is heavy.', False)
('Charlie is tiny.', 'The lion is small.', False)
('Charlie is tiny.', 'The lion is small.', False)
('Harry is quiet.', 'The h is quiet.', False)
('Harry is quiet.', 'The Harry is quiet.', False)
('Alan is bad.', 'The bald eagle is bad.', False)
('Alan is bad.', 'The bald eagle is bad.', False)
('Dave is high.', 'The dinosaur is heavy.', False)
('Dave is high.', 'The dinosaur is heavy.', False)
('Harry is little.', 'The Harry is small.', False)
('Harry is little.', 'The Harry is small.', False)
('Charlie is quiet.', 'The cat is quiet.', False)
('Charlie is quiet.', 'The cat is quiet.', False)
('Anne is poor.', 'The anne is poor.', False)
('Anne is poor.', 'The anne is poor.', False)
('Anne is high.', 'The rabbit is high.', False)
('Anne is high.', 'The rabbit is high.', False)
('Harry is short.', 'The Harry is short.', False)
('Harry is short.', 'The Harry is short.', False)
('Alan is wealthy.', 'The cat is nice.', False)
('Alan is wealthy.', 'The cat is nice.', False)
('Dave is dull.', 'The dinosaur is sad.', False)
('Dave is dull.', 'The dog is sad.', False)
('Alan is strong.', 'The bald eagle is big.', False)
('Alan is strong.', 'The bald eagle is big.', False)
('Gary is thin.', 'The bald eagle is small.', False)
('Gary is thin.', 'The bald eagle is small.', False)
('Fiona is kind.', 'The lion is nice.', False)
('Fiona is kind.', 'The lion is nice.', False)
('Charlie is imperfect.', 'The lion is sad.', False)
('Charlie is imperfect.', 'The lion is sad.', False)
('Erin is high.', 'The er is heavy.', False)
('Erin is high.', 'The er is heavy.', False)
('Dave is tiny.', 'The dog is short.', False)
('Dave is tiny.', 'The dog is short.', False)
('Harry is kind.', 'The Harry is wealthy.', False)
('Harry is kind.', 'The Harry is wealthy.', False)
('Fiona is sad.', 'The lion is sad.', False)
('Fiona is sad.', 'The lion is sad.', False)
('Harry is huge.', 'The Harry is big.', False)
('Harry is huge.', 'The Harry is big.', False)
('Bob is thin.', 'The dog is small.', False)
('Bob is thin.', 'The dog is small.', False)
('Dave is clever.', 'The Dave is wealthy.', False)
('Dave is clever.', 'The Dave is wealthy.', False)
('Alan is poor.', 'The dinosaur is sad.', False)
('Alan is poor.', 'The cat is sad.', False)
('Fiona is big.', 'The lion is big.', False)
('Fiona is big.', 'The lion is big.', False)
('Anne is short.', 'The snake is small.', False)
('Anne is short.', 'The snake is small.', False)
('Charlie is kind.', 'The lion is nice.', False)
('Charlie is kind.', 'The lion is nice.', False)
('Erin is dull.', 'The er is sad.', False)
('Erin is dull.', 'The er is sad.', False)
('Dave is big.', 'The dog is big.', False)
('Dave is big.', 'The bear is strong.', False)
('Anne is little.', 'The bald eagle is thin.', False)
('Anne is little.', 'The bald eagle is thin.', False)
('Erin is smart.', 'The erin is clever.', False)
('Erin is smart.', 'The erin is clever.', False)
('Bob is poor.', 'The dog is poor.', False)
('Bob is poor.', 'The dog is poor.', False)
('Charlie is heavy.', 'The cat is strong.', False)
('Charlie is heavy.', 'The cat is strong.', False)
('Fiona is thin.', 'The lion is thin.', False)
('Fiona is thin.', 'The fion is short.', False)
('Alan is clever.', 'The cat is smart.', False)
('Alan is clever.', 'The cat is smart.', False)
('Anne is sad.', 'The cat is sad.', False)
('Anne is sad.', 'The cat is sad.', False)
('Charlie is strong.', 'The lion is big.', False)
('Charlie is strong.', 'The lion is big.', False)
('Alan is short.', 'The a person is small.', False)
('Alan is short.', 'The a person is small.', False)
('Erin is wealthy.', 'The erin is nice.', False)
('Erin is wealthy.', 'The erin is nice.', False)
('Anne is poor.', 'The snake is poor.', False)
('Anne is poor.', 'The snake is poor.', False)
('Anne is strong.', 'The snake is strong.', False)
('Anne is strong.', 'The snake is strong.', False)
('Dave is thin.', 'The dog is short.', False)
('Dave is thin.', 'The dog is short.', False)
('Gary is nice.', 'The bald eagle is wealthy.', False)
('Gary is nice.', 'The bald eagle is wealthy.', False)
('Erin is bad.', 'The er is rough.', False)
('Erin is bad.', 'The er is rough.', False)
('Gary is high.', 'The bald eagle is big.', False)
('Gary is high.', 'The bald eagle is big.', False)
('Bob is tiny.', 'The cat is small.', False)
('Bob is tiny.', 'The cat is small.', False)
('Charlie is clever.', 'The cat is smart.', False)
('Charlie is clever.', 'The cat is smart.', False)
('Anne is rough.', 'The bald eagle is rough.', False)
('Anne is rough.', 'The bald eagle is rough.', False)
('Erin is heavy.', 'The bald eagle is heavy.', False)
('Erin is heavy.', 'The bald eagle is heavy.', False)
('Bob is thin.', 'The bob is small.', False)
('Bob is thin.', 'The bob is small.', False)
('Dave is nice.', 'The dog is kind.', False)
('Dave is nice.', 'The dog is kind.', False)
('Harry is rough.', 'The cat is rough.', False)
('Harry is rough.', 'The cat is rough.', False)
('Anne is huge.', 'The bald eagle is big.', False)
('Anne is huge.', 'The bald eagle is big.', False)
('Dave is little.', 'The bald eagle is small.', False)
('Dave is little.', 'The bald eagle is small.', False)
('Harry is nice.', 'The Harry is wealthy.', False)
('Harry is nice.', 'The Harry is wealthy.', False)
('Charlie is bad.', 'The cat is bad.', False)
('Charlie is bad.', 'The cat is bad.', False)
('Charlie is huge.', 'The lion is big.', False)
('Charlie is huge.', 'The lion is big.', False)
('Gary is tiny.', 'The bald eagle is thin.', False)
('Gary is tiny.', 'The bald eagle is thin.', False)
('Dave is clever.', 'The dog is smart.', False)
('Dave is clever.', 'The bald eagle is clever.', False)
('Alan is rough.', 'The bald eagle is rough.', False)
('Alan is rough.', 'The bald eagle is rough.', False)
('Charlie is high.', 'The cat is strong.', False)
('Charlie is high.', 'The cat is strong.', False)
('Gary is tiny.', 'The bald eagle is short.', False)
('Gary is tiny.', 'The bald eagle is short.', False)
('Erin is clever.', 'The snake is quiet.', False)
('Erin is clever.', 'The snake is quiet.', False)
('Dave is bad.', 'The dog is sad.', False)
('Dave is bad.', 'The bald eagle is sad.', False)
('Charlie is big.', 'The lion is heavy.', False)
('Charlie is big.', 'The lion is heavy.', False)
('Fiona is little.', 'The lion is small.', False)
('Fiona is little.', 'The lion is small.', False)
('Alan is nice.', 'The cat is nice.', False)
('Alan is nice.', 'The cat is nice.', False)
('Dave is poor.', 'The dinosaur is imperfect.', False)
('Dave is poor.', 'The dog is imperfect.', False)
('Charlie is heavy.', 'The bald eagle is heavy.', False)
('Charlie is heavy.', 'The bald eagle is heavy.', False)
('Erin is tiny.', 'The erin is small.', False)
('Erin is tiny.', 'The erin is small.', False)
('Dave is nice.', 'The snake is kind.', False)
('Dave is nice.', 'The snake is kind.', False)
('Harry is rough.', 'The er is rough.', False)
('Harry is rough.', 'The er is rough.', False)
('Erin is big.', 'The er is big.', False)
('Erin is big.', 'The er is big.', False)
('Charlie is short.', 'The cat is small.', False)
('Charlie is short.', 'The cat is small.', False)
('Gary is kind.', 'The Gary is kind.', False)
('Gary is kind.', 'The Gary is kind.', False)
('Bob is dull.', 'The cat is poor.', False)
('Bob is dull.', 'The cat is poor.', False)
('Charlie is heavy.', 'The lion is heavy.', False)
('Charlie is heavy.', 'The lion is heavy.', False)
('Gary is thin.', 'The bald eagle is thin.', False)
('Gary is thin.', 'The bald eagle is thin.', False)
('Fiona is wealthy.', 'The lion is nice.', False)
('Fiona is wealthy.', 'The lion is nice.', False)
('Alan is poor.', 'The bald eagle is rough.', False)
('Alan is poor.', 'The bald eagle is rough.', False)
('Dave is heavy.', 'The dog is heavy.', False)
('Dave is heavy.', 'The dog is heavy.', False)
('Harry is short.', 'The Harry is small.', False)
('Harry is short.', 'The Harry is small.', False)
('Gary is nice.', 'The bald eagle is nice.', False)
('Gary is nice.', 'The bald eagle is nice.', False)
('Bob is poor.', 'The bald eagle is poor.', False)
('Bob is poor.', 'The bald eagle is poor.', False)
('Gary is big.', 'The Gary is big.', False)
('Gary is big.', 'The Gary is big.', False)
('Anne is tiny.', 'The snake is short.', False)
('Anne is tiny.', 'The bald eagle is short.', False)
('Fiona is clever.', 'The fion is clever.', False)
('Fiona is clever.', 'The fion is clever.', False)
('Harry is poor.', 'The Harry is rough.', False)
('Harry is poor.', 'The Harry is rough.', False)
('Dave is heavy.', 'The dog is heavy.', False)
('Dave is heavy.', 'The bald eagle is heavy.', False)
('Bob is little.', 'The cat is small.', False)
('Bob is little.', 'The cat is small.', False)
('Anne is kind.', 'The cat is kind.', False)
('Anne is kind.', 'The snake is kind.', False)
('Harry is dull.', 'The Harry is sad.', False)
('Harry is dull.', 'The Harry is sad.', False)
('Fiona is heavy.', 'The lion is heavy.', False)
('Fiona is heavy.', 'The lion is heavy.', False)
('Alan is thin.', 'The lion is small.', False)
('Alan is thin.', 'The lion is small.', False)
('Gary is wealthy.', 'The lion is clever.', False)
('Gary is wealthy.', 'The bald eagle is clever.', False)
('Dave is sad.', 'The snake is sad.', False)
('Dave is sad.', 'The snake is sad.', False)
('Gary is heavy.', 'The Gary is heavy.', False)
('Gary is heavy.', 'The Gary is heavy.', False)
('Charlie is short.', 'The lion is small.', False)
('Charlie is short.', 'The lion is small.', False)
('Anne is wealthy.', 'The bald eagle is nice.', False)
('Anne is wealthy.', 'The bald eagle is nice.', False)
('Fiona is sad.', 'The lion is poor.', False)
('Fiona is sad.', 'The fion is poor.', False)
('Alan is strong.', 'The cat is big.', False)
('Alan is strong.', 'The bald eagle is strong.', False)
('Charlie is short.', 'The squirrel is short.', False)
('Charlie is short.', 'The cat is short.', False)
('Fiona is kind.', 'The lion is kind.', False)
('Fiona is kind.', 'The a person is kind.', False)
('Bob is dull.', 'The cat is poor.', False)
('Bob is dull.', 'The cat is poor.', False)
('Erin is high.', 'The er is heavy.', False)
('Erin is high.', 'The er is high.', False)
('Dave is short.', 'The dog is thin.', False)
('Dave is short.', 'The dog is thin.', False)
('Bob is smart.', 'The cat is smart.', False)
('Bob is smart.', 'The bald eagle is smart.', False)
('Alan is sad.', 'The cat is sad.', False)
('Alan is sad.', 'The cat is sad.', False)
('Dave is heavy.', 'The dog is heavy.', False)
('Dave is heavy.', 'The dog is heavy.', False)
('Charlie is thin.', 'The cat is small.', False)
('Charlie is thin.', 'The cat is small.', False)
('Fiona is kind.', 'The filion is kind.', False)
('Fiona is kind.', 'The filion is kind.', False)
('Harry is sad.', 'The lion is bad.', False)
('Harry is sad.', 'The Harry is bad.', False)
('Dave is strong.', 'The dog is big.', False)
('Dave is strong.', 'The dog is big.', False)
('Bob is tiny.', 'The bald eagle is small.', False)
('Bob is tiny.', 'The bald eagle is small.', False)
('Harry is kind.', 'The Harry is kind.', False)
('Harry is kind.', 'The Harry is kind.', False)
('Gary is bad.', 'The bald eagle is imperfect.', False)
('Gary is bad.', 'The bald eagle is imperfect.', False)
('Charlie is strong.', 'The lion is strong.', False)
('Charlie is strong.', 'The lion is strong.', False)
('Anne is small.', 'The Anne is small.', False)
('Anne is small.', 'The Anne is small.', False)
('Harry is quiet.', 'The  Harry is quiet.', False)
('Harry is quiet.', 'The  Harry is quiet.', False)
('Erin is sad.', 'The er is rough.', False)
('Erin is sad.', 'The erin is rough.', False)
('Erin is big.', 'The er is heavy.', False)
('Erin is big.', 'The erin is heavy.', False)
('Bob is small.', 'The cat is small.', False)
('Bob is small.', 'The dog is small.', False)
('Anne is nice.', 'The snake is smart.', False)
('Anne is nice.', 'The snake is smart.', False)
('Fiona is dull.', 'The lion is dull.', False)
('Fiona is dull.', 'The lion is dull.', False)
('Gary is huge.', 'The bald eagle is big.', False)
('Gary is huge.', 'The bald eagle is big.', False)
('Fiona is little.', 'The fion is small.', False)
('Fiona is little.', 'The fion is small.', False)
('Erin is smart.', 'The erin is smart.', False)
('Erin is smart.', 'The erin is smart.', False)
('Anne is dull.', 'The bald eagle is dull.', False)
('Anne is dull.', 'The bald eagle is dull.', False)
('Dave is high.', 'The a person is heavy.', False)
('Dave is high.', 'The a person is heavy.', False)
('Erin is thin.', 'The erin is short.', False)
('Erin is thin.', 'The erin is thin.', False)
('Harry is nice.', 'The Harry is quiet.', False)
('Harry is nice.', 'The Harry is quiet.', False)
('Gary is sad.', 'The bald eagle is rough.', False)
('Gary is sad.', 'The bald eagle is rough.', False)
('Fiona is huge.', 'The lion is big.', False)
('Fiona is huge.', 'The filion is big.', False)
('Bob is small.', 'The bald eagle is small.', False)
('Bob is small.', 'The bald eagle is small.', False)
('Charlie is wealthy.', 'The lion is nice.', False)
('Charlie is wealthy.', 'The lion is nice.', False)
('Erin is imperfect.', 'The erin is sad.', False)
('Erin is imperfect.', 'The erin is sad.', False)
('Anne is strong.', 'The lion is strong.', False)
('Anne is strong.', 'The lion is strong.', False)
('Dave is little.', 'The snake is small.', False)
('Dave is little.', 'The snake is small.', False)
('Erin is quiet.', 'The erin is nice.', False)
('Erin is quiet.', 'The erin is nice.', False)
('Fiona is dull.', 'The lion is imperfect.', False)
('Fiona is dull.', 'The lion is imperfect.', False)
('Gary is big.', 'The lion is heavy.', False)
('Gary is big.', 'The lion is heavy.', False)
('Anne is tiny.', 'The snake is thin.', False)
('Anne is tiny.', 'The snake is thin.', False)
('Harry is wealthy.', 'The lion is nice.', False)
('Harry is wealthy.', 'The lion is nice.', False)
('Fiona is imperfect.', 'The lion is rough.', False)
('Fiona is imperfect.', 'The lion is rough.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Alan is thin.', 'The cat is small.', False)
('Alan is thin.', 'The cat is small.', False)
('Charlie is quiet.', 'The cat is nice.', False)
('Charlie is quiet.', 'The a person is nice.', False)
('Dave is bad.', 'The dog is sad.', False)
('Dave is bad.', 'The dog is sad.', False)
('Alan is big.', 'The dinosaur is high.', False)
('Alan is big.', 'The bald eagle is high.', False)
('Gary is thin.', 'The person is small.', False)
('Gary is thin.', 'The person is thin.', False)
('Erin is smart.', 'The erin is quiet.', False)
('Erin is smart.', 'The erin is quiet.', False)
('Dave is rough.', 'The dinosaur is rough.', False)
('Dave is rough.', 'The dinosaur is rough.', False)
('Erin is strong.', 'The er is strong.', False)
('Erin is strong.', 'The er is strong.', False)
('Gary is little.', 'The Gary is small.', False)
