('Fiona is strong.', 'Fiona is strong.', True)
('Anne is huge.', 'Anne is huge.', True)
('Erin is tiny.', 'Erin is tiny.', True)
('Erin is tiny.', 'Erin is tiny.', True)
('Dave is quiet.', 'Dave is quiet.', True)
('Dave is quiet.', 'Dave is quiet.', True)
('Harry is bad.', 'Harry is bad.', True)
('Harry is bad.', 'Harry is bad.', True)
('Harry is big.', 'Harry is big.', True)
('Harry is big.', 'Harry is big.', True)
('Erin is small.', 'Erin is small.', True)
('Erin is small.', 'Erin is small.', True)
('Dave is nice.', 'Dave is nice.', True)
('Dave is nice.', 'Dave is nice.', True)
('Bob is bad.', 'Bob is bad.', True)
('Bob is bad.', 'Bob is bad.', True)
('Erin is big.', 'Erin is big.', True)
('Erin is big.', 'Erin is big.', True)
('Alan is little.', 'Alan is little.', True)
('Alan is little.', 'Alan is little.', True)
('Charlie is kind.', 'Charlie is kind.', True)
('Charlie is kind.', 'Charlie is kind.', True)
('Dave is sad.', 'Dave is sad.', True)
('Dave is sad.', 'Dave is sad.', True)
('Dave is high.', 'Dave is high.', True)
('Dave is high.', 'Dave is high.', True)
('Erin is small.', 'Erin is small.', True)
('Erin is small.', 'Erin is small.', True)
('Bob is quiet.', 'Bob is quiet.', True)
('Bob is quiet.', 'Bob is quiet.', True)
('Harry is dull.', 'Harry is dull.', True)
('Harry is dull.', 'Harry is dull.', True)
('Bob is heavy.', 'Bob is heavy.', True)
('Bob is heavy.', 'Bob is heavy.', True)
('Gary is small.', 'Gary is small.', True)
('Gary is small.', 'Gary is small.', True)
('Dave is kind.', 'Dave is kind.', True)
('Dave is kind.', 'Dave is kind.', True)
('Anne is poor.', 'Anne is poor.', True)
('Anne is poor.', 'Anne is poor.', True)
('Erin is huge.', 'Erin is huge.', True)
('Erin is huge.', 'Erin is huge.', True)
('Harry is short.', 'Harry is short.', True)
('Harry is short.', 'Harry is short.', True)
('Gary is kind.', 'Gary is kind.', True)
('Gary is kind.', 'Gary is kind.', True)
('Charlie is bad.', 'Charlie is bad.', True)
('Charlie is bad.', 'Charlie is bad.', True)
('Harry is high.', 'Harry is high.', True)
('Harry is high.', 'Harry is high.', True)
('Anne is short.', 'Anne is short.', True)
('Anne is short.', 'Anne is short.', True)
('Charlie is smart.', 'Charlie is smart.', True)
('Charlie is smart.', 'Charlie is smart.', True)
('Dave is poor.', 'Dave is poor.', True)
('Dave is poor.', 'Dave is poor.', True)
('Charlie is huge.', 'Charlie is huge.', True)
('Charlie is huge.', 'Charlie is huge.', True)
('Gary is thin.', 'Gary is thin.', True)
('Gary is thin.', 'Gary is thin.', True)
('Dave is kind.', 'Dave is kind.', True)
('Dave is kind.', 'Dave is kind.', True)
('Erin is poor.', 'Erin is poor.', True)
('Erin is poor.', 'Erin is poor.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Alan is small.', 'Alan is small.', True)
('Alan is small.', 'Alan is small.', True)
('Bob is quiet.', 'Bob is quiet.', True)
('Bob is quiet.', 'Bob is quiet.', True)
('Anne is poor.', 'Anne is poor.', True)
('Anne is poor.', 'Anne is poor.', True)
('Bob is huge.', 'Bob is huge.', True)
('Bob is huge.', 'Bob is huge.', True)
('Fiona is thin.', 'Fiona is thin.', True)
('Fiona is thin.', 'Fiona is thin.', True)
('Alan is kind.', 'Alan is kind.', True)
('Alan is kind.', 'Alan is kind.', True)
('Erin is sad.', 'Erin is sad.', True)
('Erin is sad.', 'Erin is sad.', True)
('Charlie is high.', 'Charlie is high.', True)
('Charlie is high.', 'Charlie is high.', True)
('Harry is short.', 'Harry is short.', True)
('Harry is short.', 'Harry is short.', True)
('Gary is nice.', 'Gary is nice.', True)
('Gary is nice.', 'Gary is nice.', True)
('Erin is bad.', 'Erin is bad.', True)
('Erin is bad.', 'Erin is bad.', True)
('Fiona is huge.', 'Fiona is huge.', True)
('Fiona is huge.', 'Fiona is huge.', True)
('Anne is little.', 'Anne is little.', True)
('Anne is little.', 'Anne is little.', True)
('Gary is clever.', 'Gary is clever.', True)
('Gary is clever.', 'Gary is clever.', True)
('Dave is bad.', 'Dave is bad.', True)
('Dave is bad.', 'Dave is bad.', True)
('Charlie is big.', 'Charlie is big.', True)
('Charlie is big.', 'Charlie is big.', True)
('Fiona is small.', 'Fiona is small.', True)
('Fiona is small.', 'Fiona is small.', True)
('Gary is kind.', 'Gary is kind.', True)
('Gary is kind.', 'Gary is kind.', True)
('Harry is poor.', 'Harry is poor.', True)
('Harry is poor.', 'Harry is poor.', True)
('Erin is strong.', 'Erin is strong.', True)
('Erin is strong.', 'Erin is strong.', True)
('Charlie is little.', 'Charlie is little.', True)
('Charlie is little.', 'Charlie is little.', True)
('Fiona is smart.', 'Fiona is smart.', True)
('Fiona is smart.', 'Fiona is smart.', True)
('Alan is sad.', 'Alan is sad.', True)
('Alan is sad.', 'Alan is sad.', True)
('Harry is huge.', 'Harry is huge.', True)
('Harry is huge.', 'Harry is huge.', True)
('Gary is thin.', 'Gary is thin.', True)
('Gary is thin.', 'Gary is thin.', True)
('Dave is clever.', 'Dave is clever.', True)
('Dave is clever.', 'Dave is clever.', True)
('Charlie is poor.', 'Charlie is poor.', True)
('Charlie is poor.', 'Charlie is poor.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Fiona is little.', 'Fiona is little.', True)
('Fiona is little.', 'Fiona is little.', True)
('Anne is quiet.', 'Anne is quiet.', True)
('Anne is quiet.', 'Anne is quiet.', True)
('Bob is sad.', 'Bob is sad.', True)
('Bob is sad.', 'Bob is sad.', True)
('Alan is high.', 'Alan is high.', True)
('Alan is high.', 'Alan is high.', True)
('Bob is little.', 'Bob is little.', True)
('Bob is little.', 'Bob is little.', True)
('Anne is clever.', 'Anne is clever.', True)
('Anne is clever.', 'Anne is clever.', True)
('Gary is rough.', 'Gary is rough.', True)
('Gary is rough.', 'Gary is rough.', True)
('Gary is big.', 'Gary is big.', True)
('Gary is big.', 'Gary is big.', True)
('Charlie is little.', 'Charlie is little.', True)
('Charlie is little.', 'Charlie is little.', True)
('Harry is wealthy.', 'Harry is wealthy.', True)
('Harry is wealthy.', 'Harry is wealthy.', True)
('Bob is poor.', 'Bob is poor.', True)
('Bob is poor.', 'Bob is poor.', True)
('Anne is huge.', 'Anne is huge.', True)
('Anne is huge.', 'Anne is huge.', True)
('Fiona is short.', 'Fiona is short.', True)
('Fiona is short.', 'Fiona is short.', True)
('Erin is clever.', 'Erin is clever.', True)
('Erin is clever.', 'Erin is clever.', True)
('Dave is poor.', 'Dave is poor.', True)
('Dave is poor.', 'Dave is poor.', True)
('Anne is high.', 'Anne is high.', True)
('Anne is high.', 'Anne is high.', True)
('Dave is thin.', 'Dave is thin.', True)
('Dave is thin.', 'Dave is thin.', True)
('Fiona is wealthy.', 'Fiona is wealthy.', True)
('Fiona is wealthy.', 'Fiona is wealthy.', True)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Harry is heavy.', 'Harry is heavy.', True)
('Harry is heavy.', 'Harry is heavy.', True)
('Alan is short.', 'Alan is short.', True)
('Alan is short.', 'Alan is short.', True)
('Gary is clever.', 'Gary is clever.', True)
('Gary is clever.', 'Gary is clever.', True)
('Fiona is imperfect.', 'Fiona is imperfect.', True)
('Fiona is imperfect.', 'Fiona is imperfect.', True)
('Fiona is high.', 'Fiona is high.', True)
('Fiona is high.', 'Fiona is high.', True)
('Anne is tiny.', 'Anne is tiny.', True)
('Anne is tiny.', 'Anne is tiny.', True)
('Bob is smart.', 'Bob is smart.', True)
('Bob is smart.', 'Bob is smart.', True)
('Erin is sad.', 'Erin is sad.', True)
('Erin is sad.', 'Erin is sad.', True)
('Harry is strong.', 'Harry is strong.', True)
('Harry is strong.', 'Harry is strong.', True)
('Dave is tiny.', 'Dave is tiny.', True)
('Dave is tiny.', 'Dave is tiny.', True)
('Bob is clever.', 'Bob is clever.', True)
('Bob is clever.', 'Bob is clever.', True)
('Gary is sad.', 'Gary is sad.', True)
('Gary is sad.', 'Gary is sad.', True)
('Harry is big.', 'Harry is big.', True)
('Harry is big.', 'Harry is big.', True)
('Dave is small.', 'Dave is small.', True)
('Dave is small.', 'Dave is small.', True)
('Alan is smart.', 'Alan is smart.', True)
('Alan is smart.', 'Alan is smart.', True)
('Fiona is poor.', 'Fiona is poor.', True)
('Fiona is poor.', 'Fiona is poor.', True)
('Erin is high.', 'Erin is high.', True)
('Erin is high.', 'Erin is high.', True)
('Dave is thin.', 'Dave is thin.', True)
('Dave is thin.', 'Dave is thin.', True)
('Alan is nice.', 'Alan is nice.', True)
('Alan is nice.', 'Alan is nice.', True)
('Harry is sad.', 'Harry is sad.', True)
('Harry is sad.', 'Harry is sad.', True)
('Alan is high.', 'Alan is high.', True)
('Alan is high.', 'Alan is high.', True)
('Anne is small.', 'Anne is small.', True)
('Anne is small.', 'Anne is small.', True)
('Dave is clever.', 'Dave is clever.', True)
('Dave is clever.', 'Dave is clever.', True)
('Harry is poor.', 'Harry is poor.', True)
('Harry is poor.', 'Harry is poor.', True)
('Anne is big.', 'Anne is big.', True)
('Anne is big.', 'Anne is big.', True)
('Charlie is small.', 'Charlie is small.', True)
('Charlie is small.', 'Charlie is small.', True)
('Harry is quiet.', 'Harry is quiet.', True)
('Harry is quiet.', 'Harry is quiet.', True)
('Fiona is rough.', 'Fiona is rough.', True)
('Fiona is rough.', 'Fiona is rough.', True)
('Bob is heavy.', 'Bob is heavy.', True)
('Bob is heavy.', 'Bob is heavy.', True)
('Gary is small.', 'Gary is small.', True)
('Gary is small.', 'Gary is small.', True)
('Anne is clever.', 'Anne is clever.', True)
('Anne is clever.', 'Anne is clever.', True)
('Harry is rough.', 'Harry is rough.', True)
('Harry is rough.', 'Harry is rough.', True)
('Anne is high.', 'Anne is high.', True)
('Anne is high.', 'Anne is high.', True)
('Charlie is tiny.', 'Charlie is tiny.', True)
('Charlie is tiny.', 'Charlie is tiny.', True)
('Fiona is smart.', 'Fiona is smart.', True)
('Fiona is smart.', 'Fiona is smart.', True)
('Erin is bad.', 'Erin is bad.', True)
('Erin is bad.', 'Erin is bad.', True)
('Fiona is strong.', 'Fiona is strong.', True)
('Fiona is strong.', 'Fiona is strong.', True)
('Dave is thin.', 'Dave is thin.', True)
('Dave is thin.', 'Dave is thin.', True)
('Erin is nice.', 'Erin is nice.', True)
('Erin is nice.', 'Erin is nice.', True)
('Gary is bad.', 'Gary is bad.', True)
('Gary is bad.', 'Gary is bad.', True)
('Gary is big.', 'Gary is big.', True)
('Gary is big.', 'Gary is big.', True)
('Erin is small.', 'Erin is small.', True)
('Erin is small.', 'Erin is small.', True)
('Harry is quiet.', 'Harry is quiet.', True)
('Harry is quiet.', 'Harry is quiet.', True)
('Charlie is sad.', 'Charlie is sad.', True)
('Charlie is sad.', 'Charlie is sad.', True)
('Erin is heavy.', 'Erin is heavy.', True)
('Erin is heavy.', 'Erin is heavy.', True)
('Anne is small.', 'Anne is small.', True)
('Anne is small.', 'Anne is small.', True)
('Dave is clever.', 'Dave is clever.', True)
('Dave is clever.', 'Dave is clever.', True)
('Alan is bad.', 'Alan is bad.', True)
('Alan is bad.', 'Alan is bad.', True)
('Erin is heavy.', 'Erin is heavy.', True)
('Erin is heavy.', 'Erin is heavy.', True)
('Charlie is tiny.', 'Charlie is tiny.', True)
('Charlie is tiny.', 'Charlie is tiny.', True)
('Harry is quiet.', 'Harry is quiet.', True)
('Harry is quiet.', 'Harry is quiet.', True)
('Alan is bad.', 'Alan is bad.', True)
('Alan is bad.', 'Alan is bad.', True)
('Dave is high.', 'Dave is high.', True)
('Dave is high.', 'Dave is high.', True)
('Harry is little.', 'Harry is little.', True)
('Harry is little.', 'Harry is little.', True)
('Charlie is quiet.', 'Charlie is quiet.', True)
('Charlie is quiet.', 'Charlie is quiet.', True)
('Anne is poor.', 'Anne is poor.', True)
('Anne is poor.', 'Anne is poor.', True)
('Anne is high.', 'Anne is high.', True)
('Anne is high.', 'Anne is high.', True)
('Harry is short.', 'Harry is short.', True)
('Harry is short.', 'Harry is short.', True)
('Alan is wealthy.', 'Alan is wealthy.', True)
('Alan is wealthy.', 'Alan is wealthy.', True)
('Dave is dull.', 'Dave is dull.', True)
('Dave is dull.', 'Dave is dull.', True)
('Alan is strong.', 'Alan is strong.', True)
('Alan is strong.', 'Alan is strong.', True)
('Gary is thin.', 'Gary is thin.', True)
('Gary is thin.', 'Gary is thin.', True)
('Fiona is kind.', 'Fiona is kind.', True)
('Fiona is kind.', 'Fiona is kind.', True)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Charlie is imperfect.', 'Charlie is imperfect.', True)
('Erin is high.', 'Erin is high.', True)
('Erin is high.', 'Erin is high.', True)
('Dave is tiny.', 'Dave is tiny.', True)
('Dave is tiny.', 'Dave is tiny.', True)
('Harry is kind.', 'Harry is kind.', True)
('Harry is kind.', 'Harry is kind.', True)
('Fiona is sad.', 'Fiona is sad.', True)
('Fiona is sad.', 'Fiona is sad.', True)
('Harry is huge.', 'Harry is huge.', True)
('Harry is huge.', 'Harry is huge.', True)
('Bob is thin.', 'Bob is thin.', True)
('Bob is thin.', 'Bob is thin.', True)
('Dave is clever.', 'Dave is clever.', True)
('Dave is clever.', 'Dave is clever.', True)
('Alan is poor.', 'Alan is poor.', True)
('Alan is poor.', 'Alan is poor.', True)
('Fiona is big.', 'Fiona is big.', True)
('Fiona is big.', 'Fiona is big.', True)
('Anne is short.', 'Anne is short.', True)
('Anne is short.', 'Anne is short.', True)
('Charlie is kind.', 'Charlie is kind.', True)
('Charlie is kind.', 'Charlie is kind.', True)
('Erin is dull.', 'Erin is dull.', True)
('Erin is dull.', 'Erin is dull.', True)
('Dave is big.', 'Dave is big.', True)
('Dave is big.', 'Dave is big.', True)
('Anne is little.', 'Anne is little.', True)
('Anne is little.', 'Anne is little.', True)
('Erin is smart.', 'Erin is smart.', True)
('Erin is smart.', 'Erin is smart.', True)
('Bob is poor.', 'Bob is poor.', True)
('Bob is poor.', 'Bob is poor.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Fiona is thin.', 'Fiona is thin.', True)
('Fiona is thin.', 'Fiona is thin.', True)
('Alan is clever.', 'Alan is clever.', True)
('Alan is clever.', 'Alan is clever.', True)
('Anne is sad.', 'Anne is sad.', True)
('Anne is sad.', 'Anne is sad.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Alan is short.', 'Alan is short.', True)
('Alan is short.', 'Alan is short.', True)
('Erin is wealthy.', 'Erin is wealthy.', True)
('Erin is wealthy.', 'Erin is wealthy.', True)
('Anne is poor.', 'Anne is poor.', True)
('Anne is poor.', 'Anne is poor.', True)
('Anne is strong.', 'Anne is strong.', True)
('Anne is strong.', 'Anne is strong.', True)
('Dave is thin.', 'Dave is thin.', True)
('Dave is thin.', 'Dave is thin.', True)
('Gary is nice.', 'Gary is nice.', True)
('Gary is nice.', 'Gary is nice.', True)
('Erin is bad.', 'Erin is bad.', True)
('Erin is bad.', 'Erin is bad.', True)
('Gary is high.', 'Gary is high.', True)
('Gary is high.', 'Gary is high.', True)
('Bob is tiny.', 'Bob is tiny.', True)
('Bob is tiny.', 'Bob is tiny.', True)
('Charlie is clever.', 'Charlie is clever.', True)
('Charlie is clever.', 'Charlie is clever.', True)
('Anne is rough.', 'Anne is rough.', True)
('Anne is rough.', 'Anne is rough.', True)
('Erin is heavy.', 'Erin is heavy.', True)
('Erin is heavy.', 'Erin is heavy.', True)
('Bob is thin.', 'Bob is thin.', True)
('Bob is thin.', 'Bob is thin.', True)
('Dave is nice.', 'Dave is nice.', True)
('Dave is nice.', 'Dave is nice.', True)
('Harry is rough.', 'Harry is rough.', True)
('Harry is rough.', 'Harry is rough.', True)
('Anne is huge.', 'Anne is huge.', True)
('Anne is huge.', 'Anne is huge.', True)
('Dave is little.', 'Dave is little.', True)
('Dave is little.', 'Dave is little.', True)
('Harry is nice.', 'Harry is nice.', True)
('Harry is nice.', 'Harry is nice.', True)
('Charlie is bad.', 'Charlie is bad.', True)
('Charlie is bad.', 'Charlie is bad.', True)
('Charlie is huge.', 'Charlie is huge.', True)
('Charlie is huge.', 'Charlie is huge.', True)
('Gary is tiny.', 'Gary is tiny.', True)
('Gary is tiny.', 'Gary is tiny.', True)
('Dave is clever.', 'Dave is clever.', True)
('Dave is clever.', 'Dave is clever.', True)
('Alan is rough.', 'Alan is rough.', True)
('Alan is rough.', 'Alan is rough.', True)
('Charlie is high.', 'Charlie is high.', True)
('Charlie is high.', 'Charlie is high.', True)
('Gary is tiny.', 'Gary is tiny.', True)
('Gary is tiny.', 'Gary is tiny.', True)
('Erin is clever.', 'Erin is clever.', True)
('Erin is clever.', 'Erin is clever.', True)
('Dave is bad.', 'Dave is bad.', True)
('Dave is bad.', 'Dave is bad.', True)
('Charlie is big.', 'Charlie is big.', True)
('Charlie is big.', 'Charlie is big.', True)
('Fiona is little.', 'Fiona is little.', True)
('Fiona is little.', 'Fiona is little.', True)
('Alan is nice.', 'Alan is nice.', True)
('Alan is nice.', 'Alan is nice.', True)
('Dave is poor.', 'Dave is poor.', True)
('Dave is poor.', 'Dave is poor.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Erin is tiny.', 'Erin is tiny.', True)
('Erin is tiny.', 'Erin is tiny.', True)
('Dave is nice.', 'Dave is nice.', True)
('Dave is nice.', 'Dave is nice.', True)
('Harry is rough.', 'Harry is rough.', True)
('Harry is rough.', 'Harry is rough.', True)
('Erin is big.', 'Erin is big.', True)
('Erin is big.', 'Erin is big.', True)
('Charlie is short.', 'Charlie is short.', True)
('Charlie is short.', 'Charlie is short.', True)
('Gary is kind.', 'Gary is kind.', True)
('Gary is kind.', 'Gary is kind.', True)
('Bob is dull.', 'Bob is dull.', True)
('Bob is dull.', 'Bob is dull.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Charlie is heavy.', 'Charlie is heavy.', True)
('Gary is thin.', 'Gary is thin.', True)
('Gary is thin.', 'Gary is thin.', True)
('Fiona is wealthy.', 'Fiona is wealthy.', True)
('Fiona is wealthy.', 'Fiona is wealthy.', True)
('Alan is poor.', 'Alan is poor.', True)
('Alan is poor.', 'Alan is poor.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Harry is short.', 'Harry is short.', True)
('Harry is short.', 'Harry is short.', True)
('Gary is nice.', 'Gary is nice.', True)
('Gary is nice.', 'Gary is nice.', True)
('Bob is poor.', 'Bob is poor.', True)
('Bob is poor.', 'Bob is poor.', True)
('Gary is big.', 'Gary is big.', True)
('Gary is big.', 'Gary is big.', True)
('Anne is tiny.', 'Anne is tiny.', True)
('Anne is tiny.', 'Anne is tiny.', True)
('Fiona is clever.', 'Fiona is clever.', True)
('Fiona is clever.', 'Fiona is clever.', True)
('Harry is poor.', 'Harry is poor.', True)
('Harry is poor.', 'Harry is poor.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Bob is little.', 'Bob is little.', True)
('Bob is little.', 'Bob is little.', True)
('Anne is kind.', 'Anne is kind.', True)
('Anne is kind.', 'Anne is kind.', True)
('Harry is dull.', 'Harry is dull.', True)
('Harry is dull.', 'Harry is dull.', True)
('Fiona is heavy.', 'Fiona is heavy.', True)
('Fiona is heavy.', 'Fiona is heavy.', True)
('Alan is thin.', 'Alan is thin.', True)
('Alan is thin.', 'Alan is thin.', True)
('Gary is wealthy.', 'Gary is wealthy.', True)
('Gary is wealthy.', 'Gary is wealthy.', True)
('Dave is sad.', 'Dave is sad.', True)
('Dave is sad.', 'Dave is sad.', True)
('Gary is heavy.', 'Gary is heavy.', True)
('Gary is heavy.', 'Gary is heavy.', True)
('Charlie is short.', 'Charlie is short.', True)
('Charlie is short.', 'Charlie is short.', True)
('Anne is wealthy.', 'Anne is wealthy.', True)
('Anne is wealthy.', 'Anne is wealthy.', True)
('Fiona is sad.', 'Fiona is sad.', True)
('Fiona is sad.', 'Fiona is sad.', True)
('Alan is strong.', 'Alan is strong.', True)
('Alan is strong.', 'Alan is strong.', True)
('Charlie is short.', 'Charlie is short.', True)
('Charlie is short.', 'Charlie is short.', True)
('Fiona is kind.', 'Fiona is kind.', True)
('Fiona is kind.', 'Fiona is kind.', True)
('Bob is dull.', 'Bob is dull.', True)
('Bob is dull.', 'Bob is dull.', True)
('Erin is high.', 'Erin is high.', True)
('Erin is high.', 'Erin is high.', True)
('Dave is short.', 'Dave is short.', True)
('Dave is short.', 'Dave is short.', True)
('Bob is smart.', 'Bob is smart.', True)
('Bob is smart.', 'Bob is smart.', True)
('Alan is sad.', 'Alan is sad.', True)
('Alan is sad.', 'Alan is sad.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Dave is heavy.', 'Dave is heavy.', True)
('Charlie is thin.', 'Charlie is thin.', True)
('Charlie is thin.', 'Charlie is thin.', True)
('Fiona is kind.', 'Fiona is kind.', True)
('Fiona is kind.', 'Fiona is kind.', True)
('Harry is sad.', 'Harry is sad.', True)
('Harry is sad.', 'Harry is sad.', True)
('Dave is strong.', 'Dave is strong.', True)
('Dave is strong.', 'Dave is strong.', True)
('Bob is tiny.', 'Bob is tiny.', True)
('Bob is tiny.', 'Bob is tiny.', True)
('Harry is kind.', 'Harry is kind.', True)
('Harry is kind.', 'Harry is kind.', True)
('Gary is bad.', 'Gary is bad.', True)
('Gary is bad.', 'Gary is bad.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Anne is small.', 'Anne is small.', True)
('Anne is small.', 'Anne is small.', True)
('Harry is quiet.', 'Harry is quiet.', True)
('Harry is quiet.', 'Harry is quiet.', True)
('Erin is sad.', 'Erin is sad.', True)
('Erin is sad.', 'Erin is sad.', True)
('Erin is big.', 'Erin is big.', True)
('Erin is big.', 'Erin is big.', True)
('Bob is small.', 'Bob is small.', True)
('Bob is small.', 'Bob is small.', True)
('Anne is nice.', 'Anne is nice.', True)
('Anne is nice.', 'Anne is nice.', True)
('Fiona is dull.', 'Fiona is dull.', True)
('Fiona is dull.', 'Fiona is dull.', True)
('Gary is huge.', 'Gary is huge.', True)
('Gary is huge.', 'Gary is huge.', True)
('Fiona is little.', 'Fiona is little.', True)
('Fiona is little.', 'Fiona is little.', True)
('Erin is smart.', 'Erin is smart.', True)
('Erin is smart.', 'Erin is smart.', True)
('Anne is dull.', 'Anne is dull.', True)
('Anne is dull.', 'Anne is dull.', True)
('Dave is high.', 'Dave is high.', True)
('Dave is high.', 'Dave is high.', True)
('Erin is thin.', 'Erin is thin.', True)
('Erin is thin.', 'Erin is thin.', True)
('Harry is nice.', 'Harry is nice.', True)
('Harry is nice.', 'Harry is nice.', True)
('Gary is sad.', 'Gary is sad.', True)
('Gary is sad.', 'Gary is sad.', True)
('Fiona is huge.', 'Fiona is huge.', True)
('Fiona is huge.', 'Fiona is huge.', True)
('Bob is small.', 'Bob is small.', True)
('Bob is small.', 'Bob is small.', True)
('Charlie is wealthy.', 'Charlie is wealthy.', True)
('Charlie is wealthy.', 'Charlie is wealthy.', True)
('Erin is imperfect.', 'Erin is imperfect.', True)
('Erin is imperfect.', 'Erin is imperfect.', True)
('Anne is strong.', 'Anne is strong.', True)
('Anne is strong.', 'Anne is strong.', True)
('Dave is little.', 'Dave is little.', True)
('Dave is little.', 'Dave is little.', True)
('Erin is quiet.', 'Erin is quiet.', True)
('Erin is quiet.', 'Erin is quiet.', True)
('Fiona is dull.', 'Fiona is dull.', True)
('Fiona is dull.', 'Fiona is dull.', True)
('Gary is big.', 'Gary is big.', True)
('Gary is big.', 'Gary is big.', True)
('Anne is tiny.', 'Anne is tiny.', True)
('Anne is tiny.', 'Anne is tiny.', True)
('Harry is wealthy.', 'Harry is wealthy.', True)
('Harry is wealthy.', 'Harry is wealthy.', True)
('Fiona is imperfect.', 'Fiona is imperfect.', True)
('Fiona is imperfect.', 'Fiona is imperfect.', True)
('Harry is heavy.', 'Harry is heavy.', True)
('Harry is heavy.', 'Harry is heavy.', True)
('Alan is thin.', 'Alan is thin.', True)
('Alan is thin.', 'Alan is thin.', True)
('Charlie is quiet.', 'Charlie is quiet.', True)
('Charlie is quiet.', 'Charlie is quiet.', True)
('Dave is bad.', 'Dave is bad.', True)
('Dave is bad.', 'Dave is bad.', True)
('Alan is big.', 'Alan is big.', True)
('Alan is big.', 'Alan is big.', True)
('Gary is thin.', 'Gary is thin.', True)
('Gary is thin.', 'Gary is thin.', True)
('Erin is smart.', 'Erin is smart.', True)
('Erin is smart.', 'Erin is smart.', True)
('Dave is rough.', 'Dave is rough.', True)
('Dave is rough.', 'Dave is rough.', True)
('Erin is strong.', 'Erin is strong.', True)
('Erin is strong.', 'Erin is strong.', True)
('Gary is little.', 'Gary is little.', True)
('Gary is little.', 'Gary is little.', True)
('Charlie is clever.', 'Charlie is clever.', True)
('Charlie is clever.', 'Charlie is clever.', True)
('Dave is rough.', 'Dave is rough.', True)
('Dave is rough.', 'Dave is rough.', True)
('Gary is strong.', 'Gary is strong.', True)
('Gary is strong.', 'Gary is strong.', True)
('Erin is short.', 'Erin is short.', True)
('Erin is short.', 'Erin is short.', True)
('Anne is kind.', 'Anne is kind.', True)
('Anne is kind.', 'Anne is kind.', True)
('Alan is poor.', 'Alan is poor.', True)
