('Fiona is high.', 'Fiona is high.', True)
('Charlie is bad.', 'Charlie is poor.', False)
('Anne is huge.', 'Anne is high.', False)
('Anne is huge.', 'Anne is high.', False)
('Bob is tiny.', 'Bob is little.', False)
('Bob is tiny.', 'Bob is little.', False)
('Charlie is kind.', 'Charlie is quiet.', False)
('Charlie is kind.', 'Charlie is quiet.', False)
('Erin is poor.', 'Erin is sad.', False)
('Erin is poor.', 'Erin is sad.', False)
('Erin is big.', 'Erin is heavy.', False)
('Erin is big.', 'Erin is heavy.', False)
('Harry is thin.', 'Harry is thin.', True)
('Harry is thin.', 'Harry is thin.', True)
('Fiona is smart.', 'Fiona is wealthy.', False)
('Fiona is smart.', 'Fiona is wealthy.', False)
('Gary is bad.', 'Gary is sad.', False)
('Gary is bad.', 'Gary is sad.', False)
('Bob is high.', 'Bob is high.', True)
('Bob is high.', 'Bob is high.', True)
('Alan is tiny.', 'Alan is small.', False)
('Alan is tiny.', 'Alan is small.', False)
('Harry is wealthy.', 'Harry is wealthy.', True)
('Harry is wealthy.', 'Harry is wealthy.', True)
('Fiona is dull.', 'Fiona is poor.', False)
('Fiona is dull.', 'Fiona is poor.', False)
('Dave is huge.', 'Dave is high.', False)
('Dave is huge.', 'Dave is high.', False)
('Erin is thin.', 'Erin is thin.', True)
('Erin is thin.', 'Erin is thin.', True)
('Bob is kind.', 'Bob is quiet.', False)
('Bob is kind.', 'Bob is quiet.', False)
('Anne is bad.', 'Anne is sad.', False)
('Anne is bad.', 'Anne is sad.', False)
('Bob is high.', 'Bob is strong.', False)
('Bob is high.', 'Bob is strong.', False)
('Harry is small.', 'Harry is little.', False)
('Harry is small.', 'Harry is little.', False)
('Fiona is clever.', 'Fiona is wealthy.', False)
('Fiona is clever.', 'Fiona is quiet.', False)
('Charlie is bad.', 'Charlie is poor.', False)
('Charlie is bad.', 'Charlie is poor.', False)
('Charlie is high.', 'Charlie is high.', True)
('Charlie is high.', 'Charlie is strong.', False)
('Bob is tiny.', 'Bob is short.', False)
('Bob is tiny.', 'Bob is short.', False)
('Dave is quiet.', 'Dave is smart.', False)
('Dave is quiet.', 'Dave is smart.', False)
('Gary is dull.', 'Gary is poor.', False)
('Gary is dull.', 'Gary is poor.', False)
('Charlie is big.', 'Charlie is strong.', False)
('Charlie is big.', 'Charlie is strong.', False)
('Alan is small.', 'Alan is small.', True)
('Alan is small.', 'Alan is small.', True)
('Erin is clever.', 'Erin is quiet.', False)
('Erin is clever.', 'Erin is quiet.', False)
('Gary is bad.', 'Gary is sad.', False)
('Gary is bad.', 'Gary is sad.', False)
('Bob is huge.', 'Bob is strong.', False)
('Bob is huge.', 'Bob is strong.', False)
('Dave is small.', 'Dave is little.', False)
('Dave is small.', 'Dave is little.', False)
('Erin is quiet.', 'Erin is kind.', False)
('Erin is quiet.', 'Erin is wealthy.', False)
('Anne is rough.', 'Anne is poor.', False)
('Anne is rough.', 'Anne is bad.', False)
('Anne is huge.', 'Anne is strong.', False)
('Anne is huge.', 'Anne is strong.', False)
('Fiona is small.', 'Fiona is thin.', False)
('Fiona is small.', 'Fiona is thin.', False)
('Dave is wealthy.', 'Dave is quiet.', False)
('Dave is wealthy.', 'Dave is quiet.', False)
('Erin is bad.', 'Erin is sad.', False)
('Erin is bad.', 'Erin is sad.', False)
('Charlie is heavy.', 'Charlie is high.', False)
('Charlie is heavy.', 'Charlie is high.', False)
('Bob is short.', 'Bob is little.', False)
('Bob is short.', 'Bob is little.', False)
('Alan is quiet.', 'Alan is quiet.', True)
('Alan is quiet.', 'Alan is quiet.', True)
('Gary is sad.', 'Gary is rough.', False)
('Gary is sad.', 'Gary is rough.', False)
('Alan is huge.', 'Alan is strong.', False)
('Alan is huge.', 'Alan is strong.', False)
('Harry is small.', 'Harry is thin.', False)
('Harry is small.', 'Harry is thin.', False)
('Dave is nice.', 'Dave is kind.', False)
('Dave is nice.', 'Dave is quiet.', False)
('Gary is sad.', 'Gary is Alan is Alan is Alan is Alan is Alan is Alan is Alan is Alan is ', False)
('Gary is sad.', 'Gary is Alan is Alan is Alan is Alan is Alan is Alan is Alan is Alan is ', False)
('Alan is strong.', 'Alan is strong.', True)
('Alan is strong.', 'Alan is strong.', True)
('Erin is short.', 'Erin is small.', False)
('Erin is short.', 'Erin is small.', False)
('Bob is quiet.', 'Bob is quiet.', True)
('Bob is quiet.', 'Bob is quiet.', True)
('Fiona is dull.', 'Fiona is Alan is Alan is Alan is Alan is Alan is Alan is Alan is ', False)
('Fiona is dull.', 'Fiona is Alan is Alan is Alan is Alan is Alan is Alan is Alan is ', False)
('Charlie is strong.', 'Charlie is strong.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Gary is thin.', 'Gary is thin.', True)
('Gary is thin.', 'Gary is thin.', True)
('Dave is kind.', 'Dave is nice.', False)
('Dave is kind.', 'Dave is nice.', False)
('Harry is imperfect.', 'Harry is sad.', False)
('Harry is imperfect.', 'Harry is sad.', False)
('Charlie is huge.', 'Charlie is high.', False)
('Charlie is huge.', 'Charlie is high.', False)
('Harry is little.', 'Harry is thin.', False)
('Harry is little.', 'Harry is thin.', False)
('Fiona is wealthy.', 'Fiona is quiet.', False)
('Fiona is wealthy.', 'Fiona is quiet.', False)
('Erin is sad.', 'Erin is poor.', False)
('Erin is sad.', 'Erin is poor.', False)
('Fiona is heavy.', 'Fiona is high.', False)
('Fiona is heavy.', 'Fiona is high.', False)
('Bob is tiny.', 'Bob is little.', False)
('Bob is tiny.', 'Bob is little.', False)
('Erin is smart.', 'Erin is kind.', False)
('Erin is smart.', 'Erin is kind.', False)
('Harry is sad.', 'Harry is bad.', False)
('Harry is sad.', 'Harry is bad.', False)
('Anne is big.', 'Anne is strong.', False)
('Anne is big.', 'Anne is strong.', False)
('Charlie is tiny.', 'Charlie is little.', False)
('Charlie is tiny.', 'Charlie is little.', False)
('Gary is quiet.', 'Gary is quiet.', True)
('Gary is quiet.', 'Gary is quiet.', True)
('Harry is sad.', 'Harry is sad.', True)
('Harry is sad.', 'Harry is sad.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Harry is little.', 'Harry is little.', True)
('Harry is little.', 'Harry is little.', True)
('Fiona is wealthy.', 'Fiona is quiet.', False)
('Fiona is wealthy.', 'Fiona is quiet.', False)
('Alan is imperfect.', 'Alan is sad.', False)
('Alan is imperfect.', 'Alan is poor.', False)
('Erin is strong.', 'Erin is strong.', True)
('Erin is strong.', 'Erin is strong.', True)
('Fiona is little.', 'Fiona is small.', False)
('Fiona is little.', 'Fiona is small.', False)
('Charlie is nice.', 'Charlie is smart.', False)
('Charlie is nice.', 'Charlie is smart.', False)
('Gary is bad.', 'Gary is poor.', False)
('Gary is bad.', 'Gary is poor.', False)
('Charlie is huge.', 'Charlie is high.', False)
('Charlie is huge.', 'Charlie is high.', False)
('Fiona is thin.', 'Fiona is thin.', True)
('Fiona is thin.', 'Fiona is thin.', True)
('Gary is wealthy.', 'Gary is nice.', False)
('Gary is wealthy.', 'Gary is nice.', False)
('Erin is bad.', 'Erin is poor.', False)
('Erin is bad.', 'Erin is poor.', False)
('Gary is heavy.', 'Gary is strong.', False)
('Gary is heavy.', 'Gary is heavy.', True)
('Charlie is thin.', 'Charlie is thin.', True)
('Charlie is thin.', 'Charlie is thin.', True)
('Harry is kind.', 'Harry is smart.', False)
('Harry is kind.', 'Harry is smart.', False)
('Fiona is imperfect.', 'Fiona is sad.', False)
('Fiona is imperfect.', 'Fiona is sad.', False)
('Erin is huge.', 'Erin is high.', False)
('Erin is huge.', 'Erin is high.', False)
('Fiona is tiny.', 'Fiona is little.', False)
('Fiona is tiny.', 'Fiona is little.', False)
('Gary is kind.', 'Gary is wealthy.', False)
('Gary is kind.', 'Gary is wealthy.', False)
('Alan is rough.', 'Alan is poor.', False)
('Alan is rough.', 'Alan is poor.', False)
('Charlie is heavy.', 'Charlie is high.', False)
('Charlie is heavy.', 'Charlie is high.', False)
('Dave is short.', 'Dave is short.', True)
('Dave is short.', 'Dave is short.', True)
('Erin is wealthy.', 'Erin is smart.', False)
('Erin is wealthy.', 'Erin is smart.', False)
('Gary is rough.', 'Gary is poor.', False)
('Gary is rough.', 'Gary is poor.', False)
('Erin is heavy.', 'Erin is high.', False)
('Erin is heavy.', 'Erin is high.', False)
('Gary is little.', 'Gary is thin.', False)
('Gary is little.', 'Gary is thin.', False)
('Harry is wealthy.', 'Harry is sad.', False)
('Harry is wealthy.', 'Harry is sad.', False)
('Charlie is dull.', 'Charlie is rough.', False)
('Charlie is dull.', 'Charlie is rough.', False)
('Gary is high.', 'Gary is high.', True)
('Gary is high.', 'Gary is high.', True)
('Bob is thin.', 'Bob is thin.', True)
('Bob is thin.', 'Bob is thin.', True)
('Fiona is kind.', 'Fiona is quiet.', False)
('Fiona is kind.', 'Fiona is quiet.', False)
('Anne is dull.', 'Anne is poor.', False)
('Anne is dull.', 'Anne is poor.', False)
('Erin is high.', 'Erin is high.', True)
('Erin is high.', 'Erin is high.', True)
('Harry is short.', 'Harry is thin.', False)
('Harry is short.', 'Harry is thin.', False)
('Anne is kind.', 'Anne is wealthy.', False)
('Anne is kind.', 'Anne is wealthy.', False)
('Fiona is dull.', 'Fiona is imperfect.', False)
('Fiona is dull.', 'Fiona is sad.', False)
('Anne is huge.', 'Anne is heavy.', False)
('Anne is huge.', 'Anne is heavy.', False)
('Fiona is short.', 'Fiona is thin.', False)
('Fiona is short.', 'Fiona is thin.', False)
('Bob is clever.', 'Bob is quiet.', False)
('Bob is clever.', 'Bob is quiet.', False)
('Gary is imperfect.', 'Gary is imperfect.', True)
('Gary is imperfect.', 'Gary is imperfect.', True)
('Bob is strong.', 'Bob is strong.', True)
('Bob is strong.', 'Bob is strong.', True)
('Fiona is thin.', 'Fiona is thin.', True)
('Fiona is thin.', 'Fiona is thin.', True)
('Anne is quiet.', 'Anne is sad.', False)
('Anne is quiet.', 'Anne is sad.', False)
('Harry is poor.', 'Harry is bad.', False)
('Harry is poor.', 'Harry is bad.', False)
('Anne is big.', 'Anne is strong.', False)
('Anne is big.', 'Anne is strong.', False)
('Charlie is short.', 'Charlie is short.', True)
('Charlie is short.', 'Charlie is short.', True)
('Alan is wealthy.', 'Alan is kind.', False)
('Alan is wealthy.', 'Alan is kind.', False)
('Dave is poor.', 'Dave is rough.', False)
('Dave is poor.', 'Dave is rough.', False)
('Charlie is big.', 'Charlie is heavy.', False)
('Charlie is big.', 'Charlie is heavy.', False)
('Gary is small.', 'Gary is little.', False)
('Gary is small.', 'Gary is little.', False)
('Harry is kind.', 'Harry is nice.', False)
('Harry is kind.', 'Harry is nice.', False)
('Dave is sad.', 'Dave is sad.', True)
('Dave is sad.', 'Dave is sad.', True)
('Gary is strong.', 'Gary is high.', False)
('Gary is strong.', 'Gary is high.', False)
('Bob is little.', 'Bob is thin.', False)
('Bob is little.', 'Bob is thin.', False)
('Harry is clever.', 'Harry is kind.', False)
('Harry is clever.', 'Harry is kind.', False)
('Anne is poor.', 'Anne is sad.', False)
('Anne is poor.', 'Anne is sad.', False)
('Bob is heavy.', 'Bob is strong.', False)
('Bob is heavy.', 'Bob is strong.', False)
('Harry is small.', 'Harry is little.', False)
('Harry is small.', 'Harry is little.', False)
('Charlie is nice.', 'Charlie is kind.', False)
('Charlie is nice.', 'Charlie is kind.', False)
('Alan is rough.', 'Alan is bad.', False)
('Alan is rough.', 'Alan is bad.', False)
('Anne is high.', 'Anne is high.', True)
('Anne is high.', 'Anne is high.', True)
('Erin is tiny.', 'Erin is thin.', False)
('Erin is tiny.', 'Erin is thin.', False)
('Charlie is clever.', 'Charlie is wealthy.', False)
('Charlie is clever.', 'Charlie is wealthy.', False)
('Bob is dull.', 'Bob is rough.', False)
('Bob is dull.', 'Bob is rough.', False)
('Harry is huge.', 'Harry is high.', False)
('Harry is huge.', 'Harry is high.', False)
('Alan is small.', 'Alan is little.', False)
('Alan is small.', 'Alan is little.', False)
('Anne is nice.', 'Anne is kind.', False)
('Anne is nice.', 'Anne is kind.', False)
('Dave is sad.', 'Dave is sad.', True)
('Dave is sad.', 'Dave is sad.', True)
('Bob is big.', 'Bob is high.', False)
('Bob is big.', 'Bob is high.', False)
('Charlie is tiny.', 'Charlie is little.', False)
('Charlie is tiny.', 'Charlie is little.', False)
('Fiona is wealthy.', 'Fiona is quiet.', False)
('Fiona is wealthy.', 'Fiona is quiet.', False)
('Gary is bad.', 'Gary is imperfect.', False)
('Gary is bad.', 'Gary is imperfect.', False)
('Harry is heavy.', 'Harry is heavy.', True)
('Harry is heavy.', 'Harry is heavy.', True)
('Alan is thin.', 'Alan is thin.', True)
('Alan is thin.', 'Alan is thin.', True)
('Dave is wealthy.', 'Dave is kind.', False)
('Dave is wealthy.', 'Dave is kind.', False)
('Erin is imperfect.', 'Erin is sad.', False)
('Erin is imperfect.', 'Erin is sad.', False)
('Bob is huge.', 'Bob is strong.', False)
('Bob is huge.', 'Bob is strong.', False)
('Fiona is small.', 'Fiona is small.', True)
('Fiona is small.', 'Fiona is little.', False)
('Harry is wealthy.', 'Harry is quiet.', False)
('Harry is wealthy.', 'Harry is quiet.', False)
('Alan is poor.', 'Alan is bad.', False)
('Alan is poor.', 'Alan is bad.', False)
('Erin is strong.', 'Erin is strong.', True)
('Erin is strong.', 'Erin is strong.', True)
('Gary is tiny.', 'Gary is thin.', False)
('Gary is tiny.', 'Gary is thin.', False)
('Charlie is kind.', 'Charlie is quiet.', False)
('Charlie is kind.', 'Charlie is quiet.', False)
('Anne is bad.', 'Anne is poor.', False)
('Anne is bad.', 'Anne is poor.', False)
('Bob is strong.', 'Bob is strong.', True)
('Bob is strong.', 'Bob is strong.', True)
('Alan is short.', 'Alan is thin.', False)
('Alan is short.', 'Alan is thin.', False)
('Erin is smart.', 'Erin is quiet.', False)
('Erin is smart.', 'Erin is quiet.', False)
('Charlie is dull.', 'Charlie is bad.', False)
('Charlie is dull.', 'Charlie is bad.', False)
('Gary is high.', 'Gary is high.', True)
('Gary is high.', 'Gary is strong.', False)
('Alan is short.', 'Alan is thin.', False)
('Alan is short.', 'Alan is thin.', False)
('Dave is quiet.', 'Dave is quiet.', True)
('Dave is quiet.', 'Dave is quiet.', True)
('Bob is bad.', 'Bob is bad.', True)
('Bob is bad.', 'Bob is bad.', True)
('Bob is high.', 'Bob is high.', True)
('Bob is high.', 'Bob is high.', True)
('Erin is tiny.', 'Erin is little.', False)
('Erin is tiny.', 'Erin is little.', False)
('Anne is quiet.', 'Anne is quiet.', True)
('Anne is quiet.', 'Anne is quiet.', True)
('Charlie is imperfect.', 'Charlie is bad.', False)
('Charlie is imperfect.', 'Charlie is bad.', False)
('Harry is heavy.', 'Harry is heavy.', True)
('Harry is heavy.', 'Harry is heavy.', True)
('Charlie is tiny.', 'Charlie is thin.', False)
('Charlie is tiny.', 'Charlie is thin.', False)
('Alan is nice.', 'Alan is kind.', False)
('Alan is nice.', 'Alan is kind.', False)
('Anne is bad.', 'Anne is poor.', False)
('Anne is bad.', 'Anne is poor.', False)
('Fiona is big.', 'Fiona is high.', False)
('Fiona is big.', 'Fiona is high.', False)
('Harry is small.', 'Harry is thin.', False)
('Harry is small.', 'Harry is thin.', False)
('Dave is nice.', 'Dave is wealthy.', False)
('Dave is nice.', 'Dave is wealthy.', False)
('Alan is imperfect.', 'Alan is sad.', False)
('Alan is imperfect.', 'Alan is sad.', False)
('Erin is high.', 'Erin is high.', True)
('Erin is high.', 'Erin is high.', True)
('Bob is tiny.', 'Bob is short.', False)
('Bob is tiny.', 'Bob is short.', False)
('Charlie is kind.', 'Charlie is smart.', False)
('Charlie is kind.', 'Charlie is smart.', False)
('Gary is poor.', 'Gary is poor.', True)
('Gary is poor.', 'Gary is poor.', True)
('Erin is high.', 'Erin is high.', True)
('Erin is high.', 'Erin is high.', True)
('Harry is little.', 'Harry is short.', False)
('Harry is little.', 'Harry is short.', False)
('Charlie is clever.', 'Charlie is smart.', False)
('Charlie is clever.', 'Charlie is smart.', False)
('Anne is bad.', 'Anne is poor.', False)
('Anne is bad.', 'Anne is poor.', False)
('Fiona is high.', 'Fiona is strong.', False)
('Fiona is high.', 'Fiona is strong.', False)
('Anne is thin.', 'Anne is thin.', True)
('Anne is thin.', 'Anne is thin.', True)
('Gary is quiet.', 'Gary is smart.', False)
('Gary is quiet.', 'Gary is smart.', False)
('Harry is bad.', 'Harry is poor.', False)
('Harry is bad.', 'Harry is poor.', False)
('Dave is huge.', 'Dave is high.', False)
('Dave is huge.', 'Dave is high.', False)
('Harry is small.', 'Harry is little.', False)
('Harry is small.', 'Harry is little.', False)
('Erin is kind.', 'Erin is quiet.', False)
('Erin is kind.', 'Erin is quiet.', False)
('Fiona is sad.', 'Fiona is sad.', True)
('Fiona is sad.', 'Fiona is sad.', True)
('Alan is big.', 'Alan is high.', False)
('Alan is big.', 'Alan is high.', False)
('Erin is tiny.', 'Erin is thin.', False)
('Erin is tiny.', 'Erin is thin.', False)
('Harry is clever.', 'Harry is wealthy.', False)
('Harry is clever.', 'Harry is wealthy.', False)
('Dave is imperfect.', 'Dave is Alan is Alan is Alan is Alan is Alan is Alan is Alan is Alan is ', False)
('Dave is imperfect.', 'Dave is Alan is Alan is Alan is Alan is Alan is Alan is Alan is Alan is ', False)
('Charlie is big.', 'Charlie is high.', False)
('Charlie is big.', 'Charlie is high.', False)
('Alan is little.', 'Alan is thin.', False)
('Alan is little.', 'Alan is thin.', False)
('Bob is wealthy.', 'Bob is wealthy.', True)
('Bob is wealthy.', 'Bob is wealthy.', True)
('Harry is poor.', 'Harry is rough.', False)
('Harry is poor.', 'Harry is sad.', False)
('Fiona is big.', 'Fiona is high.', False)
('Fiona is big.', 'Fiona is high.', False)
('Anne is thin.', 'Anne is thin.', True)
('Anne is thin.', 'Anne is thin.', True)
('Erin is wealthy.', 'Erin is nice.', False)
('Erin is wealthy.', 'Erin is nice.', False)
('Dave is dull.', 'Dave is rough.', False)
('Dave is dull.', 'Dave is rough.', False)
('Gary is big.', 'Gary is high.', False)
('Gary is big.', 'Gary is high.', False)
('Alan is short.', 'Alan is small.', False)
('Alan is short.', 'Alan is small.', False)
('Harry is kind.', 'Harry is quiet.', False)
('Harry is kind.', 'Harry is quiet.', False)
('Charlie is sad.', 'Charlie is sad.', True)
('Charlie is sad.', 'Charlie is sad.', True)
('Gary is high.', 'Gary is high.', True)
('Gary is high.', 'Gary is high.', True)
('Anne is small.', 'Anne is little.', False)
('Anne is small.', 'Anne is little.', False)
('Bob is kind.', 'Bob is quiet.', False)
('Bob is kind.', 'Bob is quiet.', False)
('Harry is poor.', 'Harry is poor.', True)
('Harry is poor.', 'Harry is poor.', True)
('Harry is strong.', 'Harry is strong.', True)
('Harry is strong.', 'Harry is strong.', True)
('Dave is little.', 'Dave is thin.', False)
('Dave is little.', 'Dave is little.', True)
('Gary is wealthy.', 'Gary is smart.', False)
('Gary is wealthy.', 'Gary is smart.', False)
('Anne is dull.', 'Anne is poor.', False)
('Anne is dull.', 'Anne is poor.', False)
('Dave is huge.', 'Dave is heavy.', False)
('Dave is huge.', 'Dave is heavy.', False)
('Erin is short.', 'Erin is little.', False)
('Erin is short.', 'Erin is little.', False)
('Gary is quiet.', 'Gary is quiet.', True)
('Gary is quiet.', 'Gary is quiet.', True)
('Harry is imperfect.', 'Harry is poor.', False)
('Harry is imperfect.', 'Harry is poor.', False)
('Gary is big.', 'Gary is high.', False)
('Gary is big.', 'Gary is high.', False)
('Harry is small.', 'Harry is little.', False)
('Harry is small.', 'Harry is little.', False)
('Anne is clever.', 'Anne is nice.', False)
('Anne is clever.', 'Anne is nice.', False)
('Erin is imperfect.', 'Erin is poor.', False)
('Erin is imperfect.', 'Erin is poor.', False)
('Bob is huge.', 'Bob is big.', False)
('Bob is huge.', 'Bob is big.', False)
('Fiona is tiny.', 'Fiona is small.', False)
('Fiona is tiny.', 'Fiona is small.', False)
('Charlie is quiet.', 'Charlie is quiet.', True)
('Charlie is quiet.', 'Charlie is quiet.', True)
('Harry is sad.', 'Harry is bad.', False)
('Harry is sad.', 'Harry is bad.', False)
('Anne is high.', 'Anne is high.', True)
('Anne is high.', 'Anne is high.', True)
('Harry is thin.', 'Harry is thin.', True)
('Harry is thin.', 'Harry is thin.', True)
('Dave is nice.', 'Dave is quiet.', False)
('Dave is nice.', 'Dave is quiet.', False)
('Gary is sad.', 'Gary is sad.', True)
('Gary is sad.', 'Gary is sad.', True)
('Anne is big.', 'Anne is heavy.', False)
('Anne is big.', 'Anne is heavy.', False)
('Fiona is short.', 'Fiona is little.', False)
('Fiona is short.', 'Fiona is little.', False)
('Erin is kind.', 'Erin is quiet.', False)
('Erin is kind.', 'Erin is quiet.', False)
('Harry is sad.', 'Harry is sad.', True)
('Harry is sad.', 'Harry is sad.', True)
('Alan is strong.', 'Alan is strong.', True)
('Alan is strong.', 'Alan is strong.', True)
('Charlie is short.', 'Charlie is thin.', False)
('Charlie is short.', 'Charlie is thin.', False)
('Bob is nice.', 'Bob is quiet.', False)
('Bob is nice.', 'Bob is quiet.', False)
('Dave is poor.', 'Dave is Alan is Alan is Alan is Alan is Alan is Alan is Alan is Alan is ', False)
('Dave is poor.', 'Dave is Alan is Alan is Alan is Alan is Alan is Alan is Alan is Alan is ', False)
('Charlie is strong.', 'Charlie is strong.', True)
('Charlie is strong.', 'Charlie is strong.', True)
('Fiona is short.', 'Fiona is thin.', False)
('Fiona is short.', 'Fiona is thin.', False)
('Erin is wealthy.', 'Erin is kind.', False)
('Erin is wealthy.', 'Erin is kind.', False)
('Harry is imperfect.', 'Harry is sad.', False)
('Harry is imperfect.', 'Harry is sad.', False)
('Harry is high.', 'Harry is high.', True)
('Harry is high.', 'Harry is high.', True)
('Charlie is thin.', 'Charlie is thin.', True)
('Charlie is thin.', 'Charlie is thin.', True)
('Gary is wealthy.', 'Gary is clever.', False)
('Gary is wealthy.', 'Gary is clever.', False)
('Erin is dull.', 'Erin is bad.', False)
('Erin is dull.', 'Erin is bad.', False)
('Dave is big.', 'Dave is high.', False)
('Dave is big.', 'Dave is high.', False)
('Charlie is little.', 'Charlie is thin.', False)
('Charlie is little.', 'Charlie is thin.', False)
('Erin is clever.', 'Erin is kind.', False)
('Erin is clever.', 'Erin is kind.', False)
('Gary is rough.', 'Gary is sad.', False)
('Gary is rough.', 'Gary is sad.', False)
('Erin is huge.', 'Erin is high.', False)
