('Fiona is high.', 'The lion is strong.', False)
('Harry is small.', 'The bald eagle is small.', False)
('Bob is nice.', 'The Bob is rough.', False)
('Bob is nice.', 'The Bob is nice.', False)
('Dave is dull.', 'The Dave is dull.', False)
('Dave is dull.', 'The Dave is dull.', False)
('Harry is heavy.', 'The bald eagle is heavy.', False)
('Harry is heavy.', 'The bald eagle is heavy.', False)
('Erin is short.', 'The bald eagle is small.', False)
('Erin is short.', 'The bald eagle is small.', False)
('Fiona is kind.', 'The ficon is nice.', False)
('Fiona is kind.', 'The ficon is nice.', False)
('Dave is sad.', 'The Dave is sad.', False)
('Dave is sad.', 'The Dave is sad.', False)
('Erin is heavy.', 'The bald eagle is heavy.', False)
('Erin is heavy.', 'The bald eagle is heavy.', False)
('Dave is short.', 'The Dave is small.', False)
('Dave is short.', 'The Dave is small.', False)
('Alan is smart.', 'The Alan is smart.', False)
('Alan is smart.', 'The Alan is smart.', False)
('Gary is bad.', 'The Gary is rough.', False)
('Gary is bad.', 'The Gary is rough.', False)
('Gary is high.', 'The bald eagle is strong.', False)
('Gary is high.', 'The bald eagle is strong.', False)
('Harry is thin.', 'The bald eagle is small.', False)
('Harry is thin.', 'The bald eagle is strong.', False)
('Fiona is kind.', 'The falcon is strong.', False)
('Fiona is kind.', 'The falcon is strong.', False)
('Charlie is bad.', 'The Charlie is sad.', False)
('Charlie is bad.', 'The Charlie is sad.', False)
('Anne is huge.', 'The Anne is strong.', False)
('Anne is huge.', 'The lion is strong.', False)
('Bob is tiny.', 'The Bob is small.', False)
('Bob is tiny.', 'The Bob is small.', False)
('Charlie is kind.', 'The Charlie is smart.', False)
('Charlie is kind.', 'The Charlie is smart.', False)
('Erin is poor.', 'The bald eagle is strong.', False)
('Erin is poor.', 'The bald eagle is strong.', False)
('Erin is big.', 'The bear needs the hamster.', False)
('Erin is big.', 'The bear needs the hamster.', False)
('Harry is thin.', 'The bald eagle is small.', False)
('Harry is thin.', 'The bald eagle is small.', False)
('Fiona is smart.', 'The Ficon is strong.', False)
('Fiona is smart.', 'The Ficon is strong.', False)
('Gary is bad.', 'The bald eagle is rough.', False)
('Gary is bad.', 'The bald eagle is rough.', False)
('Bob is high.', 'The Bob is strong.', False)
('Bob is high.', 'The Bob is strong.', False)
('Alan is tiny.', 'The Alan is small.', False)
('Alan is tiny.', 'The Alan is small.', False)
('Harry is wealthy.', 'The Harry is nice.', False)
('Harry is wealthy.', 'The Harry is nice.', False)
('Fiona is dull.', 'The Ficon is dull.', False)
('Fiona is dull.', 'The Ficon is dull.', False)
('Dave is huge.', 'The Dave is strong.', False)
('Dave is huge.', 'The Dave is strong.', False)
('Erin is thin.', 'The bald eagle is sees the hamster.', False)
('Erin is thin.', 'The bald eagle is sees the hamster.', False)
('Bob is kind.', 'The Bob is smart.', False)
('Bob is kind.', 'The Bob is smart.', False)
('Anne is bad.', 'The Anne is dull.', False)
('Anne is bad.', 'The Anne is dull.', False)
('Bob is high.', 'The Bob is strong.', False)
('Bob is high.', 'The bob is strong.', False)
('Harry is small.', 'The bald eagle is small.', False)
('Harry is small.', 'The bald eagle is small.', False)
('Fiona is clever.', 'The lion is sad.', False)
('Fiona is clever.', 'The Ficon is sad.', False)
('Charlie is bad.', 'The Charlie is sad.', False)
('Charlie is bad.', 'The Charlie is sad.', False)
('Charlie is high.', 'The Charlie is strong.', False)
('Charlie is high.', 'The Charlie is strong.', False)
('Bob is tiny.', 'The Bob is dull.', False)
('Bob is tiny.', 'The Bob is dull.', False)
('Dave is quiet.', 'The Dave is quiet.', False)
('Dave is quiet.', 'The Dave is quiet.', False)
('Gary is dull.', 'The bald eagle is dull.', False)
('Gary is dull.', 'The bald eagle is dull.', False)
('Charlie is big.', 'The Charlie is strong.', False)
('Charlie is big.', 'The Charlie is strong.', False)
('Alan is small.', 'The Alan is small.', False)
('Alan is small.', 'The Alan is small.', False)
('Erin is clever.', 'The bald eagle is nice.', False)
('Erin is clever.', 'The bear is nice.', False)
('Gary is bad.', 'The Gary is bad.', False)
('Gary is bad.', 'The bald eagle is bad.', False)
('Bob is huge.', 'Thebob is strong.', False)
('Bob is huge.', 'The bob is strong.', False)
('Dave is small.', 'The Dave is small.', False)
('Dave is small.', 'The Dave is small.', False)
('Erin is quiet.', 'The bald eagle is strong.', False)
('Erin is quiet.', 'The bald eagle is strong.', False)
('Anne is rough.', 'The Anne is rough.', False)
('Anne is rough.', 'The Anne is rough.', False)
('Anne is huge.', 'The lion is strong.', False)
('Anne is huge.', 'The lion is strong.', False)
('Fiona is small.', 'The lion is small.', False)
('Fiona is small.', 'The lion is small.', False)
('Dave is wealthy.', 'The Dave is smart.', False)
('Dave is wealthy.', 'The Dave is smart.', False)
('Erin is bad.', 'The bald eagle is sad.', False)
('Erin is bad.', 'The bald eagle is sad.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Bob is short.', 'Thebob is small.', False)
('Bob is short.', 'Thebob is short.', False)
('Alan is quiet.', 'The Alan is quiet.', False)
('Alan is quiet.', 'The Alan is quiet.', False)
('Gary is sad.', 'The bald eagle is sad.', False)
('Gary is sad.', 'The bald eagle is sad.', False)
('Alan is huge.', 'The Alan is strong.', False)
('Alan is huge.', 'The Alan is strong.', False)
('Harry is small.', 'The bald eagle is small.', False)
('Harry is small.', 'The bald eagle is small.', False)
('Dave is nice.', 'The Dave is nice.', False)
('Dave is nice.', 'The Dave is nice.', False)
('Gary is sad.', 'The Gary is sad.', False)
('Gary is sad.', 'The Gary is sad.', False)
('Alan is strong.', 'The Alan is strong.', False)
('Alan is strong.', 'The Alan is strong.', False)
('Erin is short.', 'The bald eagle is small.', False)
('Erin is short.', 'The bald eagle is small.', False)
('Bob is quiet.', 'The Bob is quiet.', False)
('Bob is quiet.', 'The Bob is quiet.', False)
('Fiona is dull.', 'The falcon is dull.', False)
('Fiona is dull.', 'The falcon is dull.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Gary is thin.', 'The bald eagle is small.', False)
('Gary is thin.', 'The bald eagle is small.', False)
('Dave is kind.', 'The Dave is smart.', False)
('Dave is kind.', 'The Dave is smart.', False)
('Harry is imperfect.', 'The bald eagle is strong.', False)
('Harry is imperfect.', 'The bald eagle is strong.', False)
('Charlie is huge.', 'The Charlie is strong.', False)
('Charlie is huge.', 'The Charlie is strong.', False)
('Harry is little.', 'The bald eagle is small.', False)
('Harry is little.', 'The bald eagle is small.', False)
('Fiona is wealthy.', 'The Ficon is wealthy.', False)
('Fiona is wealthy.', 'The falcon is smart.', False)
('Erin is sad.', 'The bear is sad.', False)
('Erin is sad.', 'The bear is sad.', False)
('Fiona is heavy.', 'The lion is heavy.', False)
('Fiona is heavy.', 'The lion is heavy.', False)
('Bob is tiny.', 'The Bob is small.', False)
('Bob is tiny.', 'The Bob isbob.', False)
('Erin is smart.', 'The bald eagle is nice.', False)
('Erin is smart.', 'The bald eagle is nice.', False)
('Harry is sad.', 'The bald eagle is strong.', False)
('Harry is sad.', 'The bald eagle is sad.', False)
('Anne is big.', 'The Anne is big.', False)
('Anne is big.', 'The Anne is big.', False)
('Charlie is tiny.', 'The Charlie is funny.', False)
('Charlie is tiny.', 'The Charlie is funny.', False)
('Gary is quiet.', 'The Gary is quiet.', False)
('Gary is quiet.', 'The Gary is quiet.', False)
('Harry is sad.', 'The Harry is sad.', False)
('Harry is sad.', 'The bald eagle is sad.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Harry is little.', 'The bald eagle is small.', False)
('Harry is little.', 'The bald eagle is small.', False)
('Fiona is wealthy.', 'The Ficon is nice.', False)
('Fiona is wealthy.', 'The Ficon is nice.', False)
('Alan is imperfect.', 'The Alan is rough.', False)
('Alan is imperfect.', 'The Alan is rough.', False)
('Erin is strong.', 'The bald eagle sees the hamster.', False)
('Erin is strong.', 'The bald eagle sees the hamster.', False)
('Fiona is little.', 'The lion is small.', False)
('Fiona is little.', 'The lion is rough.', False)
('Charlie is nice.', 'The Charlie is nice.', False)
('Charlie is nice.', 'The Charlie is nice.', False)
('Gary is bad.', 'The bald eagle is rough.', False)
('Gary is bad.', 'The bald eagle is rough.', False)
('Charlie is huge.', 'The Charlie is strong.', False)
('Charlie is huge.', 'The Charlie is strong.', False)
('Fiona is thin.', 'The lion is small.', False)
('Fiona is thin.', 'The lion is small.', False)
('Gary is wealthy.', 'The Gary is nice.', False)
('Gary is wealthy.', 'The Gary is smart.', False)
('Erin is bad.', 'The bald eagle is strong.', False)
('Erin is bad.', 'The bald eagle is strong.', False)
('Gary is heavy.', 'The bald eagle is heavy.', False)
('Gary is heavy.', 'The bald eagle is heavy.', False)
('Charlie is thin.', 'The Charlie is small.', False)
('Charlie is thin.', 'The Charlie is small.', False)
('Harry is kind.', 'The Harry is nice.', False)
('Harry is kind.', 'The Harry is nice.', False)
('Fiona is imperfect.', 'The Ficon is rough.', False)
('Fiona is imperfect.', 'The falcon is rough.', False)
('Erin is huge.', 'The bald eagle is eagle is strong.', False)
('Erin is huge.', 'The bald eagle is eagle is eagle is', False)
('Fiona is tiny.', 'The lion is small.', False)
('Fiona is tiny.', 'The lion is small.', False)
('Gary is kind.', 'The bald eagle is rough.', False)
('Gary is kind.', 'The bald eagle is rough.', False)
('Alan is rough.', 'The Alan is rough.', False)
('Alan is rough.', 'The Alan is rough.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Dave is short.', 'The Dave is small.', False)
('Dave is short.', 'The Dave is small.', False)
('Erin is wealthy.', 'The bald eagle is wealthy.', False)
('Erin is wealthy.', 'The bald eagle is wealthy.', False)
('Gary is rough.', 'The bald eagle is rough.', False)
('Gary is rough.', 'The bald eagle is rough.', False)
('Erin is heavy.', 'The bear needs the hamster.', False)
('Erin is heavy.', 'The bear needs the hamster.', False)
('Gary is little.', 'The bald eagle is small.', False)
('Gary is little.', 'The bald eagle is small.', False)
('Harry is wealthy.', 'The Harry is nice.', False)
('Harry is wealthy.', 'The Harry is nice.', False)
('Charlie is dull.', 'The Charlie is dull.', False)
('Charlie is dull.', 'The Charlie is dull.', False)
('Gary is high.', 'The Gary is strong.', False)
('Gary is high.', 'The bald eagle is strong.', False)
('Bob is thin.', 'The Bob is beautiful.', False)
('Bob is thin.', 'The Bob is beautiful.', False)
('Fiona is kind.', 'The Ficon is smart.', False)
('Fiona is kind.', 'The falcon is smart.', False)
('Anne is dull.', 'The Anne is dull.', False)
('Anne is dull.', 'The Anne is dull.', False)
('Erin is high.', 'The bald eagle is big.', False)
('Erin is high.', 'The bald eagle is strong.', False)
('Harry is short.', 'The bald eagle is small.', False)
('Harry is short.', 'The bald eagle is small.', False)
('Anne is kind.', 'The Anne is rough.', False)
('Anne is kind.', 'The Anne is rough.', False)
('Fiona is dull.', 'The falcon is dull.', False)
('Fiona is dull.', 'The lion is dull.', False)
('Anne is huge.', 'The lion is the Anne is big.', False)
('Anne is huge.', 'The bald eagle is big.', False)
('Fiona is short.', 'The lion is Ficon is Ficon is Ficon is Ficon is Fico', False)
('Fiona is short.', 'The lion is Ficon is Ficon is Ficon is Ficon is Fico', False)
('Bob is clever.', 'The Bob is smart.', False)
('Bob is clever.', 'The Bob is smart.', False)
('Gary is imperfect.', 'The bald eagle is sad.', False)
('Gary is imperfect.', 'The bald eagle is sad.', False)
('Bob is strong.', 'The Bob is strong.', False)
('Bob is strong.', 'The Bob is strong.', False)
('Fiona is thin.', 'The lion is thin.', False)
('Fiona is thin.', 'The lion is thin.', False)
('Anne is quiet.', 'The Anne is quiet.', False)
('Anne is quiet.', 'The Anne is quiet.', False)
('Harry is poor.', 'The bald eagle is sad.', False)
('Harry is poor.', 'The bald eagle is sad.', False)
('Anne is big.', 'The Anne is strong.', False)
('Anne is big.', 'The Anne is strong.', False)
('Charlie is short.', 'The Charlie is the Charlie.', False)
('Charlie is short.', 'The Charlie is nice.', False)
('Alan is wealthy.', 'The Alan is quiet.', False)
('Alan is wealthy.', 'The Alan is quiet.', False)
('Dave is poor.', 'The Dave is rough.', False)
('Dave is poor.', 'The Dave is rough.', False)
('Charlie is big.', 'The Charlie is strong.', False)
('Charlie is big.', 'The Charlie is strong.', False)
('Gary is small.', 'The bald eagle is strong.', False)
('Gary is small.', 'The bald eagle is strong.', False)
('Harry is kind.', 'The Harry is nice.', False)
('Harry is kind.', 'The Harry is kind.', False)
('Dave is sad.', 'The Dave is sad.', False)
('Dave is sad.', 'The Dave is sad.', False)
('Gary is strong.', 'The Gary is strong.', False)
('Gary is strong.', 'The bald eagle is strong.', False)
('Bob is little.', 'The bear is small.', False)
('Bob is little.', 'The bear is small.', False)
('Harry is clever.', 'The Harry is nice.', False)
('Harry is clever.', 'The Harry is nice.', False)
('Anne is poor.', 'The Anne is sad.', False)
('Anne is poor.', 'The Anne is sad.', False)
('Bob is heavy.', 'The Bob is heavy.', False)
('Bob is heavy.', 'The Bob is heavy.', False)
('Harry is small.', 'The bald eagle is small.', False)
('Harry is small.', 'The hamster is small.', False)
('Charlie is nice.', 'The Charlie is nice.', False)
('Charlie is nice.', 'The Charlie is nice.', False)
('Alan is rough.', 'The Alan is rough.', False)
('Alan is rough.', 'The Alan is rough.', False)
('Anne is high.', 'The Anne is strong.', False)
('Anne is high.', 'The lion is strong.', False)
('Erin is tiny.', 'The bald eagle is small.', False)
('Erin is tiny.', 'The bald eagle is small.', False)
('Charlie is clever.', 'The Charlie iss the hamster.', False)
('Charlie is clever.', 'The Charlie iss the hamster.', False)
('Bob is dull.', 'The Bob is rough.', False)
('Bob is dull.', 'The Bob is rough.', False)
('Harry is huge.', 'The Harry is strong.', False)
('Harry is huge.', 'The bald eagle is strong.', False)
('Alan is small.', 'The Alan is small.', False)
('Alan is small.', 'The Alan is small.', False)
('Anne is nice.', 'The Anne is nice.', False)
('Anne is nice.', 'The Anne is nice.', False)
('Dave is sad.', 'The Dave is sad.', False)
('Dave is sad.', 'The Dave is sad.', False)
('Bob is big.', 'The Bob is strong.', False)
('Bob is big.', 'Thebob is strong.', False)
('Charlie is tiny.', 'The Charlie is small.', False)
('Charlie is tiny.', 'The Charlie is small.', False)
('Fiona is wealthy.', 'The Ficon is nice.', False)
('Fiona is wealthy.', 'The Ficon is nice.', False)
('Gary is bad.', 'The bald eagle is bad.', False)
('Gary is bad.', 'The bald eagle is bad.', False)
('Harry is heavy.', 'The bald eagle is heavy.', False)
('Harry is heavy.', 'The bald eagle is heavy.', False)
('Alan is thin.', 'The Alan is Alan.', False)
('Alan is thin.', 'The Alan is Alan.', False)
('Dave is wealthy.', 'The Dave is nice.', False)
('Dave is wealthy.', 'The Dave is nice.', False)
('Erin is imperfect.', 'The bald eagle is strong.', False)
('Erin is imperfect.', 'The bald eagle is strong.', False)
('Bob is huge.', 'The Bob is strong.', False)
('Bob is huge.', 'The Bob is strong.', False)
('Fiona is small.', 'The lion is small.', False)
('Fiona is small.', 'The lion is small.', False)
('Harry is wealthy.', 'The Harry is smart.', False)
('Harry is wealthy.', 'The Harry is smart.', False)
('Alan is poor.', 'The Alan is rough.', False)
('Alan is poor.', 'The Alan is rough.', False)
('Erin is strong.', 'The bald eagle is strong.', False)
('Erin is strong.', 'The bald eagle is strong.', False)
('Gary is tiny.', 'The bald eagle is small.', False)
('Gary is tiny.', 'The bald eagle is small.', False)
('Charlie is kind.', 'The Charlie is kind.', False)
('Charlie is kind.', 'The Charlie is kind.', False)
('Anne is bad.', 'The Anne is rough.', False)
('Anne is bad.', 'The Anne is sad.', False)
('Bob is strong.', 'The Bob is strong.', False)
('Bob is strong.', 'The Bob is strong.', False)
('Alan is short.', 'The Alan is Alan.', False)
('Alan is short.', 'The Alan is Alan.', False)
('Erin is smart.', 'The bald eagle is smart.', False)
('Erin is smart.', 'The bald eagle is smart.', False)
('Charlie is dull.', 'The Charlie is rough.', False)
('Charlie is dull.', 'The Charlie is rough.', False)
('Gary is high.', 'The bald eagle is strong.', False)
('Gary is high.', 'The bald eagle is strong.', False)
('Alan is short.', 'The Alan is small.', False)
('Alan is short.', 'The Alan is small.', False)
('Dave is quiet.', 'The Dave is quiet.', False)
('Dave is quiet.', 'The Dave is quiet.', False)
('Bob is bad.', 'The Bob is sad.', False)
('Bob is bad.', 'The Bob is sad.', False)
('Bob is high.', 'The Bob is strong.', False)
('Bob is high.', 'The Bob is strong.', False)
('Erin is tiny.', 'The bald eagle is eagle is eagl', False)
('Erin is tiny.', 'The bald eagle is eagle is eagl', False)
('Anne is quiet.', 'The Anne is quiet.', False)
('Anne is quiet.', 'The Anne is quiet.', False)
('Charlie is imperfect.', 'The Charlie is sleepy.', False)
('Charlie is imperfect.', 'The Charlie is sleepy.', False)
('Harry is heavy.', 'The bald eagle is heavy.', False)
('Harry is heavy.', 'The bald eagle is heavy.', False)
('Charlie is tiny.', 'The Charlie is lovely.', False)
('Charlie is tiny.', 'The Charlie is Charlie.', False)
('Alan is nice.', 'The Alan is nice.', False)
('Alan is nice.', 'The Alan is nice.', False)
('Anne is bad.', 'The Anne is bad.', False)
('Anne is bad.', 'The Anne is bad.', False)
('Fiona is big.', 'The lion is strong.', False)
('Fiona is big.', 'The lion is strong.', False)
('Harry is small.', 'The bald eagle is small.', False)
('Harry is small.', 'The bald eagle is small.', False)
('Dave is nice.', 'The Dave is nice.', False)
('Dave is nice.', 'The Dave is nice.', False)
('Alan is imperfect.', 'The Alan is sad.', False)
('Alan is imperfect.', 'The Alan is sad.', False)
('Erin is high.', 'The bald eagle is strong.', False)
('Erin is high.', 'The bald eagle is strong.', False)
('Bob is tiny.', 'The Bob is small.', False)
('Bob is tiny.', 'The Bob is small.', False)
('Charlie is kind.', 'The Charlie is nice.', False)
('Charlie is kind.', 'The Charlie is nice.', False)
('Gary is poor.', 'The Gary is slow.', False)
('Gary is poor.', 'The Gary is slow.', False)
('Erin is high.', 'The bald eagle is heavy.', False)
('Erin is high.', 'The bald eagle is strong.', False)
('Harry is little.', 'The bald eagle is rough.', False)
('Harry is little.', 'The bald eagle is rough.', False)
('Charlie is clever.', 'The Charlie is smart.', False)
('Charlie is clever.', 'The Charlie is smart.', False)
('Anne is bad.', 'The Anne is rough.', False)
('Anne is bad.', 'The Anne is rough.', False)
('Fiona is high.', 'The lion is strong.', False)
('Fiona is high.', 'The lion is strong.', False)
('Anne is thin.', 'The anneagle is small.', False)
('Anne is thin.', 'The anneagle is small.', False)
('Gary is quiet.', 'The Gary is quiet.', False)
('Gary is quiet.', 'The Gary is quiet.', False)
('Harry is bad.', 'The bald eagle is bad.', False)
('Harry is bad.', 'The bald eagle is bad.', False)
('Dave is huge.', 'The Dave is strong.', False)
('Dave is huge.', 'The Dave is strong.', False)
('Harry is small.', 'The bald eagle is strong.', False)
('Harry is small.', 'The bald eagle is strong.', False)
('Erin is kind.', 'The bald eagle is smart.', False)
('Erin is kind.', 'The bald eagle is smart.', False)
('Fiona is sad.', 'The Ficon is sad.', False)
('Fiona is sad.', 'The Ficon is sad.', False)
('Alan is big.', 'The Alan is strong.', False)
('Alan is big.', 'The Alan is strong.', False)
('Erin is tiny.', 'The bald eagle is small.', False)
('Erin is tiny.', 'The bald eagle is small.', False)
('Harry is clever.', 'The bald eagle is strong.', False)
('Harry is clever.', 'The bald eagle is strong.', False)
('Dave is imperfect.', 'The Dave is rough.', False)
('Dave is imperfect.', 'The Dave is rough.', False)
('Charlie is big.', 'The Charlie is strong.', False)
('Charlie is big.', 'The Charlie is strong.', False)
('Alan is little.', 'The Alan is small.', False)
('Alan is little.', 'The Alan is small.', False)
('Bob is wealthy.', 'The Bob is wealthy.', False)
('Bob is wealthy.', 'The Bob is wealthy.', False)
('Harry is poor.', 'The bald eagle is poor.', False)
('Harry is poor.', 'The bald eagle is poor.', False)
('Fiona is big.', 'The lion is strong.', False)
('Fiona is big.', 'The lion is strong.', False)
('Anne is thin.', 'The anneagle is small.', False)
('Anne is thin.', 'The anneagle is small.', False)
('Erin is wealthy.', 'The bald eagle is wealthy.', False)
('Erin is wealthy.', 'The bald eagle is wealthy.', False)
('Dave is dull.', 'The Dave is dull.', False)
('Dave is dull.', 'The Dave is dull.', False)
('Gary is big.', 'The Gary is strong.', False)
('Gary is big.', 'The bald eagle is strong.', False)
('Alan is short.', 'The Alan is sad.', False)
('Alan is short.', 'The Alan is sad.', False)
('Harry is kind.', 'The Harry is smart.', False)
('Harry is kind.', 'The Harry is smart.', False)
('Charlie is sad.', 'The Charlie is sad.', False)
('Charlie is sad.', 'The Charlie is sad.', False)
('Gary is high.', 'The bald eagle is strong.', False)
('Gary is high.', 'The bald eagle is strong.', False)
('Anne is small.', 'The Anne is small.', False)
('Anne is small.', 'The Anne is small.', False)
('Bob is kind.', 'The Bob is nice.', False)
('Bob is kind.', 'The Bob is kind.', False)
('Harry is poor.', 'The bald eagle is strong.', False)
('Harry is poor.', 'The bald eagle is strong.', False)
('Harry is strong.', 'The bald eagle is strong.', False)
('Harry is strong.', 'The bald eagle is strong.', False)
('Dave is little.', 'The Dave is small.', False)
('Dave is little.', 'The Dave is small.', False)
('Gary is wealthy.', 'The Gary is smart.', False)
('Gary is wealthy.', 'The Gary is smart.', False)
('Anne is dull.', 'The Anne is dull.', False)
('Anne is dull.', 'The Anne is dull.', False)
('Dave is huge.', 'The Dave is strong.', False)
('Dave is huge.', 'The Dave is strong.', False)
('Erin is short.', 'The bald eagle is strong.', False)
('Erin is short.', 'The bald eagle is strong.', False)
('Gary is quiet.', 'The Gary is quiet.', False)
('Gary is quiet.', 'The Gary is quiet.', False)
('Harry is imperfect.', 'The bald eagle is strong.', False)
('Harry is imperfect.', 'The bald eagle is strong.', False)
('Gary is big.', 'The bald eagle is strong.', False)
('Gary is big.', 'The bald eagle is strong.', False)
('Harry is small.', 'The bald eagle is small.', False)
('Harry is small.', 'The bald eagle is small.', False)
('Anne is clever.', 'The Anne is smart.', False)
('Anne is clever.', 'The Anne is smart.', False)
('Erin is imperfect.', 'The bald eagle is awful.', False)
('Erin is imperfect.', 'The bald eagle is strong.', False)
('Bob is huge.', 'The Bob is big.', False)
('Bob is huge.', 'The bob is big.', False)
('Fiona is tiny.', 'The lion is sad.', False)
('Fiona is tiny.', 'The lion is sad.', False)
('Charlie is quiet.', 'The Charlie is sad.', False)
('Charlie is quiet.', 'The Charlie is sad.', False)
('Harry is sad.', 'The bald eagle is sad.', False)
('Harry is sad.', 'The bald eagle is sad.', False)
('Anne is high.', 'The Anne is strong.', False)
('Anne is high.', 'The Anne is strong.', False)
('Harry is thin.', 'The bald eagle is small.', False)
('Harry is thin.', 'The bald eagle is small.', False)
('Dave is nice.', 'The Dave is nice.', False)
('Dave is nice.', 'The Dave is nice.', False)
('Gary is sad.', 'The Gary is sad.', False)
('Gary is sad.', 'The bald eagle is sad.', False)
('Anne is big.', 'The lion likes the hamster.', False)
('Anne is big.', 'The lion likes the hamster.', False)
('Fiona is short.', 'The lion is sad.', False)
('Fiona is short.', 'The lion is sad.', False)
('Erin is kind.', 'The bald eagle is kind.', False)
('Erin is kind.', 'The bald eagle is kind.', False)
('Harry is sad.', 'The bald eagle is sad.', False)
('Harry is sad.', 'The bald eagle is sad.', False)
('Alan is strong.', 'The Alan is strong.', False)
('Alan is strong.', 'The Alan is strong.', False)
('Charlie is short.', 'The Charlie is small.', False)
