('Fiona is strong.', 'The lion is strong.', False)
('Bob is thin.', 'The Bob is thin.', False)
('Bob is thin.', 'Thebob is thin.', False)
('Dave is clever.', 'The Dave is smart.', False)
('Dave is clever.', 'The Dave is smart.', False)
('Alan is poor.', 'The Alan is poor.', False)
('Alan is poor.', 'The Alan is poor.', False)
('Fiona is big.', 'The lion is big.', False)
('Fiona is big.', 'The lion is big.', False)
('Anne is short.', 'The bald eagle is short.', False)
('Anne is short.', 'The bald eagle is short.', False)
('Charlie is kind.', 'The Charlie is kind.', False)
('Charlie is kind.', 'The Charlie is kind.', False)
('Erin is dull.', 'The bald eagle is dull.', False)
('Erin is dull.', 'The lion is big.', False)
('Dave is big.', 'The Dave is big.', False)
('Dave is big.', 'The Dave is big.', False)
('Anne is little.', 'The bald eagle is small.', False)
('Anne is little.', 'The bald eagle is small.', False)
('Erin is smart.', 'The lion is smart.', False)
('Erin is smart.', 'The lion is smart.', False)
('Bob is poor.', 'The Bob is poor.', False)
('Bob is poor.', 'The dog is poor.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Fiona is thin.', 'The lion is thin.', False)
('Fiona is thin.', 'The lion is thin.', False)
('Alan is clever.', 'The Alan is smart.', False)
('Alan is clever.', 'The Alan is smart.', False)
('Anne is sad.', 'The bald eagle is sad.', False)
('Anne is sad.', 'The bald eagle is sad.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Alan is short.', 'The Alan is short.', False)
('Alan is short.', 'The Alan is short.', False)
('Erin is wealthy.', 'The lion is wealthy.', False)
('Erin is wealthy.', 'The lion is wealthy.', False)
('Anne is poor.', 'The bald eagle is poor.', False)
('Anne is poor.', 'The bald eagle is poor.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Dave is thin.', 'The Dave is thin.', False)
('Dave is thin.', 'The Dave is thin.', False)
('Gary is nice.', 'The dog is nice.', False)
('Gary is nice.', 'The dog is nice.', False)
('Erin is bad.', 'The bald eagle is bad.', False)
('Erin is bad.', 'The lion is bad.', False)
('Gary is high.', 'The dog is strong.', False)
('Gary is high.', 'The dog is strong.', False)
('Bob is tiny.', 'The dog is small.', False)
('Bob is tiny.', 'The dog is small.', False)
('Charlie is clever.', 'The Charlie is smart.', False)
('Charlie is clever.', 'The Charlie is smart.', False)
('Anne is rough.', 'The bald eagle is rough.', False)
('Anne is rough.', 'The bald eagle is rough.', False)
('Erin is heavy.', 'The lion is heavy.', False)
('Erin is heavy.', 'The lion is heavy.', False)
('Bob is thin.', 'The Bob is thin.', False)
('Bob is thin.', 'Thebob is thin.', False)
('Dave is nice.', 'The Dave is nice.', False)
('Dave is nice.', 'The Dave is nice.', False)
('Harry is rough.', 'The Harry is rough.', False)
('Harry is rough.', 'The Harry is rough.', False)
('Anne is huge.', 'The bald eagle is big.', False)
('Anne is huge.', 'The bald eagle is big.', False)
('Dave is little.', 'The Dave is small.', False)
('Dave is little.', 'The Dave is small.', False)
('Harry is nice.', 'The Harry is nice.', False)
('Harry is nice.', 'The Harry is nice.', False)
('Charlie is bad.', 'The Charlie is small.', False)
('Charlie is bad.', 'The Charlie is small.', False)
('Charlie is huge.', 'The Charlie is big.', False)
('Charlie is huge.', 'The Charlie is big.', False)
('Gary is tiny.', 'The dog is small.', False)
('Gary is tiny.', 'The dog is small.', False)
('Dave is clever.', 'The Dave is smart.', False)
('Dave is clever.', 'The Dave is smart.', False)
('Alan is rough.', 'The Alan is rough.', False)
('Alan is rough.', 'The Alan is rough.', False)
('Charlie is high.', 'The Charlie is heavy.', False)
('Charlie is high.', 'The Charlie is heavy.', False)
('Gary is tiny.', 'The dog is small.', False)
('Gary is tiny.', 'The dog is small.', False)
('Erin is clever.', 'The lion is smart.', False)
('Erin is clever.', 'The lion is smart.', False)
('Dave is bad.', 'The Dave is poor.', False)
('Dave is bad.', 'The Dave is rough.', False)
('Charlie is big.', 'The Charlie is big.', False)
('Charlie is big.', 'The Charlie is big.', False)
('Fiona is little.', 'The lion is small.', False)
('Fiona is little.', 'The lion is small.', False)
('Alan is nice.', 'The Alan is nice.', False)
('Alan is nice.', 'The Alan is nice.', False)
('Dave is poor.', 'The Dave is poor.', False)
('Dave is poor.', 'The dog is poor.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Erin is tiny.', 'The bald eagle is small.', False)
('Erin is tiny.', 'The lion is small.', False)
('Dave is nice.', 'The Dave is nice.', False)
('Dave is nice.', 'The Dave is nice.', False)
('Harry is rough.', 'The Harry is rough.', False)
('Harry is rough.', 'The Harry is rough.', False)
('Erin is big.', 'The lion is big.', False)
('Erin is big.', 'The lion is big.', False)
('Charlie is short.', 'The Charlie is short.', False)
('Charlie is short.', 'The Charlie is small.', False)
('Gary is kind.', 'The dog is kind.', False)
('Gary is kind.', 'The dog is kind.', False)
('Bob is dull.', 'The Bob is rough.', False)
('Bob is dull.', 'Thebob is rough.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Charlie is heavy.', 'The Charlie is heavy.', False)
('Gary is thin.', 'The dog is thin.', False)
('Gary is thin.', 'The dog is thin.', False)
('Fiona is wealthy.', 'The lion is wealthy.', False)
('Fiona is wealthy.', 'The lion is wealthy.', False)
('Alan is poor.', 'The Alan is poor.', False)
('Alan is poor.', 'The Alan is rough.', False)
('Dave is heavy.', 'The Dave is heavy.', False)
('Dave is heavy.', 'The Dave is heavy.', False)
('Harry is short.', 'The Harry is small.', False)
('Harry is short.', 'The Harry is small.', False)
('Gary is nice.', 'The dog is nice.', False)
('Gary is nice.', 'The dog is nice.', False)
('Bob is poor.', 'The Bob is poor.', False)
('Bob is poor.', 'Thebob is poor.', False)
('Gary is big.', 'The dog is big.', False)
('Gary is big.', 'The dog is big.', False)
('Anne is tiny.', 'The bald eagle is small.', False)
('Anne is tiny.', 'The bald eagle is small.', False)
('Fiona is clever.', 'The lion is smart.', False)
('Fiona is clever.', 'The lion is smart.', False)
('Harry is poor.', 'The Harry is poor.', False)
('Harry is poor.', 'The Harry is poor.', False)
('Dave is heavy.', 'The Dave is heavy.', False)
('Dave is heavy.', 'The Dave is heavy.', False)
('Bob is little.', 'Thebob is small.', False)
('Bob is little.', 'Thebob is small.', False)
('Anne is kind.', 'The bald eagle is kind.', False)
('Anne is kind.', 'The bald eagle is kind.', False)
('Harry is dull.', 'The Harry is dull.', False)
('Harry is dull.', 'The Harry is dull.', False)
('Fiona is heavy.', 'The lion is heavy.', False)
('Fiona is heavy.', 'The lion is heavy.', False)
('Alan is thin.', 'The Alan is small.', False)
('Alan is thin.', 'The Alan is small.', False)
('Gary is wealthy.', 'The dog is wealthy.', False)
('Gary is wealthy.', 'The dog is wealthy.', False)
('Dave is sad.', 'The Dave is sad.', False)
('Dave is sad.', 'The dog is small.', False)
('Gary is heavy.', 'The dog is heavy.', False)
('Gary is heavy.', 'The dog is heavy.', False)
('Charlie is short.', 'The Charlie is short.', False)
('Charlie is short.', 'The Charlie is short.', False)
('Anne is wealthy.', 'The bald eagle is wealthy.', False)
('Anne is wealthy.', 'The bald eagle is wealthy.', False)
('Fiona is sad.', 'The lion is sad.', False)
('Fiona is sad.', 'The falcon is sad.', False)
('Alan is strong.', 'The Alan is strong.', False)
('Alan is strong.', 'The Alan is strong.', False)
('Charlie is short.', 'The Charlie is short.', False)
('Charlie is short.', 'The Charlie is short.', False)
('Fiona is kind.', 'The lion is kind.', False)
('Fiona is kind.', 'The lion is kind.', False)
('Bob is dull.', 'Thebob is rough.', False)
('Bob is dull.', 'Thebob is rough.', False)
('Erin is high.', 'The lion is big.', False)
('Erin is high.', 'The lion is big.', False)
('Dave is short.', 'The dog is small.', False)
('Dave is short.', 'The dog is small.', False)
('Bob is smart.', 'The dog is smart.', False)
('Bob is smart.', 'The dog is smart.', False)
('Alan is sad.', 'The Alan is sad.', False)
('Alan is sad.', 'The Alan is sad.', False)
('Dave is heavy.', 'The Dave is heavy.', False)
('Dave is heavy.', 'The Dave is heavy.', False)
('Charlie is thin.', 'The Charlie is thin.', False)
('Charlie is thin.', 'The Charlie is thin.', False)
('Fiona is kind.', 'The lion is kind.', False)
('Fiona is kind.', 'The lion is kind.', False)
('Harry is sad.', 'The Harry is sad.', False)
('Harry is sad.', 'The Harry is sad.', False)
('Dave is strong.', 'The Dave is strong.', False)
('Dave is strong.', 'The Dave is strong.', False)
('Bob is tiny.', 'The Bob is small.', False)
('Bob is tiny.', 'Thebob is small.', False)
('Harry is kind.', 'The lion is kind.', False)
('Harry is kind.', 'The is kind.', False)
('Gary is bad.', 'The dog is rough.', False)
('Gary is bad.', 'The dog is rough.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Charlie is strong.', 'The Charlie is strong.', False)
('Anne is small.', 'The bald eagle is strong.', False)
('Anne is small.', 'The bald eagle is small.', False)
('Harry is quiet.', 'The Harry is quiet.', False)
('Harry is quiet.', 'The Harry is quiet.', False)
('Erin is sad.', 'The bald eagle is sad.', False)
('Erin is sad.', 'The bald eagle is sad.', False)
('Erin is big.', 'The lion is big.', False)
('Erin is big.', 'The lion is big.', False)
('Bob is small.', 'The dog is small.', False)
('Bob is small.', 'The dog is small.', False)
('Anne is nice.', 'The bald eagle is nice.', False)
('Anne is nice.', 'The bald eagle is nice.', False)
('Fiona is dull.', 'The lion is dull.', False)
('Fiona is dull.', 'The lion is dull.', False)
('Gary is huge.', 'The dog is big.', False)
('Gary is huge.', 'The dog is big.', False)
('Fiona is little.', 'The lion is small.', False)
('Fiona is little.', 'The lion is small.', False)
('Erin is smart.', 'The lion is smart.', False)
('Erin is smart.', 'The lion is smart.', False)
('Anne is dull.', 'The bald eagle is small.', False)
('Anne is dull.', 'The bald eagle is small.', False)
('Dave is high.', 'The Dave is strong.', False)
('Dave is high.', 'The Dave is strong.', False)
('Erin is thin.', 'The lion is thin.', False)
('Erin is thin.', 'The lion is thin.', False)
('Harry is nice.', 'The Harry is nice.', False)
('Harry is nice.', 'The Harry is nice.', False)
('Gary is sad.', 'The dog is sad.', False)
('Gary is sad.', 'The dog is sad.', False)
('Fiona is huge.', 'The lion is big.', False)
('Fiona is huge.', 'The lion is big.', False)
('Bob is small.', 'The Bob is small.', False)
('Bob is small.', 'Thebob is small.', False)
('Charlie is wealthy.', 'The Charlie is wealthy.', False)
('Charlie is wealthy.', 'The Charlie is wealthy.', False)
('Erin is imperfect.', 'The lion is imperfect.', False)
('Erin is imperfect.', 'The lion is imperfect.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Anne is strong.', 'The bald eagle is strong.', False)
('Dave is little.', 'The Dave is small.', False)
('Dave is little.', 'The Dave is small.', False)
('Erin is quiet.', 'The lion is quiet.', False)
('Erin is quiet.', 'The lion is quiet.', False)
('Fiona is dull.', 'The lion is small.', False)
('Fiona is dull.', 'The lion is small.', False)
('Gary is big.', 'The dog is big.', False)
('Gary is big.', 'The dog is big.', False)
('Anne is tiny.', 'The bald eagle is small.', False)
('Anne is tiny.', 'The bald eagle is small.', False)
('Harry is wealthy.', 'The Harry is wealthy.', False)
('Harry is wealthy.', 'The Harry is wealthy.', False)
('Fiona is imperfect.', 'The lion is imperfect.', False)
('Fiona is imperfect.', 'The lion is imperfect.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Harry is heavy.', 'The Harry is heavy.', False)
('Alan is thin.', 'The Alan is thin.', False)
('Alan is thin.', 'The Alan is thin.', False)
('Charlie is quiet.', 'The Charlie is quiet.', False)
('Charlie is quiet.', 'The Charlie is quiet.', False)
('Dave is bad.', 'The Dave is bad.', False)
('Dave is bad.', 'The Dave is bad.', False)
('Alan is big.', 'The Alan is big.', False)
('Alan is big.', 'The Alan is big.', False)
('Gary is thin.', 'The dog is small.', False)
